Date,Open,High,Low,Close,Volume
20181023,15.09,15.09,14.99,14.99,4358
20181024,14.99,14.99,14.95,14.96,8452
20181025,14.93,14.93,14.89,14.89,3820
20181026,14.89,14.89,14.83,14.83,461
20181029,14.83,14.83,14.83,14.83,0
20181030,14.83,14.83,14.83,14.83,0
20181031,14.98,14.98,14.98,14.98,1000
20181101,14.98,14.99,14.9,14.9,3970
20181102,14.8,14.8,14.75,14.75,850
20181105,14.75,14.75,14.75,14.75,0
20181106,14.75,14.75,14.75,14.75,0
20181107,14.91,14.91,14.91,14.91,669
20181108,14.91,14.91,14.91,14.91,0
20181109,14.91,14.91,14.91,14.91,0
20181112,15,15,15,15,1
20181113,15,15,15,15,0
20181114,15,15,15,15,0
20181115,14.85,14.85,14.85,14.85,1120
20181116,14.8,14.8,14.77,14.77,945
20181119,14.7,14.7,14.7,14.7,1860
20181120,14.75,14.75,14.75,14.75,1000
20181121,14.72,14.72,14.72,14.72,54
20181122,14.72,14.72,14.72,14.72,0
20181123,14.72,14.72,14.72,14.72,0
20181126,14.7,14.71,14.7,14.71,3395
20181127,14.71,14.71,14.71,14.71,0
20181128,14.71,14.71,14.71,14.71,0
20181129,14.77,14.77,14.77,14.77,6700
20181130,14.79,14.79,14.79,14.79,915
20181203,14.81,14.91,14.81,14.91,21015
20181204,14.82,14.82,14.76,14.76,7258
20181205,14.6,14.71,14.58,14.71,9250
20181206,14.7,14.7,14.64,14.64,1020
20181207,14.64,14.64,14.64,14.64,0
20181210,14.59,14.59,14.57,14.57,4135
20181211,14.55,14.55,14.55,14.55,6850
20181212,14.52,14.54,14.52,14.54,16900
20181213,14.54,14.54,14.54,14.54,0
20181214,14.5,14.5,14.5,14.5,10
20181217,14.59,14.59,14.59,14.59,300
20181218,14.37,14.38,14.37,14.38,120
20181219,14.38,14.38,14.38,14.38,0
20181220,14.27,14.27,14.17,14.18,9010
20181221,14.27,14.27,14.27,14.27,100
20181224,14.13,14.16,14.11,14.11,5578
20181227,14.1,14.1,14.07,14.07,550
20181228,14.27,14.27,14.27,14.27,50
20181231,14.27,14.27,14.27,14.27,0
20190102,14.22,14.22,14.22,14.22,69
20190103,14.5,14.5,14.5,14.5,70
20190104,14.5,14.5,14.5,14.5,0
20190107,14.5,14.5,14.5,14.5,0
20190108,14.44,14.44,14.44,14.44,693
20190109,14.53,14.57,14.53,14.57,1700
20190110,14.57,14.57,14.57,14.57,0
20190111,14.57,14.57,14.57,14.57,0
20190114,14.52,14.52,14.52,14.52,340
20190115,14.52,14.52,14.52,14.52,0
20190116,14.63,14.63,14.63,14.63,35
20190117,14.73,14.73,14.71,14.71,1970
20190118,14.74,14.74,14.74,14.74,2350
20190121,14.9,14.9,14.9,14.9,332
20190122,14.9,14.9,14.9,14.9,766
20190123,14.9,14.9,14.9,14.9,0
20190124,14.9,14.9,14.9,14.9,0
20190125,14.98,15.07,14.98,15.07,2332
20190129,14.9,14.9,14.9,14.9,674
20190130,15.05,15.05,14.96,14.96,1450
20190131,14.85,14.85,14.85,14.85,336
20190201,14.96,14.96,14.96,14.96,3000
20190204,14.96,14.96,14.96,14.96,0
20190205,15.03,15.03,15.03,15.03,3000
20190206,15.03,15.03,15.03,15.03,0
20190207,15.03,15.03,15.03,15.03,0
20190208,15.3,15.3,15.3,15.3,3000
20190211,15.3,15.3,15.3,15.3,0
20190212,15.3,15.3,15.3,15.3,0
20190213,15.36,15.36,15.36,15.36,1000
20190214,15.36,15.36,15.36,15.36,0
20190215,15.36,15.36,15.36,15.36,0
20190218,15.33,15.33,15.33,15.33,3000
20190219,15.33,15.33,15.33,15.33,0
20190220,15.33,15.33,15.33,15.33,0
20190221,15.43,15.54,15.43,15.54,8288
20190222,15.6,15.6,15.6,15.6,300
20190225,15.59,15.59,15.56,15.56,1283
20190226,15.56,15.56,15.56,15.56,0
20190227,15.42,15.43,15.42,15.43,1800
20190228,15.43,15.43,15.43,15.43,0
20190301,15.43,15.43,15.43,15.43,0
20190304,15.76,15.76,15.72,15.72,1670
20190305,15.72,15.72,15.72,15.72,0
20190306,15.64,15.74,15.64,15.74,3500
20190307,15.74,15.74,15.74,15.74,0
20190308,15.61,15.61,15.61,15.61,635
20190311,15.61,15.61,15.61,15.61,0
20190312,15.7,15.7,15.66,15.69,8697
20190313,15.69,15.69,15.69,15.69,0
20190314,15.73,15.73,15.73,15.73,2250
20190315,15.74,15.75,15.74,15.75,3078
20190318,15.78,15.8,15.75,15.75,8866
20190319,15.96,15.96,15.9,15.9,4488
20190320,15.85,15.86,15.85,15.86,7635
20190321,15.64,15.64,15.57,15.58,4082
20190322,15.79,15.79,15.79,15.79,5700
20190325,15.68,15.68,15.49,15.49,3284
20190326,15.49,15.49,15.49,15.49,0
20190327,15.57,15.66,15.56,15.66,8824
20190328,15.68,15.68,15.59,15.59,7348
20190329,15.67,15.67,15.67,15.67,2125
20190401,15.63,15.63,15.61,15.62,7641
20190402,15.79,15.83,15.7,15.83,4493
20190403,15.81,15.81,15.8,15.8,540
20190404,15.81,15.82,15.81,15.82,12625
20190405,15.91,15.91,15.91,15.91,2600
20190408,16,16.03,16,16.03,3625
20190409,15.95,15.99,15.92,15.92,3550
20190410,15.88,15.88,15.88,15.88,3890
20190411,15.88,15.88,15.88,15.88,0
20190412,15.97,15.97,15.9,15.9,2496
20190415,15.9,15.9,15.9,15.9,0
20190416,15.92,15.92,15.92,15.92,700
20190417,15.92,15.92,15.92,15.92,0
20190418,16.02,16.02,16.02,16.02,3130
20190423,16.12,16.12,16.12,16.12,3200
20190424,16.12,16.12,16.12,16.12,0
20190426,16.18,16.18,16.12,16.14,13902
20190429,16.14,16.14,16.14,16.14,0
20190430,16.27,16.29,16.24,16.29,4437
20190501,16.4,16.4,16.4,16.4,1609
20190502,16.3,16.3,16.3,16.3,100
20190503,16.34,16.38,16.34,16.38,3600
20190506,16.31,16.31,16.25,16.29,23609
20190507,16.32,16.34,16.24,16.24,24347
20190508,16.24,16.24,16.24,16.24,0
20190509,16.12,16.12,16.11,16.11,910
20190510,16.11,16.11,16,16,2443
20190513,16.14,16.14,16.09,16.1,3508
20190514,15.92,15.92,15.92,15.92,1500
20190515,16.18,16.18,16.18,16.18,2250
20190516,16.13,16.14,16.13,16.13,6841
20190517,16.26,16.27,16.21,16.21,30000
20190520,16.18,16.18,16.15,16.15,3202
20190521,16.09,16.21,16.09,16.21,17694
20190522,16.26,16.27,16.23,16.27,4439
20190523,16.14,16.14,16.08,16.08,1961
20190524,15.91,15.91,15.9,15.9,2800
20190527,15.92,15.92,15.92,15.92,933
20190528,15.93,15.99,15.93,15.99,10982
20190529,15.8,15.8,15.71,15.71,1226
20190530,15.7,15.7,15.69,15.69,1795
20190531,15.6,15.6,15.51,15.51,4692
20190603,15.51,15.51,15.51,15.51,0
20190604,15.46,15.49,15.45,15.45,6200
20190605,15.77,15.77,15.77,15.77,63
20190606,15.82,15.82,15.79,15.79,2513
20190607,15.79,15.79,15.79,15.79,0
20190611,16.01,16.05,16.01,16.05,20589
20190612,16.01,16.04,16.01,16.04,14262
20190613,16.04,16.04,16.04,16.04,0
20190614,16.16,16.16,16.16,16.16,1868
20190617,16.17,16.17,16.17,16.17,623
20190618,16.19,16.19,16.19,16.19,8023
20190619,16.23,16.23,16.23,16.23,1000
20190620,16.28,16.35,16.28,16.35,15225
20190621,16.28,16.29,16.28,16.29,7400
20190624,16.22,16.22,16.22,16.22,4300
20190625,16.14,16.14,16.14,16.14,1420
20190626,16,16.02,16,16.02,18294
20190627,15.99,15.99,15.99,15.99,1450
20190628,15.97,15.97,15.97,15.97,1000
20190701,15.95,15.95,15.95,15.95,3000
20190702,15.93,15.93,15.91,15.91,6600
20190703,15.9,15.9,15.83,15.87,4060
20190704,15.95,15.95,15.95,15.95,4662
20190705,16,16.02,16,16.02,34401
20190708,16.02,16.03,16.02,16.03,8987
20190709,16.03,16.03,16.03,16.03,492
20190710,16.03,16.03,16.03,16.03,0
20190711,16.01,16.03,16,16,14024
20190712,15.96,15.96,15.93,15.93,7260
20190715,15.95,15.95,15.93,15.93,1271
20190716,15.88,15.88,15.85,15.85,3839
20190717,15.85,15.85,15.85,15.85,0
20190718,15.79,15.79,15.78,15.78,2000
20190719,15.72,15.79,15.71,15.79,5290
20190722,15.71,15.71,15.71,15.71,2865
