Date,Open,High,Low,Close,Volume
20190612,2.51,2.51,2.51,2.51,66706
20190613,2.62,2.62,2.51,2.51,21200
20190614,2.52,2.52,2.49,2.5,22150
20190617,2.5,2.5,2.49,2.49,82814
20190618,2.48,2.49,2.47,2.49,7000
20190619,2.49,2.49,2.49,2.49,0
20190620,2.49,2.49,2.49,2.49,1612
20190621,2.49,2.49,2.49,2.49,0
20190624,2.49,2.5,2.49,2.49,35702
20190625,2.48,2.48,2.48,2.48,2016
20190626,2.48,2.48,2.48,2.48,42342
20190627,2.47,2.47,2.46,2.46,6350
20190628,2.46,2.49,2.46,2.48,18210
20190701,2.49,2.49,2.49,2.49,8000
20190702,2.49,2.5,2.49,2.5,17298
20190703,2.5,2.5,2.5,2.5,0
20190704,2.5,2.5,2.5,2.5,0
20190705,2.5,2.5,2.5,2.5,0
20190708,2.53,2.53,2.53,2.53,5500
20190709,2.5,2.5,2.5,2.5,6395
20190710,2.5,2.5,2.5,2.5,4000
20190711,2.5,2.5,2.5,2.5,0
20190712,2.5,2.5,2.5,2.5,0
20190715,2.5,2.52,2.5,2.5,42860
20190716,2.51,2.51,2.51,2.51,400
20190717,2.5,2.51,2.5,2.51,100200
20190718,2.51,2.51,2.49,2.49,16000
20190719,2.5,2.5,2.5,2.5,800
20190722,2.5,2.5,2.5,2.5,3045
20190723,2.5,2.5,2.5,2.5,0
20190724,2.5,2.5,2.5,2.5,0
20190725,2.5,2.5,2.5,2.5,0
20190726,2.52,2.52,2.52,2.52,2500
20190729,2.52,2.52,2.52,2.52,400
20190730,2.53,2.55,2.53,2.53,5372
20190731,2.54,2.54,2.54,2.54,200
20190801,2.52,2.52,2.52,2.52,2191
20190802,2.52,2.52,2.52,2.52,0
20190805,2.49,2.49,2.47,2.47,31698
20190806,2.45,2.45,2.4,2.4,17334
20190807,2.45,2.45,2.45,2.45,6086
20190808,2.45,2.45,2.44,2.44,13408
20190809,2.47,2.47,2.47,2.47,135
20190812,2.47,2.47,2.47,2.47,4048
20190813,2.45,2.45,2.45,2.45,8080
20190814,2.45,2.45,2.45,2.45,4000
20190815,2.4,2.4,2.4,2.4,6000
20190816,2.41,2.41,2.41,2.41,17000
20190819,2.41,2.41,2.41,2.41,11250
20190820,2.41,2.41,2.41,2.41,0
20190821,2.41,2.41,2.41,2.41,0
20190822,2.44,2.44,2.44,2.44,2750
20190823,2.44,2.44,2.44,2.44,0
20190826,2.43,2.43,2.43,2.43,8311
20190827,2.43,2.43,2.43,2.43,0
20190828,2.43,2.43,2.43,2.43,2000
20190829,2.43,2.43,2.43,2.43,0
20190830,2.43,2.43,2.43,2.43,0
20190902,2.43,2.43,2.43,2.43,240
20190903,2.5,2.5,2.5,2.5,10000
20190904,2.5,2.5,2.5,2.5,0
20190905,2.5,2.5,2.5,2.5,0
20190906,2.5,2.5,2.5,2.5,0
20190909,2.5,2.5,2.5,2.5,0
20190910,2.49,2.49,2.49,2.49,960
20190911,2.5,2.5,2.5,2.5,2800
20190912,2.51,2.51,2.51,2.51,7000
20190913,2.51,2.51,2.51,2.51,0
20190916,2.51,2.51,2.51,2.51,19920
20190917,2.51,2.51,2.51,2.51,0
20190918,2.51,2.51,2.51,2.51,0
20190919,2.51,2.51,2.51,2.51,0
20190920,2.52,2.52,2.52,2.52,2000
20190923,2.52,2.54,2.52,2.54,15000
20190924,2.54,2.54,2.54,2.54,0
20190925,2.57,2.57,2.57,2.57,192
20190926,2.57,2.57,2.57,2.57,0
20190927,2.54,2.54,2.54,2.54,790
20190930,2.54,2.54,2.54,2.54,0
20191001,2.54,2.54,2.54,2.54,10000
20191002,2.54,2.54,2.54,2.54,2993
20191003,2.54,2.54,2.54,2.54,0
20191004,2.52,2.52,2.51,2.51,4750
20191007,2.51,2.51,2.51,2.51,0
20191008,2.53,2.53,2.53,2.53,8000
20191009,2.51,2.51,2.5,2.5,18000
20191010,2.48,2.48,2.48,2.48,3000
20191011,2.48,2.48,2.48,2.48,0
20191014,2.48,2.48,2.48,2.48,0
20191015,2.51,2.51,2.51,2.51,10000
20191016,2.52,2.53,2.52,2.53,4904
20191017,2.53,2.53,2.53,2.53,0
20191018,2.52,2.52,2.52,2.52,1200
20191021,2.52,2.52,2.52,2.52,0
20191022,2.52,2.53,2.52,2.53,12000
20191023,2.53,2.53,2.53,2.53,0
20191024,2.53,2.53,2.53,2.53,2
20191025,2.53,2.56,2.53,2.56,11763
20191028,2.56,2.56,2.56,2.56,0
20191029,2.56,2.56,2.56,2.56,0
20191030,2.56,2.56,2.56,2.56,0
20191031,2.56,2.56,2.56,2.56,0
20191101,2.54,2.57,2.54,2.56,6100
20191104,2.57,2.57,2.57,2.57,10500
20191105,2.58,2.6,2.58,2.6,2769
20191106,2.59,2.59,2.59,2.59,160
20191107,2.57,2.57,2.57,2.57,4000
20191108,2.57,2.57,2.57,2.57,0
20191111,2.6,2.6,2.6,2.6,3231
20191112,2.62,2.62,2.62,2.62,4000
20191113,2.6,2.61,2.6,2.61,21000
20191114,2.62,2.62,2.6,2.6,40756
20191115,2.6,2.6,2.6,2.6,0
20191118,2.6,2.6,2.6,2.6,0
20191119,2.59,2.59,2.59,2.59,20000
20191120,2.59,2.59,2.59,2.59,0
20191121,2.59,2.59,2.59,2.59,7700
20191122,2.59,2.61,2.59,2.61,3160
20191125,2.62,2.62,2.6,2.6,7800
20191126,2.62,2.62,2.62,2.62,1902
20191127,2.62,2.62,2.62,2.62,2000
20191128,2.62,2.62,2.62,2.62,0
20191129,2.66,2.66,2.66,2.66,2000
20191202,2.66,2.66,2.66,2.66,1879
20191203,2.66,2.66,2.66,2.66,0
20191204,2.6,2.6,2.6,2.6,5150
20191205,2.62,2.62,2.6,2.62,7159
20191206,2.61,2.61,2.61,2.61,8000
20191209,2.61,2.61,2.61,2.61,0
20191210,2.62,2.62,2.62,2.62,192
20191211,2.59,2.59,2.59,2.59,3050
20191212,2.6,2.6,2.6,2.6,3846
20191213,2.6,2.6,2.6,2.6,0
20191216,2.6,2.6,2.6,2.6,0
20191217,2.6,2.6,2.6,2.6,0
20191218,2.62,2.62,2.62,2.62,2000
20191219,2.62,2.62,2.62,2.62,0
20191220,2.62,2.62,2.62,2.62,0
20191223,2.62,2.62,2.62,2.62,0
20191224,2.63,2.63,2.63,2.63,375
20191227,2.62,2.62,2.62,2.62,4000
20191230,2.62,2.62,2.62,2.62,0
20191231,2.62,2.62,2.62,2.62,16000
20200102,2.62,2.62,2.62,2.62,381
20200103,2.62,2.62,2.62,2.62,0
20200106,2.62,2.62,2.62,2.62,0
20200107,2.62,2.62,2.62,2.62,0
20200108,2.62,2.62,2.62,2.62,16000
20200109,2.67,2.67,2.67,2.67,4000
20200110,2.67,2.67,2.67,2.67,20000
20200113,2.69,2.69,2.69,2.69,5650
20200114,2.68,2.68,2.68,2.68,9003
20200115,2.67,2.67,2.67,2.67,4000
20200116,2.67,2.67,2.67,2.67,4000
20200117,2.69,2.7,2.69,2.7,1550
20200120,2.72,2.72,2.71,2.71,100185
20200121,2.71,2.71,2.71,2.71,5527
20200122,2.71,2.71,2.71,2.71,0
20200123,2.71,2.71,2.71,2.71,0
20200124,2.7,2.7,2.7,2.7,10000
20200128,2.7,2.7,2.68,2.68,10000
20200129,2.68,2.68,2.68,2.68,0
20200130,2.68,2.68,2.68,2.68,8000
20200131,2.7,2.7,2.7,2.7,7750
20200203,2.7,2.7,2.66,2.66,2208
20200204,2.69,2.72,2.69,2.72,13500
20200205,2.73,2.73,2.69,2.69,11000
20200206,2.69,2.69,2.69,2.69,0
20200207,2.74,2.74,2.74,2.74,1000
20200210,2.73,2.73,2.72,2.72,5950
20200211,2.74,2.76,2.74,2.76,11000
20200212,2.76,2.76,2.76,2.76,1806
20200213,2.77,2.77,2.77,2.77,5000
20200214,2.75,2.75,2.73,2.74,27050
20200217,2.77,2.77,2.75,2.75,13727
20200218,2.75,2.75,2.72,2.72,12169
20200219,2.74,2.74,2.72,2.73,27803
20200220,2.74,2.74,2.74,2.74,3902
20200221,2.75,2.75,2.74,2.75,16803
20200224,2.72,2.72,2.68,2.68,28062
20200225,2.68,2.68,2.64,2.66,20740
20200226,2.55,2.62,2.55,2.58,177750
20200227,2.58,2.59,2.57,2.57,52408
20200228,2.55,2.55,2.5,2.5,7750
20200302,2.6,2.6,2.47,2.52,67392
20200303,2.57,2.58,2.57,2.57,48336
20200304,2.55,2.55,2.55,2.55,12000
20200305,2.56,2.56,2.56,2.56,189
20200306,2.53,2.53,2.5,2.5,8292
20200309,2.48,2.48,2.38,2.38,13554
20200310,2.35,2.4,2.35,2.4,45630
20200311,2.41,2.42,2.4,2.4,13984
20200312,2.35,2.35,2.24,2.24,9506
20200313,2.2,2.2,2.11,2.11,4855
20200316,2.14,2.14,2.14,2.14,2562
20200317,2.14,2.15,2.1,2.15,20181
20200318,2.16,2.16,2.13,2.13,7665
20200319,2.1,2.1,2.07,2.07,32700
20200320,2.04,2.08,2.03,2.05,40500
20200323,2,2,1.84,1.84,21129
20200324,1.92,1.92,1.92,1.92,5210
20200325,1.92,1.92,1.92,1.92,0
20200326,2.06,2.12,2.06,2.12,13730
20200327,2.1,2.1,2.1,2.1,900
20200330,2.07,2.07,2.07,2.07,1781
20200331,2.19,2.19,2.15,2.15,22532
20200401,2.18,2.21,2.18,2.21,3150
20200402,2.18,2.18,2.17,2.17,1454
20200403,2.18,2.18,2.16,2.16,1246
20200406,2.16,2.16,2.16,2.16,0
20200407,2.16,2.16,2.16,2.16,0
20200408,2.25,2.26,2.24,2.26,25333
20200409,2.3,2.31,2.3,2.3,10480
20200414,2.4,2.4,2.37,2.37,52986
20200415,2.4,2.4,2.38,2.38,20820
20200416,2.35,2.36,2.35,2.36,11500
20200417,2.36,2.41,2.36,2.41,49491
20200420,2.41,2.41,2.41,2.41,0
20200421,2.33,2.33,2.33,2.33,2420
20200422,2.33,2.33,2.33,2.33,0
20200423,2.32,2.32,2.32,2.32,20000
