Date,Open,High,Low,Close,Volume
20180619,2.51,2.52,2.5,2.51,414179
20180620,2.51,2.52,2.51,2.52,247571
20180621,2.54,2.55,2.53,2.54,153495
20180622,2.56,2.56,2.54,2.54,136939
20180625,2.54,2.54,2.54,2.54,69114
20180626,2.58,2.58,2.52,2.53,129760
20180627,2.52,2.53,2.52,2.53,55103
20180628,2.53,2.53,2.52,2.53,222019
20180629,2.53,2.53,2.52,2.52,67169
20180702,2.53,2.53,2.52,2.52,72246
20180703,2.52,2.53,2.52,2.53,35745
20180704,2.53,2.53,2.51,2.52,37344
20180705,2.55,2.55,2.51,2.53,72393
20180706,2.53,2.53,2.53,2.53,12727
20180709,2.53,2.54,2.53,2.54,30873
20180710,2.55,2.55,2.54,2.54,13400
20180711,2.54,2.54,2.52,2.52,52136
20180712,2.51,2.54,2.51,2.54,30500
20180713,2.54,2.54,2.53,2.53,34746
20180716,2.54,2.54,2.51,2.53,49935
20180717,2.52,2.52,2.51,2.51,71830
20180718,2.53,2.53,2.53,2.53,31810
20180719,2.54,2.54,2.52,2.52,2400
20180720,2.55,2.55,2.55,2.55,1700
20180723,2.55,2.55,2.52,2.52,81400
20180724,2.53,2.53,2.53,2.53,99428
20180725,2.52,2.53,2.51,2.51,85680
20180726,2.53,2.53,2.53,2.53,41185
20180727,2.53,2.53,2.53,2.53,30000
20180730,2.54,2.54,2.53,2.53,10327
20180731,2.53,2.54,2.53,2.53,62500
20180801,2.52,2.53,2.52,2.52,14382
20180802,2.52,2.52,2.51,2.51,95857
20180803,2.51,2.52,2.5,2.51,97066
20180806,2.55,2.55,2.51,2.51,2260
20180807,2.51,2.51,2.5,2.51,11000
20180808,2.5,2.5,2.5,2.5,62000
20180809,2.51,2.53,2.51,2.51,7040
20180810,2.51,2.53,2.51,2.53,15897
20180813,2.53,2.53,2.48,2.49,125424
20180814,2.52,2.52,2.51,2.51,8250
20180815,2.52,2.53,2.52,2.53,20350
20180816,2.53,2.53,2.53,2.53,1014
20180817,2.53,2.53,2.52,2.53,52000
20180820,2.53,2.53,2.52,2.52,8000
20180821,2.51,2.52,2.51,2.52,78632
20180822,2.51,2.52,2.51,2.52,2250
20180823,2.52,2.52,2.51,2.52,42500
20180824,2.53,2.53,2.52,2.52,13964
20180827,2.54,2.54,2.51,2.53,28750
20180828,2.53,2.53,2.53,2.53,0
20180829,2.52,2.54,2.52,2.54,5000
20180830,2.54,2.54,2.53,2.53,21622
20180831,2.53,2.53,2.53,2.53,4000
20180903,2.53,2.54,2.52,2.53,93120
20180904,2.52,2.52,2.52,2.52,4320
20180905,2.52,2.52,2.51,2.52,6900
20180906,2.52,2.52,2.47,2.48,73367
20180907,2.48,2.48,2.47,2.47,6888
20180910,2.47,2.47,2.47,2.47,0
20180911,2.5,2.5,2.48,2.5,19410
20180912,2.49,2.5,2.49,2.5,3400
20180913,2.5,2.5,2.49,2.49,10763
20180914,2.5,2.5,2.5,2.5,200
20180917,2.49,2.51,2.49,2.51,27000
20180918,2.51,2.51,2.51,2.51,0
20180919,2.5,2.5,2.49,2.49,14000
20180920,2.49,2.49,2.49,2.49,1700
20180921,2.48,2.48,2.48,2.48,1200
20180924,2.52,2.52,2.5,2.5,35780
20180925,2.5,2.5,2.5,2.5,8000
20180926,2.5,2.51,2.5,2.51,5000
20180927,2.5,2.5,2.5,2.5,7500
20180928,2.5,2.5,2.5,2.5,15000
20181001,2.52,2.52,2.5,2.5,6490
20181002,2.48,2.48,2.47,2.48,32310
20181003,2.47,2.47,2.46,2.47,22555
20181004,2.5,2.5,2.5,2.5,13120
20181005,2.47,2.49,2.47,2.49,6016
20181008,2.49,2.49,2.46,2.46,14414
20181009,2.46,2.46,2.44,2.44,284244
20181010,2.44,2.44,2.44,2.44,8000
20181011,2.45,2.45,2.39,2.4,227734
20181012,2.39,2.4,2.39,2.4,45803
20181015,2.39,2.39,2.36,2.36,22775
20181016,2.38,2.39,2.38,2.39,8300
20181017,2.41,2.41,2.4,2.4,7309
20181018,2.4,2.4,2.4,2.4,400
20181019,2.4,2.4,2.4,2.4,1800
20181022,2.4,2.4,2.37,2.39,31446
20181023,2.37,2.37,2.36,2.36,87496
20181024,2.36,2.36,2.36,2.36,2000
20181025,2.36,2.41,2.29,2.3,288462
20181026,2.4,2.4,2.27,2.27,67476
20181029,2.3,2.3,2.3,2.3,31600
20181030,2.29,2.32,2.29,2.32,62066
20181031,2.32,2.33,2.32,2.32,34730
20181101,2.32,2.32,2.32,2.32,4000
20181102,2.47,2.47,2.31,2.33,35216
20181105,2.32,2.32,2.31,2.31,4000
20181106,2.32,2.35,2.32,2.35,29262
20181107,2.37,2.37,2.33,2.33,8177
20181108,2.33,2.36,2.33,2.34,35962
20181109,2.32,2.36,2.32,2.36,6166
20181112,2.37,2.37,2.37,2.37,21056
20181113,2.33,2.34,2.33,2.34,8000
20181114,2.33,2.33,2.32,2.32,5056
20181115,2.33,2.33,2.3,2.3,156727
20181116,2.35,2.35,2.31,2.31,16701
20181119,2.32,2.32,2.29,2.29,15438
20181120,2.3,2.3,2.29,2.29,171051
20181121,2.29,2.29,2.26,2.27,44563
20181122,2.31,2.31,2.31,2.31,21750
20181123,2.31,2.33,2.31,2.33,23587
20181126,2.32,2.32,2.31,2.31,9786
20181127,2.33,2.34,2.33,2.34,30098
20181128,2.33,2.33,2.33,2.33,5000
20181129,2.35,2.35,2.35,2.35,36994
20181130,2.36,2.36,2.31,2.31,51234
20181203,2.33,2.34,2.33,2.34,30492
20181204,2.35,2.35,2.31,2.31,84797
20181205,2.3,2.3,2.3,2.3,12387
20181206,2.29,2.29,2.29,2.29,12059
20181207,2.3,2.31,2.3,2.3,81592
20181210,2.28,2.28,2.27,2.27,7000
20181211,2.27,2.27,2.27,2.27,0
20181212,2.29,2.29,2.29,2.29,13039
20181213,2.29,2.29,2.29,2.29,0
20181214,2.27,2.27,2.27,2.27,12212
20181217,2.3,2.3,2.29,2.29,13870
20181218,2.28,2.29,2.27,2.29,17430
20181219,2.28,2.28,2.28,2.28,19807
20181220,2.27,2.27,2.25,2.25,20410
20181221,2.26,2.28,2.25,2.25,30165
20181224,2.23,2.25,2.23,2.25,5500
20181227,2.26,2.26,2.26,2.26,8152
20181228,2.24,2.24,2.24,2.24,19490
20181231,2.26,2.26,2.26,2.26,20560
20190102,2.26,2.26,2.23,2.23,17074
20190103,2.23,2.25,2.23,2.24,13545
20190104,2.23,2.24,2.23,2.24,102500
20190107,2.26,2.27,2.26,2.27,2800
20190108,2.27,2.27,2.27,2.27,5433
20190109,2.27,2.27,2.27,2.27,0
20190110,2.27,2.27,2.27,2.27,800
20190111,2.27,2.27,2.27,2.27,0
20190114,2.26,2.26,2.26,2.26,2000
20190115,2.26,2.26,2.26,2.26,0
20190116,2.27,2.28,2.27,2.27,30886
20190117,2.28,2.28,2.28,2.28,4000
20190118,2.29,2.29,2.29,2.29,3315
20190121,2.3,2.31,2.29,2.29,42007
20190122,2.29,2.29,2.29,2.29,0
20190123,2.28,2.28,2.28,2.28,1455
20190124,2.29,2.3,2.29,2.3,432
20190125,2.3,2.32,2.3,2.32,69383
20190129,2.32,2.32,2.29,2.31,3405
20190130,2.31,2.31,2.28,2.29,19053
20190131,2.29,2.29,2.27,2.27,13237
20190201,2.27,2.28,2.27,2.28,1700
20190204,2.28,2.28,2.28,2.28,0
20190205,2.3,2.33,2.3,2.32,36868
20190206,2.33,2.33,2.33,2.33,38820
20190207,2.33,2.35,2.33,2.35,25734
20190208,2.35,2.35,2.33,2.33,16209
20190211,2.34,2.34,2.34,2.34,218
20190212,2.33,2.33,2.33,2.33,13746
20190213,2.33,2.33,2.33,2.33,0
20190214,2.33,2.33,2.33,2.33,0
20190215,2.31,2.31,2.31,2.31,1000
20190218,2.34,2.34,2.33,2.33,3914
20190219,2.33,2.33,2.33,2.33,0
20190220,2.32,2.32,2.32,2.32,35511
20190221,2.31,2.34,2.31,2.34,37098
20190222,2.34,2.34,2.34,2.34,0
20190225,2.34,2.35,2.34,2.35,12000
20190226,2.37,2.37,2.35,2.35,11500
20190227,2.35,2.36,2.35,2.36,7000
20190228,2.37,2.37,2.37,2.37,570
20190301,2.39,2.4,2.38,2.4,20075
20190304,2.4,2.4,2.4,2.4,218
20190305,2.38,2.38,2.38,2.38,416
20190306,2.38,2.38,2.38,2.38,0
20190307,2.39,2.4,2.39,2.4,32282
20190308,2.4,2.4,2.4,2.4,43435
20190311,2.39,2.39,2.38,2.38,51200
20190312,2.4,2.4,2.39,2.39,54191
20190313,2.39,2.39,2.39,2.39,0
20190314,2.38,2.38,2.38,2.38,37452
20190315,2.39,2.39,2.39,2.39,6603
20190318,2.4,2.41,2.4,2.41,2194
20190319,2.41,2.41,2.41,2.41,0
20190320,2.39,2.39,2.34,2.34,14729
20190321,2.36,2.36,2.36,2.36,5392
20190322,2.36,2.36,2.36,2.36,5371
20190325,2.35,2.35,2.34,2.34,10259
20190326,2.34,2.34,2.34,2.34,0
20190327,2.34,2.34,2.34,2.34,11133
20190328,2.34,2.34,2.34,2.34,1000
20190329,2.34,2.34,2.34,2.34,0
20190401,2.34,2.36,2.34,2.36,13353
20190402,2.36,2.38,2.36,2.36,6239
20190403,2.36,2.36,2.36,2.36,0
20190404,2.36,2.36,2.36,2.36,0
20190405,2.37,2.37,2.37,2.37,100
20190408,2.38,2.38,2.37,2.37,43235
20190409,2.37,2.37,2.37,2.37,4000
