Date,Open,High,Low,Close,Volume
20101209,20.03,20.18,20.03,20.18,15427
20101210,20.23,20.23,20.23,20.23,400
20101213,20.23,20.3,20.21,20.22,60050
20101214,20.32,20.32,20.3,20.3,20000
20101215,20.38,20.38,20.34,20.34,1698
20101216,20.34,20.35,20.34,20.35,8000
20101217,20.35,20.35,20.35,20.35,0
20101220,20.25,20.25,20.25,20.25,367
20101221,20.26,20.33,20.26,20.33,16200
20101222,20.38,20.38,20.38,20.38,490
20101223,20.49,20.5,20.49,20.5,10476
20101224,20.5,20.5,20.5,20.5,0
20101229,20.53,20.53,20.32,20.34,26290
20101230,20.46,20.46,20.46,20.46,5200
20101231,20.46,20.46,20.46,20.46,0
20110104,20.36,20.37,20.25,20.25,5525
20110105,20.26,20.26,20.1,20.15,38375
20110106,20.15,20.15,20.08,20.09,10125
20110107,20.12,20.12,20.05,20.05,10050
20110110,20.02,20.02,20,20.02,4500
20110111,20.02,20.02,20.02,20.02,0
20110112,20.14,20.14,20.12,20.14,19200
20110113,20.34,20.45,20.34,20.45,22700
20110114,20.45,20.45,20.45,20.45,0
20110117,20.46,20.46,20.32,20.35,8810
20110118,20.41,20.48,20.41,20.48,378
20110119,20.51,20.66,20.51,20.66,11444
20110120,20.5,20.5,20.5,20.5,5500
20110121,20.5,20.5,20.26,20.3,20565
20110124,20.35,20.35,20.35,20.35,2096
20110125,20.5,20.55,20.5,20.55,2550
20110127,20.75,20.75,20.5,20.52,3206
20110128,20.47,20.47,20.37,20.37,2888
20110131,22.61,22.61,20.21,20.21,12235
20110201,20.35,20.35,20.35,20.35,650
20110202,20.51,20.52,20.49,20.49,10026
20110203,20.45,20.58,20.45,20.58,23301
20110204,20.76,20.77,20.76,20.76,26670
20110207,20.8,20.8,20.75,20.78,19350
20110208,20.88,20.88,20.83,20.87,52233
20110209,21.04,21.04,20.94,20.96,5926
20110210,20.91,20.97,20.91,20.94,12821
20110211,21,21,20.87,20.87,12802
20110214,20.97,21.1,20.93,21.1,19231
20110215,21.1,21.1,21.1,21.1,0
20110216,21.07,21.11,21.05,21.11,8648
20110217,21.15,21.16,21.12,21.14,2497
20110218,21.15,21.15,21.11,21.13,234
20110221,21,21.05,20.94,20.98,4649
20110222,21.03,21.03,20.82,20.86,12104
20110223,20.82,20.83,20.77,20.77,7487
20110224,20.71,20.72,20.65,20.7,2024
20110225,20.7,20.78,20.66,20.72,1557
20110228,20.73,20.76,20.71,20.76,14798
20110301,20.85,20.85,20.76,20.8,922
20110302,20.61,20.68,20.59,20.68,15900
20110303,20.63,20.63,20.63,20.63,150
20110304,20.9,20.96,20.9,20.96,26020
20110307,20.9,20.9,20.65,20.65,5279
20110308,20.61,20.74,20.61,20.71,75550
20110309,20.63,20.63,20.55,20.55,5385
20110310,20.5,20.5,20.28,20.3,9642
20110311,20.15,20.15,19.99,20.11,1941
20110314,19.81,19.98,19.72,19.98,24193
20110315,20,20,19.34,19.51,30022
20110316,20,20,19.53,19.65,55703
20110317,19.5,19.62,19.48,19.59,2364
20110318,19.98,19.98,19.65,19.95,69287
20110321,19.92,20.09,19.92,20.09,19008
20110322,20.5,20.5,20.04,20.04,25630
20110323,20.48,20.48,20.04,20.15,9595
20110324,20.28,20.33,20.24,20.28,94875
20110325,20.44,20.49,20.44,20.49,1558
20110328,21,21,20.44,20.45,16833
20110329,20.48,20.56,20.48,20.5,17360
20110330,20.69,20.84,20.69,20.84,9824
20110331,20.87,20.87,20.84,20.84,57638
20110401,21,21.04,21,21.04,770
20110404,21.18,21.18,21.12,21.13,7957
20110405,22.61,22.61,21.13,21.17,8896
20110406,21,21.21,21,21.21,4752
20110407,21.22,21.25,21.18,21.18,5494
20110408,21.3,21.3,21.2,21.3,235880
20110411,21.39,21.47,21.34,21.47,162026
20110412,21.36,21.36,21.15,21.22,90562
20110413,21.14,21.22,21.14,21.22,64070
20110414,21.15,21.15,21,21.12,10676
20110415,21.12,21.12,21,21.01,37110
20110418,21.03,21.06,20.92,21.06,13533
20110419,20.85,20.85,20.75,20.75,2480
20110420,20.88,20.95,20.88,20.95,7517
20110421,21.2,21.23,21.19,21.2,15068
20110427,21.24,21.25,21.06,21.06,145327
20110428,21.23,21.23,21.09,21.1,9822
20110429,20.97,20.97,20.77,20.77,5615
20110502,20.67,20.8,20.67,20.71,5535
20110503,20.9,20.9,20.61,20.66,107684
20110504,20.61,20.61,20.48,20.48,6328
20110505,20.46,20.57,20.46,20.57,28954
20110506,21,21,20.39,20.54,10396
20110509,20.7,20.7,20.59,20.6,17266
20110510,20.63,20.64,20.45,20.45,22539
20110511,20.64,20.64,20.57,20.63,28652
20110512,20.5,20.5,20.36,20.42,47346
20110513,20.37,20.39,20.27,20.36,6811
20110516,20.18,20.18,20.14,20.14,43693
20110517,20.2,20.23,20.2,20.2,9374
20110518,20.34,20.41,20.3,20.35,18843
20110519,20.48,20.64,20.47,20.64,24426
20110520,20.54,20.55,20.51,20.55,26930
20110523,20.31,20.31,20.17,20.17,17067
20110524,20.07,20.11,19.99,20.11,69850
20110525,19.97,19.99,19.88,19.9,21373
20110526,20.04,20.14,20.04,20.14,29154
20110527,20.25,20.29,20.25,20.25,14844
20110530,20.25,20.29,20.21,20.25,19927
20110531,20.32,20.41,20.32,20.41,5758
20110601,20.41,20.41,20.37,20.4,3456
20110602,20.43,20.43,19.92,19.94,191562
20110603,19.98,20.01,19.92,19.92,38768
20110606,19.51,19.87,19.51,19.81,17404
20110607,19.81,19.89,19.71,19.89,72838
20110608,19.88,19.88,19.65,19.73,77874
20110609,19.74,19.79,19.68,19.77,23519
20110610,19.95,19.95,19.8,19.81,23957
20110614,21.69,21.69,19.65,19.93,66745
20110615,19.93,19.94,19.82,19.88,5532
20110616,19.6,19.66,19.49,19.5,12112
20110617,19.6,19.65,19.44,19.47,31870
20110620,19.65,19.65,19.4,19.4,8066
20110621,19.57,19.58,19.51,19.54,29190
20110622,19.83,19.83,19.76,19.76,7326
20110623,19.66,19.67,19.57,19.57,21693
20110624,19.62,19.68,19.59,19.68,8470
20110627,19.41,19.43,19.39,19.42,20353
20110628,19.65,19.65,19.45,19.45,82326
20110629,19.66,19.69,19.64,19.69,20381
20110630,19.88,20.03,19.85,20.02,22213
20110701,19.91,19.91,19.65,19.71,37843
20110704,19.91,19.91,19.58,19.81,53905
20110705,19.81,19.81,19.69,19.72,8000
20110706,19.69,19.74,19.64,19.74,77037
20110707,19.68,19.76,19.65,19.74,7944
20110708,19.86,19.95,19.84,19.95,8879
20110711,19.72,19.73,19.65,19.65,16415
20110712,19.95,19.95,19.25,19.29,49591
20110713,19.28,19.4,19.24,19.37,30899
20110714,19.31,19.31,19.15,19.21,28937
20110715,19.6,19.6,19.13,19.13,6204
20110718,19.14,19.17,19.08,19.16,28522
20110719,19.08,19.19,19.08,19.14,29132
20110720,19.42,19.46,19.41,19.45,18203
20110721,21.29,21.29,19.51,19.51,21261
20110722,19.8,19.8,19.65,19.72,392844
20110725,19.63,19.63,19.45,19.45,10811
20110726,19.54,19.62,19.52,19.55,20160
20110727,19.57,19.57,19.51,19.52,10531
20110728,19.19,19.21,19.15,19.16,24049
20110729,19.19,19.19,18.96,18.96,15490
20110801,19.12,19.3,19.12,19.3,5414
20110802,19.07,19.12,19,19.01,4610
20110803,18.61,18.65,18.59,18.59,8044
20110804,18.59,18.59,18.36,18.36,9487
20110805,17.64,17.66,17.53,17.59,34704
20110808,17.1,17.45,17.09,17.09,34184
20110809,16.33,17.31,16.24,17.31,96684
20110810,18,18,17.67,17.79,155851
20110811,17.48,17.82,17.47,17.75,46928
20110812,17.94,18.07,17.91,17.92,23601
20110815,18.14,18.38,18.14,18.38,21094
20110816,18.45,18.45,18.25,18.29,24160
20110817,18.32,18.48,18.32,18.48,129935
20110818,18.67,18.67,18.31,18.31,31687
20110819,17.86,17.86,17.68,17.68,21053
20110822,17.66,17.78,17.59,17.59,16667
20110823,17.75,17.92,17.74,17.91,76130
20110824,18.2,18.2,18,18.08,13290
20110825,18.25,18.25,18.12,18.16,8889
20110826,18.17,18.24,18.13,18.15,26311
20110829,18.41,18.43,18.41,18.42,6025
20110830,18.55,18.61,18.42,18.44,38719
20110831,18.36,18.5,18.36,18.5,9831
20110901,18.71,18.78,18.7,18.7,19061
20110902,18.53,18.53,18.31,18.37,41469
20110905,18.37,18.37,17.95,17.98,11551
20110906,17.82,17.82,17.58,17.72,17304
20110907,17.97,18.12,17.93,18.09,16319
20110908,18.25,18.28,18.1,18.13,11856
20110909,18.14,18.22,18.09,18.15,195020
20110912,17.56,17.58,17.45,17.45,15870
20110913,17.65,17.65,17.5,17.57,10502
20110914,17.67,17.67,17.35,17.35,7024
20110915,17.58,18.5,17.53,17.54,9360
20110916,17.93,17.93,17.9,17.9,9203
20110919,17.73,17.73,17.61,17.63,2922
20110920,17.51,17.6,17.41,17.44,12587
20110921,17.46,17.46,17.4,17.45,3716
20110922,17.12,17.22,17.1,17.13,10985
20110923,16.92,17.04,16.84,16.9,18601
20110926,16.5,17.01,16.5,16.68,34751
20110927,17.11,17.26,17.04,17.26,41622
