Date,Open,High,Low,Close,Volume
20211216,11.92,11.93,11.87,11.93,13110
20211217,11.82,11.82,11.67,11.7,14592
20211220,11.73,11.73,11.49,11.51,35343
20211221,12,12,11.43,11.5,661
20211222,11.88,11.88,11.83,11.83,43
20211223,11.83,11.83,11.83,11.83,0
20211224,11.99,11.99,11.89,11.89,215
20211229,11.92,11.92,11.86,11.86,3274
20211230,11.8,11.8,11.72,11.72,2255
20211231,11.88,11.9,11.85,11.85,505
20220104,12.2,12.21,12.2,12.21,1121
20220105,12.2,12.2,11.99,12,2975
20220106,12.01,12.01,11.84,11.84,14500
20220107,12.05,12.05,12.02,12.04,250
20220110,12.05,12.05,11.86,11.94,15763
20220111,11.84,11.84,11.71,11.72,914
20220112,11.96,11.96,11.9,11.9,13300
20220113,11.89,11.89,11.75,11.75,3736
20220114,11.75,11.75,11.54,11.64,2039
20220117,11.7,11.7,11.57,11.57,202
20220118,11.57,11.57,11.57,11.57,0
20220119,11.47,11.47,11.25,11.26,10096
20220120,11.22,11.22,11.2,11.2,1416
20220121,11.2,11.2,11.11,11.15,5367
20220124,11,11,10.92,10.97,15853
20220125,10.9,10.9,10.67,10.71,4610
20220127,10.79,10.79,10.59,10.59,5395
20220128,10.91,10.91,10.91,10.91,9
20220131,11.26,11.34,11.26,11.34,105
20220201,11.51,11.53,11.49,11.53,64
20220202,11.53,11.55,11.53,11.55,1599
20220203,11.65,11.65,11.21,11.24,52727
20220204,11.22,11.22,10.97,10.99,34199
20220207,11.1,11.1,11.02,11.02,583
20220208,11.05,11.05,11.02,11.02,663
20220209,11.13,11.13,11.13,11.13,7
20220210,11.29,11.32,11.29,11.32,894
20220211,11.21,11.21,11.06,11.06,3113
20220214,11.05,11.05,10.94,11.04,13513
20220215,11.05,11.05,11.02,11.02,12200
20220216,11.04,11.11,11.04,11.11,10300
20220217,11.04,11.04,11,11.01,20250
20220218,10.79,10.79,10.65,10.73,6313
20220221,10.59,10.59,10.44,10.57,23323
20220222,10.35,10.35,10.24,10.24,20197
20220223,10.3,10.45,10.3,10.45,2050
20220224,10.28,10.28,9.92,9.97,59167
20220225,10.41,10.45,10.4,10.42,70191
20220228,10.5,10.5,10.3,10.3,50001
20220301,10.3,10.3,10.3,10.3,0
20220302,10.13,10.13,10.05,10.08,44001
20220303,10.18,10.18,10.18,10.18,1
20220304,9.97,9.97,9.7,9.7,51324
20220307,9.48,9.48,9.15,9.18,27904
20220308,8.96,9,8.95,8.99,43661
20220309,9,9.21,9,9.21,2147
20220310,9.51,9.55,9.51,9.55,2151
20220311,9.55,9.55,9.55,9.55,0
20220314,9.55,9.55,9.55,9.55,0
20220315,9.4,9.41,9.4,9.41,20000
20220316,9.6,9.61,9.6,9.6,9129
20220317,9.6,9.6,9.6,9.6,0
20220318,10.07,10.14,10.07,10.07,1062
20220321,10.5,10.5,10.5,10.5,10
20220322,10.5,10.5,10.5,10.5,0
20220323,10.47,10.5,10.47,10.5,5000
20220324,10.39,10.39,10.39,10.39,138
20220325,10.37,10.37,10.32,10.32,2120
20220328,10.27,10.27,10.24,10.24,106
20220329,10.36,10.36,10.36,10.36,965
20220330,10.72,10.76,10.72,10.76,3
20220331,10.71,10.71,10.63,10.63,52
20220401,10.56,10.56,10.44,10.44,3048
20220404,10.45,10.45,10.44,10.44,518
20220405,10.44,10.6,10.44,10.6,900
20220406,10.6,10.6,10.6,10.6,0
20220407,10.07,10.07,10.07,10.07,1
20220408,9.99,9.99,9.99,9.99,5
20220411,9.9,9.9,9.84,9.84,3249
20220412,9.8,9.8,9.8,9.8,1020
20220413,9.78,9.78,9.78,9.78,4090
20220414,9.92,9.92,9.92,9.92,2500
20220419,9.92,9.92,9.92,9.92,0
20220420,9.92,9.92,9.92,9.92,0
20220421,9.91,9.93,9.88,9.93,875
20220422,9.93,9.93,9.93,9.93,0
20220426,9.82,9.82,9.75,9.75,6649
20220427,9.47,9.47,9.45,9.45,2071
20220428,9.45,9.45,9.45,9.45,0
20220429,9.88,9.93,9.88,9.93,6021
20220502,9.75,9.75,9.75,9.75,101
20220503,9.66,9.66,9.63,9.63,26
20220504,9.55,9.55,9.55,9.55,200
20220505,9.715,9.715,9.71,9.71,398
20220506,9.39,9.39,9.325,9.38,36718
20220509,9.07,9.07,8.98,9.05,66287
20220510,8.79,8.79,8.7,8.7,6207
20220511,8.7,8.7,8.7,8.7,0
20220512,8.46,8.46,8.43,8.45,30868
20220513,8.45,8.45,8.45,8.45,0
20220516,8.99,9.03,8.99,9,22
20220517,8.86,8.86,8.86,8.86,3
20220518,8.98,9.02,8.98,9.02,2035
20220519,8.76,8.78,8.76,8.78,3222
20220520,9,9,9,9,90
20220523,9,9,9,9,0
20220524,9.01,9.01,8.96,8.96,7173
20220525,8.78,8.81,8.78,8.81,11938
20220526,8.94,8.94,8.94,8.94,3000
20220527,9.2,9.2,9.2,9.2,3043
20220530,9.2,9.2,9.2,9.2,0
20220531,9.2,9.2,9.2,9.2,0
20220601,9.34,9.34,9.34,9.34,25
20220602,9.15,9.15,9.15,9.15,55
20220603,9.15,9.15,9.15,9.15,0
20220606,9.15,9.15,9.15,9.15,0
20220607,9.18,9.18,9.18,9.18,1
20220608,9.18,9.18,9.18,9.18,0
20220609,9.22,9.22,9.22,9.22,5
20220610,8.94,8.94,8.9,8.9,11980
20220614,8.23,8.24,8.21,8.24,41551
20220615,8.2,8.21,8.2,8.21,12238
20220616,8.26,8.26,8.25,8.25,4938
20220617,7.79,7.79,7.79,7.79,193
20220620,7.79,7.79,7.79,7.79,0
20220621,8.1,8.16,8.1,8.16,6000
20220622,8.19,8.19,8.16,8.16,2
20220623,8.16,8.16,8.16,8.16,0
20220624,8.36,8.46,8.34,8.45,13727
20220627,8.69,8.69,8.69,8.69,200
20220628,8.74,8.74,8.74,8.74,1
20220629,8.38,8.38,8.32,8.32,3297
20220630,8.26,8.26,8.2,8.2,3500
20220701,8.09,8.1,8.07,8.1,19681
20220704,8.1,8.1,8.1,8.1,0
20220705,8.1,8.1,8.1,8.1,0
20220706,8.53,8.53,8.45,8.45,31
20220707,8.45,8.45,8.45,8.45,0
20220708,8.55,8.55,8.55,8.55,1500
20220711,8.55,8.55,8.55,8.55,0
20220712,8.46,8.46,8.46,8.46,7
20220713,8.52,8.52,8.52,8.52,100
20220714,8.52,8.52,8.52,8.52,0
20220715,8.52,8.52,8.52,8.52,0
20220718,8.52,8.52,8.52,8.52,0
20220719,8.52,8.52,8.52,8.52,0
20220720,8.86,8.89,8.86,8.89,21
20220721,8.89,8.89,8.89,8.89,0
20220722,9,9.01,9,9.01,288
20220725,9.01,9.01,9.01,9.01,0
20220726,8.91,8.91,8.91,8.91,5
20220727,8.65,8.7,8.65,8.7,11231
20220728,8.95,8.95,8.95,8.95,20
20220729,9.07,9.07,9.07,9.07,10798
20220801,9.12,9.12,9.12,9.12,71
20220802,9.15,9.15,9.15,9.15,1
20220803,9.36,9.395,9.36,9.395,129
20220804,9.65,9.65,9.65,9.65,52
20220805,9.62,9.64,9.62,9.63,10098
20220808,9.63,9.63,9.63,9.63,0
20220809,9.68,9.68,9.68,9.68,131
20220810,9.58,9.58,9.58,9.58,20
20220811,9.71,9.74,9.71,9.74,230
20220812,9.74,9.74,9.74,9.74,0
20220815,9.7,9.7,9.68,9.69,346
20220816,9.83,9.83,9.83,9.83,1
20220817,9.87,9.87,9.87,9.87,11
20220818,9.87,9.87,9.87,9.87,0
20220819,9.87,9.87,9.87,9.87,0
20220822,9.6,9.6,9.6,9.6,210
20220823,9.43,9.43,9.43,9.43,2
20220824,9.43,9.43,9.43,9.43,0
20220825,9.43,9.43,9.43,9.43,0
20220826,9.3,9.3,9.3,9.3,2
20220829,9.3,9.3,8.93,8.97,19
20220830,8.97,8.98,8.97,8.98,6
20220831,8.98,8.98,8.98,8.98,0
20220901,8.98,8.98,8.98,8.98,0
20220902,8.93,8.93,8.93,8.93,25
20220905,8.83,8.83,8.83,8.83,2200
20220906,8.86,8.87,8.86,8.86,10826
20220907,8.86,8.86,8.86,8.86,0
20220908,9.1,9.1,9.1,9.1,2
20220909,9.1,9.1,9.1,9.1,0
20220912,9.34,9.34,9.34,9.34,208
20220913,9.48,9.49,9.48,9.49,22
20220914,9.24,9.24,9.24,9.24,2
20220915,9.24,9.24,9.24,9.24,2
20220916,9.21,9.21,9.21,9.21,1
20220919,8.93,8.93,8.93,8.93,25
20220920,8.93,8.93,8.93,8.93,0
20220921,8.93,8.93,8.93,8.93,2
20220923,8.93,8.93,8.93,8.93,0
20220926,8.46,8.46,8.46,8.46,10
20220927,8.46,8.46,8.43,8.46,5064
20220928,8.5,8.5,8.48,8.48,899
20220929,8.48,8.48,8.48,8.48,0
20220930,8.48,8.48,8.48,8.48,0
20221003,8.38,8.38,8.38,8.38,930
20221004,8.64,8.65,8.64,8.65,3349
20221005,8.65,8.65,8.65,8.65,0
20221006,9.03,9.11,9.03,9.1,70
20221007,9.1,9.1,9.1,9.1,0
20221010,8.92,8.92,8.92,8.92,7
20221011,8.92,8.92,8.87,8.87,4
20221012,8.87,8.87,8.87,8.87,0
20221013,8.76,8.76,8.76,8.76,83
20221014,8.87,8.87,8.87,8.87,5000
20221017,8.87,8.87,8.87,8.87,0
20221018,8.87,8.87,8.87,8.87,0
20221019,9.2,9.2,9.2,9.2,288
20221020,9.2,9.2,9.2,9.2,0
20221021,9.2,9.2,9.2,9.2,0
20221024,9.12,9.12,9.12,9.12,11
