Date,Open,High,Low,Close,Volume
20221019,0.905,0.905,0.905,0.905,500625
20221020,0.905,0.905,0.905,0.905,0
20221021,0.895,0.895,0.895,0.895,600268
20221024,0.895,0.895,0.895,0.895,0
20221025,0.895,0.895,0.895,0.895,0
20221026,0.895,0.895,0.895,0.895,0
20221027,0.89,0.895,0.89,0.89,1900
20221028,0.89,0.89,0.89,0.89,562
20221031,0.89,0.89,0.89,0.89,0
20221101,0.89,0.89,0.89,0.89,0
20221102,0.89,0.89,0.89,0.89,0
20221103,0.91,0.91,0.91,0.91,1497
20221104,0.91,0.91,0.91,0.91,0
20221107,0.91,0.91,0.91,0.91,0
20221108,0.91,0.91,0.91,0.91,0
20221109,0.91,0.91,0.91,0.91,0
20221110,0.91,0.91,0.91,0.91,0
20221111,0.91,0.91,0.91,0.91,5586
20221114,0.91,0.91,0.91,0.91,0
20221115,0.91,0.91,0.91,0.91,0
20221116,0.9,0.9,0.9,0.9,556
20221117,0.9,0.9,0.9,0.9,556
20221118,0.905,0.91,0.905,0.91,1048
20221121,0.915,0.915,0.91,0.91,1092110
20221122,0.915,0.915,0.915,0.915,15000
20221123,0.92,0.92,0.92,0.92,110
20221124,0.92,0.92,0.92,0.92,0
20221125,0.92,0.92,0.92,0.92,0
20221128,0.91,0.91,0.91,0.91,600
20221129,0.91,0.91,0.91,0.91,0
20221130,0.91,0.91,0.91,0.91,0
20221201,0.93,0.93,0.93,0.93,21506
20221202,0.925,0.925,0.925,0.925,543500
20221205,0.925,0.925,0.925,0.925,0
20221206,0.925,0.925,0.925,0.925,0
20221207,0.945,0.945,0.945,0.945,15001
20221208,0.945,0.945,0.945,0.945,0
20221209,0.935,0.935,0.935,0.935,2139
20221212,0.93,0.93,0.93,0.93,765
20221213,0.93,0.93,0.93,0.93,0
20221214,0.915,0.915,0.915,0.915,3762
20221215,0.915,0.915,0.915,0.915,0
20221216,0.915,0.915,0.915,0.915,0
20221219,0.915,0.915,0.915,0.915,55
20221220,0.915,0.915,0.915,0.915,0
20221221,0.915,0.915,0.915,0.915,0
20221222,0.915,0.915,0.915,0.915,0
20221223,0.915,0.915,0.915,0.915,0
20221228,0.89,0.89,0.89,0.89,55
20221229,0.89,0.895,0.89,0.895,1222
20221230,0.895,0.895,0.895,0.895,0
20230103,0.88,0.88,0.88,0.88,1012
20230104,0.88,0.88,0.88,0.88,0
20230105,0.905,0.91,0.905,0.91,1006
20230106,0.915,0.915,0.915,0.915,6
20230109,0.915,0.915,0.915,0.915,0
20230110,0.915,0.915,0.915,0.915,0
20230111,0.92,0.92,0.92,0.92,5
20230112,0.925,0.925,0.925,0.925,3046
20230113,0.925,0.925,0.925,0.925,0
20230116,0.925,0.925,0.925,0.925,555
20230117,0.925,0.925,0.925,0.925,0
20230118,0.925,0.925,0.925,0.925,0
20230119,0.925,0.925,0.925,0.925,0
20230120,0.925,0.925,0.925,0.925,7
20230123,0.915,0.92,0.915,0.92,613
20230124,0.925,0.925,0.925,0.925,10
20230125,0.925,0.925,0.925,0.925,0
20230127,0.935,0.935,0.92,0.92,530005
20230130,0.915,0.915,0.915,0.915,10
20230131,0.915,0.915,0.915,0.915,0
20230201,0.915,0.915,0.915,0.915,0
20230202,0.915,0.915,0.915,0.915,0
20230203,0.915,0.915,0.915,0.915,0
20230206,0.95,0.95,0.935,0.935,643
20230207,0.935,0.935,0.935,0.935,11
20230208,0.935,0.935,0.935,0.935,0
20230209,0.92,0.92,0.92,0.92,870000
20230210,0.92,0.92,0.92,0.92,0
20230213,0.92,0.92,0.92,0.92,0
20230214,0.92,0.92,0.92,0.92,114
20230215,0.92,0.92,0.92,0.92,0
20230216,0.92,0.935,0.92,0.935,23
20230217,0.93,0.93,0.93,0.93,6000
20230220,0.92,0.92,0.92,0.92,600
20230221,0.92,0.92,0.92,0.92,0
20230222,0.925,0.925,0.905,0.91,16
20230223,0.91,0.91,0.91,0.91,0
20230224,0.915,0.915,0.915,0.915,1100000
20230227,0.915,0.915,0.915,0.915,0
20230228,0.905,0.905,0.9,0.9,4340
20230301,0.895,0.895,0.895,0.895,334
20230302,0.91,0.91,0.91,0.91,615
20230303,0.91,0.91,0.91,0.91,0
20230306,0.925,0.925,0.925,0.925,108
20230307,0.93,0.93,0.93,0.93,544
20230308,0.935,0.935,0.925,0.925,999924
20230309,0.925,0.925,0.925,0.925,0
20230310,0.925,0.925,0.925,0.925,0
20230313,0.925,0.925,0.925,0.925,0
20230314,0.885,0.885,0.875,0.875,4044
20230315,0.885,0.885,0.885,0.885,114
20230316,0.885,0.885,0.885,0.885,0
20230317,0.885,0.885,0.885,0.885,0
20230320,0.885,0.885,0.885,0.885,0
20230321,0.885,0.885,0.885,0.885,0
20230322,0.875,0.875,0.875,0.875,534
20230323,0.875,0.875,0.875,0.875,0
20230324,0.875,0.875,0.875,0.875,0
20230327,0.895,0.895,0.895,0.895,1
20230328,0.895,0.895,0.895,0.895,0
20230329,0.895,0.895,0.895,0.895,0
20230330,0.895,0.895,0.895,0.895,0
20230331,0.915,0.915,0.915,0.915,273
20230403,0.915,0.915,0.915,0.915,0
20230404,0.905,0.91,0.905,0.91,1054
20230405,0.91,0.91,0.91,0.91,0
20230406,0.91,0.91,0.91,0.91,0
20230411,0.91,0.91,0.91,0.91,0
20230412,0.91,0.91,0.91,0.91,0
20230413,0.91,0.91,0.91,0.91,0
20230414,0.91,0.91,0.91,0.91,0
20230417,0.92,0.92,0.92,0.92,550
20230418,0.92,0.92,0.92,0.92,0
20230419,0.92,0.92,0.92,0.92,1451
20230420,0.92,0.92,0.92,0.92,0
20230421,0.91,0.91,0.91,0.91,543
20230424,0.91,0.91,0.91,0.91,0
20230426,0.9,0.9,0.9,0.9,2333
20230427,0.905,0.905,0.905,0.905,1648
20230428,0.91,0.91,0.91,0.91,1100000
20230501,0.92,0.92,0.92,0.92,11
20230502,0.92,0.92,0.92,0.92,0
20230503,0.92,0.92,0.92,0.92,0
20230504,0.895,0.895,0.895,0.895,556
20230505,0.895,0.895,0.895,0.895,0
20230508,0.895,0.895,0.895,0.895,0
20230509,0.895,0.895,0.895,0.895,1677
20230510,0.89,0.89,0.89,0.89,565
20230511,0.9,0.9,0.9,0.9,1675000
20230512,0.9,0.9,0.9,0.9,514
20230515,0.9,0.9,0.9,0.9,0
20230516,0.905,0.905,0.905,0.905,1
20230517,0.905,0.905,0.905,0.905,0
20230518,0.905,0.905,0.905,0.905,0
20230519,0.915,0.915,0.915,0.915,715
20230522,0.91,0.91,0.91,0.91,549
20230523,0.91,0.91,0.91,0.91,0
20230524,0.905,0.905,0.905,0.905,110
20230525,0.895,0.895,0.895,0.895,55
20230526,0.895,0.895,0.895,0.895,0
20230529,0.905,0.905,0.905,0.905,1650000
20230530,0.905,0.905,0.905,0.905,0
20230531,0.9,0.9,0.895,0.895,2318
20230601,0.895,0.895,0.895,0.895,0
20230602,0.895,0.895,0.895,0.895,0
20230605,0.905,0.905,0.905,0.905,2002634
20230606,0.905,0.905,0.905,0.905,0
20230607,0.905,0.905,0.905,0.905,0
20230608,0.905,0.905,0.905,0.905,0
20230609,0.89,0.89,0.89,0.89,1123
20230613,0.89,0.89,0.89,0.89,0
20230614,0.89,0.89,0.89,0.89,1000
20230615,0.89,0.89,0.89,0.89,0
20230616,0.91,0.91,0.91,0.91,758204
20230619,0.91,0.91,0.91,0.91,3000
20230620,0.915,0.915,0.915,0.915,1
20230621,0.91,0.91,0.91,0.91,164
20230622,0.91,0.91,0.91,0.91,0
20230623,0.905,0.905,0.905,0.905,969
20230626,0.905,0.905,0.905,0.905,0
20230627,0.905,0.905,0.905,0.905,1752
20230628,0.9,0.9,0.9,0.9,2
20230629,0.9,0.9,0.9,0.9,0
20230630,0.92,0.92,0.92,0.92,870070
20230703,0.93,0.935,0.93,0.935,556
20230704,0.935,0.935,0.935,0.935,0
20230705,0.92,0.92,0.92,0.92,57
20230706,0.91,0.91,0.91,0.91,14
20230707,0.91,0.91,0.91,0.91,0
20230710,0.905,0.905,0.895,0.895,1970544
20230711,0.915,0.915,0.905,0.905,4
20230712,0.905,0.905,0.905,0.905,0
20230713,0.905,0.905,0.905,0.905,0
20230714,0.905,0.92,0.905,0.92,656035
20230717,0.92,0.92,0.92,0.92,0
20230718,0.92,0.92,0.92,0.92,1086
20230719,0.92,0.92,0.92,0.92,0
20230720,0.925,0.93,0.925,0.93,965000
20230721,0.92,0.92,0.91,0.91,25328
20230724,0.91,0.91,0.91,0.91,0
20230725,0.91,0.91,0.91,0.91,0
20230726,0.91,0.91,0.91,0.91,0
20230727,0.935,0.935,0.935,0.935,590049
20230728,0.95,0.95,0.95,0.95,1050
20230731,0.965,0.97,0.965,0.965,559
20230801,0.955,0.955,0.955,0.955,5
20230802,0.955,0.955,0.955,0.955,0
20230803,0.955,0.955,0.955,0.955,0
20230804,0.955,0.955,0.955,0.955,0
20230807,0.965,0.965,0.965,0.965,149
20230808,0.965,0.965,0.965,0.965,49
20230809,0.965,0.965,0.965,0.965,0
20230810,0.955,0.955,0.955,0.955,105
20230811,0.955,0.955,0.955,0.955,0
20230814,0.955,0.955,0.955,0.955,552
20230815,0.955,0.955,0.95,0.95,1049
20230816,0.95,0.95,0.95,0.95,0
20230817,0.95,0.95,0.95,0.95,0
20230818,0.945,0.945,0.935,0.945,2835
20230821,0.945,0.945,0.935,0.935,216
20230822,0.935,0.935,0.935,0.935,0
20230823,0.935,0.935,0.935,0.935,0
20230824,0.935,0.935,0.935,0.935,0
20230825,0.935,0.935,0.935,0.935,0
20230828,0.95,0.95,0.95,0.95,1570000
20230829,0.95,0.95,0.95,0.95,0
20230830,0.95,0.95,0.95,0.95,0
20230831,0.95,0.95,0.95,0.95,0
20230901,0.95,0.95,0.95,0.95,0
20230904,0.97,0.97,0.97,0.97,2027
20230905,0.97,0.97,0.97,0.97,108
20230906,0.975,0.975,0.96,0.96,1559
20230907,0.96,0.96,0.96,0.96,0
20230908,0.95,0.96,0.95,0.96,1118
20230911,0.95,0.95,0.945,0.945,165
20230912,0.955,0.955,0.955,0.955,630000
20230913,0.95,0.95,0.95,0.95,682
20230914,0.95,0.95,0.945,0.945,4577
20230915,0.95,0.95,0.95,0.95,1130
20230918,0.945,0.945,0.945,0.945,1110
20230919,0.94,0.945,0.94,0.94,101437
20230920,0.94,0.94,0.94,0.94,21
20230921,0.935,0.935,0.93,0.93,279
20230922,0.91,0.925,0.91,0.925,18501
20230925,0.925,0.925,0.925,0.925,0
20230926,0.925,0.925,0.915,0.915,163
20230927,0.915,0.915,0.91,0.91,135
20230928,0.91,0.91,0.91,0.91,0
20230929,0.91,0.91,0.91,0.91,0
20231002,0.92,0.92,0.92,0.92,325
20231003,0.92,0.92,0.92,0.92,0
20231004,0.905,0.905,0.905,0.905,325
20231005,0.9,0.9,0.9,0.9,5911
