Date,Open,High,Low,Close,Volume
20101209,5.06,5.08,5.06,5.07,20299
20101210,5.06,5.07,5.04,5.07,3798
20101213,5.07,5.07,5.07,5.07,3945
20101214,5.09,5.09,5.09,5.09,880
20101215,5.11,5.11,5.09,5.1,18850
20101216,5.12,5.12,5.12,5.12,30000
20101217,5.14,5.15,5.14,5.15,20800
20101220,5.17,5.17,5.16,5.16,8000
20101221,5.16,5.18,5.16,5.18,233955
20101222,5.18,5.18,5.15,5.15,22890
20101223,5.15,5.15,5.15,5.15,0
20101224,5.15,5.15,5.15,5.15,0
20101229,5.15,5.15,5.15,5.15,0
20101230,5.28,5.28,5.28,5.28,3000
20101231,5.27,5.27,5.27,5.27,12000
20110104,5.31,5.31,5.29,5.29,4873
20110105,5.29,5.29,5.22,5.22,14992
20110106,5.22,5.24,5.21,5.21,11310
20110107,5.21,5.21,5.18,5.18,5816
20110110,5.16,5.16,5.16,5.16,30000
20110111,5.15,5.15,5.12,5.12,10576
20110112,5.18,5.19,5.18,5.19,7577
20110113,5.3,5.3,5.3,5.3,4001
20110114,5.29,5.31,5.29,5.31,12185
20110117,5.31,5.31,5.25,5.25,7063
20110118,5.25,5.29,5.25,5.29,16837
20110119,5.31,5.34,5.31,5.33,6754
20110120,5.33,5.33,5.3,5.3,9325
20110121,5.28,5.28,5.23,5.24,20034
20110124,5.24,5.24,5.21,5.23,7773
20110125,5.21,5.26,5.21,5.25,74150
20110127,5.26,5.27,5.24,5.27,24137
20110128,5.26,5.26,5.15,5.15,18578
20110131,5.09,5.13,5.09,5.13,6100
20110201,5.13,5.16,5.13,5.14,157455
20110202,5.25,5.25,5.22,5.22,3512
20110203,5.24,5.26,5.24,5.24,5862
20110204,5.29,5.33,5.29,5.3,12174
20110207,5.3,5.32,5.29,5.29,8722
20110208,5.32,5.32,5.29,5.29,70589
20110209,5.35,5.35,5.31,5.31,2211
20110210,5.3,5.33,5.3,5.32,12690
20110211,5.4,5.4,5.29,5.29,48359
20110214,5.34,5.35,5.33,5.34,36067
20110215,5.35,5.36,5.32,5.36,54951
20110216,5.37,5.38,5.35,5.35,107662
20110217,5.38,5.39,5.35,5.35,47700
20110218,5.35,5.35,5.33,5.35,202103
20110221,5.32,5.32,5.28,5.28,9703
20110222,5.3,5.3,5.24,5.24,14590
20110223,5.17,5.23,5.17,5.23,2500
20110224,5.22,5.23,5.17,5.2,47135
20110225,5.17,5.23,5.14,5.23,96910
20110228,5.2,5.22,5.18,5.22,21200
20110301,5.63,5.63,5.22,5.22,12139
20110302,5.21,5.22,5.19,5.19,2856
20110303,5.23,5.24,5.2,5.2,4021
20110304,5.3,5.3,5.25,5.26,55655
20110307,5.78,5.78,5.25,5.26,92429
20110308,5.25,5.25,5.19,5.2,32824
20110309,5.5,5.5,5.17,5.2,39077
20110310,5.2,5.2,5.06,5.06,60260
20110311,5.01,5.03,4.96,5,36490
20110314,4.91,4.95,4.91,4.95,65180
20110315,4.93,4.94,4.76,4.76,41021
20110316,4.75,4.84,4.74,4.83,47537
20110317,4.79,4.82,4.79,4.82,12922
20110318,4.81,5.02,4.81,5.02,82924
20110321,5,5.04,4.99,5.02,274928
20110322,5.02,5.05,5.01,5.01,43180
20110323,5.02,5.05,5,5.01,26560
20110324,5.09,5.09,5.09,5.09,600
20110325,5.14,5.18,5.14,5.16,19005
20110328,5.17,5.18,5.16,5.16,13679
20110329,5.13,5.14,5.13,5.14,4716
20110330,5.17,5.19,5.17,5.19,28624
20110331,5.21,5.22,5.18,5.22,14803
20110401,5.24,5.25,5.21,5.25,39096
20110404,5.3,5.3,5.29,5.29,32440
20110405,5.3,5.31,5.3,5.3,35204
20110406,5.3,5.3,5.29,5.29,724
20110407,5.33,5.33,5.29,5.31,123446
20110408,5.34,5.34,5.34,5.34,2825
