Date,Open,High,Low,Close,Volume
20220817,25.32,25.37,25.32,25.32,7439
20220818,25.4,25.4,25.2,25.2,17648
20220819,25.65,25.65,25.33,25.33,142
20220822,25.34,25.34,24.78,24.78,999
20220823,24.25,24.25,24.25,24.25,205
20220824,24.01,24.01,24,24,307
20220825,24,24,24,24,0
20220826,24,24,24,24,0
20220829,23.98,23.98,23.98,23.98,800
20220830,23.98,23.98,23.98,23.98,0
20220831,23.98,23.98,23.98,23.98,0
20220901,24,24,23.7,23.72,1580
20220902,23.71,23.71,23.71,23.71,378
20220905,23.71,23.71,23.71,23.71,0
20220906,23.71,23.71,23.71,23.71,0
20220907,23.8,23.8,23.41,23.42,88
20220908,23.42,23.42,23.42,23.42,0
20220909,23.42,23.42,23.42,23.42,0
20220912,23.42,23.42,23.42,23.42,0
20220913,24.55,24.55,24.55,24.55,1
20220914,24.55,24.55,24.55,24.55,0
20220915,24.55,24.55,24.55,24.55,5
20220916,24.01,24.01,24,24,228
20220919,24.15,24.15,23.68,23.71,4054
20220920,23.86,23.86,23.86,23.86,208
20220921,23.86,23.86,23.86,23.86,0
20220923,22.81,22.81,22.81,22.81,325
20220926,22.81,22.81,22.81,22.81,0
20220927,22.81,22.81,22.81,22.81,0
20220928,22.69,22.74,22.53,22.73,14200
20220929,22.73,22.73,22.73,22.73,0
20220930,22.43,22.43,22.43,22.43,10
20221003,22.43,22.43,22.43,22.43,0
20221004,23.19,23.22,23.19,23.22,4000
20221005,23.59,23.74,23.58,23.74,38427
20221006,23.67,23.68,23.59,23.6,20647
20221007,23.6,23.6,23.6,23.6,0
20221010,23.36,23.36,22.92,22.95,2017
20221011,22.98,22.98,22.95,22.96,6998
20221012,22.87,22.87,22.83,22.84,23000
20221013,22.64,22.64,22.64,22.64,3500
20221014,22.82,22.93,22.82,22.93,130
20221017,22.93,22.93,22.93,22.93,0
20221018,23.17,23.17,23.17,23.17,749
20221019,23.17,23.17,23.17,23.17,0
20221020,23.17,23.17,23.17,23.17,0
20221021,23.17,23.17,23.17,23.17,0
20221024,23.04,23.04,23,23,3543
20221025,23,23,23,23,0
20221026,23.17,23.4,23.14,23.33,39000
20221027,23.4,23.4,23.38,23.39,10000
20221028,23.41,23.41,23.41,23.41,29
20221031,23.74,23.74,23.74,23.74,86
20221101,23.74,23.74,23.74,23.74,0
20221102,24.22,24.22,24.22,24.22,41
20221103,23.74,23.74,23.66,23.66,5000
20221104,23.66,23.66,23.53,23.53,17002
20221107,23.53,23.53,23.53,23.53,0
20221108,23.44,23.44,23.44,23.44,63
20221109,23.53,23.55,23.53,23.55,25500
20221110,23.53,23.53,23.53,23.53,425
20221111,23.53,23.53,23.53,23.53,0
20221114,23.53,23.53,23.53,23.53,0
20221115,23.53,23.53,23.53,23.53,0
20221116,23.53,23.53,23.53,23.53,0
20221117,24.01,24.01,24.01,24.01,2000
20221118,24.05,24.05,24.04,24.05,7531
20221121,24.05,24.05,24.05,24.05,0
20221122,24.2,24.2,24.19,24.19,10000
20221123,24.32,24.32,24.3,24.3,8493
20221124,24.3,24.3,24.3,24.3,0
20221125,24.37,24.37,24.37,24.37,2000
