Date,Open,High,Low,Close,Volume
20071010,93.3,93.53,93.28,93.3,902
20071011,93.49,94.08,93.46,94.08,1735
20071012,94.1,94.1,93.78,93.99,2425
20071015,93.8,93.8,93.72,93.77,210
20071016,93.5,93.51,93.5,93.51,139
20071017,93.63,93.85,93.5,93.62,1004
20071018,94.04,94.04,93.51,93.6,1925
20071019,93.9,93.93,93.36,93.36,2175
20071022,93.19,93.19,91.8,91.9,1803
20071023,92.02,92.05,91.92,92.05,1100
20071024,92.54,92.54,92,92.13,1425
20071025,92.06,92.06,91.92,91.96,1209
20071026,91.56,91.56,91.45,91.56,290
20071029,93.4,93.5,92.03,93.32,380
20071030,92.9,92.9,92.9,92.9,120
20071031,92.88,92.88,91.45,91.45,1025
20071101,92.12,93.48,92.1,93.48,675
20071102,92.15,92.15,90,90.5,3319
20071105,91.68,91.68,91.5,91.5,870
20071106,90.48,90.58,90.36,90.58,955
20071107,90.78,90.78,90.78,90.78,75
20071108,89,89.46,89,89.46,375
20071109,89.6,89.6,89.56,89.58,303
20071112,90.48,90.72,89.83,90.2,855
20071113,92.21,92.21,90.96,90.96,295
20071114,91.23,91.76,91.23,91.76,600
20071115,92.28,92.28,92.28,92.28,75
20071116,91.82,91.82,91.75,91.8,423
20071119,92,92,91,91.51,960
20071120,91.5,91.5,90.06,90.06,432
20071121,90.75,90.96,90.75,90.96,210
20071122,91.08,91.08,90.58,90.6,511
20071123,90.94,91.18,90.94,91.18,329
20071126,92.47,92.6,92.47,92.6,84
20071127,92.5,92.5,91.18,91.2,447
20071128,92.12,92.6,92.09,92.6,154
20071129,94.03,94.3,93.9,94.17,1202
20071130,93.75,93.75,93.54,93.54,840
20071203,93.54,94.99,93.54,94.94,680
20071204,94.52,95.04,94.18,94.94,2136
20071205,93.95,93.95,93.95,93.95,12
20071206,94.92,96.2,94.92,96.2,3099
20071207,95.56,95.71,95.56,95.56,1037
20071210,95.97,96.35,95.94,96.1,2053
20071211,96,96.06,95.9,96.06,560
20071212,96,96,93.93,93.93,1255
20071213,94.92,94.92,94.92,94.92,10
20071214,94,94,93.55,93.55,142
20071217,93.99,93.99,93.32,93.32,225
20071218,91.6,91.67,91.6,91.67,170
20071219,92.21,92.21,92,92,73
20071220,92.11,92.11,92.11,92.11,54
20071221,92.3,92.3,92.3,92.3,50
