Date,Open,High,Low,Close,Volume
20160428,25.5,25.5,25.5,25.5,40
20160429,25.5,25.5,25.5,25.5,0
20160502,25.5,25.5,25.5,25.5,0
20160503,25.5,25.5,25.5,25.5,0
20160504,25.64,25.64,25.64,25.64,50
20160505,25.64,25.64,25.64,25.64,0
20160506,25.64,25.64,25.64,25.64,0
20160509,25.64,25.64,25.64,25.64,0
20160510,25.64,25.64,25.64,25.64,0
20160511,25.64,25.64,25.64,25.64,0
20160512,26.09,26.09,26.09,26.09,1600
20160513,26.13,26.13,26.13,26.13,75
20160516,26.13,26.13,26.13,26.13,0
20160517,26.13,26.13,26.13,26.13,0
20160518,26.12,26.12,26.12,26.12,50
20160519,26.12,26.12,26.12,26.12,0
20160520,26.12,26.12,26.12,26.12,0
20160523,26.12,26.12,26.12,26.12,0
20160524,26.43,26.43,26.43,26.43,1157
20160525,26.74,26.74,26.74,26.74,100
20160526,26.74,26.74,26.74,26.74,0
20160527,26.93,26.93,26.93,26.93,180
20160530,26.93,26.93,26.93,26.93,0
20160531,27.01,27.01,27.01,27.01,4000
20160601,27.01,27.01,27.01,27.01,0
20160602,26.82,26.83,26.82,26.83,3200
20160603,26.96,26.96,26.94,26.95,10300
20160606,26.6,26.67,26.6,26.67,2036
20160607,26.7,26.7,26.54,26.54,3695
20160608,26.47,26.47,26.47,26.47,2300
20160609,26.47,26.47,26.47,26.47,0
20160610,26.47,26.47,26.47,26.47,0
20160614,26.32,26.32,26.2,26.2,4833
20160615,26.11,26.11,26.11,26.11,323
20160616,26.11,26.11,26.11,26.11,0
20160617,26.11,26.11,26.11,26.11,0
20160620,25.81,25.81,25.81,25.81,447
20160621,25.73,25.73,25.73,25.73,1627
20160622,25.89,25.89,25.89,25.89,1000
20160623,25.89,25.89,25.89,25.89,0
20160624,25.83,25.83,25.74,25.74,263
20160627,25.74,25.74,25.74,25.74,0
20160628,25.01,25.01,24.99,24.99,917
20160629,25.21,25.21,25.21,25.21,558
20160630,25.21,25.21,25.21,25.21,0
20160701,25.21,25.21,25.21,25.21,0
20160704,25.21,25.21,25.21,25.21,0
20160705,25.21,25.21,25.21,25.21,0
20160706,25.21,25.21,25.21,25.21,0
20160707,25.31,25.31,25.31,25.31,20
20160708,25.37,25.37,25.37,25.37,107
20160711,25.49,25.49,25.49,25.49,825
20160712,25.51,25.51,25.51,25.51,410
20160713,25.51,25.51,25.51,25.51,0
20160714,25.77,25.77,25.77,25.77,110
20160715,25.77,25.77,25.77,25.77,0
20160718,25.84,25.84,25.84,25.84,350
20160719,25.94,25.94,25.94,25.94,373
20160720,25.94,25.94,25.94,25.94,0
20160721,25.94,25.94,25.94,25.94,0
20160722,25.94,25.94,25.94,25.94,0
20160725,25.94,25.94,25.94,25.94,0
20160726,25.94,25.94,25.94,25.94,0
20160727,25.94,25.94,25.94,25.94,0
20160728,25.94,25.94,25.94,25.94,0
20160729,26.36,26.36,26.36,26.36,379
20160801,26.24,26.24,26.24,26.24,380
20160802,26.34,26.37,26.34,26.37,228
20160803,26.01,26.01,25.94,25.94,632
20160804,25.94,25.94,25.94,25.94,0
20160805,25.75,25.75,25.75,25.75,40
20160808,26.25,26.25,26.25,26.25,178
20160809,26.03,26.03,26.03,26.03,1150
20160810,26.03,26.03,26.03,26.03,0
20160811,26.03,26.03,26.03,26.03,0
20160812,26.03,26.03,26.03,26.03,998
20160815,26.03,26.03,26.03,26.03,0
20160816,26.16,26.16,26.16,26.16,421
20160817,26.1,26.12,26.1,26.12,367
20160818,26.1,26.1,26.1,26.1,39
20160819,26.1,26.1,26.1,26.1,0
20160822,26.1,26.1,26.1,26.1,0
20160823,26.1,26.1,26.1,26.1,0
20160824,26.1,26.1,26.1,26.1,0
20160825,26.25,26.36,26.25,26.28,985
20160826,26.31,26.32,26.15,26.15,3458
20160829,26.54,26.54,26.47,26.47,3958
20160830,26.44,26.44,26.44,26.44,145
20160831,26.64,26.64,26.64,26.64,1800
20160901,26.64,26.64,26.64,26.64,0
20160902,26.45,26.45,26.45,26.45,23
20160905,26.45,26.45,26.45,26.45,0
20160906,26.45,26.45,26.45,26.45,0
20160907,26.41,26.41,26.41,26.41,2000
20160908,26.41,26.41,26.41,26.41,0
20160909,26.3,26.3,26.3,26.3,125
20160912,26.1,26.1,26.1,26.1,190
20160913,26.1,26.1,26.1,26.1,0
20160914,26.1,26.1,26.1,26.1,0
20160915,26.1,26.1,26.1,26.1,0
20160916,26.31,26.31,26.31,26.31,250
20160919,26.31,26.31,26.31,26.31,0
20160920,26.31,26.31,26.31,26.31,0
20160921,26.26,26.26,26.26,26.26,2000
20160922,26.26,26.26,26.26,26.26,0
20160923,26.42,26.42,26.42,26.42,80
20160926,26.33,26.33,26.3,26.3,590
