Date,Open,High,Low,Close,Volume
20090312,56.64,56.64,56.64,56.64,87
20090313,56.64,56.64,56.64,56.64,0
20090316,59.59,59.59,59.59,59.59,25
20090317,59.59,59.59,59.59,59.59,0
20090318,59.59,59.59,59.59,59.59,0
20090319,59.51,59.51,59.51,59.51,165
20090320,59.51,59.51,59.51,59.51,0
20090323,59.51,59.51,59.51,59.51,0
20090324,59.51,59.51,59.51,59.51,0
20090325,59.51,59.51,59.51,59.51,0
20090326,59.51,59.51,59.51,59.51,0
20090327,59.51,59.51,59.51,59.51,0
20090330,59.51,59.51,59.51,59.51,0
20090331,59.51,59.51,59.51,59.51,0
20090401,59.51,59.51,59.51,59.51,0
20090402,59.51,59.51,59.51,59.51,0
20090403,56.62,56.62,56.62,56.62,100
20090406,56.62,56.62,56.62,56.62,0
20090407,56.62,56.62,56.62,56.62,0
20090408,56.62,56.62,56.62,56.62,0
20090409,56.62,56.62,56.62,56.62,0
20090414,56.62,56.62,56.62,56.62,0
20090415,56.62,56.62,56.62,56.62,0
20090416,56.62,56.62,56.62,56.62,0
20090417,56.62,56.62,56.62,56.62,0
20090420,56.62,56.62,56.62,56.62,0
20090421,56.62,56.62,56.62,56.62,0
20090422,56.62,56.62,56.62,56.62,0
20090423,55.24,55.24,55.24,55.24,270
20090424,55.24,55.24,55.24,55.24,0
20090427,55.11,55.11,55.11,55.11,90
20090428,55.11,55.11,55.11,55.11,0
20090429,55.11,55.11,55.11,55.11,0
20090430,55.94,55.94,55.94,55.94,36
20090501,55.94,55.94,55.94,55.94,0
20090504,55.94,55.94,55.94,55.94,0
20090505,55.94,55.94,55.94,55.94,0
20090506,55.94,55.94,55.94,55.94,0
20090507,55.94,55.94,55.94,55.94,0
20090508,55.94,55.94,55.94,55.94,0
20090511,55.2,55.27,55.2,55.27,160
20090512,54.99,54.99,54.99,54.99,201
20090513,54.99,54.99,54.99,54.99,0
20090514,56.97,57.04,56.97,57.04,402
20090515,57.04,57.04,57.04,57.04,0
20090518,57.04,57.04,57.04,57.04,0
20090519,56.49,56.49,56.49,56.49,455
20090520,56.99,56.99,56.99,56.99,220
20090521,54.9,56.52,54.9,56.52,2508
20090522,56.52,56.52,56.52,56.52,0
20090525,56.1,56.2,56.06,56.07,1999
20090526,56.36,56.36,56.22,56.22,1365
20090527,54.67,54.67,54.67,54.67,201
20090528,54.67,54.67,54.67,54.67,0
20090529,54.67,54.67,54.67,54.67,0
20090601,55.69,55.69,55.63,55.68,1820
20090602,55.89,55.9,55.75,55.9,1820
20090603,55.14,55.22,55.08,55.08,1365
20090604,55.98,56.55,55.92,56.55,1409
20090605,55.6,55.6,55.55,55.55,910
20090609,55.26,55.33,55.26,55.33,910
20090610,54.88,54.91,54.88,54.91,910
20090611,54.25,54.38,54.25,54.38,455
20090612,54.84,54.89,54.84,54.89,1755
20090615,55,56.58,55,56.58,2965
20090616,55.84,55.84,55.56,55.56,2210
20090617,54.15,56.04,54.15,55.89,1457
20090618,56.81,57.57,56.81,56.97,945
20090619,57.14,57.14,56.8,56.8,1755
20090622,57.99,58.04,57.86,57.86,2210
20090623,56.44,57.08,56.41,56.41,2653
20090624,54.09,56.7,54.09,56.7,730
20090625,56.22,56.36,56.22,56.36,2210
20090626,56.14,56.19,56.14,56.19,1755
20090629,56.19,56.19,56.19,56.19,0
20090630,56.19,56.19,56.19,56.19,0
20090701,54.33,54.33,54.33,54.33,9
20090702,54.33,54.33,54.33,54.33,0
20090703,54.33,54.33,54.33,54.33,0
20090706,54.33,54.33,54.33,54.33,0
20090707,54.33,54.33,54.33,54.33,0
20090708,54.33,54.33,54.33,54.33,0
20090709,54.33,54.33,54.33,54.33,0
20090710,54.88,54.88,54.88,54.88,228
20090713,54.88,54.88,54.88,54.88,0
20090714,54.88,54.88,54.88,54.88,0
20090715,54.88,54.88,54.88,54.88,0
20090716,54.05,54.05,54.05,54.05,455
20090717,54.05,54.05,54.05,54.05,0
20090720,54.05,54.05,54.05,54.05,0
20090721,54.05,54.05,54.05,54.05,0
20090722,55.24,55.24,55.24,55.24,900
20090723,55.24,55.24,55.24,55.24,0
20090724,55.24,55.24,55.24,55.24,0
20090727,56.75,56.75,56.75,56.75,2700
20090728,55.77,55.77,55.77,55.77,25
20090729,56.11,56.11,56.11,56.11,290
20090730,56.11,56.11,56.11,56.11,0
20090731,56.4,56.4,56.4,56.4,46
20090803,55.72,55.75,55.72,55.75,215
20090804,55,55.78,55,55.78,627
20090805,55.78,55.78,55.78,55.78,0
20090806,55.78,55.78,55.78,55.78,0
20090807,55,55,55,55,500
20090810,55.66,55.66,55.66,55.66,140
20090811,55.66,55.66,55.66,55.66,0
20090812,56.22,56.22,56.22,56.22,300
20090813,56.22,56.22,56.22,56.22,0
20090814,55.5,55.5,55.5,55.5,50
20090817,56.54,56.54,56.45,56.45,400
20090818,56.44,56.47,56.44,56.47,174
20090819,56.1,56.1,56.1,56.1,21
20090820,56.1,56.1,56.1,56.1,0
20090821,56.1,56.1,56.1,56.1,0
20090824,56.1,56.1,56.1,56.1,0
20090825,56.1,56.1,56.1,56.1,0
20090826,56.1,56.1,56.1,56.1,0
20090827,57.9,57.97,57.9,57.97,330
20090828,57.97,57.97,57.97,57.97,0
20090831,58,58,58,58,10
20090901,56.76,56.79,56.76,56.79,360
20090902,56.79,56.79,56.79,56.79,0
20090903,56.79,56.79,56.79,56.79,0
20090904,56.79,56.79,56.79,56.79,0
20090907,56.79,56.79,56.79,56.79,0
20090908,56.79,56.79,56.79,56.79,0
20090909,55.5,55.5,55.5,55.5,900
20090910,56.16,56.16,56.16,56.16,910
20090911,56.16,56.16,56.16,56.16,0
20090914,56.01,56.01,56.01,56.01,368
20090915,56.01,56.01,56.01,56.01,0
20090916,56.11,56.11,56,56,753
20090917,55.85,55.85,55.8,55.8,190
20090918,55.8,55.8,55.8,55.8,0
20090921,55.76,55.76,55.76,55.76,60
20090922,55.76,55.76,55.76,55.76,0
