Date,Open,High,Low,Close,Volume
20200601,100.32,100.32,100.32,100.32,500
20200602,100.32,100.32,100.32,100.32,0
20200603,100.32,100.32,100.32,100.32,0
20200604,100.32,100.32,100.32,100.32,0
20200605,100.32,100.32,100.32,100.32,0
20200609,100.32,100.32,100.32,100.32,0
20200610,100.42,100.42,100.42,100.42,25000
20200611,100.42,100.42,100.42,100.42,0
20200612,100.42,100.42,100.42,100.42,0
20200615,100.42,100.42,100.42,100.42,0
20200616,100.42,100.42,100.42,100.42,0
20200617,100.55,100.55,100.55,100.55,10000
20200618,100.55,100.55,100.55,100.55,0
20200619,100.6,100.6,100.6,100.6,300
20200622,100.65,100.65,100.65,100.65,1605
20200623,100.66,100.66,100.66,100.66,5000
20200624,100.66,100.66,100.66,100.66,9
20200625,100.66,100.66,100.66,100.66,0
20200626,100.66,100.66,100.66,100.66,0
20200629,100.66,100.66,100.66,100.66,0
20200630,100.66,100.66,100.66,100.66,0
20200701,100.55,100.55,100.55,100.55,1099
20200702,100.55,100.55,100.55,100.55,0
20200703,100.5,100.58,100.5,100.58,5000
20200706,100.58,100.58,100.58,100.58,0
20200707,100.58,100.58,100.58,100.58,0
20200708,100.58,100.58,100.58,100.58,0
20200709,100.55,100.55,100.55,100.55,100
20200710,100.74,100.74,100.74,100.74,200
20200713,100.74,100.74,100.74,100.74,0
20200714,100.74,100.74,100.74,100.74,0
20200715,100.74,100.74,100.74,100.74,3821
20200716,100.74,100.74,100.74,100.74,0
20200717,100.74,100.74,100.74,100.74,0
20200720,100.74,100.74,100.74,100.74,0
20200721,100.74,100.74,100.74,100.74,0
20200722,100.74,100.74,100.74,100.74,3794
20200723,100.74,100.74,100.74,100.74,0
20200724,100.99,100.99,100.99,100.99,99
20200727,100.99,100.99,100.99,100.99,0
20200728,100.99,100.99,100.99,100.99,0
20200729,100.99,100.99,100.99,100.99,0
20200730,100.99,100.99,100.99,100.99,0
20200731,100.99,100.99,100.99,100.99,0
20200803,100.99,100.99,100.99,100.99,0
20200804,100.99,100.99,100.99,100.99,0
20200805,101,101,101,101,5
20200806,101,101,101,101,0
20200807,101,101,101,101,100
20200810,101,101,101,101,0
20200811,101,101,101,101,0
20200812,101,101,101,101,0
20200813,101,101,101,101,0
20200814,101,101,101,101,0
20200817,101.08,101.08,101.08,101.08,98
20200818,101.08,101.08,101.08,101.08,197
20200819,101.08,101.08,101.08,101.08,0
20200820,101.08,101.08,101.08,101.08,0
20200821,101.1,101.1,101.1,101.1,98
20200824,101.1,101.1,101.1,101.1,150
20200825,101.1,101.1,101.1,101.1,0
20200826,101.1,101.1,101.1,101.1,0
20200827,101.1,101.1,101.1,101.1,0
20200828,101.1,101.1,101.1,101.1,0
20200831,101.1,101.1,101.1,101.1,0
20200901,101.1,101.1,101.1,101.1,0
20200902,101.03,101.03,101.03,101.03,100
20200903,101.03,101.03,101.03,101.03,0
20200904,101.03,101.03,101.03,101.03,0
20200907,101.03,101.03,101.03,101.03,0
20200908,101.03,101.03,101.03,101.03,0
20200909,101.03,101.03,101.03,101.03,0
20200910,100.93,101.19,100.93,101.19,500
20200911,101.19,101.19,101.19,101.19,0
20200914,101.19,101.19,101.19,101.19,0
20200915,101.19,101.19,101.19,101.19,0
20200916,101.19,101.19,101.19,101.19,0
20200917,101.19,101.19,101.19,101.19,0
20200918,101.19,101.19,101.19,101.19,0
20200921,101.19,101.19,101.19,101.19,0
20200922,101.19,101.19,101.19,101.19,0
20200923,101.19,101.19,101.19,101.19,0
20200924,101.19,101.19,101.19,101.19,0
20200925,101.19,101.19,101.19,101.19,0
20200928,101.19,101.19,101.19,101.19,0
20200929,101.19,101.19,101.19,101.19,0
20200930,101.19,101.19,101.19,101.19,0
20201001,101.19,101.19,101.19,101.19,0
20201002,101.19,101.19,101.19,101.19,0
20201005,101.19,101.19,101.19,101.19,0
20201006,101.19,101.19,101.19,101.19,0
20201007,101.19,101.19,101.19,101.19,0
20201008,101.27,101.27,101.27,101.27,1
20201009,101.27,101.27,101.27,101.27,0
20201012,101.19,101.19,101.19,101.19,20
20201013,101.1,101.23,101.1,101.23,1000
20201014,101.23,101.23,101.23,101.23,0
20201015,101.23,101.23,101.23,101.23,0
20201016,101.3,101.3,101.3,101.3,5009
20201019,101.3,101.3,101.3,101.3,5000
20201020,101.33,101.33,101.33,101.33,190
20201021,101.33,101.33,101.33,101.33,0
20201022,101.33,101.33,101.33,101.33,0
20201023,101.4,101.4,101.4,101.4,3000
20201026,101.4,101.4,101.4,101.4,10
20201027,101.4,101.4,101.4,101.4,0
20201028,101.4,101.4,101.4,101.4,0
20201029,101.53,101.53,101.3,101.3,700
20201030,101.3,101.3,101.3,101.3,0
20201102,101.3,101.3,101.3,101.3,0
20201103,101.3,101.3,101.3,101.3,0
20201104,101.3,101.3,101.3,101.3,0
20201105,101.3,101.3,101.3,101.3,0
20201106,101.59,101.59,101.59,101.59,50
20201109,101.59,101.59,101.59,101.59,0
20201110,101.59,101.59,101.59,101.59,0
20201111,101.59,101.59,101.59,101.59,0
20201112,101.59,101.59,101.59,101.59,0
20201113,101.59,101.59,101.59,101.59,0
20201116,101.59,101.59,101.59,101.59,0
20201117,101.59,101.59,101.59,101.59,0
20201118,101.59,101.59,101.59,101.59,0
20201119,101.59,101.59,101.59,101.59,0
20201120,101.59,101.59,101.41,101.41,200
20201123,101.41,101.41,101.41,101.41,0
20201124,101.6,101.6,101.6,101.6,55
20201125,101.6,101.6,101.6,101.6,0
20201126,101.6,101.6,101.6,101.6,0
20201127,101.6,101.6,101.6,101.6,0
20201130,101.6,101.6,101.6,101.6,0
20201201,101.6,101.6,101.6,101.6,0
20201202,101.6,101.6,101.6,101.6,0
20201203,101.6,101.6,101.6,101.6,0
20201204,101.6,101.6,101.6,101.6,0
20201207,101.6,101.6,101.6,101.6,0
20201208,101.6,101.6,101.6,101.6,0
20201209,101.6,101.6,101.6,101.6,0
20201210,101.66,101.66,101.66,101.66,4955
20201211,101.66,101.66,101.66,101.66,0
20201214,101.66,101.66,101.66,101.66,0
20201215,101.66,101.66,101.66,101.66,0
20201216,101.66,101.66,101.66,101.66,140
20201217,101.66,101.66,101.66,101.66,0
20201218,101.66,101.66,101.66,101.66,0
20201221,101.66,101.66,101.66,101.66,0
20201222,101.69,101.69,101.69,101.69,5
20201223,101.69,101.69,101.69,101.69,0
20201224,101.69,101.69,101.69,101.69,0
20201229,101.69,101.69,101.69,101.69,0
20201230,101.69,101.69,101.69,101.69,0
20201231,101.69,101.69,101.69,101.69,0
20210104,101.69,101.69,101.69,101.69,0
20210105,101.81,101.81,101.81,101.81,8
20210106,101.74,101.74,101.74,101.74,293
20210107,101.39,101.39,101.39,101.39,293
20210108,101.56,101.56,101.55,101.55,7
20210111,101.55,101.55,101.55,101.55,0
20210112,101.6,101.6,101.6,101.6,9
20210113,101.6,101.6,101.6,101.6,0
20210114,101.6,101.6,101.6,101.6,0
20210115,101.6,101.6,101.6,101.6,0
20210118,101.6,101.6,101.6,101.6,0
20210119,101.79,101.79,101.79,101.79,10
20210120,101.79,101.79,101.79,101.79,0
20210121,101.79,101.79,101.79,101.79,0
20210122,101.79,101.79,101.79,101.79,0
20210125,101.79,101.79,101.79,101.79,0
20210127,101.79,101.79,101.79,101.79,0
20210128,101.79,101.79,101.79,101.79,0
20210129,101.79,101.79,101.79,101.79,0
20210201,101.79,101.79,101.79,101.79,0
20210202,101.79,101.79,101.79,101.79,0
20210203,101.79,101.79,101.79,101.79,2191
20210204,101.79,101.79,101.79,101.79,0
20210205,101.79,101.79,101.79,101.79,0
20210208,101.5,101.5,101.5,101.5,5
20210209,101.5,101.5,101.5,101.5,0
20210210,101.5,101.5,101.5,101.5,0
20210211,101.5,101.5,101.5,101.5,0
20210212,101.5,101.5,101.5,101.5,0
20210215,101.5,101.5,101.5,101.5,0
20210216,101.5,101.5,101.5,101.5,0
20210217,101.5,101.5,101.5,101.5,0
20210218,101.5,101.5,101.5,101.5,0
20210219,101.5,101.5,101.5,101.5,0
20210222,101.5,101.5,101.5,101.5,0
20210223,101.5,101.5,101.5,101.5,0
20210224,101.5,101.5,101.5,101.5,0
20210225,101.5,101.5,101.5,101.5,0
20210226,101.5,101.5,101.5,101.5,0
20210301,101.5,101.5,101.5,101.5,0
20210302,101.5,101.5,101.5,101.5,0
20210303,101.57,101.57,101.57,101.57,9
20210304,101.57,101.57,101.57,101.57,0
20210305,101.57,101.57,101.57,101.57,0
20210308,101.57,101.57,101.57,101.57,0
20210309,101.15,101.15,101.15,101.15,100
20210310,101.15,101.15,101.15,101.15,0
20210311,101.15,101.15,101.15,101.15,0
20210312,101.15,101.15,101.15,101.15,10000
20210315,101.15,101.15,101.15,101.15,0
20210316,101.15,101.15,101.15,101.15,0
20210317,101.2,101.2,101.2,101.2,6499
20210318,101.2,101.2,101.2,101.2,0
20210319,101.2,101.2,101.2,101.2,0
20210322,101.2,101.2,101.2,101.2,0
20210323,101.2,101.2,101.2,101.2,0
20210324,101.2,101.2,101.2,101.2,0
