Date,Open,High,Low,Close,Volume
20071115,206.35,207.76,205.2,206.55,694
20071116,207.5,207.5,201.61,203.2,730
20071119,208,208,199,199,1006
20071120,202.24,202.24,196,196,1439
20071121,200.5,201.71,197.69,197.93,769
20071122,198.3,199,195.85,199,476
20071123,192.21,196.06,192.21,194.34,406
20071126,197.14,201.87,197.14,201.34,515
20071127,196,196,192.75,192.75,165
20071128,194.33,200.38,194.33,200.19,607
20071129,210.5,211.55,209.75,210.21,470
20071130,202.71,209.85,202.71,207.5,470
20071203,214.27,214.42,212.7,212.7,870
20071204,212.7,213.8,208.34,213.73,536
20071205,210.96,214.28,210.96,214.28,540
20071206,220.15,223.34,213.55,222.35,1350
20071207,223.27,223.64,220.91,222.6,650
20071210,220.11,220.11,218,218.82,291
20071211,219.5,219.5,215.15,215.15,1254
20071212,214.9,214.9,205.38,209.65,1558
20071213,209.5,210.28,206.76,206.76,825
20071214,203.57,203.57,198.7,200,1020
20071217,202.37,202.37,196,196.15,412
20071218,199,199,190.33,195.98,634
20071219,199.78,200,198.75,199.62,250
20071220,200.46,205.42,200.46,203,326
20071221,202.34,202.34,202.34,202.34,48
20071224,204.95,206,204.95,206,100
20071227,206,206,203.94,203.94,615
20071228,203.05,203.05,200.31,200.31,200
20071231,197.77,197.77,197.77,197.77,10
20080102,198,198,195.51,195.51,189
20080103,195,195,193.3,193.3,1339
20080104,192,192.2,191.21,192.16,1415
20080107,191.82,191.82,184.54,187.56,828
20080108,191.67,195.71,190.83,195.7,630
20080109,190,192.32,190,192.32,330
20080110,199.28,199.28,197.59,197.93,487
20080111,199.36,200.7,188.41,189.21,889
20080114,191.26,192.62,189.5,189.5,569
20080115,188.91,188.91,183.52,183.98,553
20080116,180,180,179,179.14,308
20080117,175.52,177.22,175.52,177.22,100
20080118,177,177,170.42,171.05,600
20080121,180.32,180.32,177.61,177.61,151
20080122,166.2,166.2,155.7,156.29,1116
20080123,156.29,165.88,156.29,162.11,470
20080124,176,180.12,170.74,180.12,2317
20080125,185,185,175.8,175.83,1281
20080129,173.19,173.23,171.19,172.62,450
20080130,170.31,170.63,164.2,164.2,401
20080131,160.54,160.79,157.71,157.86,322
20080201,162.76,162.76,159.05,161.12,276
20080204,169.49,173.18,167.78,171.56,319
20080205,171.5,171.5,166.84,167.09,639
20080206,165.5,165.5,160,160.87,390
20080207,156.61,156.61,155.32,156.34,606
20080208,162.65,162.65,162.65,162.65,100
20080211,160,160,157.42,157.82,363
20080212,158.12,158.12,158.12,158.12,1
20080213,158.93,159.95,158.93,159.95,83
20080214,163.64,164.74,163.64,164.69,254
20080215,161.1,161.1,160.98,161.1,152
20080218,165.29,168.47,165.29,167.94,224
20080219,168,168,165.69,167.08,230
20080220,165,166.32,165,165.29,100
20080221,163.09,163.09,163.09,163.09,2
20080222,159.06,159.06,158,158,317
20080225,161.88,161.88,161.88,161.88,50
20080226,160.38,160.55,157.67,157.67,77
20080227,160.56,163.02,160.56,163.02,90
20080228,162.03,162.41,157.68,162,862
20080229,160,160.06,158.34,160.06,375
20080303,153,156.58,153,156.58,100
20080304,157.6,157.6,157.59,157.59,550
20080305,153.11,153.54,150.63,150.63,233
20080306,153.62,154.7,153.62,154.7,152
20080307,149.28,150.96,149.19,150.79,144
20080310,147.09,147.09,147,147,60
20080311,150,150,149.27,149.27,224
20080312,158.68,158.68,155.45,155.9,956
20080313,148.16,148.16,148.16,148.16,50
20080314,145.55,145.99,144.81,144.81,767
20080317,136.58,136.58,133.3,134.82,325
20080318,139.79,139.79,130,130,575
20080319,134.42,143.5,134.42,139.54,218
20080320,134.6,134.98,134.6,134.83,215
20080325,135,142.42,135,141.75,54
20080326,147.36,147.36,145,145.11,176
20080327,144.42,145.1,144.42,145.1,170
20080328,145.82,147.57,145.82,147.57,102
20080331,150.98,150.98,150.98,150.98,30
20080401,150.23,150.23,150.23,150.23,2
20080402,158.78,160.03,158.78,160.03,215
20080403,156.71,159.99,156.71,159,278
20080404,163.14,163.88,163.14,163.8,225
20080407,164,164,161.36,161.36,62
20080408,161.5,161.5,160.72,160.96,232
20080409,158.81,158.81,154.76,154.76,117
20080410,153.02,153.61,152.66,152.66,214
20080411,156.32,156.32,156.32,156.32,25
20080414,160,160,155.27,155.55,123
20080415,155,155,151.91,152.99,420
20080416,154.83,154.83,154.83,154.83,3
20080417,157.74,158.14,156.44,156.44,200
20080418,157,157,155.5,155.98,127
20080421,156.32,158.52,156.32,157.82,530
20080422,157.67,157.67,156.38,156.38,75
20080423,160.34,162.45,160.3,162.27,333
20080424,167.33,170.02,166.3,168.7,1266
20080428,170.66,170.85,168.11,168.11,590
20080429,169.27,169.27,169.27,169.27,6
20080430,171.11,171.11,170.96,170.96,112
20080501,169.67,170.42,169.67,170.42,65
20080502,175.55,175.55,174,174.44,270
20080505,175,175,173.09,173.1,509
20080506,172.96,172.96,170.98,170.98,105
20080507,168.35,168.35,167,167.42,120
20080508,166.01,166.01,164.42,164.42,33
20080509,165,165,163.1,163.1,448
20080512,163.38,164.06,163.38,164.06,50
20080513,163,163,162,162.24,431
20080514,163,164.49,163,164.49,174
20080515,164,168.85,164,166.85,8465
20080516,169.18,169.33,168.2,168.95,932
20080519,168.95,169.24,167.5,169.24,421
20080520,169.5,169.5,164.5,164.5,1084
20080521,160.5,161.58,160.5,161.58,104
20080522,160,160.81,159.68,160.81,129
20080523,162.4,162.4,162.14,162.4,275
20080526,160.5,160.5,156.14,156.89,188
20080527,156.14,156.14,155,155,650
20080528,157.85,157.85,156.6,156.6,1089
20080529,155.5,157.24,155.5,157.24,93
20080530,160.92,160.92,159.77,159.77,293
20080602,163.24,163.24,163.24,163.24,52
20080603,160.2,160.2,157.16,157.2,180
20080604,156.34,156.34,155.5,155.87,610
20080605,154.06,154.14,153.25,153.93,1251
20080606,157.8,158.26,157.8,158.26,385
20080610,156.5,156.5,150.1,150.1,1296
20080611,150,150.72,148.38,150.72,294
20080612,144.43,146.99,143.98,146.99,587
20080613,149.35,149.35,147.1,147.1,487
20080616,150,150.35,148.4,150.08,1029
20080617,148.3,149.24,148.3,148.7,151
20080618,148.12,151,147.92,151,927
20080619,149.58,149.58,147.5,147.73,332
20080620,147.76,149.48,147.2,148.02,336
20080623,148.02,148.02,145.86,146,213
20080624,143.87,143.87,142.39,142.63,699
20080625,140.36,140.94,140.36,140.94,289
20080626,142.92,143.22,142.4,142.4,847
20080627,136.73,137.9,136.73,137.75,417
20080630,138.8,139.18,137.5,137.5,164
20080701,139,139.4,138.5,139.4,793
20080702,137.53,137.53,137,137.17,1455
20080703,132.56,133.97,132.32,133.97,347
20080704,133.5,133.5,131.21,132.13,325
20080707,131.12,134.58,131.12,134.58,628
20080708,135.49,135.49,131.87,131.88,741
20080709,137.81,137.98,137.56,137.56,384
20080710,135.72,135.88,134.95,135.88,428
20080711,140.36,140.36,140.36,140.36,30
20080714,140,140,139.8,139.8,2200
20080715,135,135,132.17,133.22,633
20080716,44,44,44,44,141
20080717,45.8,45.8,45.67,45.67,7236
20080718,46,46,45.62,45.62,1129
20080721,46.73,46.73,46.64,46.64,1004
20080722,46.85,46.85,46.53,46.53,1370
20080723,47.83,47.83,47.83,47.83,6
20080724,49.56,49.59,48.96,48.96,1390
20080725,47.51,47.51,46.96,46.96,3702
20080728,47.6,47.6,47.6,47.6,4
20080729,45.94,45.94,45.81,45.81,1075
20080730,48.11,48.11,47.72,47.82,1400
20080731,48.2,48.43,48.2,48.31,1264
20080801,47.82,47.82,46.83,47.63,1467
20080804,48.82,48.82,48.82,48.82,2
20080805,48.02,48.02,47.74,47.74,5986
20080806,49.42,49.42,49.22,49.25,1358
20080807,49.67,49.67,48.11,48.18,1307
20080808,47.72,47.83,47.72,47.83,100
20080811,49.65,49.68,49.43,49.43,204
20080812,48.89,48.89,48.89,48.89,17
20080813,49.5,49.5,48.07,48.33,1101
20080814,47.55,47.55,47.55,47.55,207
20080815,47.9,47.9,47.9,47.9,200
20080818,47.26,47.26,47.26,47.26,1800
20080819,46.46,46.58,46.46,46.5,755
20080820,45.64,46.78,45.64,46.78,6594
20080821,46.89,46.89,46.5,46.5,1762
20080822,46.36,46.36,45.61,45.61,1840
20080825,48.03,48.23,47.49,48.08,2555
20080826,48.39,48.39,48.39,48.39,4
20080827,48.63,48.63,48,48,1500
20080828,50.38,50.38,48.71,48.71,1337
20080829,49.72,49.72,49.48,49.71,2686
20080901,49.22,49.22,48.7,48.73,5900
20080902,48.9,49.14,48.5,48.5,1302
20080903,50,50.29,49,49,6634
20080904,48.77,48.77,47.69,47.89,2892
20080905,47.35,47.35,47.08,47.08,551
20080908,48.9,49.36,48.57,48.57,3129
20080909,49.25,49.25,48.79,49.05,801
20080910,48.58,48.58,48.43,48.43,447
20080911,46.46,46.46,46.46,46.46,6
20080912,46.8,46.8,45.54,45.54,1836
20080915,44.69,44.69,44.36,44.36,382
20080916,44.31,44.31,42.44,43.03,5953
20080917,44.79,44.79,41.5,41.5,4975
20080918,39.05,39.18,37.23,37.23,2345
20080919,45.02,45.15,43.15,43.15,5837
20080922,46.15,46.15,44,44.2,2810
20080923,43.8,44,43.8,44,163
20080924,43.84,44.43,42.68,43.23,7074
20080925,43.99,44.17,43.97,44.17,2152
20080926,43.98,43.98,41.76,42.25,4274
20080929,43.96,43.96,41.5,41.5,1309
20080930,39.33,39.33,39.23,39.23,150
20081001,45.02,45.1,43.81,43.81,4020
20081002,43.68,43.68,42.2,42.66,502
20081003,42.92,43.23,42.9,43.23,404
20081006,42.23,42.49,42.23,42.49,129
20081007,41.74,43.07,41,42.83,4322
20081008,40.45,40.98,40.34,40.49,8582
20081009,40.2,42.57,40.2,42.57,290
20081010,38.77,40.12,38,40.12,262
20081013,41.66,41.66,41.26,41.26,107
20081014,47.93,48.06,44.88,46.26,3291
20081015,44.71,45.4,43.98,43.98,1242
20081016,41,41,39.98,40.5,1910
20081017,42.72,42.72,39.66,40.2,1754
20081020,39.49,42.74,39.49,42.74,1369
20081021,42.78,42.92,42.46,42.46,1429
20081022,40.54,40.65,39.92,39.95,2965
20081023,36.99,37.43,35.62,35.62,8954
20081024,36.2,36.69,35.62,35.62,469
20081027,35,35,33.7,33.78,295
20081028,32.24,33.02,32.24,32.56,1800
20081029,35.69,36.1,34.87,34.87,1210
20081030,34.87,37,33.47,36.95,4726
20081031,36.95,38.97,36.95,37.18,1536
20081103,37.8,39.29,37.8,39.29,1454
20081104,38.23,39.1,37.31,38.78,4093
20081105,39.05,40.7,39.05,40.7,2835
20081106,40.7,40.7,36.35,37.72,3165
20081107,34.68,36.89,34.68,36.89,475
20081110,38.58,40,38.58,39.47,2250
20081111,40,40.38,39.85,40.02,1652
20081112,38.65,40.6,38.65,39.24,3909
20081113,37.73,37.73,37.73,37.73,265
20081114,41.83,41.83,39.6,39.6,1800
20081117,39.19,40.8,39.19,40.47,9621
20081118,38.98,39.09,38.65,38.65,563
20081119,37.63,37.63,37.63,37.63,30
20081120,35.39,35.86,35.3,35.86,1210
20081121,35,38.32,34.86,38.32,1203
20081124,38.29,38.29,37.61,37.61,2290
20081125,39,39,38.43,38.43,120
20081126,40,40.14,39.29,40.14,718
20081127,41.86,43.1,41.8,41.8,1154
20081128,39,39,39,39,25
20081201,40.59,42.17,40.59,42.17,485
20081202,40.55,40.86,40.31,40.37,2375
20081203,41.41,41.45,41.08,41.11,727
20081204,42.05,42.2,41.5,41.82,3208
20081205,41.39,42.11,41.38,42.11,1936
20081208,42.98,45,42.98,44.83,4357
20081209,45.45,45.96,44.97,45,2920
20081210,45,46.44,45,46.44,5248
20081211,47.51,47.54,47.02,47.54,4046
20081212,45.1,45.1,43.33,43.33,4341
20081215,43,45.63,43,45.01,2386
20081216,44,44.15,43.8,44.07,1791
20081217,45.3,45.3,43.46,43.46,6101
20081218,44.08,44.08,43.83,43.83,524
20081219,44.58,46,44.58,45.8,2933
20081222,45.06,45.08,44.14,44.14,960
20081223,43.9,43.9,41.3,41.3,1512
20081224,41.13,41.13,40.58,40.58,1326
20081229,40.96,41.08,40,40.24,2869
20081230,41.3,41.41,41.3,41.4,2024
20081231,41.4,41.4,41.4,41.4,0
20090102,41.47,41.47,41.47,41.47,20
20090105,43.53,43.53,43.53,43.53,502
20090106,43.86,43.86,43.8,43.8,610
20090107,44.04,44.17,44.04,44.17,1314
20090108,41.4,41.65,41.05,41.05,1436
20090109,40.98,41.84,40.8,41.84,767
20090112,40.79,40.79,39.38,39.74,4581
20090113,38.94,39.91,38.46,39.85,849
20090114,39.22,39.24,39,39.11,3109
20090115,38.19,38.19,38.19,38.19,1002
20090116,38.83,38.83,38.3,38.3,2135
20090119,39.02,39.08,38.1,38.1,4379
20090120,38.7,38.86,38.5,38.5,3336
20090121,38.5,38.5,38.5,38.5,0
20090122,38.4,38.4,37.8,37.8,1170
20090123,36.8,37.3,36.64,37.3,1800
20090127,37.5,37.9,37.5,37.9,249
20090128,38.12,38.27,38,38.27,729
20090129,39.1,39.33,38.9,38.9,1228
20090130,37.83,39.29,37.83,39.29,4304
20090202,39.81,40.44,39.81,39.83,5354
20090203,40,40,39.82,39.82,700
20090204,39.63,40.33,39.63,40.12,10563
