Date,Open,High,Low,Close,Volume
20240802,50.2,50.2,50.2,50.2,300
20240805,50.05,50.09,50.05,50.09,751
20240806,50.09,50.09,50.09,50.09,0
20240807,49.68,49.68,49.68,49.68,500
20240808,49.68,49.68,49.68,49.68,0
20240809,49.68,49.68,49.68,49.68,0
20240812,49.68,49.68,49.68,49.68,0
20240813,49.55,49.55,49.55,49.55,11
20240814,49.55,49.55,49.55,49.55,0
20240815,49.54,49.54,49.54,49.54,605
20240816,49.54,49.54,49.54,49.54,0
20240819,49.3,49.3,49.3,49.3,2
20240820,49.3,49.3,49.3,49.3,0
20240821,49.3,49.3,49.3,49.3,0
20240822,49.3,49.3,49.3,49.3,0
20240823,49.3,49.3,49.3,49.3,0
20240826,49.76,49.76,49.76,49.76,300
20240827,49.76,49.76,49.76,49.76,0
20240828,49.76,49.76,49.76,49.76,0
20240829,49.76,49.76,49.76,49.76,0
20240830,50.45,50.46,50.4,50.4,45
20240902,50.8,50.8,50.8,50.8,21
20240903,50.77,50.77,50.77,50.77,10
20240904,50.77,50.77,50.77,50.77,0
20240905,50.77,50.77,50.77,50.77,0
20240906,50.75,50.75,50.75,50.75,19
20240909,50.77,50.9,50.77,50.9,6
20240910,50.7,51.26,50.7,51.12,517
20240911,51.53,51.99,51.48,51.48,1499
20240912,51.16,51.16,51.13,51.13,201
20240913,51.84,51.86,51.84,51.84,34
20240916,51.68,51.68,51.3,51.31,1368
20240917,51.25,51.25,51.21,51.25,2425
20240918,50.38,50.39,50.35,50.39,2098
20240919,50.14,50.49,50.14,50.23,1685
20240920,50.23,50.23,50.14,50.16,2215
20240923,50.18,50.22,49.94,50.07,36
20240924,50.16,50.16,49.77,49.91,569
20240925,49.83,49.86,49.82,49.83,1311
20240926,50.24,50.24,50.23,50.23,48
20240927,50.01,50.01,50.01,50.01,19
20240930,50.26,50.39,50.04,50.39,41
20241001,50.36,50.36,50.25,50.25,19
20241002,49.91,49.91,49.11,49.12,2611
20241003,49.12,49.12,49.12,49.12,0
20241004,49.12,49.12,49,49,11
20241007,49,49,49,49,0
20241008,49.57,49.58,49.56,49.58,245
20241009,50.11,50.11,50.02,50.02,275
20241010,50.27,50.41,50.27,50.41,10
20241011,50.61,50.62,50.59,50.59,57
20241014,50.6,50.65,50.26,50.26,383
20241015,50.37,50.46,50.37,50.46,11
20241016,50.33,50.36,50.08,50.08,233
20241017,51.11,51.11,50.9,50.92,132
20241018,50.95,50.95,50.92,50.92,109
20241021,50.64,50.64,50.61,50.61,117
20241022,50.66,50.67,50.38,50.38,2418
20241023,50.38,50.38,50.38,50.38,26
20241024,50.38,50.38,50.38,50.38,0
20241025,50.38,50.38,50.38,50.38,0
20241028,50.38,50.38,50.38,50.38,0
20241029,50.38,50.38,50.38,50.38,0
20241030,50.79,50.79,50.79,50.79,15
20241031,50.79,50.79,50.79,50.79,0
20241101,51.07,51.07,50.67,50.67,7
20241104,50.92,50.92,50.88,50.88,2
20241105,50.88,50.88,50.88,50.88,0
20241106,51.04,51.85,51.04,51.77,239
20241107,51.77,51.77,51.77,51.77,0
20241108,51.01,51.01,51.01,51.01,8
20241111,51.81,51.82,51.81,51.82,25
20241112,51.82,51.82,51.82,51.82,0
20241113,51.72,51.72,51.4,51.67,68
20241114,51.86,51.98,51.86,51.98,70
20241115,52.14,52.14,51.99,52.02,111
20241118,52.02,52.02,52.02,52.02,25
20241119,52.02,52.02,52.02,52.02,0
20241120,50.79,51.16,50.78,51.16,51
20241121,51.16,51.16,51.16,51.16,0
20241122,51.16,51.16,51.16,51.16,1
20241125,51.16,51.16,51.16,51.16,0
20241126,51.8,51.9,51.8,51.9,214
20241127,51.9,51.9,51.9,51.9,0
20241128,51.9,51.9,51.9,51.9,0
20241129,52.27,52.27,52.27,52.27,60
20241202,52.27,52.27,52.27,52.27,0
20241203,52.68,52.68,52.68,52.68,450
20241204,52,52,52,52,10
20241205,52,52,52,52,0
20241206,52,52,52,52,0
20241209,52,52,52,52,0
20241210,52.61,52.63,52.61,52.63,14
20241211,52.63,52.63,52.63,52.63,0
20241212,52.67,52.67,52.17,52.17,502
20241213,52.62,52.9,52.34,52.34,1810
20241216,52.34,52.34,51.93,51.93,21
20241217,51.63,51.63,51.63,51.63,13
20241218,51.63,51.63,51.63,51.63,0
20241219,51.63,51.63,51.63,51.63,0
20241220,51.88,52,51.18,52,4510
20241223,51.39,51.47,51.39,51.4,2010
20241224,51.57,51.58,51.57,51.58,161
20241227,51.76,51.81,51.76,51.81,262
20241230,51.84,52.07,51.83,51.89,2396
20241231,51.89,51.89,51.89,51.89,1
20250102,51.95,51.95,51.67,51.71,510
20250103,51.58,51.58,51.58,51.58,100
20250106,51.7,51.7,51.7,51.7,300
20250107,51.5,51.5,51.18,51.18,216
20250108,51.75,51.87,51.75,51.87,500
20250109,52.11,52.11,52.11,52.11,80
20250110,52.12,52.12,52.12,52.12,100
20250113,51.76,51.76,51.65,51.65,302
20250114,51.94,51.94,51.88,51.88,209
20250115,51.88,51.88,51.88,51.88,0
20250116,52.63,52.64,52.63,52.64,493
20250117,52.48,52.59,52.33,52.33,325
