Date,Open,High,Low,Close,Volume
20221111,50.78,50.78,50.42,50.42,1789
20221114,50.29,50.29,49.41,49.54,1916
20221115,50.11,50.11,49.64,49.66,4897
20221116,49.87,49.87,49.11,49.2,1656
20221117,49.55,49.67,49.55,49.67,257
20221118,50.61,50.61,49.71,49.71,65
20221121,49.71,49.71,49.71,49.71,0
20221122,51.09,51.1,51,51,1354
20221123,51.83,51.85,51.05,51.15,2083
20221124,51.25,51.25,50.37,50.37,6262
20221125,50.47,50.47,50.33,50.33,181
20221128,50.67,50.8,50.65,50.78,44
20221129,50.96,51,50.67,50.67,420
20221130,50.69,50.69,50.61,50.61,8
20221201,50.71,50.71,50.39,50.42,351
20221202,50.5,50.5,49.63,49.63,606
20221205,49.65,49.78,49.5,49.58,1803
20221206,49.58,49.58,49.58,49.58,0
20221207,49.99,50.24,49.99,50.18,80
20221208,50.08,50.68,49.94,50.01,1412
20221209,49.8,49.8,49.75,49.77,10
20221212,50.08,50.08,49.2,49.5,995
20221213,50.32,50.33,50.2,50.26,423
20221214,50.36,50.36,49.72,49.86,85
20221215,49.91,49.91,49.27,49.43,1061
20221216,49.83,49.96,49.75,49.96,520
20221219,50.28,50.28,49.45,49.5,333
20221220,49.62,49.62,49,49.41,1803
20221221,49.53,49.78,49.52,49.71,552
20221222,49.92,49.94,49.7,49.72,176
20221223,49.72,49.85,49.6,49.85,63
20221228,49.97,49.97,49.7,49.74,472
20221229,49.86,49.86,49.29,49.29,1020
20221230,49.65,49.7,49.53,49.61,340
20230103,49.39,49.39,49,49,703
20230104,49.77,49.77,49,49.09,1323
20230105,49.09,49.09,48.83,48.97,135
20230106,49.16,49.16,48.8,48.89,160
20230109,49.08,49.08,48.57,48.63,66
20230110,48.5,48.51,48.2,48.26,858
20230111,48.69,48.71,48.55,48.55,509
20230112,48.8,48.8,48.78,48.78,62
20230113,48.71,48.71,48.62,48.63,1179
20230116,48.54,48.54,47.99,47.99,125
20230117,48.56,48.56,48.32,48.32,40
20230118,48.26,48.26,47.99,47.99,93
20230119,48.05,48.05,47.99,48,214
20230120,48.06,48.06,47.85,47.87,393
20230123,47.91,47.91,47.61,47.67,59
20230124,47.63,47.63,47.11,47.21,1184
20230125,47.2,47.26,46.78,46.78,302
20230127,46.87,46.96,46.83,46.96,13
20230130,46.91,46.91,46.42,46.71,5232
20230131,46.84,47.23,46.84,47.22,1008
20230201,47.63,47.63,47.33,47.33,247
20230202,46.98,47,46.81,46.98,238
20230203,47,47,47,47,13
20230206,47.29,47.6,47.29,47.55,94
20230207,47.36,48.13,46.85,48.05,1109
20230208,47.85,47.85,47.85,47.85,54
20230209,47.62,47.62,47.44,47.44,37
20230210,47.53,47.56,47.44,47.45,160
20230213,48,48,47.65,47.65,5021
20230214,47.65,47.65,47.65,47.65,0
20230215,47.62,47.62,47.6,47.6,29
20230216,48.39,48.55,48.37,48.55,1635
20230217,48.26,48.33,48.22,48.22,30
20230220,48.44,48.44,48.18,48.18,227
20230221,48.12,48.12,48,48,754
20230222,48.08,48.08,47.96,47.96,185
20230223,48.05,48.06,48,48.06,16
20230224,48.15,48.15,47.95,47.96,47
20230227,48.21,48.59,48.21,48.59,7
20230228,48.67,48.67,48.45,48.45,357
20230301,48.43,48.45,48.25,48.25,312
20230302,48.11,48.11,47.86,47.86,239
20230303,48.05,48.05,47.85,47.85,196
20230306,48.1,48.23,48.1,48.23,47
20230307,48.23,48.23,47.7,47.7,100
20230308,48.9,49.25,48.9,48.93,325
20230309,48.96,49.07,48.96,48.96,1206
20230310,48.67,48.67,48.2,48.2,76
20230313,48,48.22,47.9,48,1748
20230314,47.68,47.68,47.6,47.62,809
20230315,49,49,47.71,47.71,32
20230316,48.05,48.05,47.75,48,559
20230317,48.38,48.39,48,48,2312
20230320,47.68,47.68,47.48,47.49,1523
20230321,47.92,47.95,47.81,47.95,5
20230322,48.34,48.34,48.31,48.32,637
20230323,48.1,48.1,47.5,47.5,3120
20230324,47.48,48.01,47.48,47.99,272
20230327,48.8,48.87,48.59,48.59,3544
20230328,48.83,48.83,48.3,48.3,735
20230329,48.58,48.59,48.48,48.48,436
20230330,48.58,49.05,48.58,49,137
20230331,49.06,49.06,48.78,48.94,2896
20230403,48.94,49.54,48.94,49.46,1111
20230404,49,49,48.7,48.73,1341
20230405,48.73,48.73,48.55,48.55,2592
20230406,49.11,49.22,49.11,49.22,161
20230411,49.23,49.71,49.23,49.58,417
20230412,49.72,49.72,49.42,49.55,4964
20230413,49.45,49.47,49.33,49.33,72
20230414,49.13,49.13,48.85,48.85,423
20230417,49.54,49.54,49.41,49.54,90
20230418,49.9,50.2,49.5,49.5,1256
20230419,49.64,49.64,49.45,49.45,2
20230420,49.45,49.45,49.45,49.45,0
20230421,49.48,49.69,49.48,49.69,17
20230424,49.89,49.9,49.77,49.77,1058
20230426,50,50.14,49.99,50.1,291
20230427,49.85,49.85,49.7,49.7,364
20230428,50.15,50.17,50.01,50.17,2052
20230501,50.98,50.99,50.6,50.6,500
20230502,51.05,51.05,50.1,50.1,287
20230503,55,55,49.97,49.97,1344
20230504,50.11,50.11,49.15,49.15,3817
20230505,49.29,49.29,48.87,48.9,499
20230508,49.27,49.3,49.08,49.08,1555
20230509,49.15,49.15,48.95,48.96,253
20230510,49.08,49.08,48.9,48.9,14
20230511,48.9,48.9,48.9,48.9,0
20230512,48.9,48.9,48.9,48.9,0
20230515,48.9,48.9,48.9,48.9,0
20230516,49.6,49.63,49.27,49.38,163
20230517,49.42,49.48,49.34,49.48,1063
20230518,49.85,49.85,49.66,49.7,722
20230519,50.26,50.26,49.91,50.14,6054
20230522,50.14,50.14,49.91,49.91,55
20230523,50.04,50.04,49.75,49.75,40
20230524,49.75,49.75,49.75,49.75,0
20230525,49.87,49.88,49.66,49.66,1148
20230526,50,50.16,49.91,49.91,1059
20230529,50.1,50.24,49.95,50.24,551
20230530,50.24,50.42,50.09,50.42,1344
20230531,50.42,50.42,50.31,50.33,1532
20230601,50.38,50.5,50.17,50.37,2220
20230602,50.25,50.25,49.62,49.87,5514
20230605,50.06,50.06,49.72,49.72,260
20230606,49.76,49.76,49.44,49.5,3462
20230607,49.5,49.5,49.17,49.2,2404
20230608,49.3,49.34,49.3,49.34,80
20230609,49.6,49.6,49.33,49.41,48
20230613,49.07,49.07,48.73,48.73,2176
20230614,48.9,48.99,48.9,48.99,4601
20230615,48.99,48.99,48.5,48.5,3620
20230616,48.5,48.5,48.24,48.33,1423
20230619,48.37,48.5,48.32,48.41,3999
20230620,48.5,48.7,48.5,48.7,329
20230621,48.88,48.88,48.66,48.66,215
20230622,48.7,48.83,48.7,48.79,3723
20230623,49.1,49.44,49.1,49.31,7834
20230626,49.31,49.74,49.27,49.67,144
20230627,49.75,49.76,49.6,49.6,693
20230628,50.31,50.31,50,50.08,1707
20230629,50.29,50.78,50.29,50.7,2467
20230630,51,51,50.45,50.48,1013
20230703,50.53,50.53,50.14,50.14,1026
20230704,50.11,50.6,50.1,50.6,20545
20230705,50.6,50.6,49.93,50.04,1532
20230706,50.04,50.04,49.93,49.93,201
20230707,50.18,50.18,49.93,50.1,707
20230710,50.1,50.1,49.25,49.37,4884
20230711,49.7,49.7,49.53,49.53,828
20230712,49.61,49.61,49.4,49.56,9491
20230713,49.56,49.56,49.14,49.14,8229
20230714,48.5,48.5,48.33,48.38,4173
20230717,48.86,49.03,48.8,48.96,199
20230718,49.11,49.11,48.93,48.98,4547
20230719,49.12,49.35,49.12,49.35,2015
20230720,49.35,49.63,49.12,49.16,1195
20230721,49.16,49.79,49.16,49.74,6627
20230724,50,50.25,50,50.14,3956
20230725,50.19,50.19,49.93,49.93,1894
20230726,49.93,50.02,49.85,50,2428
20230727,50,50,49.8,49.83,2125
20230728,50.55,50.7,50.15,50.69,4953
20230731,50.75,50.75,50.48,50.48,8388
20230801,50.48,50.68,50.29,50.66,5645
20230802,50.72,51.05,50.72,51.05,4571
20230803,51.05,51.32,51.05,51.25,1396
20230804,51.1,51.1,50.9,50.99,934
20230807,50.99,50.99,50.62,50.92,1258
20230808,51,51.31,51,51.31,3366
20230809,51.26,51.38,51.17,51.23,5930
20230810,51.38,51.38,51.3,51.3,778
20230811,51.35,51.52,51.27,51.3,4003
20230814,51.41,51.88,51.41,51.78,4503
20230815,51.93,51.95,51.75,51.83,2210
20230816,51.7,51.78,51.63,51.69,3516
20230817,51.6,52.03,51.6,51.92,2386
20230818,52.92,52.92,51.35,51.52,4079
20230821,51.52,51.52,51.365,51.39,4834
20230822,51.25,51.43,51.25,51.37,3745
20230823,51.37,51.37,51.2,51.3,1965
20230824,51.3,51.37,51.27,51.37,4941
20230825,51.3,51.47,51.29,51.47,219
20230828,51.77,51.78,51.57,51.66,8756
20230829,51.92,51.93,51.71,51.79,4051
20230830,51.9,52.1,51.89,51.89,5759
20230831,52,52.06,51.9,52.04,4889
20230901,51.88,52,51.88,51.98,1354
20230904,51.98,52.17,51.86,52.04,8634
20230905,51.99,52.24,51.99,52.24,2762
20230906,52.13,52.26,52.01,52.09,6808
20230907,52.1,52.24,52.1,52.1,1708
20230908,52.2,52.24,52.2,52.2,1366
20230911,52.2,52.24,51.92,51.94,2856
20230912,52.17,52.19,52.03,52.15,4140
20230913,52.15,52.15,51.91,52.04,802
20230914,52.04,52.08,51.92,52.08,2848
20230915,52.21,52.21,51.98,51.98,6800
20230918,51.98,52,51.9,51.9,4034
20230919,51.91,52,51.9,51.94,4519
20230920,51.94,51.94,51.65,51.66,9930
20230921,51.66,51.81,51.58,51.72,12893
20230922,51.72,51.72,51.01,51.12,21187
20230925,51.01,51.07,50.85,51.01,212
20230926,51.04,51.1,50.83,50.94,15615
20230927,50.77,50.92,50.62,50.92,3166
20230928,50.9,50.9,50.73,50.73,3492
20230929,51.24,51.24,50.25,50.25,10905
20231002,50.45,50.76,50.44,50.63,20099
20231003,50.76,50.9,50.63,50.85,4003
20231004,50.9,50.9,50.2,50.2,26805
20231005,50.8,50.8,50.1,50.1,134473
20231006,50.1,50.1,49.82,49.9,7171
20231009,50.01,50.15,49.88,49.98,7926
20231010,50.34,50.34,50.24,50.33,3860
20231011,50.4,50.47,50.36,50.47,9634
20231012,50.79,50.86,50.71,50.77,11750
20231013,50.77,51.25,50.77,51.17,4109
20231016,51.38,51.43,51.17,51.22,85533
20231017,51.36,51.58,51.11,51.27,21800
20231018,51.41,51.41,51.11,51.17,2500
20231019,51.33,51.49,51.26,51.3,6938
20231020,51.3,51.3,50.76,50.79,3131
20231023,50.79,50.79,50.6,50.63,10726
20231024,50.7,50.7,50,50.09,47720
20231025,50.36,50.36,50,50.04,4516
20231026,50.54,50.54,50.16,50.35,11659
20231027,49.94,49.94,49.59,49.62,17859
20231030,49.63,49.63,49.16,49.22,2752
20231031,49.31,49.75,49.31,49.58,12428
20231101,50.23,50.31,50.09,50.17,7449
20231102,50.17,50.17,49.92,50.04,11858
20231103,50.3,50.33,50.22,50.28,4672
20231106,50.19,50.19,49.64,49.65,7698
20231107,49.77,50.28,49.77,50.28,2638
20231108,50.44,50.44,50.28,50.31,2338
20231109,50.98,50.98,50.52,50.55,4422
20231110,50.56,50.93,50.56,50.82,6846
20231113,50.83,51.11,50.83,50.89,7796
20231114,51.21,51.21,50.97,50.97,1878
20231115,51,51,50.33,50.61,7537
20231116,50.61,50.67,50.41,50.57,5047
20231117,51.18,51.18,50.8,50.81,1399
20231120,50.81,50.81,49.95,50,4475
20231121,50.03,50.52,49.87,49.87,9126
20231122,50.2,50.34,50.2,50.31,7834
20231123,51,51,50.25,50.35,9086
20231124,50.35,50.46,50.25,50.38,2586
20231127,50.41,50.45,50.09,50.16,18506
20231128,50.17,50.17,49.8,49.83,7540
20231129,49.84,49.84,49.5,49.67,23707
20231130,50.28,50.28,49.55,49.55,2793
20231201,50.1,50.17,49.99,50.02,3814
20231204,50.7,50.7,49.15,49.71,52612
20231205,50.1,50.12,49.68,50.01,6938
20231206,50.05,50.09,49.88,49.91,4769
20231207,50.2,50.37,50.2,50.37,1896
20231208,50.29,50.29,49.8,49.85,2944
20231211,50.15,50.23,49.94,50.23,5302
20231212,50.53,50.53,50.29,50.31,4232
20231213,50.45,50.78,50.45,50.53,3415
20231214,50.93,50.93,49.67,49.75,3132
20231215,50,50.15,49.6,49.6,664
20231218,50,50.08,49.5,49.62,4779
20231219,50,50,49.55,49.55,1398
20231220,49.5,49.5,49.01,49.2,11973
20231221,49.35,49.35,49.2,49.22,3863
20231222,49.23,49.23,48.94,49.06,4164
20231227,49.14,49.14,48.8,48.81,41563
20231228,48.78,49.27,48.7,48.78,1717
20231229,49.35,49.35,49.03,49.03,221
20240102,49.03,49.03,48.74,48.85,272
20240103,49.43,49.5,48.5,49.41,1342
20240104,49.72,49.72,49.16,49.16,830
20240105,49.67,49.67,49.6,49.6,144
20240108,49.59,49.59,49.4,49.41,269
20240109,49.41,49.6,49.41,49.6,918
20240110,49.6,49.95,49.6,49.6,968
20240111,50,50,49.62,49.62,4475
20240112,50.06,50.29,49.67,49.74,1844
20240115,50.17,52,49.86,50.04,5318
20240116,51.04,51.04,50.29,50.45,1661
20240117,50.83,50.83,50.5,50.65,421
20240118,50.77,50.82,50.56,50.56,2973
20240119,50.68,50.88,50.6,50.64,1997
20240122,52,52,50.86,50.9,5173
20240123,51.1,51.41,50.93,51,6482
20240124,51.47,51.48,51.21,51.32,3842
20240125,51.44,51.44,51.1,51.1,8342
20240129,51.35,51.57,51.21,51.24,9503
20240130,51.3,51.33,51.24,51.24,12507
20240131,51.4,51.78,51.4,51.77,2932
20240201,51.89,51.89,51.61,51.77,3080
20240202,52,52.09,51.81,51.91,5798
20240205,52.72,52.72,52.15,52.15,2659
20240206,52.65,52.65,51.99,51.99,2866
20240207,52.12,52.12,51.76,51.85,2928
20240208,51.97,52.23,51.94,51.99,461
20240209,52.09,52.48,52.09,52.31,505
20240212,52.25,52.25,52.05,52.11,868
20240213,52.21,52.21,52.01,52.2,1225
20240214,52.27,52.48,52.2,52.22,1036
20240215,52.26,52.57,52.25,52.4,3780
20240216,52.47,52.47,52.16,52.16,2596
20240219,52.58,52.59,51.86,51.92,4189
20240220,51.92,52.07,51.92,51.95,6205
20240221,52,52.2,51.8,51.8,7301
20240222,51.98,52.2,51.98,52.09,2993
20240223,52.4,52.41,52.13,52.29,1932
20240226,52.36,52.63,52.33,52.45,1017
20240227,52.8,52.8,52.47,52.62,7389
20240228,52.62,52.77,52.59,52.69,4126
20240229,52.75,53.23,52.75,52.87,661
20240301,54,54,53,53,1560
20240304,53,53.17,52.4,53.17,1653
20240305,53.24,53.25,52.88,52.97,1849
20240306,52.9,52.9,52.56,52.56,6237
20240307,52.55,52.83,52.5,52.53,1743
20240308,52.55,52.57,51.97,51.97,4386
20240311,52.37,52.37,52.01,52.19,1933
20240312,52.21,52.25,52.07,52.2,8078
20240313,52.2,52.57,52.2,52.32,2836
20240314,52.34,52.43,52.28,52.43,7356
20240315,52.76,52.8,52.62,52.63,2684
20240318,52.65,52.66,52.59,52.61,1404
20240319,52.79,52.82,52.65,52.82,2946
