Date,Open,High,Low,Close,Volume
20240430,49.91,50.07,49.91,49.91,88
20240501,49.55,49.55,49.54,49.54,19
20240502,49.32,49.34,49.2,49.29,1056
20240503,49.43,49.43,49.32,49.32,57
20240506,49.56,49.56,49.56,49.56,5
20240507,49.76,49.99,49.76,49.99,70
20240508,50.31,50.38,50.31,50.33,74
20240509,50.53,50.53,50.43,50.43,99
20240510,50.6,50.65,50.57,50.63,98
20240513,50.77,50.85,50.77,50.84,96
20240514,50.74,50.74,50.69,50.73,60
20240515,50.83,50.83,50.72,50.72,98
20240516,50.99,51.03,50.95,51.01,1096
20240517,50.84,50.92,50.84,50.87,42
20240520,50.8,50.8,50.76,50.76,39
20240521,50.96,51.02,50.93,51.01,64
20240522,51,51.03,50.98,50.98,87
20240523,51.45,51.54,51.44,51.49,669
20240524,51.21,51.23,51.19,51.19,95
20240527,51.2,51.2,51.18,51.18,38
20240528,51.13,51.13,51.11,51.11,26
20240529,51.15,51.15,50.97,50.97,83
20240530,50.76,50.77,50.7,50.7,50
20240531,50.42,50.5,50.42,50.46,33
20240603,50.46,50.46,50.46,50.46,0
20240604,50.46,50.46,50.46,50.46,0
20240605,50.46,50.46,50.46,50.46,0
20240606,51.6,51.6,51.6,51.6,10
20240607,51.83,51.83,51.78,51.78,46
20240611,52.11,52.19,52.1,52.15,145
20240612,52.12,52.12,52.11,52.11,18
20240613,52.29,52.33,52.27,52.27,208
20240614,52.42,52.43,52.33,52.33,175
20240617,52.4,52.42,50.83,50.83,3158
20240618,52.62,52.7,52.5,52.5,2435
20240619,52.37,52.37,52.2,52.37,1918
20240620,52.33,52.33,52.31,52.31,28
20240621,52.28,52.3,52.27,52.27,1828
20240624,52.42,52.42,52.07,52.17,441
20240625,52.32,52.32,52.32,52.32,6
20240626,53.1,53.1,52.25,52.25,301
20240627,52.4,52.4,52.21,52.21,192
20240628,52.21,52.21,52.21,52.21,0
20240701,52.36,52.36,52.32,52.32,19
20240702,52.32,52.32,52.32,52.32,0
20240703,52.42,52.42,52.34,52.34,28
20240704,52.33,52.33,52.29,52.29,48
20240705,52.27,52.27,52.25,52.25,209
20240708,52.35,52.35,52.33,52.33,392
20240709,52.52,52.58,52.52,52.54,300
20240710,52.42,52.42,52.39,52.39,1037
20240711,52.83,52.87,52.81,52.87,160
20240712,52.53,52.53,52.53,52.53,8
20240715,52.73,52.73,52.67,52.67,49
20240716,52.82,52.82,52.75,52.75,38
20240717,52.86,52.86,52.78,52.78,679
20240718,52.36,52.36,52.36,52.36,10
20240719,52.18,52.18,52.14,52.15,28
20240722,52.15,52.15,52.15,52.15,0
20240723,52.15,52.15,52.15,52.15,0
20240724,52.81,52.81,52.79,52.79,19
20240725,52.16,52.23,52.16,52.23,10
20240726,52.23,52.23,52.23,52.23,0
20240729,52.23,52.23,52.23,52.23,0
20240730,52.23,52.23,52.2,52.22,1540
20240731,52.22,52.22,52.22,52.22,0
20240801,53.42,53.54,53.3,53.47,227
20240802,52.76,52.76,52.63,52.63,25
20240805,51.28,51.28,51.28,51.28,772
20240806,50.81,50.82,50.81,50.82,10
20240807,51.63,51.63,50.96,50.96,36
20240808,50.96,50.96,50.62,50.62,825
20240809,50.62,50.62,50.62,50.62,0
20240812,50.62,50.62,50.62,50.62,0
20240813,50.62,50.62,50.62,50.62,0
20240814,50.62,50.62,50.62,50.62,0
20240815,52.47,52.48,52.45,52.46,51
20240816,52.46,52.46,52.46,52.46,0
20240819,52.46,52.46,52.46,52.46,0
20240820,52.46,52.46,52.46,52.46,0
20240821,52.46,52.46,52.46,52.46,0
20240822,53.44,53.44,53.44,53.44,10
20240823,53.44,53.44,53.44,53.44,0
20240826,53,53,53,53,143
20240827,52.43,52.43,52.43,52.43,1
20240828,52.43,52.43,52.43,52.43,0
20240829,52.35,52.35,52.35,52.35,60
20240830,52.35,52.35,52.35,52.35,0
20240902,52.5,52.5,52.35,52.35,6
20240903,52.35,52.35,52.35,52.35,0
20240904,52.35,52.35,52.35,52.35,0
20240905,51.81,51.81,51.81,51.81,1
20240906,51.81,51.81,51.81,51.81,0
20240909,51.81,51.81,51.81,51.81,0
20240910,51.81,51.81,51.81,51.81,0
20240911,51.81,51.81,51.81,51.81,0
20240912,51.81,51.81,51.81,51.81,0
20240913,52.42,52.43,52.42,52.43,37
20240916,52.43,52.43,52.43,52.43,0
20240917,52.43,52.43,52.43,52.43,0
20240918,52.43,52.43,52.43,52.43,0
20240919,52.28,52.28,52.28,52.28,480
20240920,52.24,52.24,52.24,52.24,480
20240923,52.24,52.24,52.24,52.24,0
20240924,52.04,52.04,52.04,52.04,19
20240925,51.94,51.94,51.94,51.94,1
20240926,51.94,51.94,51.94,51.94,0
20240927,51.94,51.94,51.94,51.94,0
20240930,51.94,51.94,51.94,51.94,0
20241001,51.94,51.94,51.94,51.94,0
20241002,52.04,52.04,52.04,52.04,1
20241003,52.04,52.04,52.04,52.04,0
20241004,52.31,52.31,52.31,52.31,95
20241007,52.97,52.97,52.97,52.97,95
20241008,53.17,53.17,53.16,53.16,1500
20241009,53.16,53.16,53.16,53.16,0
20241010,53.85,53.87,53.79,53.79,76
20241011,53.79,53.79,53.79,53.79,0
20241014,54.28,54.28,54.28,54.28,10
20241015,54.28,54.28,54.28,54.28,0
20241016,54.38,54.38,53.94,53.94,4
20241017,53.94,53.94,53.94,53.94,0
20241018,53.94,53.94,53.94,53.94,0
20241021,53.94,53.94,53.94,53.94,0
20241022,53.94,53.94,53.94,53.94,0
20241023,53.94,53.94,53.94,53.94,0
20241024,53.94,53.94,53.94,53.94,0
20241025,53.94,53.94,53.94,53.94,0
20241028,53.94,53.94,53.94,53.94,0
20241029,53.94,53.94,53.94,53.94,0
20241030,53.94,53.94,53.94,53.94,0
20241031,54.85,54.85,54.85,54.85,13
20241101,54.85,54.85,54.85,54.85,0
20241104,54.85,54.85,54.85,54.85,0
20241105,54.85,54.85,54.85,54.85,0
20241106,54.85,54.85,54.85,54.85,0
20241107,54.85,54.85,54.85,54.85,0
20241108,55.44,55.44,55.44,55.44,319
20241111,55.87,55.87,55.87,55.87,31
20241112,55.87,55.87,55.87,55.87,0
20241113,55.53,55.53,55.53,55.53,18
20241114,55.78,55.86,55.78,55.86,677
20241115,55.89,55.89,55.89,55.89,99
20241118,56,56,56,56,1
20241119,55,55,55,55,2000
20241120,54.97,55.01,54.97,55.01,680
20241121,55.01,55.01,55.01,55.01,0
20241122,55.24,55.25,55.24,55.25,198
20241125,55.58,55.58,55.58,55.58,14
20241126,55.58,55.58,55.58,55.58,0
20241127,55.58,55.58,55.58,55.58,0
20241128,55.58,55.58,55.58,55.58,0
20241129,56.22,56.22,55.8,55.8,200
20241202,55.8,55.8,55.8,55.8,0
20241203,57.05,57.05,57,57,5
20241204,57.11,57.11,56.61,57.01,342
20241205,57.48,57.48,57.48,57.48,436
20241206,56.93,57.37,56.93,57.37,875
20241209,57.75,57.75,57.75,57.75,309
20241210,57.27,57.27,57.27,57.27,54
20241211,57.27,57.27,57.27,57.27,0
20241212,57.58,57.58,57.58,57.58,28
20241213,57.69,57.69,57.5,57.5,53
20241216,57.5,57.5,57.5,57.5,0
20241217,57,57,56.71,56.76,234
20241218,56.76,56.76,56.76,56.76,0
20241219,56.76,56.76,56.76,56.76,0
20241220,56.76,56.76,56.76,56.76,0
20241223,56.76,56.76,56.76,56.76,5
20241224,56.76,56.76,56.76,56.76,0
20241227,57.65,57.65,57.65,57.65,72
20241230,57.34,57.34,57,57,185
20241231,57,57,57,57,0
20250102,57,57,57,57,0
20250103,57,57,57,57,0
20250106,57.03,57.04,57.03,57.04,398
20250107,57.04,57.04,57.04,57.04,0
20250108,57.04,57.04,57.04,57.04,0
20250109,57.04,57.04,57.04,57.04,0
20250110,57.04,57.04,57.04,57.04,0
20250113,57.04,57.04,57.04,57.04,0
20250114,57.12,57.12,57.07,57.07,1583
20250115,57.07,57.07,57.07,57.07,0
20250116,57.07,57.07,57.07,57.07,0
20250117,57.31,57.5,57.31,57.5,439
