Date,Open,High,Low,Close,Volume
20240805,49.56,49.56,49.56,49.56,1
20240806,49.56,49.56,49.56,49.56,0
20240807,49.56,49.56,49.56,49.56,0
20240808,49.56,49.56,49.56,49.56,0
20240809,49.56,49.56,49.56,49.56,0
20240812,49.56,49.56,49.56,49.56,0
20240813,49.56,49.56,49.56,49.56,0
20240814,49.56,49.56,49.56,49.56,0
20240815,49.56,49.56,49.56,49.56,0
20240816,50.9,50.9,50.9,50.9,485
20240819,50.08,50.08,50.08,50.08,1
20240820,50.08,50.08,50.08,50.08,0
20240821,50.08,50.08,50.08,50.08,0
20240822,50.08,50.08,50.08,50.08,0
20240823,50.08,50.08,50.08,50.08,0
20240826,50.08,50.08,50.08,50.08,0
20240827,50.08,50.08,50.08,50.08,0
20240828,50.08,50.08,50.08,50.08,0
20240829,51.36,51.36,51.36,51.36,3
20240830,51.36,51.36,51.36,51.36,0
20240902,51.36,51.36,51.36,51.36,3
20240903,51.36,51.36,51.36,51.36,0
20240904,51.36,51.36,51.36,51.36,0
20240905,51.36,51.36,51.36,51.36,0
20240906,51.59,51.59,51.59,51.59,9
20240909,51.17,51.17,51.17,51.17,4
20240910,51.17,51.17,51.17,51.17,1
20240911,51.17,51.17,51.17,51.17,0
20240912,51.17,51.17,51.17,51.17,0
20240913,51.17,51.17,51.17,51.17,0
20240916,51.17,51.17,51.17,51.17,0
20240917,51.17,51.17,51.17,51.17,0
20240918,51.17,51.17,51.17,51.17,0
20240919,51.17,51.17,51.17,51.17,0
20240920,51.57,51.57,51.57,51.57,2
20240923,51.57,51.57,51.57,51.57,0
20240924,51.57,51.57,51.57,51.57,0
20240925,51.57,51.57,51.57,51.57,0
20240926,51.57,51.57,51.57,51.57,0
20240927,51.57,51.57,51.57,51.57,0
20240930,51.57,51.57,51.57,51.57,0
20241001,51.57,51.57,51.57,51.57,0
20241002,51.57,51.57,51.57,51.57,0
20241003,51.57,51.57,51.57,51.57,0
20241004,52,52,52,52,1000
20241007,52,52,52,52,0
20241008,52,52,52,52,0
20241009,52,52,52,52,0
20241010,52.05,52.05,52.05,52.05,1
20241011,51.71,51.71,51.71,51.71,1
20241014,51.72,51.72,51.72,51.72,1
20241015,51.72,51.72,51.72,51.72,0
20241016,51.32,51.32,51.32,51.32,195
20241017,51.32,51.32,51.32,51.32,0
20241018,51.32,51.32,51.32,51.32,0
20241021,51.75,51.75,51.65,51.65,3132
20241022,51.65,51.65,51.65,51.65,0
20241023,51.65,51.65,51.65,51.65,0
20241024,51.65,51.65,51.65,51.65,0
20241025,51.65,51.65,51.65,51.65,0
20241028,51.65,51.65,51.65,51.65,0
20241029,51.65,51.65,51.65,51.65,0
20241030,51.65,51.65,51.65,51.65,0
20241031,51.65,51.65,51.65,51.65,0
20241101,51.65,51.65,51.65,51.65,0
20241104,51.65,51.65,51.65,51.65,0
20241105,51.65,51.65,51.65,51.65,0
20241106,51.65,51.65,51.65,51.65,0
20241107,51.65,51.65,51.65,51.65,0
20241108,51.65,51.65,51.65,51.65,0
20241111,51.65,51.65,51.65,51.65,0
20241112,51.65,51.65,51.65,51.65,0
20241113,51.54,51.54,51.54,51.54,1
20241114,51.54,51.54,51.54,51.54,0
20241115,51.54,51.54,51.54,51.54,0
20241118,51.54,51.54,51.54,51.54,0
20241119,51.54,51.54,51.54,51.54,0
20241120,51.54,51.54,51.54,51.54,0
20241121,51.54,51.54,51.54,51.54,0
20241122,51.54,51.54,51.54,51.54,0
20241125,51.54,51.54,51.54,51.54,0
20241126,51.54,51.54,51.54,51.54,0
20241127,51.54,51.54,51.54,51.54,0
20241128,51.54,51.54,51.54,51.54,0
20241129,51.54,51.54,51.54,51.54,0
20241202,51.54,51.54,51.54,51.54,0
20241203,51.54,51.54,51.54,51.54,0
20241204,51.54,51.54,51.54,51.54,0
20241205,51.86,51.86,51.86,51.86,100
20241206,51.86,51.86,51.86,51.86,0
20241209,51.86,51.86,51.86,51.86,0
20241210,51.86,51.86,51.86,51.86,0
20241211,51.61,51.61,51.61,51.61,4
20241212,51.51,51.51,51.51,51.51,1
20241213,51.51,51.51,51.51,51.51,0
20241216,51.51,51.51,51.51,51.51,0
20241217,51.51,51.51,51.51,51.51,0
20241218,50.39,50.43,50.39,50.43,665
20241219,50.43,50.43,50.43,50.43,0
20241220,50.43,50.43,50.43,50.43,0
20241223,50.43,50.43,50.43,50.43,0
20241224,50.43,50.43,50.43,50.43,0
20241227,50.43,50.43,50.43,50.43,0
20241230,50.43,50.43,50.43,50.43,0
20241231,50.43,50.43,50.43,50.43,0
20250102,50.43,50.43,50.43,50.43,0
20250103,50.43,50.43,50.43,50.43,0
20250106,50.43,50.43,50.43,50.43,0
20250107,50.43,50.43,50.43,50.43,0
20250108,50.12,50.12,50.12,50.12,100
20250109,50.12,50.12,50.12,50.12,0
20250110,49.66,49.66,49.66,49.66,1
20250113,49.2,49.24,49.2,49.23,652
20250114,49.63,49.63,49.63,49.63,75
20250115,49.63,49.63,49.63,49.63,0
20250116,49.63,49.63,49.63,49.63,0
20250117,49.63,49.63,49.63,49.63,0
