Date,Open,High,Low,Close,Volume
20240429,50.25,50.25,50.25,50.25,1000
20240430,50.42,50.42,50.42,50.42,1
20240501,50.42,50.42,50.42,50.42,0
20240502,50.42,50.42,50.42,50.42,0
20240503,50.42,50.42,50.42,50.42,0
20240506,50.42,50.42,50.42,50.42,0
20240507,50.42,50.42,50.42,50.42,0
20240508,50.42,50.42,50.42,50.42,0
20240509,51.12,51.12,51.12,51.12,1
20240510,51.12,51.12,51.12,51.12,0
20240513,51.12,51.12,51.12,51.12,0
20240514,51.12,51.12,51.12,51.12,0
20240515,51.12,51.12,51.12,51.12,0
20240516,51.12,51.12,51.12,51.12,0
20240517,51.12,51.12,51.12,51.12,0
20240520,51.12,51.12,51.12,51.12,0
20240521,51.12,51.12,51.12,51.12,0
20240522,51.12,51.12,51.12,51.12,0
20240523,51.12,51.12,51.12,51.12,0
20240524,51.12,51.12,51.12,51.12,0
20240527,51.12,51.12,51.12,51.12,0
20240528,51.12,51.12,51.12,51.12,0
20240529,51.12,51.12,51.12,51.12,0
20240530,51.12,51.12,51.12,51.12,0
20240531,51.12,51.12,51.12,51.12,0
20240603,51.12,51.12,51.12,51.12,0
20240604,51.12,51.12,51.12,51.12,0
20240605,51.12,51.12,51.12,51.12,0
20240606,51.12,51.12,51.12,51.12,0
20240607,51.12,51.12,51.12,51.12,0
20240611,51.12,51.12,51.12,51.12,0
20240612,51.12,51.12,51.12,51.12,0
20240613,51.12,51.12,51.12,51.12,0
20240614,51.12,51.12,51.12,51.12,0
20240617,51.12,51.12,51.12,51.12,0
20240618,51.12,51.12,51.12,51.12,0
20240619,51.12,51.12,51.12,51.12,0
20240620,53.76,53.76,53.76,53.76,1000
20240621,53.76,53.76,53.76,53.76,0
20240624,53.33,53.33,53.33,53.33,46
20240625,53.33,53.33,53.33,53.33,0
20240626,54.16,54.16,54.16,54.16,1
20240627,54.16,54.16,54.16,54.16,0
20240628,54.16,54.16,54.16,54.16,0
20240701,54.16,54.16,54.16,54.16,0
20240702,54.16,54.16,54.16,54.16,0
20240703,54.16,54.16,54.16,54.16,0
20240704,54.16,54.16,54.16,54.16,0
20240705,54.16,54.16,54.16,54.16,0
20240708,54.16,54.16,54.16,54.16,0
20240709,54.16,54.16,54.16,54.16,0
20240710,54.16,54.16,54.16,54.16,0
20240711,54.16,54.16,54.16,54.16,0
