Date,Open,High,Low,Close,Volume
20230628,50.94,50.94,50.94,50.94,980
20230629,50.94,50.94,50.94,50.94,0
20230630,50.94,50.94,50.94,50.94,0
20230703,50.94,50.94,50.94,50.94,0
20230704,50.94,50.94,50.94,50.94,0
20230705,50.94,50.94,50.94,50.94,0
20230706,50.94,50.94,50.94,50.94,0
20230707,50.94,50.94,50.94,50.94,0
20230710,50.94,50.94,50.94,50.94,0
20230711,50.94,50.94,50.94,50.94,0
20230712,50.94,50.94,50.94,50.94,0
20230713,50.94,50.94,50.94,50.94,0
20230714,50.94,50.94,50.94,50.94,0
20230717,50.94,50.94,50.94,50.94,0
20230718,50.94,50.94,50.94,50.94,0
20230719,50.94,50.94,50.94,50.94,0
20230720,50.94,50.94,50.94,50.94,0
20230721,50.94,50.94,50.94,50.94,0
20230724,50.94,50.94,50.94,50.94,0
20230725,50.94,50.94,50.94,50.94,0
20230726,50.94,50.94,50.94,50.94,0
20230727,50.94,50.94,50.94,50.94,0
20230728,50.94,50.94,50.94,50.94,0
20230731,50.94,50.94,50.94,50.94,0
20230801,50.94,50.94,50.94,50.94,0
20230802,50.94,50.94,50.94,50.94,0
20230803,50.94,50.94,50.94,50.94,0
20230804,50.94,50.94,50.94,50.94,0
20230807,50.94,50.94,50.94,50.94,0
20230808,50.94,50.94,50.94,50.94,0
20230809,50.94,50.94,50.94,50.94,0
20230810,50.94,50.94,50.94,50.94,0
20230811,50.94,50.94,50.94,50.94,0
20230814,50.94,50.94,50.94,50.94,0
20230815,50.94,50.94,50.94,50.94,0
20230816,50.94,50.94,50.94,50.94,0
20230817,51.07,51.07,51.07,51.07,1
20230818,51.07,51.07,51.07,51.07,0
20230821,51.07,51.07,51.07,51.07,0
20230822,51.07,51.07,51.07,51.07,0
20230823,51.07,51.07,51.07,51.07,0
20230824,50.73,50.73,50.73,50.73,5
20230825,50.73,50.73,50.73,50.73,0
20230828,50.73,50.73,50.73,50.73,0
20230829,50.73,50.73,50.73,50.73,0
20230830,50.73,50.73,50.73,50.73,0
20230831,50.73,50.73,50.73,50.73,0
20230901,50.73,50.73,50.73,50.73,0
20230904,50.73,50.73,50.73,50.73,0
20230905,51.2,51.2,51.1,51.1,2730
20230906,51.1,51.1,51.1,51.1,0
20230907,51.1,51.1,51.1,51.1,0
20230908,51.1,51.1,51.1,51.1,0
20230911,50.92,50.92,50.92,50.92,983
20230912,50.92,50.92,50.92,50.92,0
20230913,50.92,50.92,50.92,50.92,0
20230914,50.92,50.92,50.92,50.92,0
20230915,50.92,50.92,50.92,50.92,0
20230918,50.92,50.92,50.92,50.92,0
20230919,50.92,50.92,50.92,50.92,0
20230920,50.92,50.92,50.92,50.92,0
20230921,50.92,50.92,50.92,50.92,0
20230922,50.92,50.92,50.92,50.92,0
20230925,50.02,50.02,50.02,50.02,580
20230926,50.02,50.02,50.02,50.02,0
20230927,50.02,50.02,50.02,50.02,0
20230928,50.02,50.02,50.02,50.02,0
20230929,49.5,49.5,49.25,49.25,2
20231002,49.25,49.25,49.25,49.25,0
20231003,49.25,49.25,49.25,49.25,0
20231004,49.25,49.25,49.25,49.25,0
20231005,49.25,49.25,49.25,49.25,0
20231006,49.25,49.25,49.25,49.25,0
20231009,49.25,49.25,49.25,49.25,0
20231010,49.25,49.25,49.25,49.25,0
20231011,49.25,49.25,49.25,49.25,0
20231012,49.25,49.25,49.25,49.25,0
20231013,49.25,49.25,49.25,49.25,0
20231016,49.25,49.25,49.25,49.25,0
20231017,49.25,49.25,49.25,49.25,0
20231018,49.25,49.25,49.25,49.25,0
20231019,49.25,49.25,49.25,49.25,0
20231020,49.43,49.43,49.43,49.43,1
20231023,49.43,49.43,49.43,49.43,0
20231024,48.5,48.5,48.24,48.24,164
20231025,48.24,48.24,48.24,48.24,0
20231026,48.24,48.24,48.24,48.24,0
20231027,48.24,48.24,48.24,48.24,0
20231030,48.24,48.24,48.24,48.24,0
20231031,48.24,48.24,48.24,48.24,0
20231101,48.31,48.31,48.31,48.31,64
20231102,48.31,48.31,48.31,48.31,0
20231103,48.31,48.31,48.31,48.31,0
20231106,48.31,48.31,48.31,48.31,0
20231107,49.69,49.69,49.69,49.69,15
20231108,49.69,49.69,49.69,49.69,0
20231109,49.69,49.69,49.69,49.69,0
20231110,49.69,49.69,49.69,49.69,0
20231113,49.69,49.69,49.69,49.69,0
20231114,49.69,49.69,49.69,49.69,0
20231115,50.04,50.04,50.04,50.04,1
20231116,50.04,50.04,50.04,50.04,0
20231117,50.04,50.04,50.04,50.04,0
20231120,50.04,50.04,50.04,50.04,0
20231121,50.04,50.04,50.04,50.04,0
20231122,50.04,50.04,50.04,50.04,0
20231123,50.04,50.04,50.04,50.04,0
20231124,50.04,50.04,50.04,50.04,0
20231127,50.04,50.04,50.04,50.04,0
20231128,50.04,50.04,50.04,50.04,0
20231129,50.18,50.18,49.93,49.93,2
20231130,50.07,50.07,50.01,50.01,2
20231201,50.01,50.01,50.01,50.01,0
20231204,50.01,50.01,50.01,50.01,0
20231205,50.01,50.01,50.01,50.01,0
20231206,50.01,50.01,50.01,50.01,0
20231207,50.01,50.01,50.01,50.01,0
20231208,50.01,50.01,50.01,50.01,0
20231211,50.01,50.01,50,50,1340
20231212,50,50,50,50,0
20231213,50,50,50,50,0
20231214,50,50,50,50,0
20231215,50,50,50,50,0
20231218,50,50,50,50,0
20231219,50.61,50.61,50.61,50.61,16
20231220,50.67,50.67,50.67,50.67,1
20231221,50.26,50.26,50.26,50.26,591
20231222,50.3,50.54,50.3,50.54,639
20231227,50.73,50.73,50.73,50.73,1
20231228,50.56,50.56,50.56,50.56,1
20231229,50.56,50.56,50.56,50.56,0
20240102,50.56,50.56,50.56,50.56,0
20240103,50.51,50.51,50.51,50.51,474
20240104,50.51,50.51,50.51,50.51,0
20240105,50.51,50.51,50.51,50.51,0
20240108,50.51,50.51,50.51,50.51,0
20240109,50.51,50.51,50.51,50.51,0
20240110,50.51,50.51,50.51,50.51,0
20240111,50.51,50.51,50.51,50.51,0
20240112,50.51,50.51,50.51,50.51,0
20240115,50.75,50.75,50.75,50.75,19
20240116,50.75,50.75,50.75,50.75,0
20240117,50.6,50.6,50.6,50.6,1
20240118,50.6,50.6,50.6,50.6,0
20240119,50.35,50.54,50.35,50.54,2
20240122,50.54,50.54,50.54,50.54,0
20240123,50.54,50.54,50.54,50.54,0
20240124,50.54,50.54,50.54,50.54,0
20240125,50.54,50.54,50.54,50.54,0
20240129,50.54,50.54,50.54,50.54,0
20240130,50.54,50.54,50.54,50.54,0
20240131,50.54,50.54,50.54,50.54,0
20240201,50.54,50.54,50.54,50.54,0
20240202,50.54,50.54,50.54,50.54,0
20240205,50.54,50.54,50.54,50.54,0
20240206,50.54,50.54,50.54,50.54,0
20240207,50.54,50.54,50.54,50.54,0
20240208,50.54,50.54,50.54,50.54,0
20240209,50.54,50.54,50.54,50.54,0
20240212,51.54,51.54,51.29,51.29,3
20240213,51.29,51.29,51.29,51.29,0
20240214,51.29,51.29,51.29,51.29,0
20240215,51.29,51.29,51.29,51.29,0
20240216,51.64,51.64,51.64,51.64,2404
20240219,51.64,51.64,51.64,51.64,0
20240220,51.51,51.51,51.51,51.51,1
20240221,51.62,51.63,51.62,51.63,4000
20240222,51.63,51.63,51.63,51.63,0
20240223,51.63,51.63,51.63,51.63,0
20240226,52.17,52.17,52.17,52.17,1
20240227,52.17,52.17,51.89,51.9,3
20240228,51.9,51.9,51.9,51.9,0
20240229,51.9,51.9,51.9,51.9,0
20240301,52.27,52.27,52.27,52.27,1000
20240304,52.27,52.27,52.27,52.27,0
20240305,52.27,52.27,52.27,52.27,0
20240306,52.27,52.27,52.27,52.27,0
20240307,52.27,52.27,52.27,52.27,0
20240308,52.27,52.27,52.27,52.27,0
20240311,52.27,52.27,52.27,52.27,0
20240312,52.27,52.27,52.27,52.27,0
20240313,52.27,52.27,52.27,52.27,0
20240314,52.57,52.57,52.57,52.57,955
20240315,52.57,52.57,52.57,52.57,0
20240318,52.57,52.57,52.57,52.57,0
20240319,52.57,52.57,52.57,52.57,0
20240320,52.54,52.54,52.54,52.54,1
20240321,52.54,52.54,52.54,52.54,0
20240322,52.54,52.54,52.54,52.54,0
