Date,Open,High,Low,Close,Volume
20240222,14.89,14.94,14.89,14.93,6396
20240223,15.1,15.1,15.05,15.06,51261
20240226,15.5,15.5,15.08,15.11,11569
20240227,15.17,15.17,15.12,15.15,6472
20240228,15.21,15.27,15.18,15.27,10146
20240229,15.29,15.5,15.2,15.5,15813
20240301,15.6,15.6,15.32,15.35,7230
20240304,15.49,15.49,15.4,15.48,3546
20240305,15.58,15.58,15.52,15.55,11167
20240306,15.46,15.46,15.38,15.4,9409
20240307,15.4,15.41,15.31,15.31,8873
20240308,15.52,15.52,15.43,15.49,1830
20240311,15.43,15.44,15.4,15.4,10397
20240312,15.4,15.46,15.4,15.46,5360
20240313,15.57,15.57,15.42,15.47,1781
20240314,15.47,15.51,15.45,15.48,856
20240315,15.38,15.38,15.3,15.35,7618
20240318,15.29,15.29,15.22,15.27,4681
20240319,15.28,15.3,15.23,15.3,8760
20240320,15.32,15.32,15.29,15.29,108
20240321,15.53,15.53,15.34,15.36,7268
20240322,15.53,15.56,15.53,15.56,142
20240325,15.88,15.88,15.5,15.5,4882
20240326,15.56,15.56,15.49,15.54,15024
20240327,15.56,15.56,15.56,15.56,50
20240328,15.68,15.68,15.66,15.66,996
20240402,16.16,16.16,15.66,16.16,2947
20240403,15.6,15.6,15.4,15.4,11090
20240404,15.39,15.39,15.32,15.36,5571
20240405,15.25,15.25,15.14,15.17,7790
20240408,15.25,15.28,15.23,15.23,593
20240409,15.3,15.3,15.21,15.21,381
20240410,15.22,15.3,15.22,15.3,840
20240411,15.33,15.33,15.29,15.29,707
20240412,15.5,15.5,15.3,15.3,124
20240415,15.29,15.29,15.17,15.17,3563
20240416,15,15.03,14.96,14.97,8756
20240417,15.11,15.11,15.02,15.02,352
20240418,14.92,14.93,14.87,14.93,4869
20240419,14.86,14.86,14.7,14.77,1728
20240422,14.78,14.78,14.63,14.65,564
20240423,14.67,14.72,14.65,14.68,2949
20240424,14.86,14.86,14.78,14.78,115
20240426,15,15.2,14.71,14.76,1265
20240429,14.89,14.89,14.79,14.79,585
20240430,14.77,14.94,14.77,14.89,1560
20240501,14.82,14.82,14.76,14.76,1555
20240502,14.69,14.69,14.65,14.67,2871
20240503,14.67,14.67,14.63,14.65,1559
20240506,14.68,14.71,14.68,14.7,11
20240507,14.85,14.89,14.79,14.89,1594
20240508,14.93,14.93,14.93,14.93,2
20240509,14.9,14.9,14.84,14.85,1089
20240510,14.89,14.91,14.88,14.89,249
20240513,14.88,14.91,14.86,14.86,1631
20240514,14.91,14.91,14.86,14.86,9
20240515,15.3,15.3,14.92,14.92,211
20240516,15.05,15.11,15.02,15.11,9179
20240517,15,15.04,15,15.03,686
20240520,15,15,14.92,14.93,2148
20240521,14.98,15.07,14.98,15.03,875
20240522,15,15,14.92,14.96,2719
20240523,15.15,15.15,15.08,15.12,11536
20240524,15.12,15.12,14.9,14.92,1831
20240527,15,15,14.9,14.9,3275
20240528,14.9,14.9,14.86,14.88,8277
20240529,14.83,14.83,14.74,14.74,1050
20240530,14.7,14.76,14.7,14.7,571
20240531,14.7,14.7,14.65,14.65,346
20240603,14.79,14.8,14.77,14.77,31
20240604,14.77,14.77,14.58,14.58,3141
20240605,14.58,14.61,14.57,14.58,1712
20240606,14.76,14.76,14.72,14.72,15
20240607,14.74,14.74,14.7,14.72,115
20240611,14.84,14.85,14.79,14.85,197
20240612,14.87,14.87,14.79,14.79,58
20240613,14.86,14.93,14.86,14.93,1028
20240614,14.96,14.96,14.89,14.89,268
20240617,14.85,14.85,14.8,14.81,1665
20240618,14.91,14.92,14.87,14.87,70
20240619,14.85,14.85,14.77,14.77,1685
20240620,14.7,14.81,14.7,14.81,4215
20240621,14.79,14.79,14.73,14.75,4281
20240624,14.81,14.88,14.81,14.81,303
20240625,14.86,14.86,14.86,14.86,3
20240626,15.21,15.21,14.77,14.77,620
20240627,14.78,14.82,14.76,14.79,7740
20240628,14.98,15.03,14.93,14.99,3546
20240701,15.03,15.03,14.78,14.78,1130
20240702,14.75,14.75,14.7,14.75,190
20240703,14.76,14.76,14.7,14.7,75
20240704,14.75,14.75,14.69,14.73,1269
