Date,Open,High,Low,Close,Volume
20230622,50.1,50.1,50.1,50.1,11
20230623,50.1,50.1,50.1,50.1,0
20230626,50.1,50.1,50.1,50.1,0
20230627,50.1,50.1,50.1,50.1,0
20230628,50.1,50.1,50.1,50.1,0
20230629,50.1,50.1,50.1,50.1,0
20230630,50.1,50.1,50.1,50.1,0
20230703,50.1,50.1,50.1,50.1,0
20230704,51.83,51.83,51.78,51.78,199
20230705,51.41,51.41,51.41,51.41,2
20230706,51.51,51.51,51.51,51.51,5
20230707,51.51,51.51,51.51,51.51,0
20230710,51.51,51.51,51.51,51.51,5
20230711,51.51,51.51,51.51,51.51,0
20230712,51.51,51.51,51.51,51.51,0
20230713,50.9,50.9,50.9,50.9,3
20230714,50.9,50.9,50.9,50.9,0
20230717,50.8,50.8,50.8,50.8,1
20230718,50.8,50.8,50.8,50.8,0
20230719,50.8,50.8,50.8,50.8,0
20230720,50.8,50.8,50.8,50.8,0
20230721,50.8,50.8,50.8,50.8,0
20230724,50.8,50.8,50.8,50.8,0
20230725,50.8,50.8,50.8,50.8,0
20230726,51.74,51.74,51.74,51.74,58
20230727,51.74,51.74,51.74,51.74,1
20230728,52.33,52.33,52.33,52.33,48
20230731,53.11,53.11,52.92,52.92,194
20230801,52.92,52.92,52.92,52.92,0
20230802,53.07,53.07,53.07,53.07,5
20230803,52.96,52.96,52.96,52.96,1
20230804,52.86,52.96,52.86,52.96,28
20230807,52.96,52.96,52.96,52.96,1
20230808,52.96,52.96,52.96,52.96,0
20230809,52.96,52.96,52.96,52.96,0
20230810,52.96,52.96,52.96,52.96,0
20230811,52.81,52.81,52.81,52.81,18
20230814,52.84,52.84,52.84,52.84,5
20230815,52.84,52.84,52.84,52.84,0
20230816,52.84,52.84,52.84,52.84,0
20230817,53.16,53.16,53.16,53.16,823
20230818,53.16,53.16,53.16,53.16,0
20230821,53.16,53.16,52.53,52.53,26
20230822,53.12,53.12,53.04,53.04,145
20230823,53.02,53.02,53.02,53.02,36
20230824,53.45,53.45,53.45,53.45,6
20230825,52.73,52.73,52.73,52.73,18
20230828,52.73,52.73,52.73,52.73,0
20230829,52.73,52.73,52.73,52.73,0
20230830,52.73,52.73,52.73,52.73,0
20230831,53.96,53.96,53.96,53.96,1404
20230901,54.01,54.01,53.96,53.96,478
20230904,54.2,54.2,54.2,54.2,46
20230905,54.4,54.4,54.4,54.4,106
20230906,54.4,54.4,54.4,54.4,0
20230907,54.4,54.4,54.4,54.4,0
20230908,53.85,53.85,53.85,53.85,71
20230911,53.72,53.72,53.72,53.72,929
20230912,53.72,53.72,53.72,53.72,0
20230913,53.69,53.69,53.69,53.69,13
20230914,53.74,53.74,53.73,53.73,277
20230915,53.68,54.06,53.68,53.91,3155
20230918,53.75,53.75,53.61,53.62,1009
20230919,53.71,53.71,53.71,53.71,4
20230920,53.71,53.71,53.71,53.71,0
20230921,53.71,53.71,53.71,53.71,0
20230922,53.71,53.71,53.71,53.71,1
20230925,53.71,53.71,53.71,53.71,0
20230926,52.39,52.39,52.39,52.39,307
20230927,52.39,52.39,52.39,52.39,1
20230928,52.56,52.56,52.56,52.56,10
20230929,52.04,52.04,52.04,52.04,9
20231002,52.04,52.04,52.04,52.04,0
20231003,52.04,52.04,52.04,52.04,0
20231004,52.2,52.2,52.2,52.2,550
20231005,52.2,52.2,52.2,52.2,0
20231006,52.25,52.25,52.25,52.25,151
20231009,52.25,52.25,52.25,52.25,0
20231010,52.81,52.81,52.81,52.81,6
20231011,52.81,52.81,52.81,52.81,0
20231012,52.81,52.81,52.81,52.81,0
20231013,53.97,53.97,53.97,53.97,18
20231016,53.97,53.97,53.97,53.97,0
20231017,53.73,53.73,53.59,53.59,49
20231018,53.48,53.48,53.48,53.48,1
20231019,53.48,53.48,53.48,53.48,1
20231020,53.5,53.5,52.93,52.97,30
20231023,52.97,52.97,52.97,52.97,0
20231024,52.61,52.61,52.5,52.5,113
20231025,53.02,53.02,52.4,52.4,20
20231026,52.01,52.01,51.59,51.84,5225
20231027,51.25,51.25,51.25,51.25,1
20231030,51.41,51.41,51.41,51.41,97
20231031,51.41,51.41,51.41,51.41,0
20231101,51.97,51.97,51.97,51.97,10
20231102,51.97,51.97,51.97,51.97,0
20231103,52.3,52.3,52.3,52.3,19
20231106,52.18,52.18,52.18,52.18,6
20231107,52.18,52.18,52.18,52.18,0
20231108,52.18,52.18,52.18,52.18,0
20231109,52.18,52.18,52.18,52.18,0
20231110,53.81,53.81,53.81,53.81,14
20231113,53.81,53.81,53.81,53.81,0
20231114,54.2,54.2,54.2,54.2,985
20231115,54.07,54.07,53.89,53.89,37
20231116,53.89,53.89,53.89,53.89,0
20231117,54.14,54.14,54.14,54.14,15
20231120,53.77,53.77,53.38,53.38,12
20231121,53.48,53.48,53.48,53.48,19
20231122,53.53,53.54,53.53,53.54,5
20231123,53.54,53.54,53.54,53.54,0
20231124,53.68,53.73,53.68,53.73,11
20231127,53.55,53.55,53.5,53.5,5608
20231128,53.5,53.5,53.5,53.5,0
20231129,53.07,53.07,52.8,52.8,20
20231130,53.32,53.33,53.32,53.33,50
20231201,53.29,53.29,53.29,53.29,2
20231204,53.29,53.29,53.29,53.29,0
20231205,53.62,53.62,53.62,53.62,1
20231206,53.62,53.62,53.62,53.62,0
20231207,53.62,53.62,53.62,53.62,0
20231208,53.62,53.62,53.62,53.62,0
20231211,53.62,53.62,53.62,53.62,1
20231212,53.62,53.62,53.62,53.62,0
20231213,54.19,54.19,54.19,54.19,10
20231214,54.19,54.19,54.19,54.19,0
20231215,53.25,53.25,53.25,53.25,18
20231218,53.25,53.25,53.25,53.25,290924
20231219,53.49,53.49,53.49,53.49,38819
20231220,53.17,53.18,53.09,53.1,125
20231221,52.86,52.86,52.86,52.86,4
20231222,52.645,52.78,52.53,52.53,1139
20231227,52.65,52.66,52.53,52.53,167
20231228,52.53,52.53,52.14,52.23,32
20231229,52.23,52.39,52.23,52.39,21
20240102,52.16,52.16,51.99,51.99,112
20240103,51.99,51.99,51.99,51.99,0
20240104,52.1,52.1,51.75,51.75,174
20240105,52.24,52.25,52.24,52.25,87
20240108,52.27,52.43,52.03,52.14,132
20240109,52.9,52.99,52.8,52.99,36
20240110,53.54,53.54,53.54,53.54,9
20240111,53.69,53.69,53.69,53.69,41
20240112,53.69,53.69,53.69,53.69,0
20240115,53.74,54,53.67,54,90
20240116,54.75,54.75,54.43,54.5,534
20240117,54.96,54.96,54.87,54.87,283
20240118,54.79,54.85,54.6,54.85,39
20240119,54.85,55.37,54.85,55.37,718
20240122,55.37,55.37,55.37,55.37,0
20240123,55.81,56.04,55.48,55.49,73
20240124,56.18,56.24,56.18,56.24,361
20240125,56.2,56.2,55.93,55.93,62
20240129,56.18,56.19,55.78,55.78,80
20240130,56.1,56.24,55.86,55.9,791
20240131,56.25,56.25,56.25,56.25,2
20240201,56.24,56.26,55.92,56.26,152
20240202,56.08,56.08,56.05,56.05,2029
20240205,57,57.11,57,57.11,27
20240206,57.42,57.42,57.42,57.42,8
20240207,56.95,56.95,56.95,56.95,17
20240208,56.91,56.91,56.91,56.91,16
20240209,57.71,57.71,57.39,57.7,38
20240212,57.68,57.68,57.4,57.44,89
20240213,57.49,57.55,57.49,57.55,118
20240214,57.71,57.72,57.4,57.64,1077
20240215,57.92,58.05,57.92,58.05,330
20240216,57.71,57.89,57.71,57.89,270
20240219,57.35,57.41,57.35,57.4,225
20240220,57.43,57.43,57.32,57.32,453
20240221,56.98,56.98,56.41,56.41,40
20240222,57.17,57.35,57.17,57.35,68
20240223,57.78,57.78,57.78,57.78,100
20240226,57.745,57.745,57.745,57.745,33
20240227,57.745,57.745,57.745,57.745,0
20240228,58.08,58.33,58.08,58.33,23
20240229,58.05,58.28,58.05,58.28,195
20240301,58.72,58.77,58.5,58.77,1134
20240304,58.75,59.04,58.75,59.04,126
20240305,58.62,58.62,58.35,58.35,527
20240306,58.26,58.26,58.12,58.13,1092
20240307,57.68,57.73,57.51,57.67,193
20240308,57.9,57.99,57.82,57.82,73
20240311,57.55,57.62,57.26,57.58,641
20240312,57.58,57.58,57.58,57.58,17
20240313,58.1,58.1,57.99,57.99,86
20240314,58,58,57.61,58,946
20240315,58.22,58.26,58.21,58.21,137
20240318,58.4,58.4,57.96,58.02,788
20240319,58.19,58.36,58.14,58.36,294
20240320,58.67,58.67,58.465,58.55,176
20240321,58.53,58.59,58.49,58.55,164
20240322,59.02,59.34,59.02,59.34,16773
20240325,59.66,59.67,59.31,59.31,732
20240326,59.34,59.34,59.16,59.34,261
20240327,59.14,59.39,59.14,59.28,513
20240328,59.5,59.5,59.22,59.22,590
20240402,59.86,59.86,59.58,59.7,2964
20240403,59.06,59.06,58.95,58.95,3
20240404,58.76,58.76,58.66,58.71,513
20240405,58,58,57.58,57.59,819
20240408,58.25,58.45,58.25,58.25,787
20240409,58.25,58.25,58.19,58.22,1079
20240410,58.24,58.24,58.21,58.21,654
20240411,58.6,58.6,58.6,58.6,16148
20240412,59.21,59.32,59.01,59.32,1871
20240415,59.1,59.14,59.06,59.1,199
20240416,58.54,58.65,58.47,58.64,369
20240417,58.68,58.94,58.68,58.94,126
20240418,58.065,58.13,58.065,58.13,854
20240419,57.8,57.8,57.18,57.52,428
20240422,57.52,57.52,56.47,56.5,735
20240423,56.9,56.92,56.66,56.9,553
20240424,57.65,57.66,57.62,57.62,30
20240426,57.52,57.69,57.52,57.58,60
20240429,57.58,57.64,57.33,57.64,187
20240430,57.8,58.01,57.76,58.01,115
20240501,58.41,58.41,57.49,57.49,1276
20240502,56.99,57.01,56.99,57.01,5
20240503,57,57,56.61,56.74,69
20240506,57.22,57.22,57.17,57.17,69
20240507,57.39,57.4,57.35,57.35,69
20240508,58,58,57.98,57.98,439
20240509,58.53,58.53,57.97,57.97,27
20240510,57.53,57.91,57.53,57.88,289
20240513,57.9,57.93,57.9,57.93,57
20240514,58.04,58.08,57.86,58.08,182
20240515,58.01,58.02,57.8,57.8,115
20240516,57.8,57.93,57.5,57.92,276
20240517,57.92,57.92,57.92,57.92,0
20240520,58,58,57.69,57.87,433
20240521,58.39,58.39,58.39,58.39,12
20240522,58.39,58.39,58.02,58.02,651
20240523,58.51,58.87,58.51,58.86,692
20240524,58.86,58.86,58.86,58.86,2
