Date,Open,High,Low,Close,Volume
20230714,52.55,52.55,52.55,52.55,101
20230717,52.81,52.81,52.81,52.81,1
20230718,52.81,52.81,52.81,52.81,1
20230719,52.81,52.81,52.81,52.81,0
20230720,52.81,52.81,52.81,52.81,0
20230721,53.07,53.07,53.07,53.07,1
20230724,53.07,53.07,53.07,53.07,0
20230725,53.07,53.07,53.07,53.07,1
20230726,53.07,53.07,53.07,53.07,0
20230727,53.07,53.07,53.07,53.07,0
20230728,53.33,53.33,53.33,53.33,1
20230731,53.33,53.33,53.33,53.33,0
20230801,53.38,53.38,53.38,53.38,1
20230802,53.38,53.38,53.38,53.38,0
20230803,53.38,53.38,53.38,53.38,0
20230804,53.38,53.38,53.38,53.38,0
20230807,53.38,53.38,53.38,53.38,0
20230808,53.38,53.38,53.38,53.38,0
20230809,53.38,53.38,53.38,53.38,0
20230810,53.38,53.38,53.38,53.38,0
20230811,53.38,53.38,53.38,53.38,0
20230814,53.38,53.38,53.38,53.38,0
20230815,53.38,53.38,53.38,53.38,0
20230816,51.77,51.77,51.77,51.77,100
20230817,51.77,51.77,51.77,51.77,0
20230818,51.77,51.77,51.77,51.77,0
20230821,51.77,51.77,51.77,51.77,0
20230822,51.77,51.77,51.77,51.77,0
20230823,51.77,51.77,51.77,51.77,0
20230824,51.77,51.77,51.77,51.77,0
20230825,51.77,51.77,51.77,51.77,0
20230828,51.77,51.77,51.77,51.77,0
20230829,51.77,51.77,51.77,51.77,0
20230830,51.77,51.77,51.77,51.77,0
20230831,51.77,51.77,51.77,51.77,0
20230901,51.77,51.77,51.77,51.77,0
20230904,51.77,51.77,51.77,51.77,0
20230905,51.77,51.77,51.77,51.77,0
20230906,51.77,51.77,51.77,51.77,0
20230907,51.77,51.77,51.77,51.77,0
20230908,51.77,51.77,51.77,51.77,0
20230911,51.77,51.77,51.77,51.77,0
20230912,51.77,51.77,51.77,51.77,0
20230913,51.77,51.77,51.77,51.77,0
20230914,51.77,51.77,51.77,51.77,0
20230915,51.77,51.77,51.77,51.77,0
20230918,51.77,51.77,51.77,51.77,0
20230919,51.77,51.77,51.77,51.77,0
20230920,51.77,51.77,51.77,51.77,0
20230921,51.82,51.82,51.82,51.82,1
20230922,50.74,50.74,50.74,50.74,1
20230925,50.74,50.74,50.74,50.74,0
20230926,50.74,50.74,50.74,50.74,0
20230927,50.74,50.74,50.74,50.74,0
20230928,50.74,50.74,50.74,50.74,0
20230929,50.63,50.63,50.63,50.63,1
20231002,50.63,50.63,50.63,50.63,0
20231003,50.63,50.63,50.63,50.63,0
20231004,50.63,50.63,50.63,50.63,0
20231005,50.63,50.63,50.63,50.63,0
20231006,50.63,50.63,50.63,50.63,0
20231009,50.63,50.63,50.63,50.63,0
20231010,50.63,50.63,50.63,50.63,0
20231011,50.63,50.63,50.63,50.63,0
20231012,50.63,50.63,50.63,50.63,0
20231013,50.63,50.63,50.63,50.63,0
20231016,50.63,50.63,50.63,50.63,0
20231017,50.63,50.63,50.63,50.63,0
20231018,50.63,50.63,50.63,50.63,0
20231019,50.85,50.85,50.69,50.69,299
20231020,50.74,50.74,50.74,50.74,1
20231023,50.74,50.74,50.74,50.74,0
20231024,50.74,50.74,50.74,50.74,0
20231025,50.74,50.74,50.74,50.74,0
20231026,49,49,49,49,100
20231027,48.83,48.83,48.83,48.83,11
20231030,48.83,48.83,48.83,48.83,0
20231031,48.83,48.83,48.83,48.83,0
20231101,49.58,49.6,49.58,49.6,360
20231102,49.6,49.6,49.6,49.6,0
20231103,49.6,49.6,49.6,49.6,0
20231106,52.55,52.55,52.55,52.55,250
20231107,52.4,52.4,52.4,52.4,100
20231108,52.4,52.4,52.4,52.4,0
20231109,52.4,52.4,52.4,52.4,0
20231110,52.4,52.4,52.4,52.4,0
20231113,52.15,52.15,52.15,52.15,37
20231114,52.15,52.15,52.15,52.15,0
20231115,52.1,52.74,52.1,52.57,3
20231116,52.49,52.49,52.49,52.49,76
20231117,52.49,52.49,52.49,52.49,0
20231120,52.49,52.49,52.49,52.49,0
20231121,52.49,52.49,52.49,52.49,0
20231122,52.49,52.49,52.49,52.49,0
20231123,52.49,52.49,52.49,52.49,0
20231124,52.49,52.49,52.49,52.49,0
20231127,52.8,52.8,52.8,52.8,19
20231128,52.8,52.8,52.8,52.8,0
20231129,52.85,52.85,52.85,52.85,1
20231130,52.85,52.85,52.85,52.85,0
20231201,52.85,52.85,52.85,52.85,0
20231204,52.85,52.85,52.85,52.85,0
20231205,52.1,52.1,52.1,52.1,400
