Date,Open,High,Low,Close,Volume
20221114,51.5,51.62,51.5,51.62,181
20221115,51.62,51.62,51.62,51.62,0
20221116,51.14,51.14,51.14,51.14,21
20221117,51.2,51.2,51.2,51.2,20
20221118,51.11,51.11,51.11,51.11,19
20221121,51.11,51.11,51.11,51.11,0
20221122,51.11,51.11,51.11,51.11,0
20221123,51.11,51.11,51.11,51.11,0
20221124,51.11,51.11,51.11,51.11,0
20221125,51.11,51.11,51.11,51.11,0
20221128,51.11,51.11,51.11,51.11,0
20221129,51.11,51.11,51.11,51.11,0
20221130,51.11,51.11,51.11,51.11,0
20221201,51.11,51.11,51.11,51.11,0
20221202,51.11,51.11,51.11,51.11,0
20221205,51.11,51.11,51.11,51.11,0
20221206,51.11,51.11,51.11,51.11,0
20221207,51.11,51.11,51.11,51.11,0
20221208,51.11,51.11,51.11,51.11,0
20221209,51.11,51.11,51.11,51.11,784
20221212,51.11,51.11,51.11,51.11,0
20221213,51.11,51.11,51.11,51.11,0
20221214,51.11,51.11,51.11,51.11,0
20221215,51.11,51.11,51.11,51.11,0
20221216,51.11,51.11,51.11,51.11,0
20221219,50.5,50.5,50.5,50.5,108
20221220,50.5,50.5,50.5,50.5,0
20221221,50.5,50.5,50.5,50.5,0
20221222,50.5,50.5,50.5,50.5,0
20221223,50.5,50.5,50.5,50.5,0
20221228,50.5,50.5,50.5,50.5,0
20221229,50.5,50.5,50.5,50.5,0
20221230,50.5,50.5,50.5,50.5,0
20230103,50.5,50.5,50.5,50.5,0
20230104,50.5,50.5,50.5,50.5,0
20230105,50.5,50.5,50.5,50.5,0
20230106,50.5,50.5,50.5,50.5,0
20230109,50.5,50.5,50.5,50.5,0
20230110,50.5,50.5,50.5,50.5,0
20230111,50.5,50.5,50.5,50.5,0
20230112,50.5,50.5,50.5,50.5,0
20230113,50.5,50.5,50.5,50.5,0
20230116,50.5,50.5,50.5,50.5,0
20230117,50.5,50.5,50.5,50.5,0
20230118,50.5,50.5,50.5,50.5,0
20230119,50.5,50.5,50.5,50.5,0
20230120,50.5,50.5,50.5,50.5,0
20230123,50.5,50.5,50.5,50.5,0
20230124,50.5,50.5,50.5,50.5,0
20230125,50.5,50.5,50.5,50.5,0
20230127,50.5,50.5,50.5,50.5,0
20230130,50.5,50.5,50.5,50.5,0
20230131,50.5,50.5,50.5,50.5,0
20230201,50.5,50.5,50.5,50.5,0
20230202,50.5,50.5,50.5,50.5,0
20230203,50.5,50.5,50.5,50.5,0
20230206,50.5,50.5,50.5,50.5,0
20230207,50.5,50.5,50.5,50.5,0
20230208,50.5,50.5,50.5,50.5,0
20230209,50.5,50.5,50.5,50.5,0
20230210,50.5,50.5,50.5,50.5,0
20230213,50.5,50.5,50.5,50.5,0
20230214,50.5,50.5,50.5,50.5,0
20230215,50.5,50.5,50.5,50.5,0
20230216,50.5,50.5,50.5,50.5,0
20230217,50.5,50.5,50.5,50.5,0
20230220,50.5,50.5,50.5,50.5,0
20230221,52.2,52.2,52.2,52.2,97
20230222,52.2,52.2,52.2,52.2,0
20230223,52.2,52.2,52.2,52.2,0
20230224,52.24,52.25,52.24,52.25,1300
20230227,52.25,52.25,52.25,52.25,0
20230228,52.25,52.25,52.25,52.25,0
20230301,52.25,52.25,52.25,52.25,0
20230302,52.25,52.25,52.25,52.25,0
20230303,52.25,52.25,52.25,52.25,0
20230306,52.25,52.25,52.25,52.25,0
20230307,52.25,52.25,52.25,52.25,0
20230308,53.74,53.81,53.72,53.81,800
20230309,53.81,53.81,53.81,53.81,0
20230310,53.81,53.81,53.81,53.81,0
20230313,53.81,53.81,53.81,53.81,0
20230314,53.81,53.81,53.81,53.81,0
20230315,53.81,53.81,53.81,53.81,0
20230316,53.81,53.81,53.81,53.81,0
20230317,53.81,53.81,53.81,53.81,0
20230320,53.81,53.81,53.81,53.81,0
20230321,53.81,53.81,53.81,53.81,0
20230322,53.81,53.81,53.81,53.81,0
20230323,52.35,52.35,52.35,52.35,111
20230324,52.35,52.35,52.35,52.35,0
20230327,52.35,52.35,52.35,52.35,0
20230328,52.35,52.35,52.35,52.35,0
20230329,52.35,52.35,52.35,52.35,0
20230330,52.35,52.35,52.35,52.35,0
20230331,52.35,52.35,52.35,52.35,0
20230403,52.35,52.35,52.35,52.35,0
20230404,52.35,52.35,52.35,52.35,0
20230405,52.35,52.35,52.35,52.35,0
20230406,54.09,54.09,54.09,54.09,261
20230411,54.09,54.09,54.09,54.09,0
20230412,54.09,54.09,54.09,54.09,0
20230413,54.09,54.09,54.09,54.09,0
20230414,54.09,54.09,54.09,54.09,0
20230417,54.09,54.09,54.09,54.09,0
20230418,54.09,54.09,54.09,54.09,0
20230419,54.09,54.09,54.09,54.09,0
20230420,54.09,54.09,54.09,54.09,0
20230421,54.09,54.09,54.09,54.09,0
20230424,55.15,55.15,55.15,55.15,1500
20230426,55.15,55.15,55.15,55.15,0
20230427,55.15,55.15,55.15,55.15,400
20230428,55.15,55.15,55.15,55.15,0
20230501,55.15,55.15,55.15,55.15,0
20230502,55.15,55.15,55.15,55.15,0
20230503,55.15,55.15,55.15,55.15,0
20230504,55.15,55.15,55.15,55.15,0
20230505,55.15,55.15,55.15,55.15,0
20230508,55.15,55.15,55.15,55.15,0
20230509,55.15,55.15,55.15,55.15,0
20230510,55.15,55.15,55.15,55.15,0
20230511,55.15,55.15,55.15,55.15,0
20230512,55.15,55.15,55.15,55.15,0
20230515,55.15,55.15,55.15,55.15,0
20230516,55.15,55.15,55.15,55.15,0
20230517,55.15,55.15,55.15,55.15,0
20230518,56,56,56,56,105
20230519,56,56,56,56,0
20230522,56,56,56,56,0
20230523,56,56,56,56,0
20230524,56,56,56,56,0
20230525,56.34,56.34,56.34,56.34,400
20230526,56.34,56.34,56.34,56.34,0
20230529,57.36,57.36,57.36,57.36,157
20230530,57.36,57.36,57.36,57.36,0
20230531,57.36,57.36,57.36,57.36,0
20230601,57.36,57.36,57.36,57.36,0
20230602,57.36,57.36,57.36,57.36,0
20230605,57.48,57.48,57.48,57.48,210
20230606,57.48,57.48,57.48,57.48,0
20230607,57.48,57.48,57.48,57.48,0
20230608,57.5,57.5,57.5,57.5,314
20230609,57.5,57.5,56.81,56.81,486
20230613,56.98,56.98,56.98,56.98,500
20230614,57.07,57.07,57.07,57.07,1350
20230615,57.07,57.07,57.07,57.07,0
20230616,57.07,57.07,57.07,57.07,0
20230619,56.96,56.96,56.78,56.78,877
20230620,56.75,56.75,56.75,56.75,1
20230621,57.04,57.04,57.04,57.04,3506
20230622,56.82,56.82,56.82,56.82,1760
20230623,56.82,56.82,56.82,56.82,0
20230626,56.82,56.82,56.82,56.82,0
20230627,56.82,56.82,56.82,56.82,0
20230628,56.82,56.82,56.82,56.82,0
20230629,58.54,58.55,58.5,58.51,1100
20230630,58.53,59,58.53,59,125
20230703,58.31,58.33,58.3,58.3,307
20230704,58.3,58.3,58.3,58.3,0
20230705,58.3,58.3,58.3,58.3,0
20230706,58.3,58.3,58.3,58.3,0
20230707,58.3,58.3,58.3,58.3,0
20230710,58.3,58.3,58.3,58.3,0
20230711,58.3,58.3,58.3,58.3,0
20230712,58.3,58.3,58.3,58.3,0
20230713,57.49,57.49,57.45,57.45,760
20230714,57.09,57.13,57.09,57.13,1850
20230717,57.13,57.13,57.13,57.13,0
20230718,57.81,57.81,57.75,57.75,4105
20230719,58.36,58.54,58.1,58.53,8250
20230720,58.61,58.61,58.21,58.22,5115
20230721,58.28,58.49,58.28,58.48,8629
20230724,58.81,58.84,58.75,58.76,3904
20230725,58.92,58.92,58.63,58.64,7659
20230726,58.63,58.82,58.63,58.82,1085
20230727,58.83,58.83,58.55,58.71,4918
20230728,59.17,59.5,59.17,59.5,3980
20230731,59.89,60.05,59.72,60.05,5729
20230801,59.7,59.81,59.61,59.69,2662
20230802,60.15,60.2,60.1,60.2,1415
20230803,60.18,60.18,60.12,60.12,1005
20230804,59.82,59.82,59.82,59.82,85
20230807,59.69,59.69,59.69,59.69,170
20230808,59.69,59.69,59.69,59.69,0
20230809,59.87,59.87,59.87,59.87,502
20230810,59.87,59.87,59.87,59.87,0
20230811,59.84,59.84,59.84,59.84,2
20230814,59.84,59.84,59.84,59.84,0
20230815,59.84,59.84,59.84,59.84,0
20230816,59.84,59.84,59.84,59.84,0
20230817,59.84,59.84,59.84,59.84,0
20230818,59.84,59.84,59.84,59.84,0
20230821,59.84,59.84,59.84,59.84,0
20230822,59.84,59.84,59.84,59.84,0
20230823,59.84,59.84,59.84,59.84,0
20230824,59.84,59.84,59.84,59.84,0
20230825,59.44,59.45,59.44,59.45,2490
20230828,59.45,59.45,59.45,59.45,0
20230829,59.45,59.45,59.45,59.45,0
20230830,59.45,59.45,59.45,59.45,0
20230831,59.45,59.45,59.45,59.45,0
20230901,60.71,60.71,60.71,60.71,1771
20230904,60.77,60.87,60.77,60.83,1481
20230905,60.83,60.84,60.83,60.84,2
20230906,61.41,61.41,61.19,61.21,2475
20230907,61.21,61.21,61.21,61.21,0
20230908,61.21,61.21,61.21,61.21,0
20230911,60.81,60.81,60.81,60.81,65
20230912,60.81,60.81,60.81,60.81,0
20230913,60.81,60.81,60.81,60.81,0
20230914,60.81,60.81,60.81,60.81,0
20230915,60.77,60.96,60.77,60.83,112
20230918,60.83,60.83,60.47,60.47,1479
20230919,60.39,60.39,60.38,60.38,271
20230920,60.38,60.38,60.38,60.38,0
20230921,60,60,60,60,500
20230922,60,60,59.16,59.18,429
20230925,59.18,59.18,59.18,59.18,0
20230926,58.71,58.71,58.71,58.71,120
20230927,58.71,58.71,58.71,58.71,0
20230928,58.88,58.88,58.67,58.77,152
20230929,58.33,58.33,58.31,58.31,890
20231002,58.84,58.85,58.84,58.85,5685
20231003,58.62,58.97,58.51,58.97,362
20231004,58.97,58.97,58.97,58.97,0
20231005,58.97,58.97,58.97,58.97,0
20231006,58.97,58.97,58.97,58.97,0
20231009,58.5,58.54,58.5,58.54,4129
20231010,58.62,58.62,58.62,58.62,6
20231011,59.14,59.14,59.14,59.14,16
20231012,59.77,59.77,59.77,59.77,16
20231013,60.13,60.13,60.13,60.13,18
20231016,60.13,60.13,60.13,60.13,0
20231017,59.92,59.92,59.92,59.92,16
20231018,59.92,59.92,59.92,59.92,0
20231019,59.52,59.52,59.5,59.52,14796
20231020,59.52,59.52,58.83,58.83,17
20231023,58.83,58.83,58.46,58.46,851
20231024,58.03,58.03,58.03,58.03,499
20231025,58.03,58.03,58.03,58.03,0
20231026,58.03,58.03,58.03,58.03,0
20231027,58.03,58.03,58.03,58.03,0
20231030,58.03,58.03,58.03,58.03,2
20231031,58.03,58.03,58.03,58.03,0
20231101,58.03,58.03,58.03,58.03,0
20231102,57.96,57.96,57.84,57.85,13627
20231103,57.85,57.85,57.85,57.85,0
20231106,58.54,58.54,58.29,58.29,235
20231107,58.29,58.74,58.29,58.74,14
20231108,58.74,58.74,58.74,58.74,0
20231109,59.5,59.5,59.5,59.5,16
20231110,59.64,59.64,59.64,59.64,3
20231113,60.23,60.23,60.23,60.23,16
20231114,60.24,60.31,60.02,60.03,32
20231115,60.03,60.03,60.03,60.03,0
20231116,60.03,60.03,60.03,60.03,0
20231117,60.86,60.86,60.85,60.85,241
20231120,60.85,60.85,60.85,60.85,0
20231121,60.85,60.85,60.85,60.85,0
20231122,60.49,60.49,60.49,60.49,246
20231123,60.49,60.49,60.49,60.49,5
20231124,60.49,60.49,60.49,60.49,0
20231127,60.49,60.49,60.49,60.49,0
20231128,59.89,60.11,59.89,60.11,1103
20231129,59.85,59.85,59.85,59.85,7
20231130,60.02,60.02,60.02,60.02,1
20231201,60.02,60.02,60.02,60.02,0
20231204,60.3,60.3,60.3,60.3,1000
20231205,60.17,60.69,60.17,60.69,765
20231206,60.69,60.69,60.69,60.69,0
20231207,60.69,60.69,60.69,60.69,0
20231208,60.69,60.69,60.69,60.69,0
20231211,61,61.34,61,61.13,2337
20231212,61.13,61.13,61.13,61.13,0
20231213,61.57,61.57,61.57,61.57,212
20231214,61.57,61.57,61.57,61.57,0
20231215,61.57,61.57,61.57,61.57,0
20231218,61.51,61.51,61.44,61.5,6808
20231219,61.5,61.5,61.5,61.5,0
20231220,61.4,61.4,61.4,61.4,142
20231221,60.73,61.06,60.71,61.06,18663
20231222,61.17,61.17,61.17,61.17,1710
20231227,61.25,61.25,60.97,61.22,958
20231228,61.22,61.22,61.22,61.22,0
20231229,61.22,61.22,61.22,61.22,0
20240102,61.22,61.22,61.22,61.22,0
20240103,61.18,61.18,61.18,61.18,1000
20240104,61.18,61.18,61.18,61.18,0
20240105,61.18,61.18,61.18,61.18,0
20240108,61.18,61.18,61.18,61.18,0
20240109,61.18,61.18,61.18,61.18,0
20240110,61.73,61.73,61.71,61.71,230
20240111,62.33,62.33,62.33,62.33,1800
20240112,62.33,62.33,62.33,62.33,0
20240115,62.33,62.33,62.33,62.33,0
20240116,62.55,62.55,62.55,62.55,15
20240117,62.9,62.9,62.9,62.9,47
20240118,62.96,62.96,62.71,62.71,17
20240119,63.26,63.26,63.1,63.1,16
20240122,63.1,63.1,63.1,63.1,0
20240123,63.1,63.1,63.1,63.1,0
20240124,64,64,64,64,130
20240125,64.19,64.19,64.08,64.08,2
20240129,64.08,64.08,64.08,64.08,0
20240130,64.08,64.08,64.08,64.08,0
20240131,64.08,64.08,64.08,64.08,0
20240201,64.52,64.52,64.52,64.52,796
20240202,64.52,64.52,64.52,64.52,0
20240205,65.78,65.78,65.78,65.78,10
20240206,65.73,65.87,65.73,65.87,763
20240207,65.76,65.76,65.57,65.65,75
20240208,65.65,65.65,65.65,65.65,0
20240209,65.65,65.65,65.65,65.65,0
20240212,65.65,65.65,65.65,65.65,0
20240213,65.65,65.65,65.65,65.65,0
20240214,66.39,66.58,66.39,66.39,3575
20240215,66.39,66.39,66.39,66.39,0
20240216,66.88,66.97,66.74,66.97,51
20240219,66.48,66.49,66.43,66.47,436
20240220,66.58,66.58,66.51,66.51,379
20240221,65.88,65.88,65.55,65.55,510
20240222,65.55,65.55,65.55,65.55,0
20240223,66.97,66.97,66.97,66.97,43
20240226,67.25,67.25,66.89,66.89,788
20240227,67.42,67.42,67.42,67.42,370
20240228,67.22,67.26,67.22,67.26,522
20240229,67.26,67.26,67.26,67.26,0
20240301,67.93,67.93,67.93,67.93,37
20240304,67.93,68.19,67.93,68.19,525
20240305,68.4,68.4,68.11,68.11,2060
20240306,68.11,68.11,68.11,68.11,0
20240307,68.11,68.11,68.11,68.11,0
20240308,67.91,67.93,67.9,67.9,426
20240311,67.42,67.42,67.42,67.42,10
20240312,67.22,67.22,67.22,67.22,2
20240313,67.22,67.22,67.22,67.22,0
20240314,68.21,68.21,68.21,68.21,1000
20240315,68.21,68.21,68.21,68.21,0
20240318,68.15,68.21,68.08,68.18,1521
20240319,68.41,68.42,68.21,68.21,841
20240320,68.93,69,68.79,68.8,1052
20240321,69.09,69.09,68.79,68.85,300
20240322,69.52,69.52,69.35,69.35,105
20240325,69.86,69.86,69.36,69.36,78
20240326,69.52,69.52,69.33,69.37,2949
20240327,69.54,69.77,69.54,69.72,64
20240328,69.94,70,69.81,69.81,72
20240402,69.81,69.81,69.81,69.81,0
20240403,69.81,69.81,69.03,69.03,133
20240404,69.09,69.19,69.09,69.19,51
20240405,68.09,68.09,68.09,68.09,100
20240408,68.95,68.95,68.94,68.94,556
20240409,68.86,68.86,68.31,68.49,253
20240410,68.45,68.45,68.45,68.45,730
20240411,68.83,68.83,68.83,68.83,1162
20240412,68.83,68.83,68.83,68.83,0
20240415,69.06,69.06,68.78,68.78,374
20240416,68.41,68.41,68.41,68.41,311
20240417,68.41,68.41,68.41,68.41,20
20240418,68.41,68.41,67.77,67.88,572
20240419,67.85,67.85,67.54,67.54,10
20240422,68,68,67.35,67.78,786
20240423,67.98,67.98,67.76,67.76,1192
20240424,68.4,68.4,68.3,68.3,800
20240426,68.5,68.5,68.5,68.5,1
20240429,68.1,68.31,67.84,67.84,191
20240430,68.04,68.33,68.04,68.33,866
20240501,68.41,68.41,67.95,67.95,1657
20240502,68.15,68.15,67.57,67.57,1717
20240503,67.52,67.52,67.29,67.44,1635
20240506,67.77,67.77,67.71,67.71,229
20240507,68.06,68.26,68.06,68.26,1113
20240508,68.92,68.92,68.69,68.69,607
20240509,69.07,69.07,68.91,68.91,623
