Date,Open,High,Low,Close,Volume
20231117,50.51,50.51,50.51,50.51,2
20231120,50.51,50.51,50.51,50.51,0
20231121,50.51,50.51,50.51,50.51,0
20231122,50.51,50.51,50.51,50.51,0
20231123,50.51,50.51,50.51,50.51,0
20231124,50.51,50.51,50.51,50.51,0
20231127,50.51,50.51,50.51,50.51,0
20231128,50.51,50.51,50.51,50.51,0
20231129,50.51,50.51,50.51,50.51,0
20231130,50.51,50.51,50.51,50.51,0
20231201,50.51,50.51,50.51,50.51,0
20231204,50.51,50.51,50.51,50.51,0
20231205,50.51,50.51,50.51,50.51,0
20231206,50.51,50.51,50.51,50.51,0
20231207,50.51,50.51,50.51,50.51,0
20231208,50.51,50.51,50.51,50.51,0
20231211,50.51,50.51,50.51,50.51,0
20231212,50.51,50.51,50.51,50.51,0
20231213,50.51,50.51,50.51,50.51,0
20231214,50.51,50.51,50.51,50.51,0
20231215,50.51,50.51,50.51,50.51,0
20231218,50.51,50.51,50.51,50.51,0
20231219,50.51,50.51,50.51,50.51,0
20231220,53.24,53.24,53.24,53.24,168
20231221,53.24,53.24,53.24,53.24,0
20231222,53.24,53.24,53.24,53.24,0
20231227,53.24,53.24,53.24,53.24,0
20231228,53.24,53.24,53.24,53.24,0
20231229,53.24,53.24,53.24,53.24,0
20240102,52.99,52.99,52.99,52.99,112
20240103,52.99,52.99,52.99,52.99,0
20240104,52.99,52.99,52.99,52.99,0
20240105,52.99,52.99,52.99,52.99,0
20240108,52.26,52.26,52.26,52.26,85
20240109,52.88,52.88,52.88,52.88,376
20240110,52.88,52.88,52.88,52.88,0
20240111,52.88,52.88,52.88,52.88,0
20240112,52.88,52.88,52.88,52.88,0
20240115,52.88,52.88,52.88,52.88,0
20240116,52.88,52.88,52.88,52.88,0
20240117,52.88,52.88,52.88,52.88,0
20240118,52.88,52.88,52.88,52.88,0
20240119,52.88,52.88,52.88,52.88,0
20240122,54.14,54.14,54.14,54.14,100
20240123,54.14,54.14,54.14,54.14,0
20240124,54.14,54.14,54.14,54.14,0
20240125,54.14,54.14,54.14,54.14,0
20240129,54.14,54.14,54.14,54.14,0
20240130,54.14,54.14,54.14,54.14,0
20240131,54.14,54.14,54.14,54.14,0
20240201,54.45,54.45,54.45,54.45,87
20240202,54.45,54.45,54.45,54.45,0
20240205,54.45,54.45,54.45,54.45,0
20240206,54.45,54.45,54.45,54.45,0
20240207,54.45,54.45,54.45,54.45,0
20240208,54.45,54.45,54.45,54.45,0
20240209,54.45,54.45,54.45,54.45,0
20240212,54.45,54.45,54.45,54.45,0
20240213,54.45,54.45,54.45,54.45,0
20240214,54.45,54.45,54.45,54.45,0
20240215,54.45,54.45,54.45,54.45,0
20240216,54.45,54.45,54.45,54.45,0
20240219,54.45,54.45,54.45,54.45,0
20240220,54.45,54.45,54.45,54.45,0
20240221,54.45,54.45,54.45,54.45,0
20240222,56.15,56.15,56.15,56.15,289
20240223,56.15,56.15,56.15,56.15,0
20240226,56.15,56.15,56.15,56.15,0
20240227,56.65,56.65,56.65,56.65,603
20240228,56.65,56.65,56.65,56.65,0
20240229,56.65,56.65,56.65,56.65,0
20240301,56.79,56.79,56.79,56.79,1
20240304,56.79,56.79,56.79,56.79,0
20240305,57.36,57.38,57.36,57.38,48
20240306,57.38,57.38,57.38,57.38,0
20240307,57.38,57.38,57.38,57.38,0
20240308,57.38,57.38,57.38,57.38,0
20240311,57.38,57.38,57.38,57.38,0
20240312,57.38,57.38,57.38,57.38,0
20240313,57.38,57.38,57.38,57.38,0
20240314,57.38,57.38,57.38,57.38,0
20240315,57.38,57.38,57.38,57.38,0
20240318,57.38,57.38,57.38,57.38,0
20240319,57.66,57.66,57.66,57.66,27
20240320,57.95,57.95,57.95,57.95,18
20240321,57.95,57.95,57.95,57.95,0
20240322,58.76,58.76,58.74,58.74,58
20240325,58.74,58.74,58.74,58.74,0
20240326,58.74,58.74,58.74,58.74,0
20240327,58.74,58.74,58.74,58.74,0
20240328,58.74,58.74,58.74,58.74,0
20240402,58.74,58.74,58.74,58.74,0
20240403,58.74,58.74,58.74,58.74,0
20240404,58.69,58.69,58.69,58.69,59
20240405,57.86,57.86,57.86,57.86,500
20240408,57.86,57.86,57.86,57.86,0
20240409,58.47,58.47,58.47,58.47,1557
20240410,58.27,58.3,58.27,58.29,2013
20240411,58.29,58.29,58.29,58.29,0
20240412,58.39,58.39,58.38,58.38,311
20240415,57.6,57.65,57.6,57.65,1349
20240416,56.98,56.99,56.98,56.99,458
20240417,56.99,56.99,56.99,56.99,0
20240418,56.89,56.89,56.89,56.89,48
20240419,56.1,56.1,56.1,56.1,11
