Date,Open,High,Low,Close,Volume
20220330,30.01,30.01,29.96,29.96,6000
20220331,30.38,30.38,30.38,30.38,2000
20220401,30.38,30.38,30.38,30.38,0
20220404,30.38,30.38,30.38,30.38,0
20220405,30.38,30.38,30.38,30.38,0
20220406,30.36,30.36,30.36,30.36,17
20220407,30,30,30,30,666
20220408,30,30,30,30,0
20220411,30,30,30,30,0
20220412,30.54,30.54,30.54,30.54,45
20220413,30.54,30.54,30.54,30.54,0
20220414,30.72,30.75,30.72,30.75,5036
20220419,30.75,30.75,30.75,30.75,0
20220420,30.75,30.75,30.75,30.75,0
20220421,31.37,31.37,31.37,31.37,9000
20220422,31.37,31.37,31.37,31.37,0
20220426,31.37,31.37,31.37,31.37,0
20220427,29.98,29.98,29.22,29.22,36000
20220428,29.22,29.22,29.22,29.22,0
20220429,29.64,29.64,29.64,29.64,2000
20220502,30,30,29.5,29.5,83
20220503,29.5,29.5,29.5,29.5,0
20220504,29.51,29.51,29.51,29.51,168
20220505,29.51,29.51,29.51,29.51,0
20220506,29.51,29.51,29.51,29.51,0
20220509,29.51,29.51,29.51,29.51,0
20220510,29.51,29.51,29.51,29.51,0
20220511,29.51,29.51,29.51,29.51,0
20220512,26.69,26.69,26.69,26.69,2000
20220513,26.69,26.69,26.69,26.69,1000
20220516,26.69,26.69,26.69,26.69,0
20220517,27.54,27.54,27.54,27.54,935
20220518,28.24,28.24,28.24,28.24,923
20220519,28.24,28.24,28.24,28.24,0
20220520,28.24,28.24,28.24,28.24,0
20220523,28.24,28.24,28.24,28.24,0
20220524,28.24,28.24,28.24,28.24,0
20220525,28.24,28.24,28.24,28.24,0
20220526,28.24,28.24,28.24,28.24,0
20220527,28.24,28.24,28.24,28.24,0
20220530,28.24,28.24,28.24,28.24,0
20220531,28.24,28.24,28.24,28.24,0
20220601,28.24,28.24,28.24,28.24,0
20220602,28.24,28.24,28.24,28.24,0
20220603,28.24,28.24,28.24,28.24,0
20220606,28.24,28.24,28.24,28.24,0
20220607,28.66,28.66,28.66,28.66,1038
20220608,28.66,28.66,28.66,28.66,0
20220609,28.66,28.66,28.66,28.66,0
20220610,28.66,28.66,28.66,28.66,0
20220614,27.11,27.11,27.11,27.11,700
20220615,27,27,27,27,368
20220616,27,27,27,27,0
20220617,27,27,27,27,0
20220620,27,27,27,27,0
20220621,25.32,25.32,25.32,25.32,5
20220622,25.32,25.32,25.32,25.32,0
20220623,24.67,24.67,24.62,24.62,976
20220624,24.62,24.62,24.62,24.62,0
20220627,24.36,24.36,24.36,24.36,440
20220628,24.36,24.36,24.36,24.36,0
20220629,24.36,24.36,24.36,24.36,0
20220630,24.36,24.36,24.36,24.36,0
20220701,24.36,24.36,24.36,24.36,0
20220704,24.26,24.26,24.26,24.26,1957
20220705,24.03,24.03,24.03,24.03,702
20220706,24.03,24.03,24.03,24.03,0
20220707,24.03,24.03,24.03,24.03,0
20220708,24.03,24.03,24.03,24.03,0
20220711,24.03,24.03,24.03,24.03,0
20220712,24.03,24.03,24.03,24.03,0
20220713,24.03,24.03,24.03,24.03,0
20220714,24.03,24.03,24.03,24.03,0
20220715,22.94,22.94,22.94,22.94,196
20220718,22.935,22.935,22.935,22.935,22
20220719,22.935,22.935,22.935,22.935,0
20220720,23.86,23.86,23.86,23.86,588
20220721,23.86,23.86,23.86,23.86,0
20220722,23.86,23.86,23.86,23.86,0
20220725,23.86,23.86,23.86,23.86,0
20220726,23.86,23.86,23.86,23.86,0
20220727,23.86,23.86,23.86,23.86,0
20220728,23.86,23.86,23.86,23.86,0
20220729,23.86,23.86,23.86,23.86,0
20220801,23.86,23.86,23.86,23.86,0
20220802,23.86,23.86,23.86,23.86,0
20220803,23.86,23.86,23.86,23.86,0
20220804,23.86,23.86,23.86,23.86,0
20220805,24.99,24.99,24.99,24.99,1
20220808,24.99,24.99,24.99,24.99,0
20220809,24.99,24.99,24.99,24.99,0
20220810,24.99,24.99,24.99,24.99,0
20220811,25.98,25.98,25.95,25.95,1434
20220812,25.87,25.9,25.87,25.9,200
20220815,25.9,25.9,25.9,25.9,0
20220816,25.9,25.9,25.9,25.9,0
20220817,26.29,26.29,26.29,26.29,300
20220818,26.29,26.29,26.29,26.29,0
20220819,26.29,26.29,26.29,26.29,0
20220822,26,26,26,26,20
20220823,25.6,25.6,25.6,25.6,700
20220824,25.91,25.91,25.91,25.91,100
20220825,25.91,25.91,25.91,25.91,0
20220826,25.91,25.91,25.91,25.91,0
20220829,25.97,25.97,25.97,25.97,3000
20220830,25.97,25.97,25.97,25.97,0
20220831,25.97,25.97,25.97,25.97,0
20220901,25.97,25.97,25.97,25.97,0
20220902,25.97,25.97,25.97,25.97,0
20220905,25.19,25.29,25.19,25.29,3230
20220906,25.29,25.29,25.29,25.29,0
20220907,25.29,25.29,25.29,25.29,0
20220908,25.29,25.29,25.29,25.29,0
20220909,25.29,25.29,25.29,25.29,0
20220912,25.29,25.29,25.29,25.29,0
20220913,26.64,26.64,26.64,26.64,1
20220914,26.64,26.64,26.64,26.64,0
20220915,26.64,26.64,26.64,26.64,0
20220916,26.64,26.64,26.64,26.64,0
20220919,26.64,26.64,26.64,26.64,0
20220920,26.64,26.64,26.64,26.64,0
20220921,25.28,25.38,25.28,25.38,1671
20220923,25.25,25.25,24.76,25.07,1835
20220926,24.12,24.12,24.09,24.09,3000
20220927,24.09,24.09,24.09,24.09,0
20220928,24.09,24.09,24.09,24.09,0
20220929,24.28,24.45,24.28,24.45,1305
20220930,24.45,24.45,24.45,24.45,0
20221003,24.45,24.45,24.45,24.45,0
20221004,24.67,24.85,24.67,24.85,2600
20221005,25.24,25.24,25.24,25.24,1200
20221006,25.54,25.56,25.54,25.56,350
20221007,25.56,25.56,25.56,25.56,0
20221010,25.56,25.56,25.56,25.56,0
20221011,25.06,25.06,25.06,25.06,1500
20221012,25.06,25.06,25.06,25.06,0
20221013,25.06,25.06,25.06,25.06,0
20221014,25.06,25.06,25.06,25.06,0
20221017,25.06,25.06,25.06,25.06,0
20221018,25.23,25.23,25.22,25.22,440
20221019,25.22,25.22,25.22,25.22,0
20221020,25.22,25.22,25.22,25.22,0
20221021,25.22,25.22,25.22,25.22,0
20221024,25.65,25.65,25.65,25.65,261
20221025,25.75,25.84,25.75,25.75,235
20221026,25.75,25.75,25.75,25.75,0
20221027,26,26,26,26,100
20221028,26,26,26,26,0
20221031,25.85,25.85,25.85,25.85,84
20221101,25.8,25.8,25.8,25.8,100
20221102,25.8,25.8,25.8,25.8,0
20221103,25.8,25.8,25.8,25.8,0
20221104,25.8,25.8,25.8,25.8,0
20221107,26.13,26.13,26.13,26.13,147
