Date,Open,High,Low,Close,Volume
20151215,2.48,2.48,2.48,2.48,30000
20151216,2.48,2.48,2.48,2.48,0
20151217,2.48,2.49,2.48,2.49,88500
20151218,2.49,2.49,2.49,2.49,0
20151221,2.49,2.49,2.49,2.49,0
20151222,2.49,2.49,2.49,2.49,0
20151223,2.49,2.49,2.49,2.49,0
20151224,2.49,2.49,2.49,2.49,0
20151229,2.49,2.49,2.49,2.49,0
20151230,2.55,2.55,2.55,2.55,155353
20151231,2.55,2.55,2.55,2.55,0
20160104,2.56,2.56,2.56,2.56,1000
20160105,2.56,2.56,2.56,2.56,0
20160106,2.56,2.56,2.56,2.56,0
20160107,2.5,2.5,2.5,2.5,2400
20160108,2.5,2.5,2.5,2.5,0
20160111,2.36,2.36,2.36,2.36,8431
20160112,2.36,2.36,2.36,2.36,0
20160113,2.36,2.36,2.36,2.36,0
20160114,2.36,2.36,2.36,2.36,0
20160115,2.36,2.36,2.36,2.36,0
20160118,2.35,2.35,2.35,2.35,9000
20160119,2.35,2.35,2.35,2.35,0
20160120,2.35,2.35,2.35,2.35,0
20160121,2.39,2.39,2.39,2.39,4150
20160122,2.42,2.42,2.36,2.36,60806
20160125,2.36,2.36,2.36,2.36,0
20160127,2.36,2.36,2.36,2.36,0
20160128,2.45,2.45,2.45,2.45,10000
20160129,2.46,2.46,2.46,2.46,2050
20160201,2.46,2.46,2.46,2.46,0
20160202,2.46,2.46,2.46,2.46,0
20160203,2.46,2.46,2.46,2.46,0
20160204,2.46,2.46,2.46,2.46,0
20160205,2.44,2.44,2.42,2.42,21670
20160208,2.43,2.43,2.43,2.43,2740
20160209,2.41,2.41,2.34,2.34,57883
20160210,2.34,2.34,2.34,2.34,0
20160211,2.36,2.36,2.29,2.29,49507
20160212,2.29,2.29,2.29,2.29,0
20160215,2.29,2.29,2.29,2.29,0
20160216,2.28,2.28,2.28,2.28,15074
20160217,2.29,2.29,2.29,2.29,14524
20160218,2.31,2.32,2.31,2.32,49457
20160219,2.31,2.31,2.31,2.31,82188
20160222,2.31,2.31,2.31,2.31,0
20160223,2.34,2.34,2.34,2.34,107998
20160224,2.34,2.34,2.34,2.34,0
20160225,2.35,2.35,2.35,2.35,64300
20160226,2.31,2.31,2.31,2.31,17225
20160229,2.31,2.31,2.31,2.31,0
20160301,2.31,2.31,2.31,2.31,0
20160302,2.33,2.33,2.33,2.33,4300
20160303,2.33,2.33,2.33,2.33,0
20160304,2.33,2.33,2.33,2.33,0
20160307,2.33,2.33,2.33,2.33,0
20160308,2.33,2.33,2.33,2.33,0
20160309,2.33,2.33,2.33,2.33,0
20160310,2.33,2.33,2.33,2.33,0
20160311,2.33,2.33,2.33,2.33,0
20160314,2.33,2.33,2.33,2.33,48089
20160315,2.33,2.33,2.33,2.33,0
20160316,2.33,2.33,2.33,2.33,0
20160317,2.33,2.33,2.33,2.33,0
20160318,2.37,2.37,2.33,2.33,40363
20160321,2.33,2.33,2.33,2.33,0
20160322,2.33,2.33,2.33,2.33,0
20160323,2.33,2.33,2.33,2.33,0
20160324,2.33,2.33,2.33,2.33,0
20160329,2.4,2.4,2.4,2.4,850
20160330,2.4,2.4,2.4,2.4,0
