Date,Open,High,Low,Close,Volume
20231122,4.99,5,4.99,5,451250
20231123,5.04,5.04,5.04,5.04,40500
20231124,5.03,5.03,5.03,5.03,122208
20231127,5.01,5.01,5.01,5.01,4000
20231128,4.99,4.99,4.96,4.96,39165
20231129,4.94,4.94,4.93,4.94,25100
20231130,4.97,4.97,4.97,4.97,4000
20231201,4.99,4.99,4.99,4.99,40080
20231204,5,5,5,5,10000
20231205,5,5,5,5,0
20231206,5.04,5.04,5.03,5.03,200959
20231207,5.06,5.06,5.06,5.06,8916
20231208,5.06,5.06,5.05,5.05,21128
20231211,5.08,5.09,5.08,5.09,17800
20231212,5.12,5.13,5.11,5.11,170942
20231213,5.14,5.15,5.14,5.15,19000
20231214,5.15,5.15,5.12,5.12,32235
20231215,5.11,5.11,5.1,5.11,31221
20231218,5.12,5.12,5.12,5.12,10031
20231219,5.15,5.15,5.14,5.14,121014
20231220,5.14,5.14,5.14,5.14,3263
20231221,5.11,5.12,5.08,5.12,81385
20231222,5.1,5.1,5.09,5.1,78202
20231227,5.12,5.12,5.11,5.11,50906
20231228,5.1,5.1,5.1,5.1,195
20231229,5.1,5.1,5.1,5.1,0
20240102,5.09,5.09,5.09,5.09,2
20240103,5.13,5.13,5.13,5.13,6000
20240104,5.11,5.11,5.11,5.11,3456
20240105,5.13,5.13,5.13,5.13,24493
20240108,5.16,5.16,5.16,5.16,1000
20240109,5.21,5.21,5.21,5.21,17500
20240110,5.23,5.23,5.22,5.22,23357
20240111,5.25,5.25,5.25,5.25,23983
20240112,5.26,5.26,5.26,5.26,15000
20240115,5.26,5.26,5.26,5.26,5654
20240116,5.29,5.29,5.29,5.29,10000
20240117,5.31,5.31,5.31,5.31,30470
20240118,5.31,5.31,5.31,5.31,0
20240119,5.35,5.36,5.35,5.36,110295
20240122,5.39,5.4,5.39,5.4,5945
20240123,5.42,5.42,5.4,5.4,10144
20240124,5.41,5.42,5.41,5.42,59005
20240125,5.42,5.42,5.42,5.42,0
20240129,5.44,5.44,5.43,5.43,24618
20240130,5.46,5.46,5.42,5.46,48130
20240131,5.49,5.51,5.49,5.51,23095
20240201,5.48,5.48,5.48,5.48,41520
20240202,5.57,5.57,5.56,5.56,12689
20240205,5.64,5.64,5.62,5.62,26332
20240206,5.62,5.62,5.61,5.61,10353
20240207,5.56,5.56,5.55,5.55,10773
20240208,5.65,5.65,5.64,5.65,80267
20240209,5.69,5.69,5.69,5.69,28855
20240212,5.68,5.68,5.67,5.68,13409
20240213,5.66,5.67,5.62,5.67,30849
20240214,5.6,5.6,5.59,5.59,41582
20240215,5.63,5.65,5.61,5.61,3663
20240216,5.63,5.64,5.63,5.64,1001
20240219,5.62,5.62,5.62,5.62,265
20240220,5.62,5.62,5.61,5.61,11073
20240221,5.56,5.56,5.55,5.55,3280
20240222,5.62,5.64,5.62,5.64,39361
20240223,5.68,5.68,5.67,5.67,112999
20240226,5.62,5.62,5.62,5.62,843
20240227,5.68,5.68,5.67,5.67,53384
20240228,5.65,5.67,5.64,5.67,107385
20240229,5.69,5.69,5.65,5.67,28590
20240301,5.71,5.71,5.71,5.71,31537
20240304,5.71,5.72,5.71,5.72,5321
20240305,5.71,5.71,5.7,5.71,66781
20240306,5.67,5.67,5.67,5.67,6200
20240307,5.63,5.63,5.61,5.61,17066
20240308,5.62,5.62,5.61,5.62,11234
20240311,5.58,5.6,5.55,5.6,14114
20240312,5.63,5.63,5.59,5.59,22350
20240313,5.66,5.66,5.65,5.65,43600
20240314,5.66,5.66,5.65,5.65,3748
20240315,5.73,5.73,5.73,5.73,10000
20240318,5.67,5.67,5.66,5.67,57363
20240319,5.69,5.71,5.69,5.71,27502
20240320,5.76,5.76,5.75,5.75,9036
20240321,5.77,5.77,5.75,5.75,71165
20240322,5.82,5.84,5.81,5.84,49602
20240325,5.83,5.83,5.78,5.78,19803
20240326,5.8,5.8,5.8,5.8,155201
20240327,5.83,5.84,5.83,5.84,98469
20240328,5.84,5.84,5.83,5.83,24790
20240402,5.81,5.85,5.81,5.84,56009
20240403,5.78,5.78,5.73,5.77,29782
20240404,5.76,5.77,5.76,5.76,14977
20240405,5.68,5.69,5.67,5.69,41910
20240408,5.76,5.76,5.75,5.75,22791
20240409,5.72,5.72,5.72,5.72,43500
20240410,5.68,5.68,5.68,5.68,2000
20240411,5.72,5.72,5.72,5.72,3923
20240412,5.73,5.74,5.73,5.74,14635
20240415,5.74,5.74,5.73,5.73,9537
20240416,5.7,5.71,5.7,5.71,30674
20240417,5.71,5.73,5.7,5.73,22551
20240418,5.69,5.69,5.68,5.68,5246
20240419,5.66,5.66,5.66,5.66,48619
20240422,5.65,5.66,5.65,5.66,54577
20240423,5.66,5.66,5.66,5.66,21435
20240424,5.68,5.68,5.68,5.68,600
20240426,5.68,5.68,5.68,5.68,3500
20240429,5.69,5.69,5.66,5.67,69972
20240430,5.65,5.68,5.65,5.68,22455
20240501,5.64,5.64,5.59,5.59,21249
20240502,5.61,5.61,5.58,5.6,65900
20240503,5.62,5.62,5.57,5.57,60054
20240506,5.62,5.62,5.61,5.62,41783
20240507,5.66,5.66,5.62,5.62,23017
20240508,5.69,5.72,5.69,5.72,28086
20240509,5.73,5.73,5.72,5.72,113288
20240510,5.75,5.76,5.74,5.75,41071
20240513,5.79,5.79,5.79,5.79,11196
20240514,5.74,5.75,5.73,5.73,24336
20240515,5.75,5.75,5.75,5.75,16403
20240516,5.77,5.78,5.76,5.78,34438
20240517,5.73,5.75,5.73,5.75,31589
20240520,5.72,5.72,5.67,5.72,44008
20240521,5.75,5.76,5.75,5.76,24211
20240522,5.74,5.74,5.73,5.74,9747
20240523,5.78,5.79,5.78,5.79,37639
20240524,5.73,5.74,5.73,5.74,2478
20240527,5.71,5.71,5.7,5.71,27911
20240528,5.7,5.7,5.65,5.7,4624
20240529,5.64,5.64,5.64,5.64,1697
20240530,5.62,5.62,5.62,5.62,4448
20240531,5.61,5.61,5.61,5.61,89
20240603,5.65,5.67,5.65,5.67,26250
20240604,5.67,5.67,5.59,5.61,94466
20240605,5.63,5.63,5.62,5.63,14454
20240606,5.66,5.66,5.66,5.66,7507
20240607,5.65,5.66,5.64,5.66,24422
20240611,5.71,5.71,5.67,5.67,3626
20240612,5.69,5.69,5.68,5.68,18840
20240613,5.72,5.72,5.72,5.72,2
20240614,5.71,5.71,5.7,5.7,67808
20240617,5.69,5.7,5.69,5.7,9287
20240618,5.73,5.74,5.73,5.73,86964
20240619,5.7,5.71,5.7,5.71,28339
20240620,5.66,5.71,5.66,5.71,4710
20240621,5.7,5.7,5.7,5.7,62606
20240624,5.73,5.73,5.73,5.73,11156
20240625,5.73,5.73,5.72,5.73,22901
20240626,5.73,5.73,5.7,5.7,56037
20240627,5.7,5.7,5.69,5.69,94717
20240628,5.76,5.77,5.76,5.76,40965
20240701,5.63,5.64,5.63,5.64,108500
20240702,5.64,5.64,5.64,5.64,728
20240703,5.66,5.66,5.65,5.65,19118
20240704,5.65,5.65,5.65,5.65,9733
20240705,5.63,5.63,5.6,5.6,35347
20240708,5.62,5.63,5.62,5.63,60917
20240709,5.64,5.64,5.61,5.64,9466
20240710,5.63,5.63,5.6,5.6,67451
20240711,5.63,5.63,5.63,5.63,58713
20240712,5.66,5.66,5.65,5.65,32519
20240715,5.7,5.7,5.7,5.7,35548
20240716,5.73,5.73,5.73,5.73,7861
20240717,5.78,5.78,5.77,5.77,49149
20240718,5.77,5.77,5.76,5.76,12874
20240719,5.72,5.73,5.69,5.69,22205
20240722,5.72,5.72,5.72,5.72,8880
20240723,5.78,5.78,5.78,5.78,10271
20240724,5.81,5.82,5.8,5.8,22093
20240725,5.77,5.79,5.77,5.77,45556
20240726,5.755,5.77,5.755,5.77,72920
20240729,5.86,5.86,5.86,5.86,2531
20240730,5.85,5.85,5.8,5.8,61547
20240731,5.91,6.02,5.91,5.99,11144
20240801,5.97,5.98,5.96,5.98,45938
20240802,5.89,5.89,5.86,5.88,36159
20240805,5.75,5.75,5.65,5.65,71212
20240806,5.66,5.71,5.66,5.7,53153
20240807,5.65,5.68,5.65,5.68,23018
20240808,5.62,5.63,5.61,5.61,70074
20240809,5.68,5.68,5.67,5.67,10507
20240812,5.7,5.7,5.7,5.7,35000
20240813,5.69,5.69,5.65,5.65,41404
20240814,5.72,5.73,5.72,5.73,1691
20240815,5.77,5.79,5.76,5.76,64299
20240816,5.84,5.84,5.83,5.84,50794
20240819,5.77,5.77,5.77,5.77,12064
20240820,5.78,5.78,5.75,5.78,40863
20240821,5.77,5.77,5.77,5.77,19811
20240822,5.8,5.81,5.76,5.76,61936
20240823,5.815,5.83,5.815,5.83,4264
20240826,5.8,5.81,5.8,5.81,29664
20240827,5.8,5.8,5.8,5.8,5750
20240828,5.78,5.79,5.78,5.79,19545
20240829,5.73,5.74,5.69,5.69,64239
20240830,5.77,5.8,5.76,5.8,6818
20240902,5.83,5.87,5.83,5.87,51830
20240903,5.85,5.88,5.85,5.88,78646
20240904,5.82,5.82,5.82,5.82,22635
20240905,5.81,5.81,5.8,5.8,115789
20240906,5.77,5.78,5.77,5.78,22068
20240909,5.78,5.8,5.78,5.8,7206
20240910,5.85,5.85,5.83,5.83,42563
20240911,5.88,5.88,5.86,5.86,19453
20240912,5.89,5.89,5.89,5.89,16657
20240913,5.91,5.91,5.91,5.91,10095
20240916,5.91,5.91,5.91,5.91,0
20240917,5.98,5.99,5.96,5.99,24508
20240918,6,6,5.96,5.98,4143
20240919,6,6.01,6,6,50904
20240920,5.99,5.99,5.95,5.99,24713
20240923,6,6,5.99,5.99,15002
20240924,5.96,5.96,5.94,5.94,1242894
20240925,5.88,5.88,5.88,5.88,27495
20240926,5.94,5.95,5.93,5.94,53924
20240927,5.92,5.93,5.89,5.89,25383
20240930,5.9,5.9,5.88,5.88,131231
20241001,5.86,5.88,5.86,5.88,429
20241002,5.83,5.85,5.82,5.85,49053
20241003,5.85,5.86,5.845,5.845,11938
20241004,5.85,5.87,5.85,5.86,55788
20241007,5.9,5.94,5.9,5.93,12994
20241008,5.91,5.91,5.89,5.89,12881
20241009,5.94,5.95,5.91,5.95,15641
20241010,6.02,6.03,5.99,6.02,11027
20241011,6,6,5.99,5.99,56070
20241014,6.04,6.04,6,6.03,8048
20241015,6.085,6.11,6.085,6.1,28077
20241016,6.11,6.13,6.09,6.09,57036
20241017,6.17,6.17,6.14,6.14,21965
20241018,6.15,6.15,6.14,6.15,47906
20241021,6.16,6.17,6.16,6.16,30193
20241022,6.18,6.18,6.14,6.14,27358
20241023,6.13,6.14,6.13,6.14,21149
20241024,6.15,6.16,6.15,6.15,40617
20241025,6.15,6.15,6.12,6.12,8935
20241028,6.16,6.17,6.13,6.17,2969
20241029,6.18,6.19,6.18,6.18,7824
20241030,6.24,6.24,6.21,6.24,151924
20241031,6.19,6.2,6.19,6.2,25840
20241101,6.09,6.13,6.08,6.13,13096
20241104,6.15,6.15,6.12,6.12,9889
20241105,6.14,6.16,6.14,6.15,9890
