Date,Open,High,Low,Close,Volume
20240202,19.55,19.55,19.42,19.46,250028
20240205,20.2,20.2,19.4,19.45,28598
20240206,19.45,19.45,19.31,19.34,8644
20240207,19.32,19.32,19.23,19.26,34322
20240208,19.29,19.29,19.28,19.28,2594
20240209,19.27,19.3,19.25,19.28,25178
20240212,19.26,19.26,19.22,19.22,8928
20240213,19.41,19.41,19.4,19.4,3359
20240214,19.39,19.39,19.15,19.17,19905
20240215,19.23,19.33,19.23,19.3,13027
20240216,19.38,19.61,19.38,19.6,3514
20240219,19.98,19.99,19.7,19.72,8978
20240220,19.95,19.95,19.63,19.63,5660
20240221,19.68,19.68,19.61,19.61,6010
20240222,19.74,19.74,19.69,19.69,13663
20240223,19.83,19.83,19.8,19.83,5091
20240226,19.85,19.85,19.77,19.81,29147
20240227,19.8,19.81,19.78,19.79,8753
20240228,19.84,19.84,19.82,19.82,6756
20240229,19.81,19.81,19.61,19.66,12562
20240301,19.66,19.66,19.5,19.54,20648
20240304,19.55,19.55,19.43,19.48,44856
20240305,19.49,19.53,19.49,19.52,53750
20240306,19.52,19.52,19.44,19.44,22885
20240307,19.61,19.61,19.4,19.58,32583
20240308,19.6,19.66,19.6,19.63,10462
20240311,19.7,19.7,19.63,19.63,8114
20240312,19.72,19.75,19.71,19.72,46720
20240313,19.85,19.85,19.79,19.8,978
20240314,19.81,19.81,19.78,19.79,16566
20240315,19.53,19.53,19.46,19.49,17111
20240318,19.8,19.8,19.57,19.64,10044
20240319,19.55,19.56,19.53,19.55,17076
20240320,19.56,19.56,19.53,19.55,3461
20240321,19.7,19.7,19.65,19.7,1572
20240322,19.79,19.79,19.77,19.78,3861
20240325,19.7,19.7,19.67,19.68,35584
20240326,19.94,20.19,19.82,19.82,8724
20240327,19.9,19.93,19.89,19.93,20513
20240328,20.3,20.3,20.01,20.03,39499
20240402,20,20,19.8,19.8,18036
20240403,19.88,19.88,19.83,19.87,4520
20240404,19.91,19.94,19.9,19.93,24601
20240405,19.83,19.83,19.76,19.78,23791
20240408,19.89,19.96,19.89,19.91,20543
20240409,19.95,19.96,19.9,19.96,45786
20240410,20.01,20.01,19.98,19.98,11576
20240411,20,20.08,19.85,19.93,13735
20240412,20.01,20.02,20,20.02,5263
20240415,19.99,19.99,19.79,19.82,26849
20240416,19.79,19.79,19.63,19.66,40338
20240417,19.76,19.76,19.67,19.67,29000
20240418,19.67,19.84,19.67,19.84,11700
20240419,19.88,19.88,19.69,19.71,916
20240422,20.05,20.12,20,20.11,9275
20240423,20.25,20.25,20.2,20.23,7056
20240424,20.3,20.32,20.3,20.31,6258
20240426,20.43,20.43,20.19,20.21,21197
20240429,20.31,20.51,20.31,20.46,21983
20240430,20.46,20.48,20.42,20.42,13915
20240501,20.46,20.46,20.2,20.21,26567
20240502,20.6,20.75,20.41,20.42,17496
20240503,20.22,20.22,20.13,20.16,29974
20240506,20.31,20.31,20.24,20.25,8648
20240507,20.42,20.47,20.4,20.47,14461
20240508,20.42,20.42,20.4,20.41,1671
20240509,20.4,20.4,20.35,20.35,1569
20240510,20.53,20.53,20.46,20.5,5625
20240513,20.4,20.56,20.4,20.51,31561
20240514,20.5,20.5,20.48,20.48,1023
20240515,20.52,20.62,20.52,20.62,10679
20240516,20.62,20.62,20.45,20.48,7157
20240517,20.46,20.46,20.38,20.38,5846
20240520,20.49,20.49,20.45,20.49,9755
20240521,20.71,20.71,20.47,20.49,40102
20240522,20.7,20.7,20.56,20.56,5820
20240523,20.54,20.54,20.38,20.44,36736
20240524,20.38,20.38,20.27,20.28,36029
20240527,20.64,20.65,20.4,20.4,35439
20240528,20.5,20.51,20.45,20.45,6391
20240529,20.46,20.46,20.37,20.39,9547
20240530,20.5,20.71,20.35,20.43,30876
20240531,20.54,20.57,20.54,20.56,12851
20240603,20.64,20.67,20.56,20.63,5858
20240604,20.63,20.64,20.6,20.64,3074
20240605,20.63,20.63,20.46,20.5,1764
20240606,20.62,20.62,20.52,20.52,9963
20240607,20.69,20.69,20.48,20.51,4618
20240611,20.76,20.76,20.46,20.49,47075
20240612,20.65,20.65,20.31,20.39,25453
20240613,20.41,20.41,20.35,20.35,4772
20240614,20.34,20.34,20.16,20.23,14493
20240617,20.18,20.24,20.18,20.24,1050
20240618,20.3,20.3,20.25,20.3,8340
20240619,20.27,20.27,20.21,20.27,24120
20240620,20.25,20.28,20.24,20.27,37642
20240621,20.29,20.31,20.25,20.27,2614
20240624,20.31,20.31,20.2,20.23,17039
20240625,20.39,20.43,20.37,20.43,25439
20240626,20.37,20.49,20.29,20.3,10650
