Date,Open,High,Low,Close,Volume
20200713,10.4,10.4,10.33,10.33,1750
20200714,10.33,10.33,9.56,9.73,4772
20200715,9.76,9.76,9.74,9.74,1428
20200716,9.5,9.5,9.47,9.47,738
20200717,9.47,9.47,9.47,9.47,604
20200720,9.61,9.61,9.46,9.46,1800
20200721,10.07,10.44,10.07,10.44,28062
20200722,10.07,10.07,10.05,10.05,1388
20200723,10.05,10.05,9.94,10,1806
20200724,9.27,9.37,9.14,9.19,28988
20200727,9.35,9.35,9.19,9.26,5666
20200728,9.65,9.74,9.65,9.65,7310
20200729,9.35,9.35,9.3,9.31,27207
20200730,9.6,9.6,9.54,9.55,11897
20200731,10.2,10.2,9.9,9.95,44707
20200803,10.05,10.12,10.05,10.12,31181
20200804,10.34,10.39,10.34,10.35,4944
20200805,10.36,10.45,10.36,10.45,3128
20200806,10.48,10.48,10.4,10.44,4973
20200807,10.75,10.81,10.68,10.68,3163
20200810,10.45,10.45,10.45,10.45,1000
20200811,10.46,10.46,10.46,10.46,250
20200812,10.18,10.18,9.95,10.01,12259
20200813,10.51,10.51,10.43,10.43,2801
20200814,10.65,10.66,10.65,10.66,2850
20200817,10.55,10.55,10.55,10.55,5000
20200818,10.82,10.82,10.82,10.82,481
20200819,11.1,11.12,11.09,11.09,10655
20200820,10.75,10.75,10.73,10.73,2431
20200821,11.32,11.32,11.31,11.31,9768
20200824,11.31,11.31,11.31,11.31,0
20200825,11.72,11.72,11.7,11.7,1989
20200826,11.85,11.85,11.84,11.84,10500
20200827,12.5,12.5,12.31,12.31,18496
20200828,12.33,12.45,12.31,12.38,1396
20200831,12.62,12.62,12.57,12.57,1330
20200901,12.71,12.79,12.71,12.79,11119
20200902,13.3,13.31,13.3,13.31,8750
20200903,13.39,13.39,13.39,13.39,3750
20200904,11.47,11.7,11.45,11.65,44722
20200907,11.02,11.12,10.97,10.99,37498
20200908,11.3,11.32,11.15,11.29,8055
20200909,10.48,10.48,9.94,10.41,55608
20200910,11.11,11.11,10.83,11,33090
20200911,10.57,10.7,10.55,10.7,22303
20200914,10.45,10.62,10.45,10.62,16122
20200915,10.7,10.78,10.6,10.78,24386
20200916,11.05,11.2,11,11.17,34889
20200917,10.86,10.86,10.25,10.25,59556
20200918,10.23,10.32,10.13,10.32,54653
20200921,10.04,10.04,9.77,9.77,58132
20200922,10.16,10.16,9.94,9.95,44401
20200923,10.35,10.42,10.33,10.42,52768
20200924,9.48,9.69,9.41,9.54,253816
20200925,9.9,9.96,9.89,9.92,99880
20200928,10.21,10.45,10.21,10.45,28126
20200929,10.72,10.95,10.72,10.93,45017
20200930,10.75,10.91,10.4,10.4,222401
20201001,10.9,11.03,10.9,10.98,57801
20201002,11.29,11.29,10.69,10.8,268466
20201005,10.67,10.78,10.66,10.73,140985
20201006,11.01,11.01,10.92,10.99,135098
20201007,10.43,10.63,10.37,10.61,261658
20201008,11.04,11.13,11.04,11.1,136570
20201009,11.25,11.3,11.24,11.28,149375
20201012,11.6,11.7,11.6,11.7,14434
20201013,12.41,12.45,12.32,12.35,58745
20201014,12.45,12.58,12.45,12.56,19456
20201015,12.13,12.13,11.9,11.94,88811
20201016,12.01,12.01,11.83,11.83,61865
20201019,11.94,11.94,11.94,11.94,83
20201020,11.5,11.55,11.45,11.48,26439
20201021,11.48,11.53,11.48,11.53,20519
20201022,11.33,11.33,11.25,11.28,32764
20201023,11.3,11.42,11.3,11.39,32896
20201026,11.28,11.3,11.27,11.3,18404
