Date,Open,High,Low,Close,Volume
20240801,1.69,1.71,1.69,1.7,276166
20240802,1.68,1.68,1.68,1.68,11900
20240805,1.65,1.65,1.65,1.65,135606
20240806,1.645,1.645,1.635,1.635,78298
20240807,1.635,1.635,1.635,1.635,0
20240808,1.65,1.65,1.65,1.65,30450
20240809,1.65,1.65,1.645,1.645,19719
20240812,1.645,1.645,1.645,1.645,0
20240813,1.65,1.65,1.65,1.65,11909
20240814,1.65,1.65,1.65,1.65,0
20240815,1.665,1.665,1.655,1.665,132125
20240816,1.665,1.665,1.665,1.665,0
20240819,1.665,1.665,1.665,1.665,12
20240820,1.675,1.675,1.675,1.675,6
20240821,1.655,1.665,1.655,1.665,70704
20240822,1.665,1.665,1.665,1.665,0
20240823,1.665,1.675,1.665,1.675,119400
20240826,1.665,1.675,1.665,1.675,122222
20240827,1.65,1.66,1.65,1.66,33443
20240828,1.66,1.66,1.66,1.66,105000
20240829,1.64,1.64,1.635,1.635,3049
20240830,1.65,1.65,1.65,1.65,30303
20240902,1.65,1.65,1.65,1.65,0
20240903,1.65,1.65,1.65,1.65,0
20240904,1.61,1.61,1.59,1.595,3133
20240905,1.595,1.595,1.595,1.595,0
20240906,1.595,1.595,1.595,1.595,0
20240909,1.575,1.575,1.575,1.575,20000
20240910,1.585,1.585,1.585,1.585,1000
20240911,1.585,1.585,1.585,1.585,0
20240912,1.585,1.585,1.585,1.585,0
20240913,1.585,1.585,1.585,1.585,0
20240916,1.61,1.61,1.61,1.61,86297
20240917,1.61,1.61,1.61,1.61,0
20240918,1.585,1.585,1.585,1.585,17240
20240919,1.585,1.585,1.585,1.585,0
20240920,1.585,1.585,1.585,1.585,0
20240923,1.585,1.585,1.585,1.585,0
20240924,1.6,1.6,1.6,1.6,17837
20240925,1.64,1.64,1.64,1.64,30500
20240926,1.66,1.66,1.66,1.66,30000
20240927,1.66,1.66,1.66,1.66,0
20240930,1.66,1.66,1.66,1.66,0
20241001,1.66,1.66,1.66,1.66,0
20241002,1.66,1.66,1.66,1.66,0
20241003,1.66,1.66,1.66,1.66,0
20241004,1.66,1.66,1.66,1.66,0
20241007,1.66,1.66,1.66,1.66,0
20241008,1.66,1.66,1.66,1.66,0
20241009,1.66,1.66,1.66,1.66,0
20241010,1.685,1.685,1.685,1.685,32600
20241011,1.69,1.69,1.69,1.69,116200
20241014,1.7,1.7,1.685,1.685,118467
20241015,1.685,1.685,1.685,1.685,0
20241016,1.685,1.685,1.685,1.685,0
20241017,1.685,1.685,1.685,1.685,0
20241018,1.71,1.71,1.71,1.71,39700
20241021,1.71,1.71,1.71,1.71,11700
20241022,1.68,1.69,1.68,1.69,74100
20241023,1.69,1.69,1.69,1.69,0
20241024,1.65,1.65,1.65,1.65,78100
20241025,1.65,1.65,1.65,1.65,0
20241028,1.65,1.65,1.65,1.65,0
20241029,1.65,1.65,1.65,1.65,19049
20241030,1.66,1.66,1.66,1.66,90240
20241031,1.665,1.665,1.665,1.665,75000
20241101,1.675,1.675,1.675,1.675,500
20241104,1.655,1.655,1.655,1.655,500
20241105,1.66,1.66,1.66,1.66,34566
20241106,1.665,1.665,1.665,1.665,400
20241107,1.66,1.66,1.66,1.66,12075
20241108,1.675,1.675,1.675,1.675,59500
20241111,1.675,1.675,1.675,1.675,0
20241112,1.66,1.66,1.66,1.66,200
20241113,1.65,1.65,1.65,1.65,400
20241114,1.65,1.65,1.65,1.65,0
20241115,1.65,1.65,1.65,1.65,0
20241118,1.65,1.65,1.65,1.65,0
20241119,1.65,1.65,1.65,1.65,0
20241120,1.65,1.65,1.65,1.65,0
20241121,1.63,1.63,1.63,1.63,35000
20241122,1.63,1.63,1.63,1.63,0
20241125,1.64,1.64,1.64,1.64,100
20241126,1.64,1.64,1.64,1.64,0
20241127,1.64,1.64,1.64,1.64,0
20241128,1.64,1.64,1.64,1.64,0
20241129,1.635,1.635,1.635,1.635,15325
20241202,1.635,1.635,1.635,1.635,0
20241203,1.635,1.635,1.635,1.635,0
20241204,1.635,1.635,1.635,1.635,0
20241205,1.635,1.635,1.635,1.635,0
20241206,1.645,1.645,1.645,1.645,50
20241209,1.65,1.65,1.65,1.65,130
20241210,1.65,1.65,1.65,1.65,0
20241211,1.655,1.655,1.65,1.65,103057
20241212,1.66,1.66,1.655,1.655,111005
20241213,1.65,1.65,1.65,1.65,1420
20241216,1.65,1.65,1.65,1.65,0
20241217,1.625,1.63,1.625,1.63,45991
20241218,1.625,1.625,1.625,1.625,50
20241219,1.605,1.605,1.605,1.605,15
20241220,1.605,1.605,1.605,1.605,30
20241223,1.61,1.615,1.61,1.615,3212
20241224,1.615,1.615,1.615,1.615,0
20241227,1.63,1.63,1.63,1.63,2995
20241230,1.635,1.635,1.635,1.635,486
20241231,1.635,1.635,1.635,1.635,3162
20250102,1.65,1.65,1.65,1.65,1000
20250103,1.65,1.65,1.65,1.65,0
20250106,1.65,1.65,1.65,1.65,0
20250107,1.65,1.65,1.65,1.65,0
20250108,1.65,1.65,1.65,1.65,0
20250109,1.65,1.65,1.65,1.65,0
20250110,1.64,1.695,1.605,1.605,33773
20250113,1.605,1.605,1.605,1.605,0
20250114,1.6,1.6,1.6,1.6,31319
20250115,1.6,1.6,1.6,1.6,0
20250116,1.6,1.6,1.6,1.6,0
20250117,1.6,1.6,1.6,1.6,0
