Date,Open,High,Low,Close,Volume
20201109,2.8,2.84,2.8,2.84,56790
20201110,2.72,2.72,2.69,2.69,162364
20201111,2.66,2.66,2.63,2.64,64553
20201112,2.7,2.72,2.7,2.71,132881
20201113,2.72,2.72,2.71,2.71,95737
20201116,2.73,2.74,2.73,2.74,61200
20201117,2.74,2.75,2.73,2.73,213170
20201118,2.73,2.74,2.73,2.74,134329
20201119,2.71,2.79,2.71,2.71,11388
20201120,2.71,2.71,2.71,2.71,0
20201123,2.75,2.76,2.75,2.76,134154
20201124,2.77,2.77,2.77,2.77,111309
20201125,2.76,2.77,2.76,2.76,114274
20201126,2.76,2.76,2.76,2.76,37192
20201127,2.77,2.77,2.74,2.74,10851
20201130,2.77,2.77,2.75,2.75,22074
20201201,2.79,2.81,2.79,2.81,103238
20201202,2.82,2.82,2.81,2.81,196379
20201203,2.81,2.81,2.79,2.81,62986
20201204,2.81,2.82,2.81,2.82,38323
20201207,2.83,2.86,2.83,2.85,119358
20201208,2.86,2.86,2.85,2.86,68588
20201209,2.88,2.89,2.88,2.88,69597
20201210,2.83,2.83,2.8,2.8,46319
20201211,2.81,2.81,2.81,2.81,12204
20201214,2.8,2.8,2.8,2.8,6784
20201215,2.8,2.81,2.8,2.81,21810
20201216,2.82,2.83,2.81,2.82,96787
20201217,2.83,2.83,2.83,2.83,1741
20201218,2.84,2.84,2.83,2.84,56922
20201221,2.81,2.85,2.81,2.85,14443
20201222,2.83,2.85,2.83,2.85,62459
20201223,2.85,2.85,2.85,2.85,21260
20201224,2.83,2.83,2.82,2.82,30678
20201229,2.82,2.83,2.81,2.83,121637
20201230,2.82,2.82,2.81,2.82,120879
20201231,2.82,2.82,2.81,2.81,106007
20210104,2.82,2.82,2.8,2.82,141319
20210105,2.78,2.78,2.76,2.77,95598
20210106,2.8,2.8,2.77,2.77,55623
20210107,2.76,2.77,2.74,2.76,60967
20210108,2.81,2.85,2.81,2.85,107887
20210111,2.87,2.89,2.87,2.89,29968
20210112,2.87,2.89,2.87,2.89,55599
20210113,2.82,2.87,2.82,2.87,40097
20210114,2.88,2.88,2.87,2.87,7063
20210115,2.9,2.9,2.86,2.89,153872
20210118,2.89,2.9,2.89,2.9,204816
20210119,2.91,2.93,2.91,2.93,102997
20210120,2.98,2.98,2.94,2.97,304592
20210121,3.03,3.03,3.02,3.03,141609
20210122,3.03,3.03,3.02,3.03,154200
20210125,3.03,3.08,3.03,3.07,176395
20210127,3.06,3.06,3.02,3.06,126938
20210128,2.98,2.99,2.95,2.98,181672
20210129,2.99,3,2.95,2.95,137342
20210201,2.95,2.98,2.92,2.98,123734
20210202,3.06,3.08,3.02,3.06,129844
20210203,3.1,3.11,3.08,3.1,123438
20210204,3.09,3.09,3.06,3.06,59693
20210205,3.07,3.08,3.07,3.07,94339
20210208,3.05,3.06,3.05,3.05,117793
20210209,3.06,3.06,3.03,3.04,236311
20210210,3.03,3.06,3.03,3.06,29936
20210211,3.06,3.07,3.05,3.05,123675
20210212,3.05,3.06,3.04,3.04,26208
20210215,3.07,3.08,3.05,3.08,333992
20210216,3.08,3.08,3.05,3.08,123697
20210217,3.07,3.07,3.04,3.06,92581
20210218,3.04,3.04,3.03,3.03,88455
20210219,3.01,3.02,2.98,3,146755
20210222,2.99,2.99,2.95,2.98,144674
20210223,2.89,2.91,2.89,2.89,300361
20210224,2.88,2.88,2.85,2.85,65237
20210225,2.88,2.89,2.87,2.89,115681
20210226,2.82,2.83,2.79,2.82,326283
20210301,2.9,2.91,2.89,2.91,390121
