Date,Open,High,Low,Close,Volume
20201102,5.03,5.04,5.03,5.04,50950
20201103,5.06,5.07,5.06,5.07,75980
20201104,5.07,5.09,5.05,5.07,78819
20201105,5.19,5.26,5.18,5.26,161303
20201106,5.29,5.29,5.24,5.24,241574
20201109,5.26,5.31,5.23,5.31,168961
20201110,5.12,5.12,5.06,5.07,190877
20201111,5.02,5.02,4.97,4.98,60735
20201112,5.08,5.09,5.08,5.08,133546
20201113,5.09,5.09,5.07,5.09,46124
20201116,5.09,5.09,5.09,5.09,0
20201117,5.1,5.11,5.07,5.08,87574
20201118,5.08,5.08,5.07,5.08,133642
20201119,5.05,5.06,5.03,5.04,65354
20201120,5.08,5.09,5.07,5.09,21313
20201123,5.1,5.12,5.1,5.12,80113
20201124,5.13,5.16,5.13,5.15,84653
20201125,5.13,5.14,5.13,5.13,172428
20201126,5.15,5.16,5.15,5.16,110256
20201127,5.15,5.15,5.14,5.15,151486
20201130,5.19,5.19,5.13,5.13,85103
20201201,5.21,5.22,5.21,5.22,24645
20201202,5.22,5.22,5.2,5.21,116277
20201203,5.2,5.22,5.2,5.21,70428
20201204,5.19,5.21,5.17,5.21,24463
20201207,5.23,5.24,5.22,5.22,51699
20201208,5.22,5.27,5.22,5.27,27475
20201209,5.27,5.29,5.27,5.28,45843
20201210,5.21,5.21,5.19,5.19,48130
20201211,5.2,5.22,5.18,5.2,114901
20201214,5.23,5.23,5.19,5.23,73900
20201215,5.2,5.21,5.17,5.21,84861
20201216,5.21,5.23,5.2,5.21,62636
20201217,5.24,5.25,5.24,5.25,178135
20201218,5.26,5.27,5.24,5.27,63828
20201221,5.29,5.3,5.29,5.3,96396
20201222,5.27,5.27,5.25,5.26,218931
20201223,5.28,5.28,5.26,5.26,57615
20201224,5.26,5.26,5.23,5.23,27115
20201229,5.26,5.28,5.26,5.27,62052
20201230,5.29,5.29,5.28,5.29,39775
20201231,5.28,5.28,5.28,5.28,9395
20210104,5.3,5.3,5.29,5.3,69178
20210105,5.32,5.32,5.3,5.3,24532
