Date,Open,High,Low,Close,Volume
20220120,10.02,10.05,9.99,10.05,59404
20220121,9.94,9.97,9.94,9.95,10082
20220124,9.92,9.94,9.92,9.94,10548
20220125,9.83,9.83,9.72,9.72,2522
20220127,9.65,9.65,9.65,9.65,2500
20220128,9.73,9.73,9.68,9.69,16938
20220131,9.65,9.71,9.65,9.7,3038
20220201,9.95,9.95,9.92,9.95,118902
20220202,9.92,9.93,9.92,9.93,95000
20220203,9.9,9.9,9.84,9.84,69527
20220204,9.77,9.79,9.75,9.79,5538
20220207,9.77,9.77,9.75,9.75,30831
20220208,9.61,9.61,9.55,9.55,10780
20220209,9.61,9.62,9.6,9.61,54755
20220210,9.73,9.73,9.64,9.7,50957
20220211,9.6,9.61,9.59,9.6,43706
20220214,9.5,9.5,9.45,9.45,8354
20220215,9.39,9.41,9.39,9.41,6100
20220216,9.57,9.57,9.5,9.55,26476
20220217,9.52,9.52,9.5,9.51,14303
20220218,9.48,9.5,9.48,9.5,14889
20220221,9.38,9.42,9.36,9.42,6685
20220222,9.27,9.27,9.19,9.2,10947
20220223,9.27,9.29,9.22,9.23,3001
20220224,9.05,9.16,9,9.03,93645
20220225,9.24,9.25,9.21,9.21,10465
20220228,9.37,9.37,9.35,9.35,5556
20220301,9.53,9.54,9.52,9.52,21043
20220302,9.27,9.28,9.25,9.27,21067
20220303,9.3,9.33,9.3,9.31,11516
20220304,9.19,9.19,9.12,9.12,5092
20220307,9.01,9.01,8.9,8.9,9814
20220308,9.06,9.06,8.94,8.94,1993
20220309,9.07,9.08,9.05,9.07,88272
20220310,9.34,9.34,9.3,9.3,9407
20220311,9.22,9.22,9.2,9.22,18594
20220314,9.3,9.3,9.28,9.3,12395
20220315,9.36,9.42,9.36,9.42,10771
20220316,9.44,9.44,9.43,9.44,23558
20220317,9.47,9.48,9.45,9.45,10156
20220318,9.48,9.48,9.46,9.46,107733
20220321,9.53,9.54,9.49,9.52,19264
20220322,9.53,9.57,9.53,9.56,15535
20220323,9.58,9.6,9.58,9.58,23491
20220324,9.45,9.46,9.4,9.46,22860
20220325,9.5,9.51,9.49,9.5,20734
20220328,9.48,9.48,9.39,9.45,20765
20220329,9.59,9.61,9.55,9.61,20770
20220330,9.62,9.64,9.62,9.62,11718
20220331,9.62,9.65,9.58,9.58,28717
20220401,9.57,9.58,9.55,9.57,24472
20220404,9.59,9.59,9.56,9.57,19609
20220405,9.52,9.58,9.5,9.53,11342
20220406,9.43,9.43,9.42,9.42,15388
20220407,9.35,9.38,9.35,9.38,15502
20220408,9.38,9.39,9.38,9.39,1764
20220411,9.41,9.41,9.38,9.38,4778
20220412,9.34,9.34,9.24,9.26,6193
20220413,9.24,9.27,9.17,9.27,22988
