Date,Open,High,Low,Close,Volume
20201130,2.55,2.55,2.55,2.55,28145
20201201,2.55,2.56,2.54,2.55,346943
20201202,2.57,2.57,2.55,2.57,239447
20201203,2.55,2.56,2.54,2.56,558285
20201204,2.54,2.55,2.54,2.55,185526
20201207,2.55,2.56,2.53,2.53,325150
20201208,2.55,2.56,2.54,2.55,448205
20201209,2.54,2.55,2.53,2.53,1436099
20201210,2.53,2.53,2.48,2.5,1947215
20201211,2.48,2.5,2.47,2.47,746595
20201214,2.49,2.5,2.48,2.48,1278226
20201215,2.48,2.49,2.47,2.47,650938
20201216,2.47,2.49,2.47,2.49,677784
20201217,2.49,2.49,2.48,2.49,506641
20201218,2.49,2.49,2.48,2.48,486479
20201221,2.49,2.49,2.47,2.49,879280
20201222,2.47,2.49,2.46,2.47,508136
20201223,2.48,2.49,2.47,2.48,773229
20201224,2.46,2.47,2.43,2.43,1409205
20201229,2.47,2.47,2.45,2.46,242354
20201230,2.48,2.48,2.46,2.48,190054
20201231,2.46,2.46,2.45,2.45,55740
20210104,2.46,2.47,2.45,2.47,768759
20210105,2.45,2.45,2.43,2.45,214430
20210106,2.44,2.44,2.4,2.4,244426
20210107,2.4,2.4,2.38,2.39,492315
20210108,2.4,2.42,2.4,2.41,342278
20210111,2.43,2.45,2.43,2.44,499841
20210112,2.43,2.43,2.42,2.42,309154
20210113,2.38,2.39,2.37,2.38,509700
20210114,2.41,2.42,2.4,2.4,683495
20210115,2.39,2.4,2.37,2.4,353902
20210118,2.42,2.42,2.4,2.42,437872
20210119,2.42,2.43,2.42,2.43,305525
20210120,2.43,2.44,2.42,2.44,244793
20210121,2.47,2.49,2.47,2.48,577582
20210122,2.48,2.48,2.46,2.47,331690
20210125,2.48,2.5,2.48,2.49,187558
20210127,2.51,2.52,2.5,2.52,475097
20210128,2.48,2.5,2.46,2.5,621326
20210129,2.49,2.49,2.47,2.48,366476
20210201,2.46,2.47,2.43,2.46,579545
20210202,2.49,2.52,2.49,2.52,388275
20210203,2.53,2.53,2.52,2.53,366839
20210204,2.53,2.54,2.52,2.52,561986
20210205,2.55,2.57,2.54,2.56,741833
20210208,2.55,2.55,2.53,2.53,621407
20210209,2.52,2.52,2.5,2.5,574950
20210210,2.51,2.52,2.51,2.52,468699
20210211,2.52,2.53,2.52,2.52,590778
20210212,2.53,2.53,2.51,2.52,732584
20210215,2.5,2.52,2.5,2.5,469809
20210216,2.51,2.52,2.49,2.52,3016402
20210217,2.52,2.53,2.51,2.53,833912
20210218,2.5,2.51,2.5,2.51,844546
20210219,2.5,2.51,2.49,2.49,814685
20210222,2.45,2.45,2.43,2.43,416952
20210223,2.41,2.41,2.39,2.39,563834
20210224,2.41,2.41,2.39,2.4,323635
20210225,2.4,2.41,2.38,2.4,579006
