Date,Open,High,Low,Close,Volume
20150810,2.5,2.5,2.5,2.5,186580
20150811,2.5,2.5,2.5,2.5,0
20150812,2.49,2.49,2.49,2.49,14800
20150813,2.47,2.47,2.47,2.47,5350
20150814,2.48,2.48,2.48,2.48,2000
20150817,2.48,2.48,2.48,2.48,0
20150818,2.48,2.48,2.48,2.48,0
20150819,2.48,2.48,2.48,2.48,0
20150820,2.49,2.49,2.49,2.49,18250
20150821,2.44,2.44,2.44,2.44,6000
20150824,2.37,2.37,2.37,2.37,16730
20150825,2.3,2.3,2.3,2.3,232000
20150826,2.26,2.26,2.26,2.26,2000
20150827,2.35,2.35,2.33,2.33,175641
20150828,2.38,2.39,2.38,2.39,4936
20150831,2.39,2.39,2.39,2.39,6277
20150901,2.38,2.38,2.38,2.38,272
20150902,2.32,2.32,2.32,2.32,8750
20150903,2.35,2.35,2.35,2.35,21528
20150904,2.37,2.37,2.37,2.37,68714
20150907,2.33,2.33,2.33,2.33,26826
20150908,2.33,2.33,2.33,2.33,200864
20150909,2.36,2.37,2.35,2.35,222500
20150910,2.35,2.35,2.35,2.35,0
20150911,2.35,2.35,2.35,2.35,0
20150914,2.36,2.36,2.36,2.36,211347
20150915,2.35,2.35,2.33,2.33,127161
20150916,2.37,2.37,2.37,2.37,4650
20150917,2.39,2.39,2.37,2.37,102510
20150918,2.37,2.37,2.37,2.37,0
20150921,2.34,2.34,2.34,2.34,3750
20150922,2.34,2.34,2.34,2.34,0
20150923,2.33,2.33,2.33,2.33,10658
20150924,2.33,2.33,2.33,2.33,0
20150925,2.31,2.31,2.31,2.31,14000
20150928,2.31,2.31,2.31,2.31,0
20150929,2.29,2.29,2.27,2.29,61571
20150930,2.29,2.29,2.29,2.29,24000
20151001,2.31,2.33,2.31,2.33,5226
20151002,2.33,2.33,2.33,2.33,0
20151005,2.33,2.33,2.33,2.33,0
20151006,2.4,2.4,2.4,2.4,4250
20151007,2.4,2.4,2.4,2.4,6250
20151008,2.4,2.4,2.4,2.4,0
20151009,2.4,2.4,2.4,2.4,8325
20151012,2.4,2.4,2.4,2.4,0
20151013,2.41,2.41,2.41,2.41,30915
20151014,2.4,2.4,2.4,2.4,5785
20151015,2.39,2.39,2.39,2.39,29000
20151016,2.39,2.39,2.39,2.39,0
20151019,2.43,2.43,2.43,2.43,2920
20151020,2.43,2.43,2.43,2.43,17810
20151021,2.42,2.42,2.42,2.42,20580
20151022,2.41,2.41,2.41,2.41,450
20151023,2.45,2.45,2.45,2.45,18232
20151026,2.49,2.49,2.49,2.49,18159
20151027,2.49,2.49,2.48,2.49,19023
20151028,2.49,2.49,2.49,2.49,0
20151029,2.5,2.5,2.5,2.5,7934
20151030,2.5,2.5,2.5,2.5,0
20151102,2.47,2.47,2.47,2.47,10000
20151103,2.48,2.48,2.48,2.48,10080
20151104,2.48,2.48,2.48,2.48,0
20151105,2.48,2.48,2.48,2.48,0
20151106,2.48,2.48,2.48,2.48,0
20151109,2.49,2.49,2.49,2.49,6041
20151110,2.49,2.49,2.49,2.49,0
20151111,2.47,2.47,2.47,2.47,4015
20151112,2.46,2.46,2.46,2.46,412
20151113,2.46,2.46,2.46,2.46,0
20151116,2.4,2.4,2.4,2.4,7925
20151117,2.42,2.42,2.42,2.42,34320
20151118,2.44,2.44,2.44,2.44,9360
20151119,2.46,2.46,2.46,2.46,10000
20151120,2.46,2.46,2.46,2.46,20079
20151123,2.46,2.46,2.46,2.46,0
20151124,2.48,2.48,2.48,2.48,8130
20151125,2.47,2.47,2.47,2.47,26000
20151126,2.48,2.48,2.48,2.48,182050
20151127,2.48,2.48,2.48,2.48,48350
20151130,2.48,2.48,2.48,2.48,0
20151201,2.48,2.48,2.48,2.48,60137
20151202,2.5,2.5,2.5,2.5,52690
20151203,2.49,2.49,2.49,2.49,30400
20151204,2.45,2.45,2.45,2.45,20810
20151207,2.5,2.5,2.48,2.48,84053
20151208,2.49,2.49,2.49,2.49,10000
20151209,2.47,2.47,2.47,2.47,14170
20151210,2.45,2.45,2.45,2.45,8900
20151211,2.45,2.45,2.45,2.45,79170
20151214,2.41,2.41,2.41,2.41,29020
20151215,2.4,2.4,2.4,2.4,10057
20151216,2.44,2.44,2.44,2.44,19943
20151217,2.47,2.47,2.46,2.46,40953
20151218,2.46,2.46,2.46,2.46,0
20151221,2.4,2.4,2.4,2.4,80846
20151222,2.42,2.42,2.42,2.42,8333
20151223,2.42,2.42,2.42,2.42,3334
20151224,2.42,2.42,2.42,2.42,0
20151229,2.42,2.42,2.42,2.42,0
20151230,2.48,2.48,2.46,2.46,126396
20151231,2.47,2.47,2.47,2.47,22338
20160104,2.44,2.44,2.44,2.44,10700
20160105,2.44,2.44,2.44,2.44,0
20160106,2.44,2.44,2.44,2.44,0
20160107,2.38,2.38,2.38,2.38,88257
20160108,2.33,2.33,2.31,2.31,88140
20160111,2.31,2.31,2.31,2.31,0
20160112,2.31,2.33,2.31,2.33,38230
20160113,2.35,2.35,2.35,2.35,47410
20160114,2.31,2.31,2.31,2.31,32200
20160115,2.31,2.31,2.31,2.31,0
20160118,2.28,2.28,2.28,2.28,261300
20160119,2.28,2.28,2.28,2.28,101924
20160120,2.28,2.28,2.28,2.28,64953
20160121,2.25,2.26,2.25,2.26,315293
20160122,2.27,2.27,2.27,2.27,330
20160125,2.31,2.31,2.31,2.31,86600
20160127,2.31,2.31,2.31,2.31,0
20160128,2.28,2.28,2.28,2.28,52460
20160129,2.28,2.28,2.28,2.28,22360
20160201,2.33,2.34,2.33,2.33,20616
20160202,2.35,2.35,2.35,2.35,6250
20160203,2.32,2.32,2.32,2.32,27950
20160204,2.3,2.3,2.3,2.3,13630
20160205,2.3,2.3,2.3,2.3,0
20160208,2.27,2.27,2.27,2.27,4347
20160209,2.23,2.23,2.23,2.23,38536
20160210,2.2,2.22,2.2,2.22,54900
20160211,2.22,2.22,2.22,2.22,22427
20160212,2.2,2.21,2.2,2.2,1058331
20160215,2.24,2.24,2.24,2.24,22222
20160216,2.24,2.24,2.24,2.24,0
20160217,2.28,2.28,2.28,2.28,41820
20160218,2.31,2.31,2.31,2.31,17500
20160219,2.31,2.31,2.31,2.31,8750
20160222,2.31,2.31,2.31,2.31,75486
20160223,2.31,2.33,2.31,2.33,16137
20160224,2.31,2.31,2.31,2.31,10683
20160225,2.31,2.31,2.31,2.31,26000
20160226,2.31,2.31,2.31,2.31,0
20160229,2.35,2.35,2.35,2.35,12627
20160301,2.34,2.34,2.34,2.34,39199
20160302,2.34,2.34,2.34,2.34,0
20160303,2.39,2.39,2.39,2.39,12450
20160304,2.39,2.39,2.39,2.39,0
20160307,2.4,2.4,2.4,2.4,10365
20160308,2.4,2.4,2.4,2.4,41700
20160309,2.38,2.38,2.38,2.38,62650
20160310,2.39,2.39,2.39,2.39,94232
20160311,2.38,2.38,2.38,2.38,11000
20160314,2.41,2.41,2.41,2.41,13430
20160315,2.41,2.41,2.41,2.41,0
20160316,2.41,2.41,2.41,2.41,47030
20160317,2.43,2.43,2.43,2.43,20300
20160318,2.43,2.43,2.43,2.43,63715
20160321,2.44,2.44,2.44,2.44,33393
20160322,2.45,2.45,2.45,2.45,24974
20160323,2.43,2.45,2.43,2.45,13874
20160324,2.44,2.44,2.44,2.44,89446
20160329,2.43,2.43,2.41,2.41,62800
20160330,2.44,2.44,2.44,2.44,47000
20160331,2.44,2.46,2.44,2.46,55332
20160401,2.46,2.46,2.46,2.46,0
20160404,2.46,2.46,2.46,2.46,40000
20160405,2.46,2.46,2.46,2.46,90095
20160406,2.44,2.44,2.44,2.44,250
20160407,2.46,2.46,2.46,2.46,8164
20160408,2.43,2.43,2.43,2.43,10825
20160411,2.44,2.44,2.44,2.44,10330
20160412,2.43,2.43,2.43,2.43,35577
20160413,2.43,2.43,2.43,2.43,0
20160414,2.47,2.47,2.47,2.47,12453
20160415,2.46,2.48,2.46,2.48,20250
20160418,2.48,2.48,2.46,2.46,168064
20160419,2.49,2.49,2.47,2.49,64412
20160420,2.48,2.48,2.48,2.48,9475
20160421,2.49,2.49,2.49,2.49,64777
20160422,2.49,2.49,2.49,2.49,6000
20160426,2.47,2.47,2.47,2.47,17754
20160427,2.47,2.47,2.47,2.47,106035
20160428,2.47,2.47,2.47,2.47,44301
20160429,2.42,2.42,2.42,2.42,7172
20160502,2.41,2.41,2.41,2.41,12383
20160503,2.43,2.43,2.43,2.43,107756
20160504,2.41,2.41,2.39,2.41,66269
20160505,2.39,2.39,2.39,2.39,16214
20160506,2.39,2.39,2.39,2.39,47443
20160509,2.4,2.4,2.38,2.4,145334
20160510,2.41,2.41,2.41,2.41,29003
20160511,2.43,2.43,2.43,2.43,25859
20160512,2.41,2.41,2.41,2.41,129298
20160513,2.41,2.41,2.41,2.41,0
20160516,2.4,2.4,2.4,2.4,62823
20160517,2.42,2.42,2.42,2.42,14609
20160518,2.4,2.4,2.4,2.4,12400
20160519,2.41,2.41,2.41,2.41,26002
20160520,2.39,2.39,2.39,2.39,7150
20160523,2.41,2.41,2.41,2.41,8400
20160524,2.4,2.4,2.4,2.4,6550
20160525,2.4,2.4,2.4,2.4,0
20160526,2.46,2.46,2.44,2.46,44588
20160527,2.46,2.46,2.44,2.46,67662
20160530,2.46,2.46,2.46,2.46,20300
20160531,2.46,2.46,2.46,2.46,0
20160601,2.46,2.46,2.46,2.46,0
20160602,2.45,2.45,2.45,2.45,64969
20160603,2.45,2.45,2.45,2.45,25225
20160606,2.45,2.45,2.45,2.45,0
20160607,2.44,2.44,2.44,2.44,17700
20160608,2.44,2.44,2.44,2.44,2050
20160609,2.45,2.45,2.45,2.45,39400
20160610,2.43,2.44,2.43,2.44,43150
20160614,2.39,2.39,2.39,2.39,6967
20160615,2.38,2.38,2.38,2.38,5014
20160616,2.38,2.38,2.38,2.38,0
