Date,Open,High,Low,Close,Volume
20210831,1.825,1.825,1.82,1.82,8417703
20210901,1.825,1.83,1.82,1.825,3810644
20210902,1.825,1.835,1.82,1.825,3075350
20210903,1.815,1.815,1.8,1.805,1147053
20210906,1.8,1.805,1.8,1.805,1951270
20210907,1.805,1.81,1.8,1.81,2474399
20210908,1.82,1.83,1.82,1.825,5064528
20210909,1.825,1.83,1.8225,1.825,1689871
20210910,1.815,1.815,1.81,1.81,1741467
20210913,1.805,1.815,1.805,1.81,3012447
20210914,1.805,1.815,1.8,1.815,1632082
20210915,1.81,1.815,1.805,1.815,445180
20210916,1.81,1.815,1.805,1.81,869188
20210917,1.815,1.825,1.815,1.815,2331929
20210920,1.81,1.815,1.805,1.81,3012796
20210921,1.78,1.78,1.765,1.77,769727
20210922,1.785,1.79,1.78,1.78,1046622
20210923,1.79,1.795,1.79,1.79,3848335
20210924,1.79,1.795,1.785,1.79,571730
20210927,1.8,1.8,1.795,1.795,291767
20210928,1.79,1.795,1.785,1.785,1536544
20210929,1.765,1.765,1.755,1.755,1322316
20210930,1.77,1.775,1.765,1.765,420868
20211001,1.75,1.76,1.75,1.755,1959774
20211004,1.76,1.77,1.76,1.76,158038
20211005,1.725,1.735,1.69,1.735,729338
20211006,1.75,1.77,1.75,1.76,1204788
20211007,1.77,1.785,1.77,1.77,1636785
20211008,1.785,1.79,1.78,1.785,1157464
20211011,1.79,1.795,1.785,1.79,1208831
20211012,1.78,1.78,1.765,1.77,177472
20211013,1.765,1.765,1.755,1.76,291591
20211014,1.765,1.775,1.765,1.765,713133
20211015,1.78,1.79,1.78,1.78,1111288
20211018,1.79,1.79,1.785,1.79,769352
20211019,1.805,1.81,1.8,1.8,571051
20211020,1.8,1.805,1.8,1.8,475999
20211021,1.79,1.79,1.775,1.785,435653
20211022,1.795,1.805,1.79,1.8,182916
20211025,1.79,1.795,1.785,1.785,667330
20211026,1.8,1.8,1.785,1.79,255810
20211027,1.785,1.79,1.78,1.78,725402
20211028,1.79,1.8,1.79,1.8,340803
20211029,1.8,1.81,1.795,1.795,627512
20211101,1.815,1.825,1.815,1.825,977518
20211102,1.81,1.82,1.805,1.82,527925
20211103,1.83,1.83,1.83,1.83,609773
20211104,1.835,1.845,1.835,1.845,411265
20211105,1.85,1.86,1.85,1.855,805543
20211108,1.86,1.865,1.86,1.865,355809
20211109,1.865,1.865,1.855,1.855,639729
20211110,1.86,1.875,1.86,1.865,486661
20211111,1.865,1.865,1.85,1.86,624354
20211112,1.865,1.875,1.865,1.875,430119
20211115,1.88,1.89,1.875,1.875,348447
20211116,1.875,1.88,1.875,1.875,400674
20211117,1.89,1.905,1.89,1.9,537338
20211118,1.9,1.9,1.89,1.89,473646
20211119,1.89,1.89,1.88,1.88,473389
20211122,1.89,1.89,1.88,1.88,709738
20211123,1.865,1.865,1.855,1.865,324885
20211124,1.85,1.86,1.85,1.855,755658
20211125,1.865,1.87,1.86,1.865,447110
20211126,1.87,1.88,1.865,1.865,817501
20211129,1.84,1.85,1.83,1.835,488527
20211130,1.855,1.86,1.855,1.855,287773
20211201,1.83,1.83,1.805,1.805,313222
20211202,1.8,1.81,1.8,1.81,412776
20211203,1.815,1.82,1.815,1.82,601250
20211206,1.805,1.805,1.8,1.8,306130
20211207,1.825,1.845,1.82,1.825,1415389
20211208,1.85,1.865,1.85,1.86,934761
20211209,1.86,1.86,1.85,1.85,1011466
20211210,1.85,1.85,1.84,1.85,723639
20211213,1.85,1.855,1.85,1.855,823772
20211214,1.85,1.86,1.845,1.86,868238
20211215,1.84,1.84,1.835,1.84,916034
20211216,1.84,1.85,1.83,1.84,1058233
20211217,1.82,1.835,1.82,1.825,939650
20211220,1.82,1.83,1.815,1.815,2806120
20211221,1.805,1.81,1.805,1.805,1192735
20211222,1.83,1.835,1.83,1.83,1444748
20211223,1.84,1.84,1.83,1.83,696371
20211224,1.835,1.84,1.835,1.835,60334
20211229,1.845,1.855,1.845,1.845,367827
20211230,1.845,1.845,1.835,1.835,191480
20211231,1.845,1.855,1.84,1.845,86375
20220104,1.835,1.835,1.82,1.82,355830
20220105,1.81,1.815,1.8,1.81,195144
20220106,1.775,1.775,1.765,1.775,228012
20220107,1.78,1.78,1.775,1.78,168540
20220110,1.765,1.77,1.76,1.765,655600
20220111,1.755,1.765,1.755,1.755,625596
20220112,1.76,1.77,1.76,1.76,1060045
20220113,1.755,1.765,1.75,1.75,489832
20220114,1.73,1.73,1.72,1.72,518366
20220117,1.74,1.75,1.74,1.74,432832
20220118,1.75,1.755,1.74,1.745,561609
20220119,1.725,1.725,1.71,1.715,870761
20220120,1.715,1.715,1.7,1.705,184193
20220121,1.7,1.7,1.69,1.69,956623
20220124,1.64,1.64,1.62,1.625,1882866
20220125,1.62,1.62,1.6,1.6,783559
20220127,1.61,1.61,1.585,1.585,764933
20220128,1.615,1.625,1.615,1.625,357424
20220131,1.665,1.665,1.66,1.665,321979
20220201,1.695,1.71,1.695,1.705,1200561
20220202,1.715,1.72,1.71,1.715,1188340
20220203,1.715,1.72,1.71,1.715,1621261
20220204,1.665,1.665,1.645,1.645,562445
20220207,1.67,1.675,1.665,1.665,2307025
20220208,1.645,1.645,1.635,1.64,3556553
20220209,1.64,1.645,1.635,1.635,1062911
20220210,1.665,1.67,1.665,1.665,1601523
20220211,1.645,1.66,1.645,1.65,1338432
20220214,1.625,1.625,1.61,1.615,1076799
20220215,1.61,1.615,1.61,1.61,1076297
20220216,1.63,1.635,1.625,1.625,721948
20220217,1.625,1.63,1.62,1.625,734547
20220218,1.6,1.6,1.58,1.585,571763
20220221,1.57,1.575,1.565,1.565,990478
20220222,1.56,1.565,1.535,1.54,648469
20220223,1.54,1.545,1.54,1.545,598061
20220224,1.52,1.52,1.49,1.495,1306028
20220225,1.56,1.57,1.555,1.56,668844
20220228,1.56,1.56,1.54,1.545,707565
20220301,1.555,1.56,1.555,1.56,944968
20220302,1.535,1.535,1.52,1.525,432907
20220303,1.535,1.54,1.53,1.53,1038470
20220304,1.52,1.52,1.485,1.49,1220050
20220307,1.48,1.48,1.435,1.445,992843
20220308,1.425,1.43,1.42,1.43,885633
20220309,1.425,1.43,1.42,1.425,734694
20220310,1.48,1.49,1.475,1.475,857589
20220311,1.455,1.465,1.455,1.46,287792
20220314,1.46,1.465,1.445,1.45,304051
20220315,1.445,1.45,1.445,1.45,908268
20220316,1.48,1.48,1.475,1.475,858799
20220317,1.52,1.525,1.51,1.51,766344
20220318,1.515,1.52,1.51,1.52,409882
20220321,1.54,1.545,1.535,1.54,929134
20220322,1.535,1.535,1.525,1.53,623605
20220323,1.54,1.55,1.54,1.55,511298
20220324,1.515,1.52,1.515,1.52,628014
20220325,1.525,1.525,1.52,1.52,1613643
20220328,1.525,1.53,1.52,1.525,745713
20220329,1.545,1.55,1.54,1.55,906098
20220330,1.565,1.575,1.565,1.565,742326
20220331,1.555,1.56,1.555,1.56,488301
20220401,1.54,1.54,1.53,1.53,215842
20220404,1.535,1.54,1.535,1.54,552668
20220405,1.55,1.555,1.535,1.535,535128
20220406,1.515,1.52,1.515,1.52,587440
20220407,1.495,1.5,1.495,1.5,560745
20220408,1.505,1.505,1.495,1.495,399193
20220411,1.49,1.495,1.49,1.49,545483
20220412,1.475,1.475,1.465,1.465,527247
20220413,1.455,1.455,1.44,1.445,326968
20220414,1.46,1.46,1.46,1.46,317638
20220419,1.46,1.465,1.455,1.455,565645
20220420,1.44,1.455,1.44,1.44,845476
20220421,1.41,1.425,1.41,1.41,640113
20220422,1.41,1.415,1.4,1.41,481786
20220426,1.405,1.41,1.395,1.4,682669
20220427,1.38,1.38,1.365,1.37,749629
20220428,1.395,1.4,1.39,1.4,635712
20220429,1.42,1.43,1.42,1.42,673024
20220502,1.385,1.4,1.385,1.39,841098
20220503,1.39,1.395,1.375,1.385,621098
20220504,1.38,1.385,1.38,1.38,353598
20220505,1.385,1.385,1.375,1.375,277297
20220506,1.36,1.36,1.345,1.355,645071
20220509,1.335,1.35,1.335,1.345,793365
20220510,1.32,1.33,1.315,1.315,631764
20220511,1.33,1.335,1.325,1.33,794696
20220512,1.325,1.33,1.32,1.33,573120
20220513,1.325,1.33,1.325,1.33,340256
20220516,1.35,1.37,1.35,1.36,1075402
20220517,1.335,1.335,1.325,1.33,212670
20220518,1.35,1.37,1.345,1.35,515404
20220519,1.31,1.32,1.305,1.305,733730
20220520,1.305,1.305,1.295,1.305,261221
20220523,1.31,1.31,1.295,1.295,202273
20220524,1.315,1.32,1.315,1.315,810989
20220525,1.29,1.3,1.285,1.285,347778
20220526,1.3,1.31,1.3,1.305,1087301
20220527,1.325,1.335,1.315,1.32,495706
20220530,1.345,1.36,1.34,1.34,278134
20220531,1.34,1.35,1.34,1.35,332197
20220601,1.345,1.35,1.345,1.35,683668
20220602,1.345,1.36,1.345,1.345,332370
20220603,1.365,1.365,1.35,1.355,261923
20220606,1.345,1.35,1.345,1.345,626099
20220607,1.355,1.36,1.35,1.355,1282812
20220608,1.355,1.36,1.355,1.36,604069
20220609,1.36,1.365,1.36,1.36,388368
20220610,1.355,1.355,1.33,1.33,502509
20220614,1.265,1.285,1.23,1.265,657448
20220615,1.275,1.275,1.27,1.275,481694
20220616,1.285,1.3,1.285,1.29,653617
20220617,1.25,1.255,1.25,1.255,491084
20220620,1.27,1.275,1.27,1.27,1089674
20220621,1.28,1.28,1.27,1.275,220762
20220622,1.29,1.3,1.29,1.29,532932
20220623,1.305,1.31,1.3,1.305,629055
20220624,1.315,1.32,1.315,1.315,775310
20220627,1.345,1.37,1.345,1.35,772137
