Date,Open,High,Low,Close,Volume
20160722,2.51,2.52,2.51,2.51,329608
20160725,2.52,2.52,2.52,2.52,163234
20160726,2.52,2.52,2.52,2.52,206170
20160727,2.52,2.52,2.51,2.52,611720
20160728,2.52,2.52,2.52,2.52,274480
20160729,2.52,2.52,2.52,2.52,87952
20160801,2.53,2.53,2.53,2.53,380408
20160802,2.53,2.53,2.52,2.52,183610
20160803,2.51,2.51,2.5,2.5,251916
20160804,2.49,2.5,2.49,2.5,76842
20160805,2.51,2.51,2.51,2.51,209855
20160808,2.5,2.5,2.5,2.5,164431
20160809,2.51,2.51,2.5,2.5,85530
20160810,2.5,2.51,2.5,2.51,364733
20160811,2.51,2.52,2.51,2.51,344162
20160812,2.52,2.52,2.52,2.52,276853
20160815,2.52,2.53,2.52,2.53,164174
20160816,2.52,2.52,2.51,2.51,272060
20160817,2.5,2.5,2.5,2.5,198300
20160818,2.5,2.5,2.49,2.49,241389
20160819,2.51,2.51,2.51,2.51,259374
20160822,2.49,2.5,2.49,2.5,160710
20160823,2.5,2.5,2.5,2.5,98426
20160824,2.5,2.5,2.48,2.5,184464
20160825,2.51,2.51,2.51,2.51,164835
20160826,2.5,2.5,2.49,2.49,211478
20160829,2.49,2.49,2.47,2.48,512611
20160830,2.49,2.49,2.49,2.49,126873
20160831,2.48,2.48,2.47,2.48,121374
20160901,2.47,2.48,2.47,2.48,91477
20160902,2.48,2.48,2.47,2.47,156299
20160905,2.5,2.5,2.5,2.5,42200
20160906,2.5,2.5,2.48,2.5,119371
20160907,2.51,2.51,2.51,2.51,140976
20160908,2.52,2.52,2.52,2.52,47691
20160909,2.52,2.52,2.52,2.52,93824
20160912,2.47,2.47,2.46,2.46,145007
20160913,2.46,2.47,2.46,2.46,153711
20160914,2.44,2.44,2.44,2.44,58040
20160915,2.45,2.45,2.45,2.45,122261
20160916,2.46,2.46,2.46,2.46,42007
20160919,2.46,2.46,2.45,2.45,70647
20160920,2.47,2.47,2.47,2.47,67315
20160921,2.48,2.48,2.48,2.48,82414
20160922,2.49,2.49,2.49,2.49,86864
20160923,2.51,2.51,2.51,2.51,45856
20160926,2.5,2.5,2.5,2.5,24412
20160927,2.49,2.49,2.48,2.49,70072
20160928,2.49,2.49,2.49,2.49,114879
20160929,2.5,2.51,2.5,2.51,134261
20160930,2.51,2.51,2.5,2.51,40369
20161003,2.5,2.51,2.5,2.5,135689
20161004,2.49,2.49,2.49,2.49,148821
20161005,2.47,2.47,2.46,2.46,92445
20161006,2.44,2.44,2.42,2.44,147512
20161007,2.43,2.43,2.42,2.42,231176
20161010,2.41,2.41,2.4,2.4,80073
20161011,2.42,2.42,2.41,2.41,136407
20161012,2.41,2.41,2.4,2.41,70490
20161013,2.42,2.42,2.42,2.42,129674
20161014,2.43,2.43,2.43,2.43,89206
20161017,2.43,2.43,2.43,2.43,45231
20161018,2.42,2.42,2.42,2.42,60369
20161019,2.44,2.44,2.44,2.44,71720
20161020,2.45,2.45,2.45,2.45,108301
20161021,2.43,2.43,2.43,2.43,40400
20161024,2.44,2.44,2.44,2.44,38745
20161025,2.45,2.45,2.45,2.45,28301
20161026,2.44,2.44,2.43,2.43,34720
20161027,2.43,2.43,2.43,2.43,26736
20161028,2.42,2.42,2.4,2.42,69606
20161031,2.43,2.43,2.41,2.41,22310
20161101,2.45,2.45,2.43,2.43,12200
20161102,2.42,2.42,2.41,2.42,57380
20161103,2.39,2.39,2.39,2.39,61367
20161104,2.39,2.39,2.38,2.38,86079
20161107,2.38,2.38,2.38,2.38,102415
20161108,2.41,2.41,2.41,2.41,100412
20161109,2.41,2.41,2.32,2.32,81354
20161110,2.36,2.36,2.36,2.36,55055
20161111,2.32,2.32,2.31,2.31,27013
20161114,2.3,2.31,2.3,2.31,623396
20161115,2.29,2.29,2.29,2.29,164799
20161116,2.31,2.31,2.31,2.31,51355
20161117,2.32,2.32,2.32,2.32,39972
20161118,2.34,2.34,2.33,2.34,95751
20161121,2.33,2.33,2.31,2.33,95718
20161122,2.34,2.35,2.34,2.34,82365
20161123,2.36,2.36,2.36,2.36,772081
20161124,2.36,2.36,2.36,2.36,105746
20161125,2.36,2.36,2.35,2.36,108859
20161128,2.37,2.37,2.37,2.37,273310
20161129,2.37,2.37,2.36,2.37,362386
20161130,2.38,2.38,2.38,2.38,13615
20161201,2.36,2.36,2.35,2.36,108862
20161202,2.33,2.34,2.33,2.33,23529
20161205,2.34,2.34,2.33,2.33,121975
20161206,2.33,2.33,2.32,2.33,151169
20161207,2.35,2.35,2.35,2.35,138232
20161208,2.37,2.37,2.36,2.37,63724
20161209,2.37,2.4,2.37,2.37,459487
20161212,2.36,2.38,2.36,2.37,36620
20161213,2.4,2.4,2.4,2.4,18534
20161214,2.42,2.42,2.42,2.42,102913
20161215,2.41,2.41,2.4,2.41,90082
20161216,2.41,2.42,2.41,2.42,128135
20161219,2.43,2.43,2.43,2.43,87711
20161220,2.45,2.45,2.43,2.44,24727
20161221,2.44,2.44,2.43,2.43,221519
20161222,2.44,2.44,2.44,2.44,68408
20161223,2.44,2.44,2.43,2.43,144330
20161228,2.45,2.45,2.45,2.45,168
20161229,2.41,2.41,2.41,2.41,865
20161230,2.44,2.44,2.42,2.42,741
20170103,2.43,2.43,2.42,2.42,62403
20170104,2.44,2.44,2.44,2.44,80
20170105,2.44,2.44,2.43,2.44,48462
20170106,2.45,2.45,2.45,2.45,49477
