Date,Open,High,Low,Close,Volume
20200624,3.35,3.35,3.35,3.35,10150
20200625,3.35,3.35,3.33,3.33,448
20200626,3.33,3.33,3.33,3.33,0
20200629,3.33,3.33,3.33,3.33,0
20200630,3.33,3.33,3.33,3.33,0
20200701,3.33,3.33,3.33,3.33,0
20200702,3.33,3.33,3.33,3.33,0
20200703,3.4,3.4,3.4,3.4,1000
20200706,3.4,3.4,3.4,3.4,0
20200707,3.4,3.42,3.4,3.42,6020
20200708,3.43,3.43,3.43,3.43,200
20200709,3.45,3.45,3.45,3.45,300
20200710,3.52,3.52,3.52,3.52,200
20200713,3.5,3.5,3.49,3.5,3500
20200714,3.47,3.47,3.46,3.46,3047
20200715,3.47,3.47,3.47,3.47,904
20200716,3.46,3.46,3.46,3.46,250
20200717,3.46,3.46,3.46,3.46,100
20200720,3.43,3.43,3.4,3.4,3904
20200721,3.53,3.53,3.53,3.53,1500
20200722,3.47,3.47,3.47,3.47,300
20200723,3.47,3.47,3.47,3.47,300
20200724,3.41,3.41,3.41,3.41,300
20200727,3.39,3.39,3.38,3.38,15255
20200728,3.42,3.42,3.42,3.42,100
20200729,3.4,3.4,3.4,3.4,100
20200730,3.4,3.41,3.4,3.41,1490
20200731,3.37,3.37,3.36,3.36,1100
20200803,3.46,3.46,3.46,3.46,300
20200804,3.51,3.51,3.51,3.51,100
20200805,3.45,3.45,3.45,3.45,400
20200806,3.43,3.43,3.43,3.43,11428
20200807,3.49,3.49,3.47,3.47,552
20200810,3.47,3.47,3.46,3.46,30850
20200811,3.45,3.45,3.42,3.42,35000
20200812,3.44,3.44,3.44,3.44,6000
20200813,3.44,3.44,3.44,3.44,465
20200814,3.47,3.47,3.46,3.46,400
20200817,3.43,3.47,3.43,3.43,41742
20200818,3.44,3.44,3.44,3.44,32678
20200819,3.44,3.44,3.44,3.44,11275
20200820,3.47,3.47,3.46,3.46,758
20200821,3.51,3.51,3.51,3.51,29049
20200824,3.5,3.51,3.5,3.51,7885
20200825,3.52,3.52,3.52,3.52,105134
20200826,3.54,3.54,3.54,3.54,2650
20200827,3.64,3.65,3.64,3.65,10100
20200828,3.6,3.6,3.56,3.56,45821
20200831,3.58,3.59,3.56,3.56,5250
20200901,3.56,3.56,3.56,3.56,143
20200902,3.59,3.64,3.59,3.64,5543
20200903,3.64,3.64,3.6,3.6,28540
20200904,3.53,3.53,3.5,3.5,29313
20200907,3.45,3.45,3.45,3.45,4100
20200908,3.49,3.5,3.49,3.5,8100
20200909,3.43,3.43,3.41,3.41,15611
20200910,3.46,3.46,3.46,3.46,6100
20200911,3.44,3.44,3.44,3.44,100
20200914,3.42,3.43,3.42,3.43,900057
20200915,3.42,3.42,3.42,3.42,47036
20200916,3.45,3.46,3.45,3.46,7400
20200917,3.43,3.43,3.4,3.4,11854
20200918,3.39,3.39,3.37,3.39,38100
20200921,3.39,3.39,3.36,3.36,69992
20200922,3.39,3.39,3.38,3.39,15100
20200923,3.44,3.45,3.44,3.45,25300
20200924,3.42,3.42,3.42,3.42,7534
20200925,3.43,3.44,3.43,3.44,17802
20200928,3.47,3.47,3.47,3.47,7300
20200929,3.48,3.49,3.48,3.49,15444
20200930,3.47,3.47,3.45,3.45,37300
20201001,3.48,3.49,3.48,3.49,7750
20201002,3.51,3.52,3.47,3.47,27400
20201005,3.5,3.5,3.46,3.46,5600
20201006,3.53,3.53,3.53,3.53,7400
20201007,3.5,3.51,3.5,3.51,50900
20201008,3.55,3.55,3.55,3.55,7400
20201009,3.54,3.54,3.54,3.54,7400
20201012,3.55,3.55,3.54,3.54,20650
20201013,3.62,3.63,3.59,3.6,36250
20201014,3.66,3.66,3.66,3.66,7300
20201015,3.62,3.62,3.6,3.6,7800
20201016,3.62,3.63,3.62,3.63,7400
20201019,3.64,3.65,3.64,3.65,9227
20201020,3.62,3.63,3.62,3.63,7620
20201021,3.63,3.63,3.63,3.63,15900
