Date,Open,High,Low,Close,Volume
20231124,50.01,50.01,50.01,50.01,2605
20231127,50.03,50.03,50.03,50.03,9
20231128,50.04,50.04,50.035,50.04,23241
20231129,50.04,50.04,50.04,50.04,2579
20231130,50.07,50.07,50.05,50.05,3643
20231201,50.06,50.06,50.06,50.06,26861
20231204,50.07,50.07,50.07,50.07,20001
20231205,50.07,50.075,50.07,50.075,20096
20231206,50.09,50.09,50.09,50.09,11489
20231207,50.1,50.11,50.1,50.11,30528
20231208,50.12,50.12,50.12,50.12,88734
20231211,50.14,50.14,50.12,50.13,4242
20231212,50.13,50.13,50.13,50.13,20228
20231213,50.14,50.14,50.14,50.14,2714
20231214,50.16,50.16,50.14,50.15,4040
20231215,50.16,50.16,50.16,50.16,199
20231218,50.17,50.18,50.17,50.18,76
20231219,50.18,50.18,50.18,50.18,21077
20231220,50.19,50.19,50.18,50.19,26
20231221,50.19,50.19,50.19,50.19,50019
20231222,50.2,50.2,50.19,50.19,117
20231227,50.24,50.24,50.24,50.24,1
20231228,50.24,50.24,50.24,50.24,0
20231229,50.26,50.26,50.25,50.25,10060
20240102,50,50.05,50,50.04,17701
20240103,50.04,50.04,50.04,50.04,278323
20240104,50.05,50.05,50.05,50.05,2516
20240105,50.06,50.06,50.06,50.06,31524
20240108,50.06,50.07,50.06,50.07,2526
20240109,50.08,50.08,50.07,50.07,21417
20240110,50.09,50.09,50.07,50.09,256
20240111,50.09,50.09,50.08,50.08,75377
20240112,50.09,50.1,50.09,50.1,21020
20240115,50.11,50.11,50.09,50.1,337
20240116,50.11,50.12,50.11,50.11,21997
20240117,50.13,50.13,50.12,50.13,632
20240118,50.12,50.13,50.12,50.13,1169
20240119,50.14,50.14,50.14,50.14,40000
20240122,50.16,50.16,50.16,50.16,179634
20240123,50.15,50.16,50.15,50.16,2364
20240124,50.17,50.17,50.17,50.17,2700
20240125,50.18,50.18,50.18,50.18,3651
20240129,50.2,50.2,50.19,50.19,404
20240130,50.2,50.21,50.2,50.2,3175
20240131,50.21,50.21,50.21,50.21,875
20240201,50,50.01,50,50.01,108061
20240202,50.02,50.02,50.01,50.01,2518
20240205,50.03,50.03,50.03,50.03,94
20240206,50.04,50.04,50.04,50.04,24059
20240207,50.03,50.05,50.03,50.05,1632
20240208,50.05,50.05,50.05,50.05,0
20240209,50.06,50.06,50.06,50.06,998
20240212,50.08,50.08,50.08,50.08,22
20240213,50.09,50.09,50.08,50.08,776
20240214,50.08,50.1,50.08,50.1,60665
20240215,50.1,50.1,50.1,50.1,3662
20240216,50.1,50.11,50.09,50.11,56063
20240219,50.12,50.12,50.12,50.12,723
20240220,50.12,50.12,50.12,50.12,0
20240221,50.13,50.13,50.13,50.13,399
20240222,50.13,50.15,50.13,50.15,7031
20240223,50.16,50.16,50.15,50.16,18126
20240226,50.17,50.17,50.16,50.16,436
20240227,50.16,50.18,50.16,50.18,880
20240228,50.19,50.19,50.19,50.19,679
20240229,50.18,50.2,50.18,50.2,1923
20240301,50.02,50.02,50.01,50.02,4472
20240304,50.03,50.03,50.03,50.03,3040
20240305,50.03,50.03,50.03,50.03,2208
20240306,50.04,50.04,50.03,50.03,11865
20240307,50.05,50.06,50.04,50.06,1205
20240308,50.04,50.06,50.04,50.06,700
20240311,50.07,50.07,50.07,50.07,1
20240312,50.08,50.08,50.07,50.08,1926
20240313,50.07,50.07,50.07,50.07,11184
20240314,50.09,50.1,50.09,50.1,2724
20240315,50.09,50.1,50.09,50.1,8338
20240318,50.12,50.12,50.1,50.1,2
20240319,50.11,50.13,50.11,50.13,204675
20240320,50.12,50.12,50.12,50.12,201749
20240321,50.15,50.15,50.15,50.15,3200
