Date,Open,High,Low,Close,Volume
20160729,5.22,5.24,5.22,5.22,57500
20160801,5.31,5.31,5.29,5.3,17636
20160802,5.34,5.35,5.34,5.35,24000
20160803,5.35,5.49,5.35,5.46,91522
20160804,5.46,5.46,5.41,5.43,155473
20160805,5.46,5.47,5.46,5.47,26000
20160808,5.34,5.34,5.31,5.33,32733
20160809,5.37,5.38,5.37,5.37,12968
20160810,5.4,5.42,5.4,5.42,61000
20160811,5.45,5.45,5.43,5.43,16000
20160812,5.45,5.45,5.45,5.45,4160
20160815,5.45,5.45,5.45,5.45,0
20160816,5.42,5.42,5.38,5.4,85346
20160817,5.35,5.35,5.33,5.34,14650
20160818,5.28,5.33,5.28,5.33,16380
20160819,5.31,5.32,5.27,5.28,37950
20160822,5.21,5.21,5.2,5.2,19900
20160823,5.14,5.14,5.13,5.13,12000
20160824,5.05,5.05,5.05,5.05,2000
20160825,4.76,4.77,4.74,4.77,19174
20160826,4.82,4.82,4.79,4.8,22997
20160829,4.8,4.8,4.78,4.78,6252
20160830,4.83,4.83,4.83,4.83,16000
20160831,4.61,4.62,4.61,4.62,23558
20160901,4.53,4.56,4.53,4.56,4331
20160902,4.65,4.68,4.65,4.68,18700
20160905,4.81,4.81,4.81,4.81,4000
20160906,4.81,4.82,4.81,4.82,10370
20160907,4.97,4.98,4.97,4.98,21500
20160908,4.97,4.97,4.94,4.94,16500
20160909,4.88,4.9,4.88,4.9,3866
20160912,4.9,4.9,4.9,4.9,0
20160913,4.9,4.9,4.9,4.9,0
20160914,4.67,4.67,4.64,4.64,8500
20160915,4.64,4.64,4.64,4.64,13383
20160916,4.63,4.63,4.63,4.63,10785
20160919,4.62,4.62,4.58,4.6,22100
20160920,4.6,4.6,4.6,4.6,0
20160921,4.6,4.6,4.6,4.6,0
20160922,4.86,4.86,4.86,4.86,100
20160923,4.86,4.86,4.86,4.86,0
20160926,4.83,4.83,4.74,4.74,42843
20160927,4.74,4.74,4.74,4.74,2000
20160928,4.63,4.63,4.63,4.63,500
20160929,4.69,4.69,4.69,4.69,32000
20160930,4.69,4.69,4.69,4.69,0
20161003,4.69,4.69,4.69,4.69,0
20161004,4.57,4.57,4.57,4.57,1099
20161005,4.15,4.18,4.15,4.18,6236
20161006,4.16,4.16,4.14,4.14,5638
20161007,4.07,4.07,4.06,4.07,67411
20161010,4.11,4.12,4.11,4.12,11000
20161011,4.11,4.11,4.08,4.08,12649
20161012,4.06,4.06,4.06,4.06,10000
20161013,4.12,4.15,4.1,4.12,45088
20161014,4.18,4.18,4.18,4.18,51000
20161017,4.06,4.07,4.06,4.07,10130
20161018,4.14,4.14,4.14,4.14,10000
20161019,4.14,4.14,4.14,4.14,0
20161020,4.33,4.33,4.33,4.33,995
20161021,4.35,4.37,4.34,4.37,25149
20161024,4.37,4.37,4.37,4.37,2000
20161025,4.37,4.37,4.37,4.37,0
20161026,4.37,4.37,4.37,4.37,0
20161027,4.31,4.31,4.3,4.3,3162
20161028,4.3,4.3,4.3,4.3,0
20161031,4.23,4.23,4.23,4.23,9000
20161101,4.35,4.35,4.35,4.35,2000
20161102,4.46,4.48,4.46,4.47,8861
20161103,4.42,4.43,4.42,4.43,22000
20161104,4.47,4.47,4.44,4.44,10482
20161107,4.46,4.46,4.41,4.43,57442
20161108,4.3,4.3,4.27,4.28,4550
20161109,4.25,4.31,4.23,4.31,80269
20161110,4.36,4.4,4.36,4.4,13000
20161111,4.12,4.12,4.06,4.06,22900
20161114,3.8,3.8,3.76,3.76,21315
20161115,3.8,3.81,3.8,3.81,18000
20161116,3.96,3.97,3.95,3.95,2200
20161117,3.92,3.92,3.92,3.92,767
20161118,3.84,3.84,3.79,3.79,18000
20161121,3.76,3.8,3.76,3.8,11800
20161122,3.85,3.85,3.85,3.85,1000
20161123,3.85,3.85,3.85,3.85,0
20161124,3.65,3.65,3.64,3.64,16500
20161125,3.64,3.64,3.62,3.62,6048
20161128,3.72,3.72,3.71,3.71,38000
20161129,3.78,3.78,3.78,3.78,1099
20161130,3.78,3.78,3.78,3.78,0
20161201,3.68,3.7,3.68,3.68,19000
20161202,3.69,3.69,3.68,3.68,8900
20161205,3.75,3.75,3.75,3.75,1000
20161206,3.75,3.75,3.75,3.75,0
20161207,3.73,3.73,3.73,3.73,18500
20161208,3.76,3.77,3.75,3.75,20000
20161209,3.74,3.75,3.74,3.75,20000
20161212,3.75,3.75,3.75,3.75,0
20161213,3.65,3.65,3.65,3.65,13000
20161214,3.69,3.69,3.69,3.69,1500
20161215,3.53,3.57,3.53,3.57,25000
20161216,3.45,3.45,3.4,3.4,11459
20161219,3.4,3.4,3.4,3.4,0
20161220,3.45,3.45,3.44,3.44,2248
20161221,3.43,3.44,3.43,3.44,11500
20161222,3.41,3.41,3.41,3.41,1000
20161223,3.45,3.46,3.45,3.46,7000
20161228,3.52,3.54,3.52,3.53,35000
20161229,3.69,3.69,3.66,3.67,16828
20161230,3.83,3.83,3.83,3.83,1252
20170103,3.83,3.83,3.83,3.83,0
20170104,3.83,3.83,3.83,3.83,0
20170105,3.9,3.92,3.9,3.92,21315
20170106,3.98,4.08,3.98,4.08,12000
20170109,4,4,3.97,3.97,8000
20170110,3.99,3.99,3.97,3.97,45000
20170111,3.97,3.97,3.97,3.97,0
20170112,3.97,3.97,3.97,3.97,0
20170113,3.96,3.96,3.95,3.95,13459
20170116,3.96,3.96,3.96,3.96,300
20170117,3.96,3.96,3.96,3.96,0
20170118,4.09,4.13,4.09,4.09,72785
20170119,4.08,4.1,4.05,4.05,60800
20170120,4.06,4.06,4.04,4.05,25150
20170123,4.1,4.17,4.1,4.17,158500
20170124,4.19,4.22,4.19,4.22,22650
20170125,4.18,4.18,4.18,4.18,5000
20170127,4.11,4.11,4.03,4.03,125250
20170130,4.09,4.09,4.09,4.09,3548
20170131,4.08,4.12,4.08,4.12,115000
20170201,4.16,4.16,4.16,4.16,10000
20170202,4.18,4.18,4.15,4.17,155000
20170203,4.2,4.23,4.2,4.23,30550
20170206,4.26,4.28,4.26,4.27,37500
20170207,4.35,4.45,4.35,4.44,340288
20170208,4.48,4.48,4.44,4.44,11100
20170209,4.41,4.49,4.41,4.47,16104
20170210,4.37,4.37,4.31,4.32,93750
20170213,4.42,4.42,4.39,4.39,52100
20170214,4.37,4.37,4.36,4.36,35726
20170215,4.36,4.36,4.36,4.36,0
20170216,4.35,4.35,4.33,4.33,39000
20170217,4.33,4.33,4.33,4.33,0
20170220,4.33,4.35,4.32,4.35,27700
20170221,4.29,4.29,4.29,4.29,10000
20170222,4.29,4.29,4.29,4.29,0
20170223,4.24,4.25,4.23,4.25,19800
20170224,4.23,4.25,4.23,4.25,16750
20170227,4.19,4.19,4.16,4.16,13203
20170228,4,4,3.97,3.97,356963
20170301,3.99,3.99,3.97,3.97,50000
20170302,3.97,3.97,3.97,3.97,0
20170303,3.87,3.87,3.86,3.86,35350
20170306,3.89,3.9,3.89,3.9,43250
20170307,3.83,3.83,3.83,3.83,1000
20170308,3.77,3.79,3.76,3.76,182209
20170309,3.8,3.8,3.78,3.78,8750
20170310,3.78,3.78,3.78,3.78,1500
20170313,3.78,3.78,3.78,3.78,0
20170314,3.86,3.86,3.86,3.86,90000
20170315,3.78,3.78,3.78,3.78,2225
20170316,3.94,4.01,3.94,4,101878
20170317,4,4,4,4,0
20170320,3.99,3.99,3.99,3.99,4160
20170321,3.99,3.99,3.99,3.99,0
20170322,3.99,3.99,3.99,3.99,0
20170323,3.99,3.99,3.99,3.99,0
20170324,3.99,3.99,3.99,3.99,0
20170327,4.05,4.06,4.05,4.06,16150
20170328,4.12,4.12,4.12,4.12,5330
20170329,4.01,4.01,4,4.01,100320
20170330,4.02,4.02,4.02,4.02,36981
20170331,3.98,3.98,3.98,3.98,1000
20170403,3.98,3.98,3.98,3.98,0
20170404,3.98,3.98,3.98,3.98,0
20170405,4.14,4.14,4.14,4.14,12000
20170406,4.14,4.14,4.14,4.14,0
20170407,4.18,4.26,4.18,4.24,69701
20170410,4.2,4.2,4.17,4.18,22375
20170411,4.17,4.18,4.17,4.18,1639
20170412,4.33,4.33,4.31,4.31,1500
20170413,4.31,4.31,4.31,4.31,2630
20170418,4.31,4.31,4.31,4.31,0
20170419,4.31,4.31,4.31,4.31,0
20170420,4.31,4.31,4.31,4.31,0
