Date,Open,High,Low,Close,Volume
20171220,3.35,3.35,3.34,3.35,1150442
20171221,3.36,3.36,3.33,3.35,603548
20171222,3.35,3.35,3.31,3.32,553190
20171227,3.32,3.32,3.29,3.31,137666
20171228,3.31,3.31,3.29,3.3,45275
20171229,3.33,3.33,3.29,3.29,200514
20180102,3.3,3.3,3.26,3.26,180394
20180103,3.27,3.31,3.26,3.31,98145
20180104,3.32,3.32,3.3,3.31,52921
20180105,3.32,3.33,3.3,3.33,25131
20180108,3.34,3.35,3.33,3.35,32594
20180109,3.35,3.35,3.34,3.35,62677
20180110,3.35,3.37,3.35,3.37,92869
20180111,3.66,3.66,3.33,3.34,150832
20180112,3.42,3.42,3.33,3.33,105389
20180115,3.33,3.33,3.31,3.32,96075
20180116,3.33,3.33,3.3,3.32,149693
20180117,3.3,3.3,3.26,3.27,179470
20180118,3.31,3.31,3.28,3.3,137813
20180119,3.29,3.29,3.26,3.28,110598
20180122,3.29,3.31,3.29,3.3,64309
20180123,3.32,3.33,3.31,3.32,175842
20180124,3.32,3.34,3.31,3.33,45996
20180125,3.33,3.33,3.3,3.31,75687
20180129,3.32,3.32,3.28,3.28,139451
20180130,3.3,3.3,3.26,3.29,148864
20180131,3.28,3.29,3.27,3.29,125280
20180201,3.31,3.31,3.3,3.3,74268
20180202,3.32,3.33,3.32,3.33,34359
20180205,3.3,3.32,3.3,3.31,227328
20180206,3.3,3.3,3.22,3.23,286625
20180207,3.25,3.25,3.23,3.25,269494
20180208,3.26,3.26,3.25,3.25,60119
20180209,3.2,3.21,3.19,3.21,79051
20180212,3.24,3.24,3.19,3.19,21267
20180213,3.21,3.21,3.21,3.21,118509
20180214,3.22,3.23,3.22,3.23,54407
20180215,3.26,3.28,3.25,3.28,119528
20180216,3.29,3.29,3.26,3.26,182253
20180219,3.26,3.26,3.26,3.26,0
20180220,3.3,3.3,3.27,3.29,63350
20180221,3.29,3.32,3.28,3.31,76363
20180222,3.34,3.34,3.33,3.34,86555
20180223,3.32,3.34,3.32,3.34,29994
20180226,3.34,3.35,3.34,3.34,157632
20180227,3.35,3.36,3.34,3.36,63694
20180228,3.35,3.35,3.34,3.35,41644
20180301,3.34,3.35,3.33,3.34,52291
20180302,3.33,3.33,3.3,3.33,219951
20180305,3.34,3.36,3.34,3.36,180220
20180306,3.34,3.36,3.34,3.36,47455
20180307,3.36,3.38,3.35,3.35,19723
20180308,3.37,3.37,3.37,3.37,700
20180309,3.38,3.4,3.38,3.4,67327
20180312,3.39,3.43,3.38,3.43,107111
20180313,3.48,3.49,3.4,3.4,42813
20180314,3.4,3.4,3.39,3.39,58195
20180315,3.39,3.39,3.38,3.38,40925
20180316,3.41,3.43,3.41,3.43,107438
20180319,3.46,3.47,3.46,3.47,79859
20180320,3.47,3.47,3.42,3.42,296198
20180321,3.44,3.44,3.42,3.43,49043
20180322,3.43,3.43,3.4,3.42,152121
20180323,3.41,3.41,3.33,3.35,45046
20180326,3.3,3.32,3.29,3.3,40360
20180327,3.34,3.36,3.34,3.35,20440
20180328,3.35,3.36,3.3,3.3,35661
20180329,3.3,3.33,3.3,3.33,24044
20180403,3.33,3.33,3.29,3.29,124233
20180404,3.32,3.32,3.32,3.32,83814
20180405,3.33,3.33,3.3,3.3,396
20180406,3.33,3.35,3.33,3.34,22539
20180409,3.34,3.34,3.32,3.32,27106
20180410,3.34,3.34,3.32,3.32,5018
20180411,3.33,3.33,3.33,3.33,76000
20180412,3.33,3.33,3.3,3.3,157980
20180413,3.33,3.34,3.33,3.34,5680
20180416,3.32,3.34,3.31,3.31,17880
20180417,3.34,3.35,3.34,3.34,10998
20180418,3.35,3.4,3.35,3.39,93839
20180419,3.34,3.38,3.34,3.38,25982
20180420,3.39,3.42,3.39,3.39,9784
20180423,3.39,3.41,3.38,3.41,22822
20180424,3.4,3.44,3.4,3.44,59558
20180426,3.44,3.44,3.39,3.39,151711
20180427,3.4,3.43,3.4,3.42,34751
20180430,3.42,3.42,3.41,3.41,14409
20180501,3.44,3.44,3.41,3.41,8988
20180502,3.46,3.46,3.46,3.46,14435
20180503,3.48,3.48,3.44,3.44,15375
20180504,3.45,3.45,3.45,3.45,4000
20180507,3.5,3.51,3.5,3.5,168711
20180508,3.53,3.56,3.53,3.55,191102
20180509,3.57,3.59,3.57,3.58,24132
20180510,3.63,3.63,3.6,3.62,119007
20180511,3.62,3.62,3.6,3.62,34938
20180514,3.62,3.62,3.6,3.62,30244
20180515,3.6,3.6,3.6,3.6,6818
20180516,3.61,3.63,3.61,3.62,13412
20180517,3.62,3.62,3.61,3.61,55286
20180518,3.61,3.63,3.61,3.62,20851
20180521,3.63,3.63,3.61,3.61,164913
20180522,3.6,3.6,3.6,3.6,54000
20180523,3.59,3.61,3.59,3.61,35367
20180524,3.61,3.61,3.61,3.61,22691
20180525,3.61,3.62,3.6,3.61,49394
20180528,3.6,3.61,3.58,3.6,36323
20180529,3.6,3.6,3.6,3.6,7670
20180530,3.6,3.6,3.58,3.58,87703
20180531,3.6,3.6,3.55,3.55,235847
20180601,3.58,3.59,3.56,3.59,89400
20180604,3.61,3.62,3.6,3.6,33498
20180605,3.57,3.62,3.57,3.62,12130
20180606,3.61,3.61,3.59,3.59,33235
20180607,3.61,3.61,3.6,3.61,31286
20180608,3.61,3.62,3.58,3.59,97340
20180612,3.64,3.64,3.61,3.61,22928
20180613,3.66,3.66,3.64,3.66,5880
20180614,3.75,3.75,3.63,3.65,152552
20180615,3.7,3.7,3.7,3.7,34169
20180618,3.7,3.7,3.69,3.69,87490
20180619,3.73,3.73,3.68,3.69,101638
20180620,3.69,3.69,3.67,3.68,96105
20180621,3.72,3.72,3.71,3.71,14630
20180622,3.68,3.68,3.65,3.67,103124
20180625,3.66,3.66,3.64,3.64,115960
20180626,3.62,3.63,3.62,3.63,20600
20180627,3.64,3.65,3.63,3.64,58164
20180628,3.63,3.63,3.51,3.52,67250
20180629,3.54,3.54,3.52,3.52,48944
20180702,3.54,3.54,3.53,3.53,39395
20180703,3.57,3.57,3.55,3.55,48302
20180704,3.54,3.54,3.51,3.52,63992
20180705,3.52,3.53,3.52,3.53,29517
20180706,3.55,3.55,3.54,3.54,142065
20180709,3.55,3.55,3.54,3.54,11610
20180710,3.54,3.55,3.54,3.55,80349
20180711,3.55,3.56,3.53,3.56,20976
20180712,3.55,3.55,3.55,3.55,90676
20180713,3.56,3.56,3.56,3.56,10660
20180716,3.55,3.55,3.54,3.54,86312
20180717,3.55,3.56,3.52,3.55,66044
20180718,3.58,3.59,3.57,3.59,34676
20180719,3.58,3.58,3.56,3.56,69794
20180720,3.56,3.57,3.56,3.57,80600
20180723,3.56,3.56,3.55,3.55,378
20180724,3.59,3.59,3.58,3.58,414067
20180725,3.57,3.6,3.57,3.6,32546
20180726,3.59,3.63,3.59,3.6,74351
20180727,3.61,3.63,3.61,3.63,69816
20180730,3.6,3.6,3.59,3.59,103709
20180731,3.58,3.58,3.55,3.55,35033
20180801,3.57,3.58,3.57,3.58,88431
20180802,3.58,3.6,3.58,3.6,42036
20180803,3.6,3.6,3.58,3.58,23785
20180806,3.56,3.56,3.55,3.55,23279
20180807,3.56,3.57,3.55,3.55,42436
20180808,3.54,3.54,3.53,3.53,43950
20180809,3.54,3.54,3.54,3.54,15411
20180810,3.57,3.57,3.56,3.56,63259
20180813,3.57,3.6,3.57,3.58,174823
20180814,3.59,3.59,3.58,3.59,102535
20180815,3.6,3.6,3.59,3.6,35075
20180816,3.57,3.57,3.55,3.55,186476
20180817,3.57,3.58,3.57,3.58,18440
20180820,3.57,3.57,3.55,3.55,49108
20180821,3.56,3.57,3.54,3.54,11797
20180822,3.57,3.57,3.56,3.56,18824
20180823,3.57,3.61,3.57,3.6,26430
20180824,3.61,3.61,3.59,3.59,40864
