Date,Open,High,Low,Close,Volume
20240515,10.01,10.01,10.01,10.01,2000
20240516,10.12,10.22,10.12,10.21,88592
20240517,10.14,10.15,10.1,10.1,33469
20240520,10.18,10.18,10.15,10.17,9226
20240521,10.16,10.16,10.14,10.15,11453
20240522,10.17,10.19,10.14,10.14,58161
20240523,10.06,10.06,10.05,10.05,5855
20240524,9.99,10.02,9.98,10,46441
20240527,10.07,10.09,10.07,10.09,9740
20240528,10.1,10.1,10.05,10.05,290
20240529,9.98,9.98,9.93,9.95,72468
20240530,9.85,9.89,9.85,9.89,97806
20240531,9.94,9.98,9.94,9.95,17311
20240603,10.04,10.08,10.04,10.06,420
20240604,10.07,10.07,10.04,10.04,298
20240605,10.03,10.03,10.03,10.03,1063
20240606,10.11,10.13,10.11,10.12,10395
20240607,10.15,10.16,10.15,10.16,14000
20240611,10.19,10.19,10.01,10.04,41510
20240612,9.99,9.99,9.97,9.97,17104
20240613,10.05,10.06,10.03,10.03,28189
20240614,9.97,10.02,9.97,10.01,69772
20240617,10.01,10.01,9.98,9.98,12206
20240618,10.02,10.08,10.02,10.08,10102
20240619,10.1,10.1,10.06,10.07,6356
20240620,10.07,10.07,10.06,10.06,60450
20240621,10.12,10.12,10.07,10.09,102
20240624,10.12,10.12,10.06,10.07,4797
20240625,10.14,10.16,10.12,10.16,20264
20240626,10.13,10.13,10.07,10.1,41209
20240627,9.99,10.02,9.95,10.02,33147
20240628,10.13,10.15,10.1,10.1,3071
20240701,10.04,10.06,10.03,10.06,42594
20240702,10.07,10.07,10.02,10.05,1230
20240703,10.04,10.04,10.04,10.04,295
20240704,10.15,10.18,10.15,10.17,728
20240705,10.17,10.17,10.17,10.17,21201
20240708,10.15,10.15,10.1,10.1,4627
20240709,10.16,10.16,10.15,10.15,37
20240710,10.13,10.13,10.12,10.12,60247
20240711,10.26,10.27,10.24,10.25,9035
20240712,10.34,10.35,10.34,10.35,9536
20240715,10.4,10.44,10.4,10.41,52130
20240716,10.41,10.43,10.4,10.4,52588
20240717,10.46,10.46,10.46,10.46,55
20240718,10.43,10.45,10.43,10.45,1552
20240719,10.31,10.31,10.28,10.31,2729
20240722,10.27,10.27,10.24,10.27,7762
20240723,10.33,10.36,10.33,10.35,4204
20240724,10.34,10.36,10.33,10.36,65290
20240725,10.27,10.27,10.22,10.22,13538
20240726,10.22,10.22,10.22,10.22,0
20240729,10.35,10.4,10.35,10.39,63
20240730,10.3,10.33,10.27,10.33,8090
20240731,10.41,10.51,10.41,10.51,1069
20240801,10.62,10.62,10.58,10.58,26481
20240802,10.37,10.37,10.32,10.32,8002
20240805,10.17,10.17,9.95,9.95,9423
20240806,9.95,10.04,9.93,10,32374
20240807,10.01,10.05,9.95,10.04,23949
20240808,9.98,10.03,9.96,9.99,31251
20240809,10.05,10.14,10.05,10.12,10802
20240812,10.19,10.19,10.17,10.17,6114
20240813,10.17,10.2,10.17,10.19,6358
20240814,10.28,10.28,10.25,10.28,2169
20240815,10.23,10.24,10.21,10.23,49969
20240816,10.39,10.41,10.37,10.38,19414
20240819,10.4,10.42,10.4,10.41,1786
20240820,10.46,10.47,10.45,10.45,51409
20240821,10.4,10.46,10.4,10.46,22849
20240822,10.49,10.54,10.49,10.53,46605
20240823,10.47,10.51,10.47,10.51,80
20240826,10.57,10.6,10.57,10.59,10764
20240827,10.57,10.57,10.57,10.57,10804
20240828,10.54,10.54,10.53,10.53,18562
20240829,10.54,10.55,10.52,10.55,804177
20240830,10.6,10.62,10.6,10.6,69501
20240902,10.59,10.63,10.59,10.63,36706
20240903,10.62,10.65,10.62,10.64,60207
20240904,10.48,10.54,10.46,10.46,61971
20240905,10.51,10.53,10.5,10.5,26093
20240906,10.55,10.58,10.54,10.58,121642
20240909,10.49,10.49,10.49,10.49,10
20240910,10.63,10.63,10.58,10.58,57671
20240911,10.58,10.58,10.54,10.54,39964
20240912,10.62,10.63,10.62,10.63,2095
20240913,10.73,10.75,10.72,10.74,71663
20240916,10.8,10.8,10.77,10.78,28619
20240917,10.82,10.82,10.79,10.8,209712
20240918,10.78,10.82,10.78,10.81,450884
20240919,10.85,10.92,10.81,10.92,639913
20240920,10.95,10.98,10.9,10.93,66644
20240923,10.88,10.9,10.85,10.87,69555
20240924,10.86,10.87,10.83,10.87,27478
20240925,10.9,10.93,10.85,10.85,50458
20240926,10.92,10.95,10.86,10.93,54474
20240927,10.96,10.97,10.93,10.96,25012
20240930,11.03,11.05,11,11,65259
20241001,10.96,10.96,10.89,10.91,120746
20241002,10.89,10.93,10.88,10.89,40126
20241003,10.9,10.91,10.88,10.91,17615
20241004,10.84,10.84,10.78,10.82,14866
20241007,10.84,10.9,10.82,10.9,33823
20241008,10.92,10.92,10.86,10.89,1980
20241009,10.94,10.95,10.89,10.91,23637
20241010,10.96,10.96,10.92,10.94,10679
20241011,10.95,10.96,10.94,10.96,1535
20241014,11,11.02,10.96,11,3573
20241015,11.1,11.11,11.09,11.09,12475
20241016,11.06,11.08,11.06,11.07,18961
20241017,11.17,11.17,11.13,11.14,5162
20241018,11.14,11.14,11.04,11.06,11528
20241021,11.14,11.14,11.12,11.13,17846
20241022,11.11,11.11,10.95,10.95,60621
20241023,11,11,10.99,10.99,13509
20241024,10.94,11.02,10.94,11,10800
20241025,10.98,11,10.98,10.98,45534
20241028,10.99,10.99,10.95,10.99,18923
20241029,11.04,11.05,11.03,11.03,42484
20241030,11,11.01,10.92,10.94,17778
20241031,10.94,10.94,10.89,10.9,40341
20241101,10.83,10.86,10.8,10.86,21303
20241104,10.89,10.94,10.88,10.94,9345
20241105,10.9,10.9,10.85,10.89,840
20241106,10.98,10.99,10.96,10.96,19960
20241107,11.05,11.05,10.95,10.99,24710
20241108,11.14,11.15,11.11,11.13,103793
20241111,11.1,11.1,11.04,11.08,62293
20241112,11.06,11.09,11.04,11.09,35291
20241113,11.02,11.02,10.94,11.01,97113
20241114,11.06,11.07,11.035,11.07,91504
20241115,11.1,11.15,11.1,11.14,17293
20241118,11.12,11.17,11.1,11.17,18216
20241119,11.16,11.34,11.16,11.3,36252
20241120,11.26,11.26,11.21,11.21,13664
20241121,11.24,11.25,11.18,11.19,42315
20241122,11.25,11.3,11.25,11.29,10736
20241125,11.34,11.35,11.3,11.3,28177
20241126,11.29,11.29,11.23,11.24,12053
20241127,11.31,11.31,11.27,11.3,35859
20241128,11.34,11.38,11.34,11.38,15049
20241129,11.31,11.32,11.26,11.32,74942
20241202,11.36,11.36,11.33,11.33,42674
20241203,11.4,11.43,11.4,11.4,30544
20241204,11.38,11.38,11.31,11.36,94804
20241205,11.41,11.42,11.39,11.39,56030
20241206,11.39,11.39,11.34,11.35,11499
20241209,11.3,11.32,11.27,11.3,14259
20241210,11.34,11.34,11.26,11.26,23035
20241211,11.29,11.29,11.22,11.23,142201
20241212,11.27,11.27,11.17,11.18,35536
20241213,11.15,11.15,11.1,11.15,42989
20241216,11.13,11.14,11.08,11.09,44065
20241217,11.08,11.19,11.08,11.19,110216
20241218,11.19,11.22,11.13,11.17,121718
20241219,11.21,11.21,10.9,10.96,76662
20241220,10.98,10.98,10.825,10.85,1127282
20241223,10.95,11.04,10.91,11.04,124994
20241224,11.05,11.08,11.04,11.08,18239
20241227,11.1,11.13,11.08,11.11,33511
20241230,11.11,11.11,11.01,11.1,29314
20241231,11.07,11.07,11,11.01,12945
20250102,11.07,11.07,10.91,10.97,8481
20250103,11.04,11.09,11.04,11.08,3155
20250106,11.15,11.15,11.06,11.06,52238
20250107,11.06,11.12,11.06,11.1,17112
20250108,11.08,11.2,11.08,11.16,23289
20250109,11.16,11.16,11.1,11.14,144948
20250110,11.2,11.2,11.08,11.11,14685
20250113,11.03,11.03,10.94,10.95,33150
20250114,11.03,11.03,10.97,11.02,70864
20250115,11.04,11.05,10.97,10.99,60176
20250116,11.16,11.16,11.12,11.12,81347
20250117,11.15,11.16,11.09,11.09,135683
