Date,Open,High,Low,Close,Volume
20231122,10.13,10.13,10.12,10.12,29200
20231123,10.09,10.09,10.09,10.09,5000
20231124,10.08,10.08,10.08,10.08,10050
20231127,10.06,10.06,10.06,10.06,5000
20231128,10.09,10.09,10.09,10.09,19950
20231129,10.15,10.15,10.15,10.15,15000
20231130,10.19,10.19,10.17,10.17,8000
20231201,10.15,10.15,10.15,10.15,23937
20231204,10.18,10.18,10.18,10.18,10000
20231205,10.18,10.18,10.18,10.18,0
20231206,10.28,10.28,10.28,10.28,2133
20231207,10.28,10.28,10.28,10.28,0
20231208,10.28,10.28,10.28,10.28,0
20231211,10.28,10.28,10.28,10.28,23
20231212,10.26,10.26,10.25,10.25,98
20231213,10.26,10.26,10.26,10.26,10573
20231214,10.37,10.37,10.37,10.37,1010
20231215,10.25,10.25,10.25,10.25,9756
20231218,10.25,10.25,10.25,10.25,0
20231219,10.43,10.43,10.43,10.43,2000
20231220,10.43,10.43,10.43,10.43,0
20231221,10.43,10.43,10.43,10.43,0
20231222,10.48,10.48,10.48,10.48,1902
20231227,10.48,10.48,10.48,10.48,0
20231228,10.51,10.51,10.51,10.51,7501
20231229,10.51,10.51,10.51,10.51,0
20240102,10.46,10.48,10.46,10.48,7505
20240103,10.48,10.48,10.48,10.48,0
20240104,10.48,10.48,10.48,10.48,0
20240105,10.48,10.48,10.48,10.48,0
20240108,10.48,10.48,10.48,10.48,0
20240109,10.48,10.48,10.48,10.48,0
20240110,10.48,10.48,10.48,10.48,0
20240111,10.48,10.48,10.48,10.48,0
20240112,10.48,10.48,10.48,10.48,0
20240115,10.44,10.44,10.44,10.44,5747
20240116,10.44,10.44,10.44,10.44,36397
20240117,10.44,10.44,10.44,10.44,0
20240118,10.44,10.44,10.44,10.44,0
20240119,10.36,10.36,10.36,10.36,8687
20240122,10.38,10.38,10.38,10.38,1930
20240123,10.38,10.38,10.38,10.38,0
20240124,10.38,10.38,10.38,10.38,0
20240125,10.38,10.38,10.38,10.38,0
20240129,10.39,10.39,10.39,10.39,9
20240130,10.43,10.43,10.43,10.43,38
20240131,10.43,10.43,10.43,10.43,0
20240201,10.43,10.43,10.43,10.43,0
20240202,10.43,10.43,10.43,10.43,0
20240205,10.43,10.43,10.43,10.43,0
20240206,10.43,10.43,10.43,10.43,0
20240207,10.43,10.43,10.43,10.43,0
20240208,10.43,10.43,10.43,10.43,0
20240209,10.43,10.43,10.43,10.43,0
20240212,10.39,10.39,10.39,10.39,57
20240213,10.38,10.38,10.38,10.38,98
20240214,10.28,10.28,10.28,10.28,147
20240215,10.37,10.37,10.37,10.37,230
20240216,10.38,10.38,10.37,10.37,15425
20240219,10.36,10.36,10.36,10.36,6749
20240220,10.35,10.36,10.35,10.36,3864
20240221,10.36,10.36,10.36,10.36,0
20240222,10.36,10.36,10.36,10.36,0
20240223,10.35,10.35,10.33,10.33,5945
20240226,10.38,10.39,10.38,10.39,551
20240227,10.38,10.38,10.37,10.37,44610
20240228,10.37,10.37,10.37,10.37,0
20240229,10.37,10.37,10.36,10.36,4007
20240301,10.37,10.37,10.37,10.37,1736454
20240304,10.41,10.43,10.4,10.4,37577
20240305,10.4,10.4,10.4,10.4,0
20240306,10.4,10.4,10.4,10.4,0
20240307,10.4,10.4,10.4,10.4,0
20240308,10.4,10.4,10.4,10.4,0
20240311,10.4,10.4,10.4,10.4,0
20240312,10.46,10.47,10.46,10.47,17856
20240313,10.44,10.44,10.44,10.44,21913
20240314,10.42,10.42,10.42,10.42,21969
20240315,10.39,10.39,10.38,10.38,1619
20240318,10.38,10.38,10.38,10.38,0
20240319,10.38,10.38,10.38,10.38,0
20240320,10.4,10.41,10.4,10.41,8251
20240321,10.42,10.42,10.42,10.42,1000
20240322,10.41,10.43,10.41,10.43,21344
20240325,10.47,10.47,10.47,10.47,38202
20240326,10.46,10.46,10.46,10.46,14993
20240327,10.47,10.47,10.47,10.47,6972
20240328,10.48,10.48,10.47,10.48,33775
20240402,10.49,10.49,10.44,10.45,21978
20240403,10.41,10.41,10.41,10.41,22051
20240404,10.42,10.42,10.42,10.42,7411
20240405,10.45,10.45,10.45,10.45,20001
20240408,10.41,10.41,10.41,10.41,182
20240409,10.4,10.4,10.4,10.4,20000
20240410,10.45,10.45,10.45,10.45,12426
20240411,10.37,10.37,10.37,10.37,10905
20240412,10.36,10.36,10.36,10.36,11474
20240415,10.37,10.37,10.37,10.37,4816
20240416,10.36,10.36,10.34,10.35,24111
20240417,10.31,10.31,10.31,10.31,2457
20240418,10.35,10.35,10.35,10.35,5329
20240419,10.38,10.38,10.38,10.38,1881
20240422,10.31,10.31,10.3,10.3,27313
20240423,10.32,10.32,10.32,10.32,17500
20240424,10.33,10.33,10.32,10.32,26863
20240426,10.27,10.27,10.26,10.26,32867
20240429,10.29,10.29,10.29,10.29,561
20240430,10.29,10.29,10.29,10.29,0
20240501,10.3,10.3,10.28,10.29,9563
20240502,10.29,10.29,10.29,10.29,0
20240503,10.34,10.34,10.34,10.34,4819
20240506,10.36,10.36,10.36,10.36,760
20240507,10.36,10.36,10.36,10.36,0
20240508,10.36,10.36,10.36,10.36,0
20240509,10.36,10.36,10.36,10.36,0
20240510,10.36,10.36,10.36,10.36,0
20240513,10.36,10.36,10.36,10.36,0
20240514,10.36,10.36,10.34,10.34,15825
20240515,10.39,10.39,10.39,10.39,2
20240516,10.45,10.46,10.44,10.44,30321
20240517,10.42,10.42,10.42,10.42,117
20240520,10.41,10.41,10.41,10.41,8620
20240521,10.41,10.41,10.4,10.4,2952
20240522,10.4,10.4,10.4,10.4,0
20240523,10.4,10.4,10.4,10.4,0
20240524,10.39,10.39,10.38,10.38,20475
