Date,Open,High,Low,Close,Volume
20231123,10.07,10.07,10.07,10.07,5059
20231124,10.06,10.06,10.06,10.06,10050
20231127,10.06,10.06,10.06,10.06,0
20231128,10.06,10.06,10.06,10.06,0
20231129,10.06,10.06,10.06,10.06,0
20231130,10.06,10.06,10.06,10.06,0
20231201,10.1,10.1,10.1,10.1,19999
20231204,10.1,10.1,10.1,10.1,10000
20231205,10.11,10.11,10.11,10.11,350
20231206,10.11,10.11,10.11,10.11,0
20231207,10.11,10.11,10.11,10.11,0
20231208,10.11,10.11,10.11,10.11,0
20231211,10.11,10.11,10.11,10.11,0
20231212,10.14,10.14,10.14,10.14,20000
20231213,10.14,10.14,10.14,10.14,0
20231214,10.21,10.21,10.21,10.21,1000
20231215,10.21,10.21,10.21,10.21,0
20231218,10.21,10.21,10.21,10.21,0
20231219,10.21,10.21,10.21,10.21,0
20231220,10.21,10.21,10.21,10.21,0
20231221,10.21,10.21,10.21,10.21,0
20231222,10.21,10.21,10.21,10.21,0
20231227,10.29,10.3,10.27,10.27,1201
20231228,10.28,10.28,10.28,10.28,20000
20231229,10.29,10.29,10.29,10.29,1
20240102,10.29,10.29,10.29,10.29,0
20240103,10.27,10.27,10.27,10.27,97
20240104,10.27,10.27,10.27,10.27,0
20240105,10.24,10.24,10.24,10.24,15
20240108,10.24,10.24,10.24,10.24,0
20240109,10.24,10.24,10.24,10.24,0
20240110,10.24,10.24,10.24,10.24,0
20240111,10.24,10.24,10.24,10.24,0
20240112,10.28,10.28,10.28,10.28,5
20240115,10.28,10.28,10.28,10.28,0
20240116,10.28,10.28,10.28,10.28,0
20240117,10.27,10.27,10.27,10.27,6793
20240118,10.27,10.27,10.27,10.27,0
20240119,10.27,10.27,10.27,10.27,0
20240122,10.27,10.27,10.27,10.27,0
20240123,10.27,10.27,10.27,10.27,0
20240124,10.26,10.26,10.26,10.26,1950
20240125,10.26,10.26,10.26,10.26,0
20240129,10.26,10.26,10.26,10.26,0
20240130,10.26,10.26,10.26,10.26,0
20240131,10.26,10.26,10.26,10.26,0
20240201,10.32,10.32,10.32,10.32,2630
20240202,10.32,10.32,10.32,10.32,0
20240205,10.35,10.35,10.3,10.3,4395
20240206,10.3,10.3,10.3,10.3,0
20240207,10.3,10.3,10.3,10.3,0
20240208,10.3,10.3,10.3,10.3,0
20240209,10.3,10.3,10.3,10.3,0
20240212,10.3,10.3,10.3,10.3,0
20240213,10.3,10.3,10.3,10.3,0
20240214,10.25,10.25,10.25,10.25,4356
20240215,10.3,10.31,10.3,10.31,10909
20240216,10.31,10.31,10.31,10.31,0
20240219,10.3,10.32,10.3,10.32,10836
20240220,10.32,10.32,10.32,10.32,11311
20240221,10.33,10.33,10.33,10.33,24312
20240222,10.33,10.33,10.33,10.33,26509
20240223,10.33,10.33,10.33,10.33,0
20240226,10.34,10.34,10.34,10.34,2906
20240227,10.34,10.34,10.34,10.34,0
20240228,10.34,10.34,10.34,10.34,0
20240229,10.34,10.34,10.34,10.34,7500
20240301,10.32,10.32,10.32,10.32,1420995
20240304,10.32,10.32,10.32,10.32,47500
