Date,Open,High,Low,Close,Volume
20191112,8.87,8.93,8.87,8.92,6611
20191113,8.92,8.92,8.92,8.92,0
20191114,8.84,8.84,8.83,8.83,2130
20191115,8.81,8.81,8.81,8.81,1129
20191118,8.83,8.83,8.83,8.83,2265
20191119,8.84,8.85,8.83,8.83,54001
20191120,8.82,8.82,8.82,8.82,2249
20191121,8.82,8.82,8.82,8.82,0
20191122,8.82,8.82,8.82,8.82,0
20191125,8.83,8.83,8.83,8.83,1204
20191126,8.83,8.83,8.83,8.83,0
20191127,8.83,8.83,8.83,8.83,0
20191128,8.83,8.83,8.83,8.83,0
20191129,8.83,8.83,8.83,8.83,0
20191202,8.88,8.88,8.88,8.88,1000
20191203,8.78,8.78,8.78,8.78,4000
20191204,8.78,8.78,8.78,8.78,0
20191205,8.78,8.78,8.78,8.78,0
20191206,8.78,8.78,8.78,8.78,0
20191209,8.78,8.78,8.78,8.78,0
20191210,8.78,8.78,8.78,8.78,0
20191211,8.78,8.78,8.78,8.78,0
20191212,8.93,8.93,8.93,8.93,570
20191213,8.93,8.93,8.93,8.93,0
20191216,8.93,8.93,8.93,8.93,0
20191217,8.93,8.93,8.93,8.93,0
20191218,8.93,8.93,8.93,8.93,0
20191219,8.93,8.93,8.93,8.93,0
20191220,8.93,8.93,8.93,8.93,0
20191223,8.93,8.93,8.93,8.93,0
20191224,8.93,8.93,8.93,8.93,0
20191227,8.93,8.93,8.93,8.93,0
20191230,8.93,8.93,8.93,8.93,0
20191231,8.93,8.93,8.93,8.93,0
20200102,8.93,8.93,8.93,8.93,0
20200103,9.13,9.13,9.13,9.13,666
20200106,9.13,9.13,9.13,9.13,0
20200107,9.13,9.13,9.13,9.13,0
20200108,9.13,9.13,9.13,9.13,0
20200109,9.1,9.1,9.08,9.08,120
20200110,9.08,9.08,9.08,9.08,0
20200113,9.08,9.08,9.08,9.08,0
20200114,9.08,9.08,9.08,9.08,0
20200115,9.08,9.08,9.08,9.08,0
20200116,9.08,9.08,9.08,9.08,0
20200117,9.08,9.08,9.08,9.08,0
20200120,9.08,9.08,9.08,9.08,0
20200121,9.08,9.08,9.08,9.08,0
