Date,Open,High,Low,Close,Volume
20240724,25.12,25.15,25.12,25.15,20021
20240725,24.83,24.83,24.7,24.7,2169
20240726,24.99,24.99,24.8,24.85,1714
20240729,25.2,25.2,25,25.06,2080
20240730,24.85,24.91,24.8,24.91,3695
20240731,25.17,25.29,25.09,25.26,286
20240801,25.77,25.77,25.46,25.5,2411
20240802,24.97,24.97,24.72,24.72,12027
20240805,24.38,24.38,23.67,23.67,36853
20240806,23.56,23.87,23.56,23.75,1172
20240807,23.62,23.81,23.62,23.76,1467
20240808,23.72,23.73,23.62,23.73,571
20240809,23.97,24.03,23.97,24.03,2
20240812,24.32,24.33,24.3,24.3,69
20240813,24.38,24.38,24.38,24.38,81
20240814,24.72,24.73,24.72,24.73,82
20240815,25.09,25.09,24.73,24.77,404
20240816,25.1,25.1,25.1,25.1,2
20240819,25.07,25.08,24.99,25.07,138
20240820,25.11,25.14,25.11,25.12,8
20240821,25.17,25.17,25.06,25.06,46
20240822,25.15,25.2,25.15,25.17,1692
20240823,25.09,25.18,25.09,25.18,43
20240826,25.49,25.51,25.39,25.51,191
20240827,25.44,25.44,25.39,25.39,585
20240828,25.32,25.4,25.32,25.4,3648
20240829,25.42,25.43,25.3,25.42,1038
20240830,25.43,25.43,25.43,25.43,50
20240902,25.38,25.62,25.3,25.62,396
20240903,25.61,25.75,25.6,25.75,791
20240904,25.48,25.48,25.22,25.27,1663
20240905,25.48,25.48,25.43,25.45,65
20240906,25.56,25.7,25.56,25.7,242
20240909,25.36,25.62,25.27,25.62,1024
20240910,25.87,25.87,25.75,25.78,1993
20240911,25.76,25.76,25.47,25.48,10
20240912,25.73,25.77,25.73,25.77,1553
20240913,25.98,26.07,25.84,25.84,5068
20240916,25.98,26.05,25.96,26.05,10641
20240917,26.08,26.11,26.07,26.07,1175
20240918,26.02,26.14,26,26.14,30642
20240919,26.3,26.31,26.18,26.31,1721
20240920,26.42,26.57,26.39,26.39,1201
20240923,26.35,26.76,26.3,26.36,1746
20240924,26.38,26.38,26,26,99
20240925,25.94,25.94,25.9,25.9,190
20240926,26,26.06,26,26.06,17
20240927,26,26,25.89,25.89,6
20240930,26.02,26.11,26.01,26.05,55
20241001,26.18,26.18,25.88,25.88,13
20241002,25.88,25.88,25.88,25.88,0
20241003,25.91,25.91,25.79,25.81,12635
20241004,25.8,25.8,25.59,25.59,1720
20241007,25.59,25.59,25.59,25.59,0
20241008,25.64,25.64,25.64,25.64,38
20241009,26.01,26.01,26.01,26.01,4
20241010,26.18,26.18,26,26,1880
20241011,25.98,26.02,25.96,25.98,181
20241014,26.14,26.14,26.03,26.08,1122
20241015,26.29,26.37,26.29,26.37,10004
20241016,26.36,26.36,26.35,26.35,1050
20241017,26.66,26.66,26.6,26.6,1062
20241018,26.49,26.55,26.44,26.48,838
20241021,26.61,26.63,26.59,26.59,622
20241022,26.56,26.56,26.18,26.18,247
20241023,26.19,26.19,26.19,26.19,9
20241024,26.3,26.3,26.21,26.21,61
20241025,26.21,26.33,26.19,26.19,61
20241028,26.08,26.22,26.08,26.17,2346
20241029,26.36,26.36,26.34,26.34,38
20241030,26.36,26.36,26.1,26.1,1079
20241031,26.12,26.13,26.12,26.13,167
20241101,26,26,25.91,25.91,62
20241104,26.05,26.06,26.05,26.06,15
20241105,25.96,25.96,25.96,25.96,234
20241106,26.23,26.23,26.23,26.23,2
20241107,26.5,26.52,26.22,26.39,128
20241108,26.65,26.71,26.65,26.71,583
20241111,26.83,26.83,26.83,26.83,1
20241112,26.9,27.01,26.9,27.01,519
20241113,26.9,26.9,26.77,26.84,745
20241114,27.08,27.14,27.08,27.14,6
20241115,27.34,27.35,27.33,27.33,32
20241118,27.33,27.43,27.315,27.43,9164
20241119,27.62,27.94,27.62,27.94,114
20241120,27.67,27.69,27.66,27.67,8622
20241121,27.71,27.71,27.53,27.53,6029
20241122,27.76,27.76,27.71,27.71,11
20241125,27.99,27.99,27.87,27.97,229
20241126,27.9,27.9,27.7,27.71,1504
20241127,27.83,27.85,27.83,27.85,60
20241128,28,28.03,27.96,28.03,1034
20241129,27.92,27.95,27.9,27.9,222
20241202,27.9,27.9,27.9,27.9,0
20241203,28.14,28.18,28.13,28.13,328
20241204,27.9,27.97,27.9,27.97,5585
20241205,28.21,28.21,28,28,3051
20241206,27.9,27.96,27.9,27.96,1566
20241209,27.72,27.73,27.72,27.73,5904
20241210,27.65,27.65,27.32,27.36,1165
20241211,27.33,27.34,27.26,27.26,3518
20241212,27.35,27.39,27.13,27.13,3693
20241213,27,27.13,27,27.13,2981
20241216,27.11,27.11,27.11,27.11,700
20241217,27.04,27.26,27.04,27.26,3916
20241218,27.33,27.47,27.33,27.33,858
20241219,27.33,27.33,26.71,26.8,1568
20241220,26.8,26.8,26.33,26.33,2283
20241223,26.66,26.66,26.58,26.6,2626
20241224,26.91,26.94,26.85,26.94,4940
20241227,27,27.15,27,27.11,1333
20241230,27.13,27.13,26.98,26.98,518
20241231,26.92,26.92,26.87,26.88,164
20250102,26.41,26.62,26.33,26.62,739
20250103,26.66,26.86,26.6,26.86,3077
20250106,26.96,27.13,26.96,26.98,1447
20250107,27.14,27.15,27.07,27.07,2584
20250108,27.06,27.41,27,27.41,4967
20250109,27.27,27.36,27.27,27.33,42
20250110,27.33,27.33,27.12,27.16,1421
20250113,26.85,26.85,26.67,26.67,255
20250114,26.6,26.6,26.6,26.6,1
20250115,26.73,26.73,26.73,26.73,537
20250116,27.23,27.23,27.13,27.13,283
20250117,27.15,27.15,26.99,27.03,9237
