Date,Open,High,Low,Close,Volume
20131016,25.29,25.29,25.29,25.29,390
20131017,25.51,25.51,25.51,25.51,50
20131018,25.8,25.8,25.8,25.8,80
20131021,26,26,26,26,150
20131022,26.01,26.04,26.01,26.04,1635
20131023,26.04,26.04,26.04,26.04,0
20131024,26.04,26.04,26.04,26.04,0
20131025,26.04,26.04,26.04,26.04,0
20131028,26.04,26.04,26.04,26.04,0
20131029,26.77,26.77,26.73,26.73,2950
20131030,26.94,26.94,26.94,26.94,100
20131031,26.3,26.43,26.3,26.43,2330
20131101,26.53,26.53,26.51,26.51,1254
20131104,26.51,26.51,26.51,26.51,0
20131105,26.51,26.51,26.51,26.51,0
20131106,26.62,26.62,26.62,26.62,150
20131107,26.69,26.69,26.69,26.69,80
20131108,26.69,26.69,26.69,26.69,0
20131111,26.69,26.69,26.69,26.69,0
20131112,26.5,26.5,26.5,26.5,1000
20131113,26.5,26.5,26.5,26.5,0
20131114,26.5,26.5,26.5,26.5,0
20131115,26.5,26.5,26.5,26.5,0
20131118,26.5,26.5,26.5,26.5,0
20131119,26.37,26.37,26.37,26.37,189
20131120,26.34,26.34,26.21,26.21,1185
20131121,26.11,26.11,26.1,26.1,1150
20131122,26.39,26.39,26.33,26.33,1750
20131125,26.33,26.33,26.33,26.33,0
20131126,26.41,26.41,26.41,26.41,150
20131127,26.66,26.66,26.66,26.66,377
20131128,26.66,26.66,26.66,26.66,0
20131129,26.52,26.52,26.52,26.52,38
20131202,26.52,26.52,26.52,26.52,0
20131203,26.52,26.52,26.52,26.52,0
20131204,26.29,26.29,26.28,26.28,210
20131205,26,26,26,26,20
20131206,25.67,25.67,25.67,25.67,500
20131209,25.47,25.47,25.47,25.47,26
20131210,25.5,25.53,25.5,25.53,4200
20131211,25.49,25.49,25.47,25.47,325
20131212,25.47,25.47,25.47,25.47,0
20131213,25.47,25.47,25.47,25.47,0
20131216,25.46,25.46,25.36,25.36,4705
20131217,25.36,25.36,25.36,25.36,0
20131218,25.49,25.49,25.49,25.49,1000
20131219,25.76,25.76,25.76,25.76,196
20131220,26.22,26.23,26.22,26.23,600
20131223,26.5,26.5,26.5,26.5,45
20131224,26.6,26.6,26.6,26.6,20
20131227,26.82,26.82,26.64,26.64,47345
20131230,26.72,26.72,26.72,26.72,375
20131231,26.83,26.83,26.79,26.79,7335
20140102,26.79,26.79,26.79,26.79,0
20140103,26.79,26.79,26.79,26.79,0
20140106,26.79,26.79,26.79,26.79,0
20140107,26.79,26.79,26.79,26.79,0
20140108,25.44,25.44,25.44,25.44,100
20140109,25.43,25.43,25.43,25.43,500
20140110,25.43,25.43,25.43,25.43,0
20140113,25.43,25.43,25.43,25.43,0
20140114,24.99,24.99,24.92,24.92,500
20140115,24.93,24.93,24.93,24.93,400
20140116,24.93,24.93,24.93,24.93,0
20140117,24.93,24.93,24.93,24.93,0
20140120,24.93,24.93,24.93,24.93,0
20140121,24.93,24.93,24.93,24.93,0
20140122,24.93,24.93,24.93,24.93,0
20140123,25.29,25.29,25.29,25.29,390
20140124,24.95,24.95,24.95,24.95,500
20140128,24.65,24.65,24.65,24.65,300
20140129,24.63,24.63,24.63,24.63,500
20140130,24.63,24.63,24.63,24.63,0
20140131,24.63,24.63,24.63,24.63,0
20140203,24.42,24.42,24.42,24.42,21
20140204,24,24,24,24,450
20140205,23.71,23.82,23.71,23.82,2065
20140206,23.82,23.82,23.82,23.82,0
20140207,23.82,23.82,23.82,23.82,0
20140210,23.82,23.82,23.82,23.82,0
20140211,23.82,23.82,23.82,23.82,0
20140212,23.82,23.82,23.82,23.82,0
20140213,25.2,25.2,25.2,25.2,3760
20140214,25.2,25.2,25.2,25.2,20
20140217,25.49,25.55,25.49,25.52,37485
20140218,25.56,25.61,25.56,25.59,8411
20140219,25.77,25.77,25.77,25.77,5000
20140220,25.77,25.77,25.77,25.77,0
20140221,25.7,25.7,25.7,25.7,50
20140224,25.62,25.64,25.62,25.63,1942
20140225,25.8,25.81,25.73,25.75,1382
20140226,25.82,25.82,25.8,25.8,1345
20140227,25.8,25.8,25.8,25.8,0
20140228,26,26,26,26,1900
20140303,25.5,25.5,25.5,25.5,10400
20140304,25.6,25.61,25.6,25.61,640
20140305,26.02,26.02,26.02,26.02,2535
20140306,26.02,26.02,26.02,26.02,0
20140307,26.07,26.07,26.07,26.07,190
20140310,26.07,26.07,26.07,26.07,0
20140311,26.07,26.07,26.07,26.07,0
20140312,25.85,25.85,25.82,25.82,1657
20140313,25.82,25.82,25.82,25.82,0
20140314,25.82,25.82,25.82,25.82,0
20140317,25.82,25.82,25.82,25.82,0
20140318,25.79,25.79,25.79,25.79,383
20140319,25.7,25.74,25.69,25.74,5234
20140320,25.77,25.77,25.59,25.59,2965
20140321,25.59,25.59,25.59,25.59,0
20140324,25.87,25.87,25.87,25.87,20
20140325,25.93,26.01,25.92,26.01,4150
20140326,26.01,26.01,26.01,26.01,0
20140327,26.17,26.21,26.17,26.21,5002
20140328,26.38,26.39,26.38,26.39,40
20140331,26.39,26.39,26.39,26.39,0
20140401,26.41,26.41,26.26,26.27,20060
20140402,26.27,26.27,26.27,26.27,0
20140403,26.42,26.42,26.42,26.42,100
20140404,26.42,26.42,26.42,26.42,0
20140407,26.41,26.41,26.41,26.41,800
20140408,26.33,26.33,26.33,26.33,282
20140409,26.53,26.6,26.53,26.6,2890
20140410,26.73,26.73,26.71,26.71,8050
20140411,26.71,26.71,26.71,26.71,0
20140414,26.71,26.71,26.71,26.71,0
20140415,26.26,26.26,26.2,26.2,2323
20140416,26.2,26.2,26.2,26.2,0
20140417,26.5,26.5,26.5,26.5,100
20140422,26.62,26.71,26.62,26.71,1491
20140423,26.71,26.71,26.71,26.71,0
20140424,26.71,26.71,26.71,26.71,0
20140428,26.71,26.71,26.71,26.71,0
20140429,26.87,26.95,26.87,26.95,263
20140430,26.78,26.78,26.78,26.78,225
20140501,26.78,26.78,26.78,26.78,0
20140502,26.78,26.78,26.78,26.78,0
20140505,26.59,26.6,26.59,26.6,12500
20140506,26.6,26.6,26.6,26.6,0
20140507,26.6,26.6,26.6,26.6,0
20140508,26.6,26.6,26.6,26.6,0
20140509,26.6,26.6,26.6,26.6,0
20140512,26.6,26.6,26.6,26.6,0
20140513,26.83,26.83,26.83,26.83,281
20140514,26.83,26.83,26.83,26.83,0
20140515,26.83,26.83,26.83,26.83,0
20140516,26.83,26.83,26.83,26.83,0
20140519,26.67,26.67,26.64,26.64,1474
20140520,26.67,26.67,26.67,26.67,927
20140521,26.67,26.67,26.67,26.67,0
20140522,26.67,26.67,26.67,26.67,0
20140523,26.67,26.67,26.67,26.67,0
20140526,26.67,26.67,26.67,26.67,0
20140527,26.67,26.67,26.67,26.67,0
20140528,27.33,27.33,27.33,27.33,1000
20140529,27.26,27.26,27.26,27.26,3200
20140530,27.26,27.26,27.26,27.26,0
20140602,27.32,27.32,27.32,27.32,375
20140603,27.32,27.32,27.32,27.32,0
20140604,27.12,27.12,27.09,27.09,1165
20140605,27.09,27.09,27.09,27.09,0
20140606,27.12,27.12,27.12,27.12,370
20140610,27.48,27.49,27.48,27.49,3760
20140611,27.37,27.42,27.36,27.42,25835
20140612,27.45,27.45,27.37,27.37,2472
20140613,27.37,27.37,27.37,27.37,0
20140616,27.15,27.15,27.15,27.15,800
20140617,27.21,27.21,27.21,27.21,8684
20140618,27.1,27.1,27.1,27.1,148
20140619,27.18,27.44,27.18,27.44,8000
20140620,27.38,27.38,27.24,27.3,15201
20140623,27.38,27.38,27.38,27.38,550
20140624,27.17,27.2,27.17,27.2,2425
20140625,27.2,27.2,27.2,27.2,0
20140626,27.2,27.2,27.2,27.2,859
20140627,27.38,27.39,27.38,27.39,4315
20140630,27.05,27.12,27,27.04,38059
20140701,27.04,27.04,27.04,27.04,0
20140702,26.77,26.8,26.77,26.8,1700
20140703,26.97,27.12,26.97,27.12,10598
20140704,27.12,27.12,27.12,27.12,0
20140707,27.28,27.28,27.22,27.22,527
20140708,27.11,27.11,27.09,27.09,8151
20140709,27.09,27.09,27.09,27.09,0
20140710,26.8,26.8,26.77,26.77,7056
20140711,26.96,26.96,26.93,26.93,5500
20140714,27.1,27.1,27.08,27.08,5270
20140715,26.44,26.44,26.44,26.44,300
20140716,26.44,26.44,26.44,26.44,0
20140717,26.5,26.5,26.5,26.5,74
20140718,26.5,26.52,26.5,26.52,1320
20140721,26.52,26.52,26.52,26.52,0
20140722,26.52,26.52,26.52,26.52,0
20140723,26.66,26.66,26.66,26.66,375
20140724,26.72,26.72,26.72,26.72,280
20140725,26.71,26.71,26.71,26.71,200
20140728,26.67,26.69,26.67,26.69,573
20140729,26.69,26.69,26.69,26.69,0
20140730,26.76,26.92,26.76,26.92,1308
20140731,27.07,27.07,27.07,27.07,1851
20140801,26.67,26.67,26.67,26.67,1874
20140804,26.57,26.6,26.57,26.6,1175
20140805,26.6,26.6,26.6,26.6,0
20140806,26.6,26.6,26.6,26.6,0
20140807,26.24,26.24,26.24,26.24,100
20140808,26,26,26,26,805
