Date,Open,High,Low,Close,Volume
20131016,10.18,10.18,10.18,10.18,480
20131017,10.18,10.18,10.18,10.18,0
20131018,10.18,10.18,10.18,10.18,0
20131021,10.53,10.53,10.53,10.53,1400
20131022,10.55,10.56,10.55,10.56,3180
20131023,10.56,10.56,10.56,10.56,0
20131024,10.56,10.56,10.56,10.56,0
20131025,10.56,10.56,10.56,10.56,0
20131028,10.56,10.56,10.56,10.56,0
20131029,10.56,10.56,10.56,10.56,0
20131030,10.56,10.56,10.56,10.56,0
20131031,10.56,10.56,10.56,10.56,0
20131101,10.56,10.56,10.56,10.56,0
20131104,10.56,10.56,10.56,10.56,0
20131105,10.56,10.56,10.56,10.56,0
20131106,10.56,10.56,10.56,10.56,0
20131107,10.3,10.3,10.3,10.3,390
20131108,10.3,10.3,10.3,10.3,0
20131111,10.3,10.3,10.3,10.3,0
20131112,10.3,10.3,10.3,10.3,0
20131113,10.3,10.3,10.3,10.3,0
20131114,10.3,10.3,10.3,10.3,0
20131115,10.3,10.3,10.3,10.3,0
20131118,10.3,10.3,10.3,10.3,0
20131119,10.3,10.3,10.3,10.3,0
20131120,9.92,9.92,9.92,9.92,2000
20131121,9.73,9.73,9.73,9.73,56
20131122,9.73,9.73,9.73,9.73,0
20131125,9.73,9.73,9.73,9.73,0
20131126,9.73,9.73,9.73,9.73,0
20131127,9.73,9.73,9.73,9.73,0
20131128,9.73,9.73,9.73,9.73,0
20131129,9.73,9.73,9.73,9.73,0
20131202,9.73,9.73,9.73,9.73,0
20131203,9.73,9.73,9.73,9.73,0
20131204,9.73,9.73,9.73,9.73,0
20131205,9.73,9.73,9.73,9.73,0
20131206,9.73,9.73,9.73,9.73,0
20131209,9.73,9.73,9.73,9.73,0
20131210,9.11,9.11,9.11,9.11,59
20131211,9.11,9.11,9.11,9.11,0
20131212,9.1,9.1,9.1,9.1,55
20131213,9.1,9.1,9.1,9.1,0
20131216,9.1,9.1,9.1,9.1,0
20131217,9.1,9.1,9.1,9.1,0
20131218,9.1,9.1,9.1,9.1,0
20131219,9.1,9.1,9.1,9.1,0
20131220,9.1,9.1,9.1,9.1,0
20131223,9.1,9.1,9.1,9.1,0
20131224,9.1,9.1,9.1,9.1,0
20131227,9.1,9.1,9.1,9.1,0
20131230,9.1,9.1,9.1,9.1,0
20131231,9.1,9.1,9.1,9.1,0
20140102,9.1,9.1,9.1,9.1,0
20140103,9.1,9.1,9.1,9.1,0
20140106,9.1,9.1,9.1,9.1,0
20140107,9.1,9.1,9.1,9.1,0
20140108,9.1,9.1,9.1,9.1,0
20140109,9.1,9.1,9.1,9.1,0
20140110,9.1,9.1,9.1,9.1,0
20140113,9.1,9.1,9.1,9.1,0
20140114,9.1,9.1,9.1,9.1,0
20140115,9.1,9.1,9.1,9.1,0
20140116,9.1,9.1,9.1,9.1,0
20140117,9.1,9.1,9.1,9.1,0
20140120,9.1,9.1,9.1,9.1,0
20140121,9.82,9.82,9.82,9.82,51
20140122,9.82,9.82,9.82,9.82,0
20140123,9.82,9.82,9.82,9.82,0
20140124,9.63,9.63,9.63,9.63,200
20140128,9.63,9.63,9.63,9.63,0
20140129,9.63,9.63,9.63,9.63,0
20140130,9.63,9.63,9.63,9.63,0
20140131,9.63,9.63,9.63,9.63,0
20140203,9.63,9.63,9.63,9.63,0
20140204,9.63,9.63,9.63,9.63,0
20140205,9.31,9.31,9.22,9.22,124
20140206,9.22,9.22,9.22,9.22,0
20140207,9.22,9.22,9.22,9.22,0
20140210,9.22,9.22,9.22,9.22,0
20140211,9.22,9.22,9.22,9.22,0
20140212,9.22,9.22,9.22,9.22,0
20140213,9.22,9.22,9.22,9.22,0
20140214,9.22,9.22,9.22,9.22,0
20140217,10.39,10.39,10.38,10.38,9850
20140218,10.4,10.4,10.32,10.32,1150
20140219,10.34,10.34,10.34,10.34,9628
20140220,10.34,10.34,10.34,10.34,0
20140221,10.34,10.34,10.34,10.34,0
20140224,10.34,10.34,10.34,10.34,0
20140225,10.21,10.21,10.21,10.21,100
20140226,10.21,10.21,10.21,10.21,0
20140227,10.21,10.21,10.21,10.21,0
20140228,10.21,10.21,10.21,10.21,0
20140303,10.21,10.21,10.21,10.21,0
20140304,10.21,10.21,10.21,10.21,0
20140305,10.06,10.07,10.06,10.06,1510
20140306,10.06,10.06,10.06,10.06,0
20140307,10.06,10.06,10.06,10.06,0
20140310,10.06,10.06,10.06,10.06,0
20140311,10.06,10.06,10.06,10.06,0
20140312,10.06,10.06,10.06,10.06,0
20140313,10.06,10.06,10.06,10.06,0
20140314,10.06,10.06,10.06,10.06,0
20140317,9.63,9.63,9.63,9.63,623
20140318,9.63,9.63,9.63,9.63,0
20140319,9.63,9.63,9.63,9.63,0
20140320,9.63,9.63,9.63,9.63,0
20140321,9.63,9.63,9.63,9.63,0
20140324,9.54,9.54,9.44,9.44,290
20140325,9.44,9.44,9.44,9.44,0
20140326,9.44,9.44,9.44,9.44,0
20140327,9.44,9.44,9.44,9.44,0
20140328,9.44,9.44,9.44,9.44,0
20140331,9.44,9.44,9.44,9.44,0
20140401,9.44,9.44,9.44,9.44,0
20140402,9.44,9.44,9.44,9.44,0
20140403,9.42,9.42,9.42,9.42,200
20140404,9.42,9.42,9.42,9.42,0
20140407,9.42,9.42,9.42,9.42,0
20140408,9.42,9.42,9.42,9.42,0
20140409,9.42,9.42,9.42,9.42,0
20140410,9.42,9.42,9.42,9.42,0
20140411,9.42,9.42,9.42,9.42,0
20140414,9.42,9.42,9.42,9.42,0
20140415,9.42,9.42,9.42,9.42,0
20140416,9.42,9.42,9.42,9.42,0
20140417,9.42,9.42,9.42,9.42,0
20140422,9.51,9.51,9.51,9.51,297
20140423,9.51,9.51,9.51,9.51,0
20140424,9.51,9.51,9.51,9.51,0
20140428,9.51,9.51,9.51,9.51,0
20140429,9.51,9.51,9.51,9.51,0
20140430,9.51,9.51,9.51,9.51,0
20140501,9.51,9.51,9.51,9.51,0
20140502,9.51,9.51,9.51,9.51,0
20140505,9.51,9.51,9.51,9.51,0
20140506,9.51,9.51,9.51,9.51,0
20140507,9.51,9.51,9.51,9.51,0
20140508,9.51,9.51,9.51,9.51,0
20140509,9.51,9.51,9.51,9.51,0
20140512,9.51,9.51,9.51,9.51,0
20140513,9.51,9.51,9.51,9.51,0
20140514,9.51,9.51,9.51,9.51,0
20140515,9.51,9.51,9.51,9.51,0
20140516,9.51,9.51,9.51,9.51,0
20140519,9.51,9.51,9.51,9.51,0
20140520,9.51,9.51,9.51,9.51,0
20140521,9.51,9.51,9.51,9.51,0
20140522,9.51,9.51,9.51,9.51,0
20140523,9.51,9.51,9.51,9.51,0
20140526,9.28,9.28,9.28,9.28,100
20140527,9.28,9.28,9.28,9.28,0
20140528,9.28,9.28,9.28,9.28,0
20140529,9.28,9.28,9.28,9.28,0
20140530,9.28,9.28,9.28,9.28,0
20140602,9.28,9.28,9.28,9.28,0
20140603,9.28,9.28,9.28,9.28,0
20140604,9.28,9.28,9.28,9.28,0
20140605,9.28,9.28,9.28,9.28,0
20140606,9.28,9.28,9.28,9.28,0
20140610,9.28,9.28,9.28,9.28,0
20140611,9.28,9.28,9.28,9.28,0
20140612,9.28,9.28,9.28,9.28,0
20140613,9.05,9.05,9.05,9.05,4200
20140616,9.05,9.06,9.05,9.06,9628
20140617,9.06,9.06,9.06,9.06,0
20140618,9.06,9.06,9.06,9.06,0
20140619,9.06,9.06,9.06,9.06,0
20140620,9.06,9.06,9.06,9.06,0
20140623,9.41,9.41,9.41,9.41,200
20140624,9.41,9.41,9.41,9.41,0
20140625,9.41,9.41,9.41,9.41,0
20140626,9.41,9.41,9.41,9.41,0
20140627,9.41,9.41,9.41,9.41,0
20140630,9.41,9.41,9.41,9.41,0
20140701,9.41,9.41,9.41,9.41,0
20140702,9.41,9.41,9.41,9.41,0
20140703,9.41,9.41,9.41,9.41,0
20140704,9.41,9.41,9.41,9.41,0
20140707,9.44,9.44,9.44,9.44,2000
20140708,9.45,9.45,9.45,9.45,213
20140709,9.45,9.45,9.45,9.45,0
20140710,9.45,9.45,9.45,9.45,0
