Date,Open,High,Low,Close,Volume
20131016,20.31,20.31,20.31,20.31,240
20131017,20.31,20.31,20.31,20.31,0
20131018,20.31,20.31,20.31,20.31,0
20131021,20.44,20.47,20.44,20.47,974
20131022,20.56,20.56,20.56,20.56,735
20131023,20.56,20.56,20.56,20.56,0
20131024,20.56,20.56,20.56,20.56,0
20131025,20.56,20.56,20.56,20.56,0
20131028,20.56,20.56,20.56,20.56,0
20131029,20.56,20.56,20.56,20.56,0
20131030,20.56,20.56,20.56,20.56,0
20131031,20.56,20.56,20.56,20.56,0
20131101,20.56,20.56,20.56,20.56,0
20131104,20.56,20.56,20.56,20.56,0
20131105,20.56,20.56,20.56,20.56,0
20131106,20.56,20.56,20.56,20.56,0
20131107,20.56,20.56,20.56,20.56,0
20131108,20.56,20.56,20.56,20.56,0
20131111,20.56,20.56,20.56,20.56,0
20131112,20.56,20.56,20.56,20.56,0
20131113,20.56,20.56,20.56,20.56,0
20131114,20.56,20.56,20.56,20.56,0
20131115,20.56,20.56,20.56,20.56,0
20131118,20.56,20.56,20.56,20.56,0
20131119,20.56,20.56,20.56,20.56,0
20131120,20.56,20.56,20.56,20.56,0
20131121,20.56,20.56,20.56,20.56,0
20131122,20.56,20.56,20.56,20.56,0
20131125,20.56,20.56,20.56,20.56,0
20131126,20.56,20.56,20.56,20.56,0
20131127,20.56,20.56,20.56,20.56,0
20131128,20.56,20.56,20.56,20.56,0
20131129,20.56,20.56,20.56,20.56,0
20131202,20.56,20.56,20.56,20.56,0
20131203,20.56,20.56,20.56,20.56,0
20131204,20.56,20.56,20.56,20.56,0
20131205,20.56,20.56,20.56,20.56,0
20131206,20.56,20.56,20.56,20.56,0
20131209,20.56,20.56,20.56,20.56,0
20131210,20.56,20.56,20.56,20.56,0
20131211,20.56,20.56,20.56,20.56,0
20131212,20.56,20.56,20.56,20.56,0
20131213,20.56,20.56,20.56,20.56,0
20131216,20.56,20.56,20.56,20.56,0
20131217,20.56,20.56,20.56,20.56,0
20131218,20.56,20.56,20.56,20.56,0
20131219,20.56,20.56,20.56,20.56,0
20131220,20.56,20.56,20.56,20.56,0
20131223,20.56,20.56,20.56,20.56,0
20131224,20.56,20.56,20.56,20.56,0
20131227,20.56,20.56,20.56,20.56,0
20131230,20.56,20.56,20.56,20.56,0
20131231,20.56,20.56,20.56,20.56,0
20140102,20.56,20.56,20.56,20.56,0
20140103,20.56,20.56,20.56,20.56,0
20140106,20.56,20.56,20.56,20.56,0
20140107,20.56,20.56,20.56,20.56,0
20140108,20.56,20.56,20.56,20.56,0
20140109,20.56,20.56,20.56,20.56,0
20140110,20.56,20.56,20.56,20.56,0
20140113,20.56,20.56,20.56,20.56,0
20140114,20.56,20.56,20.56,20.56,0
20140115,20.56,20.56,20.56,20.56,0
20140116,20.56,20.56,20.56,20.56,0
20140117,20.56,20.56,20.56,20.56,0
20140120,20.56,20.56,20.56,20.56,0
20140121,20.56,20.56,20.56,20.56,0
20140122,20.56,20.56,20.56,20.56,0
20140123,20.56,20.56,20.56,20.56,0
20140124,20.56,20.56,20.56,20.56,0
20140128,20.56,20.56,20.56,20.56,0
20140129,20.56,20.56,20.56,20.56,0
20140130,20.56,20.56,20.56,20.56,0
20140131,20.56,20.56,20.56,20.56,0
20140203,20.56,20.56,20.56,20.56,0
20140204,20.56,20.56,20.56,20.56,0
20140205,19.73,19.73,19.73,19.73,40
20140206,19.73,19.73,19.73,19.73,0
20140207,19.73,19.73,19.73,19.73,0
20140210,19.73,19.73,19.73,19.73,0
20140211,20.62,20.62,20.62,20.62,244
20140212,20.62,20.62,20.62,20.62,0
20140213,20.62,20.62,20.62,20.62,0
20140214,20.62,20.62,20.62,20.62,0
20140217,21.37,21.37,21.37,21.37,55
20140218,21.37,21.37,21.37,21.37,0
20140219,21.37,21.37,21.37,21.37,0
20140220,21.37,21.37,21.37,21.37,0
20140221,21.37,21.37,21.37,21.37,0
20140224,21.37,21.37,21.37,21.37,0
20140225,21.4,21.4,21.4,21.4,46
20140226,21.4,21.4,21.4,21.4,0
20140227,21.4,21.4,21.4,21.4,0
20140228,21.4,21.4,21.4,21.4,0
20140303,21.4,21.4,21.4,21.4,0
20140304,21.4,21.4,21.4,21.4,0
20140305,21.4,21.4,21.4,21.4,0
20140306,21.4,21.4,21.4,21.4,0
20140307,21.4,21.4,21.4,21.4,0
20140310,21.4,21.4,21.4,21.4,0
20140311,21.4,21.4,21.4,21.4,0
20140312,21.4,21.4,21.4,21.4,0
20140313,21.4,21.4,21.4,21.4,0
20140314,21.4,21.4,21.4,21.4,0
20140317,20.58,20.58,20.58,20.58,291
20140318,20.58,20.58,20.58,20.58,0
20140319,20.58,20.58,20.58,20.58,0
20140320,20.58,20.58,20.58,20.58,0
20140321,20.58,20.58,20.58,20.58,0
20140324,20.58,20.58,20.58,20.58,0
20140325,20.58,20.58,20.58,20.58,0
20140326,20.58,20.58,20.58,20.58,0
20140327,20.58,20.58,20.58,20.58,0
20140328,20.58,20.58,20.58,20.58,0
20140331,20.58,20.58,20.58,20.58,0
20140401,20.58,20.58,20.58,20.58,0
20140402,20.58,20.58,20.58,20.58,0
20140403,20.58,20.58,20.58,20.58,0
20140404,20.58,20.58,20.58,20.58,0
20140407,20.58,20.58,20.58,20.58,0
20140408,20.58,20.58,20.58,20.58,0
20140409,20.58,20.58,20.58,20.58,0
20140410,20.58,20.58,20.58,20.58,0
20140411,20.58,20.58,20.58,20.58,0
20140414,20.58,20.58,20.58,20.58,0
20140415,20.58,20.58,20.58,20.58,0
20140416,20.58,20.58,20.58,20.58,0
20140417,20.58,20.58,20.58,20.58,0
20140422,20.58,20.58,20.58,20.58,0
20140423,20.58,20.58,20.58,20.58,0
20140424,20.58,20.58,20.58,20.58,0
20140428,20.58,20.58,20.58,20.58,0
20140429,20.58,20.58,20.58,20.58,0
20140430,20.58,20.58,20.58,20.58,0
20140501,20.58,20.58,20.58,20.58,0
20140502,20.58,20.58,20.58,20.58,0
20140505,20.58,20.58,20.58,20.58,0
20140506,20.58,20.58,20.58,20.58,0
20140507,20.58,20.58,20.58,20.58,0
20140508,20.58,20.58,20.58,20.58,0
20140509,20.58,20.58,20.58,20.58,0
20140512,20.58,20.58,20.58,20.58,0
20140513,20.58,20.58,20.58,20.58,0
20140514,20.58,20.58,20.58,20.58,0
20140515,20.58,20.58,20.58,20.58,0
