Date,Open,High,Low,Close,Volume
20150528,17,17.03,17,17.03,5060
20150529,17.09,17.19,17.09,17.12,4196
20150601,17.02,17.07,16.92,17.06,1363646
20150602,17.05,17.05,16.76,16.86,44724
20150603,16.67,16.7,16.59,16.64,63871
20150604,16.51,16.51,16.39,16.39,1063
20150605,16.36,16.36,16.36,16.36,1286
20150609,16.36,16.36,16.28,16.28,33986
20150610,16.3,16.3,16.28,16.28,3500
20150611,16.47,16.49,16.47,16.49,3995
20150612,16.49,16.49,16.42,16.42,2417
20150615,16.42,16.44,16.4,16.4,1982
20150616,16.34,16.34,16.31,16.31,3617
20150617,16.35,16.4,16.35,16.36,106274
20150618,16.21,16.21,16.1,16.14,54687
20150619,16.14,16.14,16.14,16.14,0
20150622,16.26,16.32,16.26,16.32,511
20150623,16.52,16.52,16.52,16.52,175
20150624,16.5,16.5,16.5,16.5,700
20150625,16.32,16.32,16.19,16.19,10421
20150626,16,16,15.82,15.91,4392
20150629,15.62,15.62,15.53,15.53,2069
20150630,15.53,15.53,15.49,15.52,810
20150701,15.69,15.69,15.69,15.69,310
20150702,15.89,15.9,15.89,15.9,2549
20150703,15.75,15.78,15.67,15.78,35305
20150706,15.78,15.78,15.78,15.78,0
20150707,15.73,15.73,15.72,15.72,12065
20150708,15.67,15.67,15.67,15.67,100
20150709,15.38,15.38,15.22,15.37,3300
20150710,15.37,15.37,15.37,15.37,0
20150713,15.51,15.51,15.42,15.42,1203
20150714,15.64,15.68,15.64,15.68,1492
20150715,15.75,15.76,15.74,15.75,748
20150716,15.88,15.88,15.82,15.82,1379
20150717,15.82,15.82,15.82,15.82,0
20150720,15.87,15.87,15.87,15.87,700
20150721,15.9,15.97,15.9,15.97,2294
20150722,15.82,15.82,15.82,15.82,734
20150723,15.88,15.9,15.88,15.9,2325
20150724,15.82,15.82,15.72,15.75,7715
20150727,15.69,15.72,15.69,15.72,476
20150728,15.72,15.72,15.72,15.72,0
20150729,15.79,15.81,15.79,15.79,1176
20150730,15.91,15.91,15.91,15.91,650
20150731,16,16,15.97,15.97,3835
20150803,15.97,15.97,15.97,15.97,0
20150804,16.06,16.06,16,16,2634
20150805,15.98,15.98,15.94,15.94,2374
20150806,15.88,15.92,15.81,15.81,20984
20150807,15.75,15.75,15.62,15.67,1893
20150810,15.64,15.64,15.64,15.64,228
20150811,15.63,15.68,15.63,15.68,4229
20150812,15.4,15.4,15.4,15.4,1617
20150813,15.41,15.49,15.41,15.49,113
20150814,15.49,15.49,15.49,15.49,0
20150817,15.49,15.49,15.49,15.49,0
20150818,15.43,15.5,15.41,15.41,1291
20150819,15.4,15.4,15.4,15.4,1295
20150820,15.38,15.38,15.38,15.38,181
20150821,15.38,15.38,15.38,15.38,0
20150824,14.85,14.85,14.62,14.64,5301
20150825,14.35,14.82,14.35,14.82,15164
20150826,14.8,14.8,14.8,14.8,3380
20150827,15.17,15.19,15.14,15.19,25482
20150828,15.5,15.5,15.32,15.32,1615
20150831,15.19,15.22,15.19,15.19,3028
20150901,15,15.03,15,15.02,13176
20150902,15.02,15.02,15.02,15.02,0
20150903,14.63,14.63,14.61,14.61,8952
20150904,14.61,14.66,14.59,14.66,12300
20150907,14.64,14.64,14.62,14.62,2777
20150908,14.8,14.86,14.8,14.86,1270
20150909,15.07,15.13,15.07,15.1,4688
20150910,14.86,14.91,14.83,14.88,5153
20150911,14.88,14.88,14.88,14.88,0
20150914,14.87,14.87,14.86,14.86,4957
20150915,14.84,14.84,14.84,14.84,192
20150916,14.91,14.91,14.91,14.91,652
20150917,15.21,15.21,15.21,15.21,300
20150918,15.2,15.29,15.18,15.27,36678
20150921,15,15,14.83,14.83,2497
20150922,14.99,15.01,14.96,14.96,6725
20150923,14.94,14.94,14.79,14.8,4296
20150924,14.96,15.06,14.96,15.06,990
20150925,15.06,15.06,15.06,15.06,0
20150928,15.06,15.06,15.06,15.06,0
20150929,14.96,14.96,14.91,14.91,5593
20150930,15,15.08,15,15.08,748
20151001,15.39,15.39,15.39,15.39,83
20151002,15.39,15.39,15.39,15.39,0
20151005,15.39,15.39,15.39,15.39,0
20151006,15.63,15.63,15.55,15.55,3457
20151007,15.55,15.55,15.49,15.49,1738
20151008,15.54,15.54,15.48,15.48,5464
20151009,15.54,15.74,15.54,15.7,1184
20151012,15.68,15.72,15.65,15.65,3729
20151013,15.41,15.41,15.41,15.41,12
20151014,15.39,15.5,15.39,15.44,1005
20151015,15.62,15.62,15.61,15.62,1917
20151016,15.8,15.8,15.8,15.8,572
20151019,15.72,15.72,15.7,15.72,2154
20151020,15.66,15.66,15.61,15.61,587
20151021,15.61,15.61,15.61,15.61,0
20151022,15.67,15.67,15.67,15.67,2640
20151023,15.95,16.04,15.95,16.04,2736
20151026,16.07,16.07,16.07,16.07,697
20151027,16,16,15.99,15.99,956
20151028,15.93,16,15.93,15.98,32914
20151029,16,16.03,16,16.03,9357
20151030,15.85,16.05,15.85,16,2434
20151102,15.9,15.94,15.89,15.94,817
20151103,16,16.07,16,16.05,8347
20151104,16.28,16.28,16.22,16.22,1551
20151105,16.07,16.07,16.07,16.07,981
20151106,16.13,16.13,16.06,16.12,4643
20151109,15.84,15.84,15.84,15.84,2339
20151110,15.75,15.79,15.75,15.79,3861
20151111,15.77,15.82,15.73,15.82,22110
20151112,15.78,15.82,15.78,15.8,7337
20151113,15.59,15.59,15.55,15.59,6097
20151116,15.52,15.53,15.52,15.53,5991
20151117,15.73,15.73,15.73,15.73,652
20151118,15.88,15.88,15.86,15.86,1161
20151119,16.1,16.19,16.1,16.19,2203
20151120,16.25,16.29,16.25,16.27,6974
20151123,16.22,16.27,16.21,16.21,5764
20151124,16.14,16.14,16.14,16.14,709
20151125,16.03,16.03,16.03,16.03,937
20151126,16.12,16.12,16.03,16.03,4959
20151127,15.99,15.99,15.97,15.99,5066
20151130,15.92,15.92,15.9,15.9,3744
20151201,16.12,16.18,16.12,16.18,4119
20151202,16.09,16.09,16.05,16.05,2669
20151203,15.96,15.97,15.96,15.97,2101
20151204,15.75,15.78,15.75,15.78,1026
20151207,15.96,15.96,15.89,15.89,1031
20151208,15.82,15.84,15.75,15.81,13060
20151209,15.75,15.78,15.66,15.69,32896
20151210,15.69,15.69,15.5,15.51,7723
20151211,15.56,15.56,15.51,15.51,1145
20151214,15.37,15.37,15.28,15.28,5755
20151215,15.35,15.37,15.26,15.32,5637
20151216,15.48,15.5,15.46,15.5,7221
20151217,15.8,15.8,15.74,15.74,4350
20151218,15.57,15.78,15.57,15.76,8493
20151221,15.67,15.73,15.67,15.73,2004
20151222,15.91,15.91,15.82,15.82,1706
20151223,15.94,15.95,15.94,15.95,5363
20151224,15.96,15.97,15.96,15.97,4642
20151229,16.31,16.31,16.31,16.31,152
20151230,16.51,16.51,16.48,16.48,1132
20151231,16.47,16.47,16.47,16.47,1815
20160104,16.48,16.48,16.4,16.4,2560
20160105,16.23,16.23,16.14,16.14,1313
20160106,16.07,16.07,15.82,15.92,31676
