Date,Open,High,Low,Close,Volume
20140306,20.15,20.17,20.15,20.17,1010
20140307,20.17,20.17,20.17,20.17,0
20140310,20.28,20.29,20.28,20.29,519
20140311,20.31,20.31,20.22,20.22,872
20140312,20.02,20.02,20,20,1100
20140313,20.16,20.2,20.16,20.2,350
20140314,19.92,19.92,19.9,19.91,750
20140317,19.85,19.85,19.85,19.85,100
20140318,19.95,19.95,19.92,19.92,769
20140319,19.93,19.96,19.93,19.96,256
20140320,19.96,19.96,19.96,19.96,0
20140321,19.96,19.96,19.96,19.96,0
20140324,19.96,19.96,19.96,19.96,0
20140325,19.72,19.72,19.72,19.72,11000
20140326,19.72,19.72,19.72,19.72,0
20140327,19.72,19.72,19.72,19.72,0
20140328,19.8,19.86,19.8,19.86,4052
20140331,19.86,19.86,19.86,19.86,0
20140401,19.86,19.86,19.86,19.86,0
20140402,19.86,19.86,19.86,19.86,0
20140403,20.04,20.04,20.04,20.04,100
20140404,20.04,20.04,20.04,20.04,0
20140407,20.04,20.04,20.04,20.04,0
20140408,20.04,20.04,20.04,20.04,0
20140409,20.29,20.31,20.29,20.31,888
20140410,20.36,20.36,20.36,20.36,100
20140411,20.15,20.15,20.15,20.15,300
20140414,19.91,19.91,19.86,19.86,400
20140415,19.92,19.92,19.92,19.92,50
20140416,20.05,20.06,20.05,20.06,1048
20140417,20.13,20.13,20.13,20.13,496
20140422,20.13,20.13,20.13,20.13,0
20140423,20.34,20.34,20.34,20.34,246
20140424,20.4,20.4,20.4,20.4,1000
20140428,20.43,20.43,20.43,20.43,900
20140429,20.4,20.4,20.34,20.34,4000
20140430,20.34,20.34,20.34,20.34,0
20140501,20.15,20.15,20.15,20.15,745
20140502,20.15,20.15,20.15,20.15,0
20140505,20.15,20.15,20.15,20.15,0
20140506,20.15,20.15,20.15,20.15,0
20140507,20.28,20.28,20.12,20.12,1106
20140508,20.12,20.12,20.12,20.12,0
20140509,20.12,20.12,20.12,20.12,0
20140512,20.12,20.12,20.12,20.12,0
20140513,20.44,20.44,20.4,20.41,835
20140514,20.39,20.39,20.39,20.39,1000
20140515,20.43,20.43,20.43,20.43,390
20140516,20.35,20.35,20.33,20.33,279
20140519,20.13,20.13,20.12,20.12,900
20140520,20.03,20.08,20.03,20.08,2205
20140521,20,20,20,20,240
20140522,20,20,20,20,0
20140523,20.36,20.36,20.36,20.36,590
20140526,20.42,20.42,20.42,20.42,600
20140527,20.48,20.48,20.48,20.48,500
20140528,20.56,20.59,20.56,20.59,1306
20140529,20.59,20.59,20.59,20.59,0
20140530,20.51,20.51,20.51,20.51,210
20140602,20.51,20.51,20.51,20.51,0
20140603,20.53,20.53,20.53,20.53,2000
20140604,20.27,20.27,20.27,20.27,220
20140605,20.27,20.27,20.27,20.27,0
