Date,Open,High,Low,Close,Volume
20190621,50.92,50.92,50.44,50.45,14121
20190624,50.5,50.5,50.08,50.08,4331
20190625,50.25,50.25,50.04,50.17,1525
20190626,50.18,50.32,50.18,50.32,1989
20190627,50.55,50.71,50.55,50.71,1564
20190628,50.58,50.58,50.4,50.48,4361
20190701,50.35,50.57,50.35,50.57,446
20190702,50.58,50.58,50.53,50.53,510
20190703,50.53,50.53,50.53,50.53,0
20190704,50.53,50.53,50.53,50.53,0
20190705,51.09,51.09,50.8,50.8,918
20190708,50.84,50.84,49.95,49.95,7289
20190709,49.81,49.81,49.48,49.48,2503
20190710,50.02,50.09,49.8,49.8,5067
20190711,49.97,50.09,49.96,50,2897
20190712,49.8,49.86,49.65,49.73,2405
20190715,49.6,49.6,49.3,49.3,4212
20190716,49.58,49.6,49.58,49.6,763
20190717,49.6,49.6,49.6,49.6,2018
20190718,49.79,49.79,49.7,49.72,1655
20190719,49.5,49.5,49,49,21337
20190722,48.61,48.61,48.4,48.4,822
20190723,48.4,48.52,48.39,48.52,13548
20190724,48.66,48.67,48.32,48.32,2237
20190725,48.57,48.6,48.57,48.6,1919
20190726,48.39,48.46,48.36,48.45,1816
20190729,49.08,49.08,48.69,48.69,1911
20190730,48.65,49.04,48.65,48.93,1101
20190731,48.52,48.52,48,48.01,6695
20190801,48.17,48.17,48,48,247
20190802,47.66,47.97,47.66,47.76,623
20190805,47.76,47.76,46.8,46.8,1132
20190806,46,47.06,46,47,1009
20190807,46.98,46.98,46.98,46.98,84
20190808,46.79,47,46.63,47,2465
20190809,47.53,47.76,47.53,47.7,1575
20190812,47.59,47.8,47.59,47.8,605
20190813,47.8,47.8,47.8,47.8,0
20190814,47.32,47.32,47,47.3,211
20190815,46.73,46.73,46.73,46.73,90
20190816,46.64,46.64,46.64,46.64,422
20190819,47.4,47.4,47.4,47.4,314
20190820,46.81,47,46.81,47,111
20190821,47,47,46.96,46.96,520
20190822,46.84,46.84,46.6,46.6,737
20190823,45.99,45.99,45.49,45.89,555
20190826,45.89,45.89,45.89,45.89,0
20190827,47,47,47,47,500
20190828,47.81,47.81,47.81,47.81,50
20190829,47.2,47.2,47.15,47.15,422
20190830,47.04,47.48,47.04,47.07,1185
20190902,47,47,47,47,106
20190903,46.7,46.7,46.7,46.7,52
20190904,46.03,46.03,45.67,45.67,122
20190905,45.8,45.8,45.8,45.8,2000
20190906,46.12,46.12,46.12,46.12,139
20190909,46.05,46.05,45.94,45.94,451
20190910,46.09,46.09,46.02,46.02,2094
20190911,45.87,45.87,45.87,45.87,100
20190912,46.4,46.4,46.4,46.4,53
20190913,46.46,46.46,46.39,46.39,3032
20190916,46.1,46.1,46.08,46.08,3001
20190917,45.9,46,45.87,45.87,1323
20190918,45.81,45.81,45.75,45.75,590
20190919,46.06,46.06,46.06,46.06,21
20190920,45.6,47.3,45.6,47.3,1548
20190923,48.4,49.4,48.4,49.16,12785
20190924,50.18,50.27,49.84,49.84,4161
20190925,49.31,49.31,49.31,49.31,120
20190926,49.31,49.31,49.31,49.31,0
20190927,49.52,49.52,49.38,49.38,610
20190930,49.38,49.38,49.38,49.38,0
20191001,49.6,49.6,49.45,49.45,641
20191002,48.88,48.88,48.87,48.87,139
20191003,48.67,48.67,48.5,48.58,758
20191004,48.95,48.95,48.8,48.8,464
20191007,48.1,48.1,48.1,48.1,106
20191008,47.87,47.87,47.87,47.87,974
20191009,47.5,47.5,47.5,47.5,2025
20191010,48.46,48.46,48.46,48.46,1500
20191011,48.36,48.36,48.36,48.36,100
20191014,48.44,48.44,48.44,48.44,511
20191015,48.29,48.48,48.29,48.48,213
20191016,49,49,49,49,10
20191017,48.93,48.93,48.91,48.91,898
20191018,49.1,49.1,49.1,49.1,200
20191021,49.48,49.48,49.48,49.48,500
20191022,49.13,49.13,49.13,49.13,60
20191023,49.13,49.13,49.13,49.13,0
20191024,49.3,49.3,49.3,49.3,20
20191025,49.38,49.38,49.38,49.38,100
20191028,49.66,49.66,49.65,49.65,1302
20191029,49.65,49.7,49.65,49.7,420
