Date,Open,High,Low,Close,Volume
20220321,1.805,1.805,1.795,1.795,388355
20220322,1.79,1.79,1.785,1.785,389380
20220323,1.775,1.79,1.775,1.785,131878
20220324,1.76,1.76,1.75,1.755,421977
20220325,1.755,1.755,1.755,1.755,24545
20220328,1.755,1.755,1.755,1.755,0
20220329,1.76,1.765,1.76,1.765,109779
20220330,1.8,1.8,1.78,1.78,280150
20220331,1.78,1.785,1.78,1.78,102047
20220401,1.76,1.765,1.76,1.76,366713
20220404,1.765,1.765,1.76,1.765,196761
20220405,1.75,1.76,1.745,1.745,43340
20220406,1.705,1.72,1.705,1.72,56403
20220407,1.71,1.71,1.71,1.71,19298
20220408,1.72,1.72,1.72,1.72,107675
20220411,1.72,1.72,1.715,1.715,32532
20220412,1.705,1.705,1.7,1.7,21503
20220413,1.7,1.7,1.695,1.695,58846
20220414,1.72,1.72,1.715,1.715,29321
20220419,1.71,1.715,1.71,1.715,47952
20220420,1.72,1.725,1.72,1.72,336251
20220421,1.745,1.745,1.74,1.74,76576
20220422,1.74,1.75,1.74,1.75,82832
20220426,1.745,1.75,1.745,1.75,51469
20220427,1.715,1.715,1.7,1.71,503739
20220428,1.73,1.73,1.725,1.73,269844
20220429,1.73,1.745,1.73,1.74,63907
20220502,1.74,1.745,1.74,1.74,107212
20220503,1.74,1.74,1.74,1.74,43103
20220504,1.74,1.74,1.735,1.735,80885
20220505,1.745,1.75,1.745,1.75,68368
20220506,1.7,1.705,1.7,1.7,77510
20220509,1.69,1.695,1.69,1.695,134594
20220510,1.675,1.675,1.675,1.675,32877
20220511,1.685,1.685,1.685,1.685,1190
20220512,1.66,1.665,1.655,1.665,108160
20220513,1.68,1.68,1.68,1.68,15688
20220516,1.705,1.705,1.705,1.705,81051
20220517,1.68,1.685,1.68,1.685,47144
20220518,1.715,1.715,1.71,1.71,23647
20220519,1.66,1.66,1.655,1.655,94879
20220520,1.665,1.665,1.665,1.665,6006
20220523,1.655,1.655,1.65,1.65,261715
20220524,1.655,1.655,1.655,1.655,57547
20220525,1.645,1.645,1.645,1.645,78994
20220526,1.64,1.66,1.64,1.655,80183
20220527,1.675,1.675,1.67,1.67,10570
20220530,1.7,1.705,1.69,1.705,44680
20220531,1.71,1.71,1.705,1.705,78202
20220601,1.7,1.7,1.695,1.695,92286
20220602,1.665,1.68,1.665,1.68,45306
20220603,1.695,1.695,1.695,1.695,18198
20220606,1.68,1.69,1.68,1.69,21660
20220607,1.695,1.695,1.685,1.685,71188
20220608,1.69,1.695,1.69,1.695,101918
20220609,1.69,1.69,1.69,1.69,59
20220610,1.67,1.67,1.665,1.665,253175
20220614,1.6,1.6,1.59,1.59,113813
20220615,1.595,1.595,1.595,1.595,31526
20220616,1.58,1.595,1.58,1.585,109070
20220617,1.53,1.535,1.53,1.535,47162
20220620,1.56,1.56,1.55,1.555,113630
20220621,1.56,1.565,1.56,1.565,34593
20220622,1.565,1.565,1.55,1.55,15778
20220623,1.575,1.575,1.57,1.575,57319
20220624,1.585,1.6,1.585,1.6,26821
20220627,1.62,1.62,1.62,1.62,12479
20220628,1.62,1.63,1.62,1.63,24483
20220629,1.605,1.605,1.605,1.605,19561
20220630,1.6,1.6,1.595,1.595,43978
20220701,1.47,1.47,1.47,1.47,30605
20220704,1.485,1.485,1.485,1.485,272299
20220705,1.485,1.485,1.485,1.485,0
20220706,1.48,1.485,1.48,1.485,20845
20220707,1.49,1.49,1.49,1.49,41608
20220708,1.49,1.49,1.49,1.49,0
20220711,1.505,1.505,1.495,1.5,64564
20220712,1.5,1.5,1.49,1.495,130459
20220713,1.49,1.49,1.485,1.49,15439
20220714,1.48,1.485,1.475,1.485,23696
20220715,1.485,1.485,1.485,1.485,27119
20220718,1.5,1.505,1.5,1.505,58931
20220719,1.49,1.495,1.49,1.495,16610
20220720,1.525,1.53,1.525,1.525,64587
20220721,1.53,1.53,1.53,1.53,73824
20220722,1.54,1.54,1.54,1.54,42490
20220725,1.535,1.535,1.535,1.535,4901
20220726,1.52,1.52,1.52,1.52,115489
20220727,1.535,1.535,1.535,1.535,40434
20220728,1.53,1.53,1.53,1.53,54870
20220729,1.56,1.56,1.555,1.56,133663
20220801,1.565,1.565,1.565,1.565,4062
20220802,1.56,1.56,1.56,1.56,16354
20220803,1.58,1.58,1.575,1.575,67839
20220804,1.59,1.59,1.59,1.59,28239
