Date,Open,High,Low,Close,Volume
20221207,26.49,26.54,26.48,26.53,10022
20221208,26.61,26.65,26.61,26.61,7589
20221209,26.47,26.51,26.44,26.47,5291
20221212,26.44,26.44,26.41,26.41,1865
20221213,26.4,26.46,26.4,26.46,137
20221214,26.5,26.56,26.5,26.52,8274
20221215,26.4,26.41,26.28,26.29,13300
20221216,26.57,26.57,26.54,26.54,8257
20221219,26.87,26.87,26.77,26.77,1213
20221220,26.71,26.72,26.68,26.68,1407
20221221,27.24,27.28,27.22,27.28,10512
20221222,27.1,27.12,27.02,27.02,8978
20221223,26.95,26.95,26.85,26.85,777
20221228,26.85,26.85,26.85,26.85,0
20221229,26.83,26.83,26.83,26.83,73
20221230,26.83,26.83,26.83,26.83,0
20230103,27.04,27.04,27.04,27.04,365
20230104,27.39,27.39,27.29,27.29,426
20230105,27.19,27.3,27.14,27.27,1150
20230106,27.19,27.19,27.17,27.17,1898
20230109,27.2,27.23,27.15,27.15,1066
20230110,27.13,27.13,27.11,27.12,1871
20230111,27.12,27.12,27.12,27.12,0
20230112,27.23,27.29,27.23,27.29,836
20230113,27.31,27.31,27.3,27.3,731
20230116,27.54,27.54,27.51,27.53,1530
20230117,27.44,27.44,27.44,27.44,50
20230118,27.38,27.38,27.21,27.21,1861
20230119,27.51,27.73,27.51,27.73,7249
20230120,27.99,28,27.93,27.93,2032
20230123,27.95,27.95,27.68,27.72,797
20230124,27.56,27.56,27.5,27.5,568
20230125,27.59,27.59,27.21,27.21,1344
20230127,27.1,27.1,27.1,27.1,129
20230130,27.12,27.3,27.12,27.3,4018
20230131,27.33,27.35,27.33,27.35,33
20230201,27.35,27.35,27.35,27.35,21
20230202,27.4,27.41,27.37,27.41,1345
20230203,27.24,27.24,27.2,27.2,274
20230206,27.03,27.03,27,27,130
20230207,27,27,27,27,0
20230208,26.95,26.96,26.95,26.96,2
20230209,26.96,26.96,26.96,26.96,0
20230210,26.96,26.96,26.9,26.94,23418
20230213,26.94,26.94,26.94,26.94,0
20230214,26.7,26.71,26.7,26.71,209
20230215,26.63,26.65,26.63,26.65,163
20230216,26.65,26.67,26.65,26.67,3198
20230217,26.67,26.67,26.67,26.67,0
20230220,26.77,26.85,26.74,26.74,1013
20230221,26.73,26.73,26.71,26.71,4124
20230222,26.81,26.91,26.81,26.91,3705
20230223,26.88,26.88,26.79,26.79,126
20230224,26.79,26.79,26.79,26.79,0
20230227,26.88,26.97,26.88,26.97,2174
20230228,26.97,26.97,26.97,26.97,0
20230301,27.2,27.2,27.2,27.2,81
20230302,27.24,27.24,27.24,27.24,11
20230303,27.34,27.36,27.34,27.34,839
20230306,27.53,27.53,27.52,27.52,292
20230307,27.52,27.52,27.43,27.43,23413
20230308,27.62,27.62,27.62,27.62,500
20230309,27.62,27.62,27.62,27.62,0
20230310,27.89,27.89,27.89,27.89,364
20230313,28.43,28.5,28.32,28.32,1624
20230314,28.77,28.78,28.77,28.78,2094
20230315,28.55,28.55,28.5,28.5,1046
20230316,28.95,28.95,28.95,28.95,8688
20230317,28.92,28.92,28.82,28.82,1936
20230320,29.56,29.56,29.4,29.52,3829
20230321,29.51,29.54,29.46,29.54,1381
20230322,29.17,29.18,28.98,28.99,1219
20230323,28.99,28.99,28.99,28.99,0
20230324,29.95,29.95,29.87,29.87,310
20230327,29.75,29.84,29.75,29.79,3782
20230328,29.49,29.49,29.29,29.35,1083
20230329,29.51,29.51,29.41,29.41,1348
20230330,29.46,29.46,29.4,29.4,598
20230331,29.56,29.57,29.52,29.57,4440
20230403,29.59,29.59,29.34,29.34,12949
20230404,29.36,29.36,29.28,29.28,1678
20230405,30,30.05,29.98,30.05,3461
20230406,30.19,30.21,30.12,30.21,2611
20230411,30.24,30.24,30,30.03,2831
20230412,30.21,30.29,30.21,30.29,47
20230413,30.32,30.32,30.16,30.16,858
20230414,30.19,30.24,30.13,30.23,3518
20230417,30.22,30.23,29.96,30.01,1374
20230418,29.84,29.85,29.84,29.84,3742
20230419,29.8,29.8,29.8,29.8,33
20230420,29.8,29.81,29.79,29.79,18030
