Date,Open,High,Low,Close,Volume
20111116,54.81,54.81,54.81,54.81,460
20111117,54.95,56.9,54.95,56.9,1080
20111118,54.6,54.6,54.6,54.6,1
20111121,54.6,54.6,54.6,54.6,0
20111122,53.58,53.61,53.55,53.55,6
20111123,54.22,54.22,53.7,53.7,592
20111124,53.3,53.3,53,53,100
20111125,53.28,53.28,53.28,53.28,2
20111128,53.28,53.28,53.28,53.28,0
20111129,53.28,53.28,53.28,53.28,0
20111130,55.2,55.2,55.2,55.2,50
20111201,55.2,55.2,55.2,55.2,0
20111202,55.2,55.2,55.2,55.2,0
20111205,55.2,55.2,55.2,55.2,0
20111206,56,56.03,55.55,55.75,3372
20111207,55.75,55.75,55.75,55.75,0
20111208,55.75,55.75,55.75,55.75,0
20111209,54.56,54.56,54.56,54.56,35
20111212,54.56,54.56,54.56,54.56,0
20111213,54.94,54.94,54.32,54.32,3275
20111214,55.44,55.44,55.44,55.44,126
20111215,55.44,55.44,55.44,55.44,0
20111216,52.24,52.24,52.24,52.24,20
20111219,51.58,51.58,51.58,51.58,22
20111220,51.58,51.58,51.58,51.58,0
20111221,54.4,54.4,53.99,53.99,595
20111222,53.99,53.99,53.99,53.99,0
20111223,53.99,53.99,53.99,53.99,0
20111228,53.99,53.99,53.99,53.99,0
20111229,54.4,55,54.4,55,715
20111230,55.45,55.45,55.45,55.45,90
20120103,55.31,55.31,55.31,55.31,50
20120104,57.13,57.14,56.77,56.77,1620
20120105,57.1,57.1,57.1,57.1,876
20120106,56.36,56.36,56.36,56.36,30
20120109,56.24,56.24,56.1,56.1,225
20120110,56.1,56.1,56.1,56.1,0
20120111,56.1,56.1,56.1,56.1,0
20120112,56.1,56.1,56.1,56.1,180
20120113,56.09,56.09,55.15,55.15,137
20120116,54.82,54.86,54.82,54.86,2180
20120117,54.86,54.86,54.86,54.86,0
20120118,55.82,55.82,55.82,55.82,1
20120119,55.82,55.82,55.82,55.82,0
20120120,56,56,56,56,360
20120123,56,56,56,56,0
20120124,56,56,56,56,0
20120125,55.03,55.03,54.67,54.67,159
20120127,54.67,54.67,54.67,54.67,0
20120130,55.18,55.18,55.18,55.18,12
20120131,55.07,55.07,55.04,55.04,144
20120201,54.48,54.48,54.37,54.37,140
20120202,54.35,54.35,53.83,53.83,392
20120203,53.7,53.7,53.7,53.7,300
20120206,54,54,53.92,53.92,772
20120207,53.96,53.96,53.76,53.76,82
20120208,54.77,54.77,54.77,54.77,23
20120209,54.77,54.77,54.52,54.52,120
20120210,55.19,55.19,54.97,54.97,2180
20120213,55.09,55.09,55.09,55.09,45
20120214,55.09,55.09,55.09,55.09,0
20120215,55.94,56.2,55.94,56.2,249
20120216,56.45,56.45,56.11,56.2,10416
20120217,56.2,56.2,56.2,56.2,0
20120220,58.09,58.09,58.09,58.09,10
20120221,57.95,57.95,57.89,57.95,1781
20120222,57.95,57.95,57.95,57.95,0
20120223,58.44,58.44,58.34,58.37,526
20120224,59.65,59.83,59.65,59.83,800
20120227,60.3,60.3,60.3,60.3,1100
20120228,60.29,60.29,59.65,59.65,124
20120229,58.83,59.1,58.63,59.1,1828
20120301,59.05,59.05,59,59,2815
20120302,59,59,59,59,0
20120305,59,59,59,59,0
20120306,59,59,59,59,85
20120307,59,59,59,59,0
20120308,58.44,58.44,58.44,58.44,175
20120309,58.97,59.06,58.97,59.06,908
20120312,59.1,59.1,59.1,59.1,70
20120313,58.93,58.93,58.93,58.93,254
20120314,58.9,58.9,58.9,58.9,70
20120315,58.17,58.33,58.17,58.3,1172
20120316,58.28,58.31,58.24,58.28,328
20120319,59.39,59.39,59.13,59.13,6493
20120320,59.13,59.13,59.13,59.13,0
20120321,59.13,59.13,59.13,59.13,0
20120322,58.44,58.44,58.44,58.44,126
20120323,58.14,58.14,58,58.09,2394
20120326,58.09,58.09,58.09,58.09,0
20120327,58.09,58.09,58.09,58.09,0
20120328,58.76,58.76,58.76,58.76,500
20120329,58.76,58.76,58.76,58.76,0
20120330,58.76,58.76,58.76,58.76,0
20120402,56.85,56.85,56.8,56.8,267
20120403,57.64,57.64,57.64,57.64,85
20120404,57.01,57.01,56.95,56.95,193
20120405,55.87,56,55.87,56,4189
20120410,56,56,56,56,0
20120411,56,56,56,56,0
20120412,56,56,56,56,0
20120413,56,56,56,56,0
20120416,56.05,56.08,56.05,56.08,237
20120417,56.47,56.47,56.47,56.47,30
20120418,57.41,57.41,57.41,57.41,2600
20120419,57.41,57.41,57.41,57.41,0
20120420,56.39,56.39,56.21,56.21,2690
20120423,56.21,56.21,56.21,56.21,0
20120424,56.44,56.44,56.44,56.44,1772
20120426,56.44,56.44,56.44,56.44,0
20120427,56.44,56.44,56.44,56.44,0
20120430,57.25,57.25,57.25,57.25,176
20120501,57.25,57.25,57.25,57.25,0
20120502,57.25,57.25,57.25,57.25,0
20120503,57.25,57.25,57.25,57.25,0
20120504,57.25,57.25,57.25,57.25,0
20120507,52.75,53.25,52.75,53.25,119
20120508,53.25,53.25,53.25,53.25,0
20120509,53.25,53.25,52.79,52.79,109
20120510,52.8,52.8,52.79,52.79,398
20120511,52.62,52.62,52.5,52.5,240
20120514,52.36,52.36,52.25,52.25,310
20120515,51.43,51.43,51.43,51.43,150
20120516,51.43,51.43,51.43,51.43,0
20120517,50.93,50.94,50.93,50.94,65
20120518,50.5,50.5,50.5,50.5,170
20120521,50.1,50.1,50.1,50.1,18
20120522,50.1,50.1,50.1,50.1,0
20120523,50.62,50.62,49.75,49.75,1020
20120524,49.42,49.42,49.24,49.24,220
20120525,49.27,49.27,49.27,49.27,25
20120528,49.99,50.05,49.99,50.05,130
20120529,49.78,49.78,49.78,49.78,200
20120530,49.55,49.55,49.35,49.35,288
20120531,47.79,47.79,47.79,47.79,100
20120601,47.79,47.79,47.79,47.79,0
20120604,44.91,44.93,44.78,44.78,7021
20120605,46.18,46.18,46.18,46.18,45
20120606,46.06,46.34,46.06,46.34,271
20120607,46.6,46.6,46.6,46.6,110
20120608,46.3,46.3,45.18,45.18,338
20120612,44.48,44.76,44.48,44.74,1252
20120613,45.27,45.27,45.18,45.18,490
20120614,44.96,44.96,44.96,44.96,82
20120615,45.86,46.19,45.86,46.19,650
20120618,46.19,46.19,46.19,46.19,0
20120619,46.19,46.19,46.19,46.19,0
20120620,45.72,45.72,45.72,45.72,250
20120621,43.73,43.73,43.65,43.65,630
20120622,42.7,42.7,42.65,42.65,570
20120625,43.3,43.5,43.3,43.5,306
20120626,42.85,42.85,42.85,42.85,140
20120627,43.12,43.12,43.08,43.08,2265
20120628,43.76,43.76,43.57,43.73,690
20120629,42.54,43.3,42.54,43.3,8644
20120702,44.67,44.67,44.4,44.4,230
20120703,44.69,44.69,44.69,44.69,250
20120704,44.69,44.69,44.69,44.69,0
20120705,46.11,46.11,46.11,46.11,22
20120706,45.94,45.94,45.75,45.75,120
20120709,44.73,44.73,44.73,44.73,45
20120710,44.73,44.73,44.73,44.73,0
20120711,44.56,44.56,44.56,44.56,135
20120712,44.56,44.56,44.56,44.56,0
20120713,44.56,44.56,44.56,44.56,0
20120716,45.87,45.87,45.87,45.87,300
