Date,Open,High,Low,Close,Volume
20220204,49.95,49.95,49.87,49.87,20100
20220207,49.66,49.76,49.56,49.7,21031
20220208,49.62,49.62,49.37,49.37,10900
20220209,49.18,49.31,49.18,49.31,1878
20220210,49.34,49.4,49.34,49.4,2500
20220211,49.06,49.14,49.02,49.02,1445
20220214,49.32,49.32,49.22,49.22,50
20220215,49,49,49,49,100
20220216,49,49,49,49,0
20220217,48.86,48.97,48.86,48.97,4000
20220218,48.94,48.94,48.94,48.94,4197
20220221,48.94,48.94,48.94,48.94,0
20220222,48.94,48.94,48.94,48.94,0
20220223,48.94,48.94,48.94,48.94,0
20220224,48.82,48.82,48.82,48.82,840
20220225,48.81,48.81,48.81,48.81,12000
20220228,48.81,48.81,48.81,48.81,0
20220301,49.1,49.1,49.1,49.1,2
20220302,49.3,49.37,49.3,49.37,248
20220303,49.19,49.23,49.1,49.1,365
20220304,49.08,49.08,49.08,49.08,113
20220307,49.29,49.34,49.27,49.27,10010
20220308,49,49,49,49,39
20220309,49,49,49,49,0
20220310,48.49,48.5,48.49,48.5,7000
20220311,48.18,48.18,48.17,48.18,4835
20220314,48.32,48.32,48.18,48.18,984
20220315,47.93,47.93,47.92,47.92,2000
20220316,47.92,47.92,47.92,47.92,0
20220317,47.99,47.99,47.99,47.99,2
20220318,47.92,47.92,47.84,47.84,178
20220321,47.86,47.86,47.86,47.86,300
20220322,47.47,47.47,47.41,47.41,2000
20220323,47.41,47.41,47.41,47.41,0
20220324,47.4,47.4,47.25,47.25,2162
20220325,47.25,47.25,47.25,47.25,0
20220328,46.89,46.93,46.89,46.93,635
20220329,46.76,46.76,46.76,46.76,100
20220330,46.71,46.71,46.71,46.71,2000
20220331,46.71,46.71,46.71,46.71,0
20220401,46.68,46.69,46.65,46.69,325
20220404,46.69,46.69,46.69,46.69,0
20220405,46.7,46.7,46.7,46.7,45
20220406,46.7,46.7,46.7,46.7,0
20220407,46.49,46.49,46.49,46.49,3
20220408,46.49,46.49,46.49,46.49,0
20220411,46.49,46.49,46.49,46.49,0
20220412,46.11,46.11,46.11,46.11,10
20220413,46.2,46.28,46.18,46.25,12021
20220414,46.3,46.5,46.3,46.5,2871
20220419,46.27,46.27,46.2,46.2,1409
20220420,46.04,46.1,46,46.1,4000
20220421,46.19,46.19,46.15,46.15,1923
20220422,45.85,45.85,45.78,45.78,4353
20220426,45.88,45.88,45.88,45.88,860
20220427,46.09,46.09,45.89,45.94,4550
20220428,45.87,45.88,45.85,45.86,2656
20220429,45.7,45.7,45.63,45.63,6428
20220502,45.4,45.41,45.32,45.37,4562
20220503,45.16,45.3,45,45,3570
20220504,44.77,44.77,44.68,44.68,2356
20220505,44.68,44.68,44.68,44.68,0
20220506,44.6,44.71,44.6,44.71,14186
20220509,44.55,44.6,44.55,44.58,7651
20220510,44.81,44.81,44.64,44.64,1163
20220511,44.82,44.82,44.82,44.82,3350
20220512,44.82,44.82,44.82,44.82,0
20220513,44.82,44.82,44.82,44.82,0
20220516,45.07,45.25,45.07,45.24,4359
20220517,45.24,45.24,45.24,45.24,0
20220518,44.89,44.92,44.89,44.92,1396
20220519,44.92,44.92,44.92,44.92,0
20220520,44.92,44.92,44.92,44.92,0
20220523,45.37,45.37,45.34,45.34,8131
20220524,45.25,45.3,45.25,45.3,1462
20220525,45.56,45.6,45.56,45.6,2800
20220526,45.57,45.58,45.57,45.58,875
20220527,45.55,45.55,45.55,45.55,2850
20220530,45.52,45.52,45.52,45.52,23
20220531,45.42,45.42,45.42,45.42,550
20220601,45.42,45.42,45.42,45.42,0
20220602,44.87,44.87,44.58,44.58,3295
20220603,44.58,44.58,44.58,44.58,0
20220606,44.58,44.58,44.58,44.58,0
20220607,44.56,44.56,44.39,44.39,3529
20220608,44.41,44.47,44.41,44.44,4942
20220609,44.34,44.39,44.34,44.38,7479
20220610,44.25,44.25,44.25,44.25,26
20220614,44.01,44.01,44.01,44.01,220
20220615,42.9,42.96,42.65,42.65,1505
20220616,42.75,42.92,42.69,42.85,17174
20220617,42.92,42.92,42.88,42.88,14161
20220620,43.06,43.06,42.94,42.94,123
20220621,42.74,43.01,42.74,42.95,25740
