Date,Open,High,Low,Close,Volume
20110414,15.1,15.1,15.1,15.1,1
20110415,15.1,15.1,15.1,15.1,0
20110418,15.1,15.1,15.1,15.1,0
20110419,15.1,15.1,15.1,15.1,0
20110420,15.1,15.1,15.1,15.1,0
20110421,15.1,15.1,15.1,15.1,0
20110427,15.1,15.1,15.1,15.1,0
20110428,15.25,15.25,15.25,15.25,660
20110429,15.25,15.25,15.25,15.25,0
20110502,15.25,15.25,15.25,15.25,0
20110503,15.25,15.25,15.25,15.25,0
20110504,15.25,15.25,15.25,15.25,0
20110505,15.25,15.25,15.25,15.25,0
20110506,14.92,14.92,14.8,14.8,29286
20110509,14.8,14.8,14.8,14.8,0
20110510,14.8,14.8,14.8,14.8,0
20110511,14.8,14.8,14.8,14.8,0
20110512,14.8,14.8,14.8,14.8,0
20110513,14.61,14.67,14.61,14.61,30612
20110516,14.6,14.6,14.6,14.6,35
20110517,14.6,14.6,14.6,14.6,0
20110518,14.6,14.6,14.6,14.6,0
20110519,14.6,14.6,14.6,14.6,0
20110520,14.79,14.8,14.79,14.8,100200
20110523,14.45,14.45,14.43,14.43,100000
20110524,14.33,14.33,14.33,14.33,700
20110525,14.14,14.14,14.14,14.14,16277
20110526,14.25,14.25,14.25,14.25,16277
20110527,14.25,14.25,14.25,14.25,0
20110530,14.25,14.25,14.25,14.25,0
20110531,14.25,14.25,14.25,14.25,0
20110601,14.38,14.38,14.38,14.38,11000
20110602,14.1,14.12,14.04,14.04,2020
20110603,14.04,14.04,14.04,14.04,0
20110606,13.95,13.95,13.95,13.95,2000
20110607,13.95,13.95,13.95,13.95,0
20110608,13.85,13.86,13.85,13.86,5600
20110609,13.86,13.86,13.86,13.86,0
20110610,13.86,13.86,13.86,13.86,0
20110614,13.86,13.86,13.86,13.86,0
20110615,13.86,13.86,13.86,13.86,0
20110616,13.86,13.86,13.86,13.86,0
20110617,13.86,13.86,13.86,13.86,0
20110620,14,14,14,14,1000
20110621,13.97,13.97,13.97,13.97,1000
20110622,14.05,14.05,14.03,14.03,1863
20110623,13.94,13.94,13.94,13.94,1075
20110624,13.96,13.96,13.95,13.95,1275
20110627,13.95,13.95,13.95,13.95,0
20110628,13.95,13.95,13.95,13.95,0
20110629,13.95,13.95,13.95,13.95,0
20110630,13.95,13.95,13.95,13.95,0
20110701,13.95,13.95,13.95,13.95,0
20110704,13.95,13.95,13.95,13.95,0
20110705,13.95,13.95,13.95,13.95,0
20110706,14.18,14.2,14.18,14.2,5200
20110707,14.21,14.21,14.21,14.21,200
20110708,14.21,14.21,14.21,14.21,0
20110711,14.19,14.19,14.19,14.19,350
20110712,13.83,13.83,13.83,13.83,350
20110713,13.71,13.71,13.71,13.71,5000
20110714,13.71,13.71,13.71,13.71,0
20110715,13.55,13.55,13.52,13.52,24900
20110718,13.52,13.52,13.52,13.52,0
20110719,13.48,13.48,13.48,13.48,200
20110720,13.48,13.48,13.48,13.48,0
20110721,13.86,13.87,13.85,13.87,25200
20110722,13.87,13.87,13.87,13.87,0
20110725,13.87,13.87,13.87,13.87,0
20110726,13.87,13.87,13.87,13.87,0
20110727,13.87,13.87,13.87,13.87,0
20110728,13.87,13.87,13.87,13.87,0
20110729,13.54,13.54,13.54,13.54,211
20110801,13.54,13.54,13.54,13.54,0
20110802,13.49,13.49,13.47,13.47,2800
20110803,13.22,13.22,13.15,13.15,5300
20110804,13.15,13.15,13.15,13.15,0
20110805,12.37,12.47,12.3,12.46,19680
20110808,12.2,12.2,12.2,12.2,200
20110809,11.6,12.35,11.6,12.35,9931
20110810,12.8,12.89,12.8,12.88,8471
20110811,12.83,12.93,12.81,12.93,19018
20110812,12.99,12.99,12.99,12.99,385
20110815,13.06,13.12,13.06,13.12,228
20110816,13.06,13.06,13.06,13.06,371
20110817,13.25,13.26,13.25,13.26,1712
20110818,13.11,13.11,13.08,13.11,14502
20110819,12.76,12.76,12.66,12.66,29343
20110822,12.68,12.68,12.68,12.68,789
20110823,12.67,12.84,12.67,12.84,11029
20110824,12.84,12.84,12.84,12.84,0
