Date,Open,High,Low,Close,Volume
20110414,14.85,14.85,14.85,14.85,1
20110415,14.85,14.85,14.85,14.85,0
20110418,14.7,14.75,14.7,14.75,5340
20110419,14.55,14.55,14.45,14.45,140
20110420,14.6,14.61,14.6,14.61,9661
20110421,14.7,14.78,14.7,14.78,2028
20110427,14.65,14.65,14.65,14.65,500
20110428,14.6,14.6,14.55,14.55,2755
20110429,14.55,14.55,14.25,14.25,280
20110502,14.43,14.43,14.43,14.43,2500
20110503,14.43,14.43,14.43,14.43,0
20110504,13.97,13.97,13.97,13.97,35
20110505,13.97,13.97,13.97,13.97,0
20110506,13.89,13.89,13.8,13.8,15863
20110509,13.8,13.8,13.8,13.8,0
20110510,13.8,13.8,13.8,13.8,0
20110511,14.06,14.06,14.06,14.06,2500
20110512,13.86,13.86,13.47,13.47,5420
20110513,13.75,13.75,13.75,13.75,1893
20110516,13.6,13.6,13.6,13.6,37
20110517,13.6,13.6,13.6,13.6,0
20110518,13.6,13.6,13.6,13.6,0
20110519,13.6,13.6,13.6,13.6,0
20110520,13.87,13.87,13.85,13.85,102440
20110523,13.68,13.68,13.58,13.6,101006
20110524,13.6,13.6,13.6,13.6,0
20110525,13.6,13.6,13.6,13.6,0
20110526,13.6,13.6,13.6,13.6,0
20110527,13.89,13.9,13.89,13.9,5400
20110530,13.92,13.92,13.92,13.92,3000
20110531,13.92,13.99,13.92,13.99,4500
20110601,14.13,14.13,14.11,14.11,13463
20110602,13.73,13.73,13.73,13.73,1000
20110603,13.73,13.73,13.73,13.73,0
20110606,13.57,13.57,13.55,13.55,7650
20110607,13.43,13.43,13.42,13.42,4500
20110608,13.45,13.45,13.38,13.42,2550
20110609,13.5,13.5,13.39,13.39,80
20110610,13.54,13.54,13.54,13.54,38
20110614,13.36,13.36,13.29,13.29,250
20110615,13.29,13.29,13.29,13.29,0
20110616,13.23,13.23,13.15,13.15,150
20110617,13.15,13.15,13.15,13.15,0
20110620,13.15,13.15,12.86,12.86,1998
20110621,13.05,13.09,13.05,13.09,350
20110622,13.09,13.09,13.09,13.09,0
20110623,13.15,13.15,13.11,13.11,1545
20110624,13.09,13.11,13.09,13.11,4305
20110627,12.95,12.95,12.95,12.95,50
20110628,13.06,13.06,13.06,13.06,1544
20110629,13.06,13.06,13.06,13.06,0
20110630,13.06,13.06,13.06,13.06,0
20110701,13.06,13.06,13.06,13.06,0
20110704,13.03,13.64,13.03,13.59,3703
20110705,13.59,13.59,13.59,13.59,0
20110706,13.62,13.67,13.62,13.67,5100
20110707,13.64,13.64,13.64,13.64,300
20110708,13.64,13.64,13.64,13.64,0
20110711,13.66,13.66,13.66,13.66,1095
20110712,13.43,13.43,13.43,13.43,550
20110713,13.48,13.52,13.47,13.47,2800
20110714,13.47,13.47,13.47,13.47,0
20110715,13.47,13.47,13.47,13.47,0
20110718,13.47,13.47,13.47,13.47,0
20110719,13.47,13.47,13.47,13.47,0
20110720,13.66,13.67,13.66,13.67,2450
20110721,13.73,13.73,13.73,13.73,3414
20110722,13.73,13.73,13.73,13.73,0
20110725,13.6,13.6,13.6,13.6,370
20110726,13.75,13.75,13.75,13.75,40
20110727,13.71,13.71,13.71,13.71,700
20110728,13.55,13.55,13.44,13.44,1800
20110729,13.3,13.3,13.3,13.3,150
20110801,13.48,13.48,13.48,13.48,500
20110802,13.48,13.48,13.48,13.48,0
20110803,12.95,12.96,12.95,12.95,6333
20110804,12.9,12.9,12.85,12.85,6175
20110805,12.22,12.24,12.03,12.08,20599
20110808,12.01,12.01,11.69,11.69,1594
20110809,10.99,11.87,10.99,11.87,11424
20110810,12.22,12.29,12.22,12.24,13088
20110811,12.18,12.25,12.18,12.21,20371
20110812,12.4,12.4,12.4,12.4,403
20110815,12.6,12.6,12.6,12.6,30
20110816,12.6,12.6,12.6,12.6,376
20110817,12.62,12.62,12.62,12.62,1731
20110818,12.48,12.48,12.4,12.4,11393
20110819,12.06,12.06,11.94,11.94,9656
20110822,11.97,12,11.95,11.95,10370
20110823,12.11,12.11,12.1,12.1,215
20110824,12.1,12.1,12.1,12.1,0
20110825,12.26,12.26,12.26,12.26,8700
20110826,12.22,12.22,12.22,12.22,130
20110829,12.35,12.42,12.35,12.42,400
20110830,12.52,12.53,12.52,12.53,992
20110831,12.53,12.53,12.53,12.53,0
20110901,12.53,12.53,12.53,12.53,0
20110902,12.43,12.43,12.41,12.41,16799
20110905,12.16,12.17,12.08,12.08,258
20110906,11.92,11.92,11.92,11.92,1209
20110907,12.18,12.18,12.18,12.18,600
20110908,12.3,12.3,12.21,12.21,1134
20110909,12.38,12.38,12.3,12.3,24000
20110912,11.9,11.93,11.84,11.84,2800
20110913,11.85,11.96,11.83,11.95,13000
20110914,12.05,12.08,11.75,11.75,2350
20110915,12.03,12.03,11.79,11.79,1640
20110916,12.11,12.15,12.11,12.15,3710
20110919,11.95,11.95,11.92,11.94,1510
20110920,11.94,11.94,11.94,11.94,0
20110921,11.94,11.94,11.94,11.94,0
20110922,11.45,11.45,11.3,11.35,11725
20110923,10.95,11.16,10.92,10.92,44940
20110926,10.95,10.95,10.51,10.51,12750
20110927,10.72,10.92,10.72,10.92,2001
20110928,11.15,11.15,11.13,11.13,488
20110929,11.3,11.3,10.81,10.91,2650
20110930,11.02,11.02,11.02,11.02,275
20111003,10.68,10.71,10.68,10.71,10516
20111004,10.51,10.71,10.51,10.71,9363
20111005,10.85,10.9,10.83,10.86,2339
20111006,11.32,11.35,11.32,11.35,1760
20111007,11.67,11.67,11.67,11.67,3500
20111010,11.82,11.88,11.79,11.79,4188
20111011,11.79,11.79,11.79,11.79,0
20111012,11.79,11.79,11.79,11.79,0
20111013,11.79,11.79,11.79,11.79,0
20111014,11.77,11.77,11.77,11.77,11000
20111017,11.77,11.77,11.77,11.77,0
20111018,11.68,11.68,11.65,11.65,856
20111019,11.72,11.72,11.6,11.6,13229
20111020,11.33,11.33,11.27,11.3,8595
20111021,11.32,11.35,11.28,11.32,18606
20111024,11.55,11.67,11.55,11.67,13495
20111025,11.75,11.75,11.71,11.71,1307
20111026,11.5,11.64,11.5,11.64,777
20111027,12.14,12.14,12.14,12.14,85
20111028,12.38,12.38,12.17,12.17,9674
20111031,12.17,12.17,12.17,12.17,0
20111101,11.79,11.79,11.79,11.79,373
20111102,11.58,11.58,11.58,11.58,1615
20111103,11.58,11.58,11.58,11.58,0
20111104,11.97,11.97,11.97,11.97,3876
20111107,11.97,11.97,11.97,11.97,417
20111108,12.02,12.05,12.01,12.05,7626
20111109,12.3,12.3,12.24,12.24,115
20111110,12.24,12.24,11.86,11.86,5244
20111111,11.92,12.04,11.86,12.04,16578
20111114,12.04,12.04,12.04,12.04,0
20111115,12.02,12.02,12.02,12.02,1000
20111116,11.86,11.87,11.86,11.87,7537
20111117,11.87,11.87,11.87,11.87,0
20111118,11.6,11.63,11.6,11.63,6698
20111121,11.55,11.55,11.53,11.53,11220
20111122,11.39,11.39,11.31,11.38,15440
20111123,11.32,11.32,11.08,11.16,6658
20111124,11.14,11.17,11.05,11.17,10840
20111125,10.89,10.89,10.86,10.86,1850
20111128,10.86,10.86,10.86,10.86,0
20111129,10.86,10.86,10.86,10.86,0
20111130,10.86,10.86,10.86,10.86,0
20111201,11.62,11.63,11.57,11.63,5155
20111202,11.63,11.63,11.63,11.63,0
20111205,11.63,11.63,11.63,11.63,0
20111206,11.81,11.81,11.64,11.64,9945
20111207,11.64,11.64,11.64,11.64,0
20111208,11.64,11.64,11.64,11.64,9500
20111209,11.4,11.43,11.4,11.43,2321
20111212,11.43,11.43,11.43,11.43,0
20111213,11.43,11.43,11.43,11.43,0
20111214,11.2,11.29,11.2,11.26,13922
20111215,10.97,10.97,10.97,10.97,818
