Date,Open,High,Low,Close,Volume
20230413,9.99,10,9.99,10,881
20230414,10.04,10.04,10,10.02,387
20230417,10.09,10.09,10.09,10.09,50
20230418,10.04,10.04,10,10,728
20230419,10,10,9.97,9.97,200
20230420,10.03,10.03,10.03,10.03,10
20230421,10.03,10.03,10.03,10.03,0
20230424,10.03,10.11,10.03,10.11,1254
20230426,10.1,10.1,10.1,10.1,10
20230427,10.07,10.07,10.04,10.04,305
20230428,10.04,10.04,10.04,10.04,10
20230501,10.04,10.04,10.04,10.04,0
20230502,10.07,10.07,9.98,9.98,593
20230503,9.9,9.9,9.89,9.9,3836
20230504,9.89,9.89,9.89,9.89,505
20230505,9.89,9.89,9.89,9.89,0
20230508,10.02,10.02,10.02,10.02,51
20230509,10.02,10.02,10.02,10.02,0
20230510,9.98,10,9.98,10,85
20230511,10,10,10,10,900
20230512,10.03,10.04,10.03,10.04,1831
20230515,10.04,10.04,10.04,10.04,0
20230516,10,10,10,10,576
20230517,10,10,10,10,0
20230518,9.99,9.99,9.96,9.96,525
20230519,10,10.02,10,10.02,650
20230522,10.02,10.02,10,10,399
20230523,10.03,10.03,10,10,390
20230524,9.92,9.92,9.9,9.9,160
20230525,9.85,9.88,9.85,9.88,17361
20230526,9.89,9.89,9.89,9.89,52
20230529,9.89,9.89,9.89,9.89,0
20230530,9.92,9.92,9.92,9.92,100
20230531,9.83,9.83,9.83,9.83,250
20230601,9.86,9.87,9.86,9.87,20356
20230602,9.87,9.87,9.87,9.87,0
20230605,9.87,9.87,9.87,9.87,0
20230606,9.9,9.9,9.79,9.79,2252
20230607,9.78,9.78,9.78,9.78,2150
20230608,9.75,9.78,9.75,9.78,1100
20230609,9.74,9.74,9.74,9.74,125
20230613,9.74,9.74,9.74,9.74,0
20230614,9.75,9.75,9.75,9.75,308
20230615,9.75,9.75,9.75,9.75,3590
20230616,9.75,9.75,9.75,9.75,0
20230619,9.9,9.9,9.9,9.9,51
20230620,9.96,9.96,9.96,9.96,19239
20230621,9.95,9.95,9.95,9.95,250
20230622,9.95,9.95,9.95,9.95,0
20230623,9.74,9.74,9.74,9.74,1642
20230626,9.74,9.74,9.74,9.74,0
20230627,9.74,9.74,9.74,9.74,0
20230628,9.74,9.74,9.74,9.74,0
20230629,9.74,9.74,9.74,9.74,0
20230630,9.78,9.78,9.78,9.78,95
20230703,9.78,9.78,9.78,9.78,0
20230704,9.78,9.78,9.78,9.78,0
20230705,9.78,9.78,9.78,9.78,0
20230706,9.78,9.78,9.74,9.74,421
20230707,9.74,9.74,9.74,9.74,0
20230710,9.74,9.74,9.74,9.74,0
20230711,9.74,9.74,9.74,9.74,0
20230712,9.74,9.74,9.74,9.74,0
20230713,9.74,9.74,9.74,9.74,0
20230714,9.74,9.74,9.74,9.74,0
20230717,9.87,9.87,9.86,9.86,2060
20230718,9.86,9.86,9.86,9.86,0
20230719,9.86,9.86,9.86,9.86,0
20230720,9.86,9.9,9.86,9.9,200
20230721,9.8,9.8,9.8,9.8,100
20230724,9.83,9.83,9.83,9.83,105
20230725,9.83,9.83,9.83,9.83,0
20230726,9.86,9.86,9.86,9.86,710
20230727,9.95,9.95,9.95,9.95,150
20230728,9.96,9.96,9.96,9.96,100
20230731,9.99,9.99,9.98,9.98,60
20230801,10.02,10.02,10.02,10.02,5
20230802,10.02,10.02,10.02,10.02,0
20230803,9.9,9.9,9.9,9.9,1050
20230804,9.88,9.93,9.87,9.93,1756
20230807,9.93,9.93,9.93,9.93,0
20230808,9.93,9.93,9.93,9.93,0
20230809,9.93,9.93,9.93,9.93,0
20230810,9.88,9.88,9.88,9.88,363
20230811,9.96,9.97,9.96,9.97,194
20230814,9.97,9.97,9.97,9.97,0
20230815,9.97,9.97,9.97,9.97,0
20230816,9.9,9.9,9.9,9.9,50
20230817,9.85,9.85,9.81,9.81,8176
20230818,9.78,9.79,9.78,9.79,4238
20230821,9.79,9.79,9.79,9.79,1020
20230822,9.74,9.74,9.73,9.73,772
20230823,9.76,9.76,9.73,9.73,119
20230824,9.75,9.75,9.75,9.75,102
20230825,9.75,9.75,9.75,9.75,0
20230828,9.78,9.78,9.76,9.76,2040
20230829,9.76,9.76,9.76,9.76,0
20230830,9.76,9.76,9.76,9.76,0
20230831,9.76,9.76,9.76,9.76,0
20230901,9.76,9.76,9.76,9.76,0
20230904,9.76,9.76,9.76,9.76,0
20230905,9.76,9.76,9.76,9.76,0
20230906,9.76,9.76,9.76,9.76,0
20230907,9.81,9.81,9.81,9.81,3
20230908,9.81,9.81,9.81,9.81,0
20230911,9.76,9.76,9.76,9.76,48
20230912,9.82,9.82,9.82,9.82,100
20230913,9.76,9.76,9.76,9.76,12
20230914,9.76,9.76,9.76,9.76,3
20230915,9.76,9.76,9.76,9.76,0
20230918,9.76,9.76,9.76,9.76,0
20230919,9.73,9.73,9.73,9.73,100
20230920,9.73,9.73,9.73,9.73,21
20230921,9.73,9.73,9.73,9.73,0
20230922,9.55,9.61,9.53,9.61,143
20230925,9.61,9.61,9.61,9.61,0
20230926,9.61,9.61,9.61,9.61,0
20230927,9.61,9.61,9.61,9.61,0
20230928,9.6,9.6,9.6,9.6,1050
20230929,9.53,9.53,9.53,9.53,95
20231002,9.53,9.53,9.53,9.53,0
20231003,9.37,9.37,9.37,9.37,323
20231004,9.34,9.34,9.3,9.3,160
20231005,9.3,9.3,9.3,9.3,0
20231006,9.3,9.3,9.3,9.3,0
20231009,9.38,9.38,9.38,9.38,530
20231010,9.38,9.38,9.38,9.38,0
20231011,9.38,9.38,9.38,9.38,0
20231012,9.38,9.38,9.38,9.38,0
20231013,9.38,9.38,9.38,9.38,0
20231016,9.38,9.38,9.38,9.38,2
20231017,9.38,9.38,9.38,9.38,0
20231018,9.34,9.34,9.34,9.34,4758
20231019,9.24,9.24,9.24,9.24,540
20231020,9.24,9.24,9.24,9.24,0
20231023,9.24,9.24,9.24,9.24,0
20231024,9.24,9.24,9.24,9.24,0
20231025,9.24,9.24,9.24,9.24,0
20231026,9.24,9.24,9.24,9.24,0
20231027,9.24,9.24,9.24,9.24,0
20231030,9.24,9.24,9.24,9.24,0
20231031,9.24,9.24,9.24,9.24,0
20231101,9.06,9.06,9.06,9.06,11
20231102,9.17,9.17,9.16,9.16,1410
20231103,9.16,9.16,9.16,9.16,0
20231106,9.27,9.31,9.27,9.3,7431
20231107,9.3,9.3,9.3,9.3,0
20231108,9.38,9.43,9.38,9.43,8651
20231109,9.43,9.43,9.43,9.43,0
20231110,9.43,9.43,9.42,9.42,79
20231113,9.42,9.42,9.41,9.41,4022
20231114,9.41,9.41,9.41,9.41,0
20231115,9.41,9.41,9.41,9.41,0
20231116,9.41,9.41,9.41,9.41,0
20231117,9.5,9.5,9.5,9.5,266
20231120,9.5,9.5,9.5,9.5,0
20231121,9.5,9.5,9.5,9.5,0
20231122,9.5,9.5,9.5,9.5,0
20231123,9.39,9.39,9.39,9.39,1000
20231124,9.39,9.39,9.39,9.39,0
20231127,9.39,9.39,9.39,9.39,0
20231128,9.39,9.39,9.39,9.39,0
20231129,9.36,9.36,9.36,9.36,540
20231130,9.46,9.46,9.46,9.46,5865
20231201,9.46,9.46,9.46,9.46,57
20231204,9.46,9.46,9.46,9.46,0
20231205,9.44,9.44,9.44,9.44,53
20231206,9.51,9.51,9.51,9.51,650
20231207,9.61,9.61,9.61,9.61,103
20231208,9.59,9.59,9.59,9.59,104
20231211,9.64,9.64,9.64,9.64,103
20231212,9.71,9.71,9.71,9.71,102
20231213,9.73,9.73,9.73,9.73,101
20231214,9.73,9.73,9.73,9.73,0
20231215,9.83,9.83,9.83,9.83,320
20231218,9.83,9.83,9.83,9.83,0
20231219,9.83,9.83,9.83,9.83,0
20231220,10.01,10.03,10.01,10.03,414
20231221,10.03,10.03,10.03,10.03,0
20231222,9.99,9.99,9.98,9.98,504
20231227,9.98,9.98,9.98,9.98,0
20231228,9.98,9.98,9.98,9.98,0
20231229,9.98,9.98,9.98,9.98,0
20240102,9.98,9.98,9.98,9.98,0
20240103,9.98,9.98,9.98,9.98,0
20240104,9.98,9.98,9.98,9.98,0
