Date,Open,High,Low,Close,Volume
20240605,9.93,9.93,9.92,9.93,8745
20240606,10.02,10.02,10.02,10.02,6000
20240607,9.93,9.93,9.92,9.92,791
20240611,9.92,9.92,9.92,9.92,0
20240612,9.93,9.93,9.93,9.93,3200
20240613,10.03,10.03,10.03,10.03,15
20240614,10.04,10.04,10.04,10.04,406
20240617,9.95,9.95,9.9,9.91,2377
20240618,10.02,10.02,10.02,10.02,2990
20240619,10,10,9.99,9.99,5100
20240620,10,10.01,10,10.01,655
20240621,9.94,9.94,9.93,9.93,2014
20240624,9.93,9.93,9.93,9.93,0
20240625,9.93,9.93,9.93,9.93,0
20240626,9.9,9.9,9.9,9.9,2070
20240627,9.8,9.8,9.78,9.78,1948
20240628,9.9,9.9,9.9,9.9,8
20240701,9.9,9.9,9.9,9.9,0
20240702,9.69,9.69,9.69,9.69,4
20240703,9.69,9.69,9.68,9.69,20001
20240704,9.71,9.71,9.71,9.71,1548
20240705,9.71,9.71,9.71,9.71,0
20240708,9.56,9.56,9.55,9.55,1146
20240709,9.62,9.62,9.62,9.62,10
20240710,9.7,9.7,9.54,9.54,301
20240711,9.54,9.54,9.54,9.54,0
20240712,9.93,9.93,9.93,9.93,5172
20240715,9.81,10.01,9.81,10.01,4074
20240716,10.15,10.16,10.15,10.16,75
20240717,10.44,10.44,10.42,10.44,79559
20240718,10.28,10.28,10.26,10.26,3555
20240719,10.25,10.25,10.2,10.22,49067
20240722,10.2,10.2,10.17,10.19,152
20240723,10.4,10.4,10.39,10.39,736
20240724,10.5,10.5,10.5,10.5,122
20240725,10.17,10.25,10.17,10.25,41779
20240726,10.44,10.46,10.44,10.46,6122
20240729,10.64,10.64,10.64,10.64,2837
20240730,10.55,10.56,10.55,10.56,7893
20240731,10.56,10.56,10.56,10.56,0
20240801,10.8,10.82,10.8,10.81,18700
20240802,10.67,10.67,10.46,10.46,2053
20240805,10.2,10.2,10,10.01,5420
20240806,10.07,10.07,10.07,10.07,2980
20240807,10.07,10.07,9.99,9.99,11115
20240808,10,10,9.85,9.85,2687
20240809,9.85,9.85,9.85,9.85,0
20240812,10.03,10.04,10.03,10.03,501
20240813,10.1,10.1,9.97,9.97,3085
20240814,10,10.01,10,10.01,559
20240815,10.03,10.06,10.03,10.04,140
20240816,10.23,10.23,10.23,10.23,4
20240819,10.09,10.09,10.08,10.08,17
20240820,10.08,10.08,10.08,10.08,0
20240821,10.08,10.08,10,10.01,1634
20240822,10.5,10.5,10.11,10.11,198
20240823,10.13,10.13,10.13,10.13,3
20240826,10.22,10.22,10.2,10.2,26
20240827,10.2,10.2,10.2,10.2,0
20240828,10.2,10.2,10.14,10.14,450
20240829,10.09,10.09,10.08,10.08,21
20240830,10.14,10.14,10.14,10.14,4
20240902,10.23,10.28,10.23,10.28,2
20240903,10.28,10.28,10.28,10.28,48
20240904,9.93,9.93,9.93,9.93,22
20240905,9.92,9.92,9.92,9.92,4
20240906,9.8,9.8,9.78,9.78,3478
20240909,9.78,9.78,9.78,9.78,2
20240910,9.92,9.92,9.91,9.91,23
20240911,9.91,9.91,9.91,9.91,0
20240912,9.98,9.99,9.98,9.98,10003
20240913,10.05,10.05,10.05,10.05,14
20240916,10.23,10.23,10.19,10.19,1224
20240917,10.21,10.21,10.2,10.2,30006
20240918,10.2,10.2,10.2,10.2,0
