Date,Open,High,Low,Close,Volume
20170914,5.07,5.07,5.05,5.06,42081
20170915,5.07,5.07,5.04,5.06,72201
20170918,5.07,5.11,5.07,5.11,184960
20170919,5.14,5.14,5.12,5.12,150146
20170920,5.1,5.12,5.09,5.12,53594
20170921,5.11,5.13,5.1,5.13,30883
20170922,5.12,5.13,5.09,5.09,127276
20170925,5.09,5.09,5.03,5.03,104771
20170926,4.99,5.01,4.98,4.99,57468
20170927,5.04,5.08,5.04,5.08,67542
20170928,5.08,5.11,5.07,5.11,50793
20170929,5.07,5.1,5.07,5.1,33428
20171002,5.14,5.14,5.14,5.14,21400
20171003,5.15,5.22,5.15,5.22,103616
20171004,5.22,5.22,5.14,5.18,99952
20171005,5.17,5.2,5.17,5.2,208821
20171006,5.24,5.28,5.24,5.28,140762
20171009,5.26,5.27,5.25,5.27,76998
20171010,5.29,5.29,5.26,5.27,83005
20171011,5.3,5.32,5.29,5.31,95560
20171012,5.3,5.3,5.28,5.29,256343
20171013,5.28,5.29,5.27,5.29,40909
20171016,5.29,5.3,5.26,5.29,106587
20171017,5.31,5.32,5.31,5.32,241147
20171018,5.29,5.3,5.29,5.3,76707
20171019,5.33,5.34,5.32,5.33,102248
20171020,5.26,5.29,5.26,5.29,78700
20171023,5.32,5.32,5.3,5.32,155349
20171024,5.32,5.34,5.3,5.34,17035
20171025,5.34,5.41,5.33,5.4,128001
20171026,5.37,5.4,5.36,5.4,95937
20171027,5.43,5.48,5.43,5.46,67088
20171030,5.46,5.48,5.42,5.45,119219
20171031,5.41,5.47,5.4,5.47,108292
20171101,5.51,5.55,5.51,5.55,159505
20171102,5.53,5.53,5.51,5.52,207658
20171103,5.51,5.54,5.51,5.54,157831
20171106,5.56,5.56,5.52,5.54,119954
20171107,5.57,5.61,5.57,5.6,112025
20171108,5.6,5.64,5.6,5.64,117062
20171109,5.57,5.6,5.55,5.59,94628
20171110,5.6,5.6,5.58,5.6,182269
20171113,5.62,5.63,5.6,5.61,74345
20171114,5.62,5.63,5.6,5.62,105614
20171115,5.58,5.62,5.58,5.58,47379
20171116,5.6,5.61,5.58,5.61,123560
20171117,5.64,5.71,5.63,5.71,55772
20171120,5.68,5.68,5.66,5.66,176385
20171121,5.71,5.77,5.71,5.77,62562
20171122,5.72,5.78,5.72,5.78,149993
20171123,5.73,5.75,5.72,5.72,115144
20171124,5.69,5.7,5.66,5.67,122385
20171127,5.72,5.72,5.68,5.68,49237
20171128,5.65,5.66,5.6,5.62,117867
20171129,5.67,5.68,5.65,5.66,105115
20171130,5.66,5.66,5.58,5.59,292684
20171201,5.59,5.6,5.56,5.57,122121
20171204,5.52,5.57,5.51,5.57,172205
20171205,5.53,5.53,5.51,5.51,132911
20171206,5.52,5.54,5.48,5.49,121930
20171207,5.49,5.5,5.45,5.45,262174
20171208,5.47,5.56,5.46,5.52,79191
20171211,5.5,5.78,5.5,5.59,119510
20171212,5.61,5.63,5.6,5.61,84528
20171213,5.55,5.55,5.53,5.54,130359
20171214,5.55,5.56,5.51,5.53,73552
20171215,5.53,5.53,5.48,5.48,66540
20171218,5.53,5.53,5.5,5.51,37591
20171219,5.52,5.55,5.51,5.55,44373
20171220,5.55,5.58,5.55,5.57,92714
20171221,5.57,5.61,5.55,5.6,75945
20171222,5.56,5.57,5.53,5.57,54158
