Date,Open,High,Low,Close,Volume
20170511,17.27,17.27,17.27,17.27,8253
20170512,17.27,17.27,17.27,17.27,753
20170515,17.3,17.3,17.3,17.3,4945
20170516,17.3,17.3,17.3,17.3,0
20170517,17.33,17.33,17.33,17.33,6540
20170518,17.36,17.36,17.36,17.36,1155
20170519,17.36,17.36,17.36,17.36,11323
20170522,17.36,17.37,17.36,17.37,2652
20170523,17.38,17.38,17.38,17.38,11940
20170524,17.37,17.38,17.37,17.38,3450
20170525,17.39,17.39,17.39,17.39,9171
20170526,17.41,17.41,17.41,17.41,7095
20170529,17.41,17.41,17.41,17.41,0
20170530,17.42,17.42,17.42,17.42,5750
20170531,17.43,17.43,17.43,17.43,171238
20170601,17.43,17.43,17.43,17.43,0
20170602,17.43,17.43,17.43,17.43,4585
20170605,17.45,17.45,17.43,17.43,6735
20170606,17.45,17.45,17.45,17.45,2300
20170607,17.44,17.44,17.44,17.44,31400
20170608,17.44,17.44,17.44,17.44,7700
20170609,17.43,17.45,17.43,17.45,13250
20170613,17.44,17.45,17.4,17.45,30255
20170614,17.45,17.45,17.45,17.45,7000
20170615,17.46,17.46,17.45,17.45,14300
20170616,17.45,17.45,17.45,17.45,0
20170619,17.4,17.42,17.4,17.42,372215
20170620,17.42,17.42,17.42,17.42,1100
20170621,17.41,17.42,17.41,17.41,15150
20170622,17.43,17.43,17.37,17.37,12315
20170623,17.4,17.44,17.4,17.44,8501
20170626,17.45,17.45,17.41,17.45,3450
20170627,17.45,17.45,17.41,17.45,16927
20170628,17.44,17.44,17.44,17.44,82425
20170629,17.41,17.41,17.4,17.41,856277
20170630,17.38,17.38,17.3,17.3,10370
20170703,17.25,17.33,17.25,17.33,1587
20170704,17.31,17.31,17.31,17.31,28800
20170705,17.36,17.36,17.36,17.36,6000
20170706,17.36,17.36,17.34,17.35,14306
20170707,17.33,17.33,17.33,17.33,6631
20170710,17.31,17.31,17.31,17.31,10400
20170711,17.31,17.32,17.3,17.32,22661
20170712,17.32,17.32,17.28,17.32,21218
20170713,17.34,17.34,17.33,17.33,4800
20170714,17.36,17.36,17.34,17.34,2999
20170717,17.34,17.34,17.34,17.34,0
20170718,17.36,17.36,17.33,17.33,19639
20170719,17.33,17.34,17.32,17.34,2486
20170720,17.32,17.33,17.31,17.32,14590
20170721,17.35,17.35,17.31,17.34,17795
20170724,17.37,17.37,17.37,17.37,2170
20170725,17.37,17.37,17.37,17.37,23000
20170726,17.38,17.39,17.37,17.39,50535
20170727,17.4,17.4,17.39,17.39,4680
20170728,17.34,17.41,17.34,17.41,12984
20170731,17.42,17.42,17.4,17.4,3255
20170801,17.43,17.43,17.42,17.43,12912
20170802,17.41,17.41,17.36,17.36,2531
20170803,17.36,17.36,17.36,17.36,0
20170804,17.46,17.46,17.46,17.46,2533
20170807,17.47,17.47,17.47,17.47,17018
20170808,17.48,17.48,17.46,17.46,18086
20170809,17.43,17.43,17.43,17.43,772
20170810,17.45,17.47,17.41,17.46,8698
20170811,17.47,17.49,17.47,17.49,22688
20170814,17.45,17.45,17.43,17.43,451
20170815,17.47,17.48,17.47,17.48,38995
20170816,17.43,17.47,17.43,17.47,155949
20170817,17.46,17.46,17.46,17.46,2766
20170818,17.48,17.48,17.47,17.47,186465
20170821,17.5,17.5,17.48,17.48,10763
20170822,17.43,17.47,17.43,17.47,4730
20170823,17.43,17.47,17.43,17.47,37245
20170824,17.49,17.49,17.47,17.49,8086
20170825,17.47,17.5,17.46,17.49,29941
20170828,17.45,17.48,17.45,17.48,6086
20170829,17.46,17.49,17.46,17.48,21028
20170830,17.48,17.48,17.47,17.48,440592
20170831,17.45,17.48,17.45,17.48,19798
20170901,17.45,17.47,17.44,17.47,18861
20170904,17.5,17.5,17.47,17.47,3996
20170905,17.52,17.52,17.48,17.48,8509
20170906,17.52,17.52,17.5,17.5,1466
20170907,17.48,17.52,17.48,17.49,11022
20170908,17.53,17.54,17.5,17.54,16983
20170911,17.53,17.53,17.5,17.52,11100
20170912,17.51,17.51,17.5,17.5,20283
20170913,17.49,17.52,17.48,17.52,620643
20170914,17.48,17.5,17.45,17.5,9792
20170915,17.48,17.48,17.45,17.45,4678
20170918,17.45,17.45,17.38,17.43,21170
20170919,17.41,17.41,17.41,17.41,4388
20170920,17.39,17.39,17.38,17.38,18122
20170921,17.37,17.38,17.34,17.34,8024
20170922,17.38,17.41,17.38,17.41,8629
20170925,17.42,17.42,17.4,17.4,6824
20170926,17.4,17.4,17.4,17.4,0
20170927,17.44,17.44,17.44,17.44,2033
20170928,17.43,17.43,17.41,17.41,14118
20170929,17.43,17.45,17.4,17.45,63658
20171002,17.28,17.28,17.26,17.26,12741
20171003,17.26,17.26,17.26,17.26,2609
