Date,Open,High,Low,Close,Volume
20110504,5.95,5.96,5.95,5.96,6360
20110505,5.9,5.91,5.9,5.91,2552
20110506,5.72,5.72,5.72,5.72,100
20110509,5.72,5.72,5.72,5.72,0
20110510,5.86,5.86,5.86,5.86,10000
20110511,5.9,5.9,5.9,5.9,850
20110512,5.84,5.84,5.84,5.84,855
20110513,5.83,5.83,5.83,5.83,420
20110516,5.79,5.79,5.79,5.79,400
20110517,5.79,5.81,5.79,5.8,20750
20110518,5.77,5.8,5.77,5.8,13700
20110519,5.81,5.82,5.81,5.81,19762
20110520,5.81,5.82,5.81,5.82,19450
20110523,5.88,5.88,5.87,5.87,8000
20110524,5.9,5.9,5.9,5.9,3500
20110525,5.94,5.94,5.93,5.93,16039
20110526,5.93,5.95,5.93,5.94,2807
20110527,5.94,5.94,5.93,5.93,7036
20110530,6,6,5.98,5.98,32721
20110531,5.97,5.98,5.97,5.97,17705
20110601,5.97,5.97,5.95,5.96,14540
20110602,6.01,6.01,5.98,6,22794
20110603,5.98,5.98,5.96,5.96,47174
20110606,6.02,6.03,6.02,6.03,20687
20110607,6.03,6.03,6.02,6.03,35920
20110608,6.02,6.02,6,6.02,4328
20110609,6,6.01,5.99,6,30735
20110610,6.03,6.03,6.01,6.01,93695
20110614,6.01,6.01,5.92,5.95,14470
20110615,5.97,5.97,5.96,5.96,20229
20110616,5.94,5.94,5.92,5.93,26000
20110617,5.95,5.95,5.95,5.95,2500
20110620,6,6,5.98,5.99,5486
20110621,6,6,5.99,5.99,9100
20110622,6.01,6.01,6.01,6.01,5500
20110623,6.03,6.03,6.02,6.03,5200
20110624,5.94,5.94,5.93,5.94,3725
20110627,5.85,5.86,5.83,5.84,4302
20110628,5.82,5.82,5.82,5.82,1500
20110629,5.83,5.83,5.83,5.83,1000
20110630,5.87,5.88,5.87,5.88,1600
20110701,5.84,5.85,5.84,5.85,3050
20110704,5.82,5.82,5.8,5.81,4915
20110705,5.82,5.82,5.8,5.8,8400
20110706,5.88,5.9,5.88,5.89,2440
20110707,5.89,5.89,5.89,5.89,0
20110708,5.97,5.97,5.97,5.97,450
20110711,6,6,6,6,21500
20110712,6.04,6.05,6.04,6.05,13038
20110713,6.05,6.05,6.05,6.05,0
20110714,6.18,6.18,6.18,6.18,5219
20110715,6.19,6.19,6.16,6.18,57925
20110718,6.23,6.24,6.21,6.24,39099
20110719,6.25,6.28,6.25,6.28,94488
20110720,6.22,6.22,6.21,6.22,9571
20110721,6.25,6.27,6.25,6.27,27130
20110722,6.23,6.23,6.2,6.2,78026
20110725,6.29,6.3,6.28,6.3,39506
20110726,6.3,6.31,6.29,6.3,20240
20110727,6.34,6.35,6.33,6.35,63303
20110728,6.31,6.32,6.31,6.31,5859
20110729,6.3,6.31,6.29,6.31,38350
20110801,6.32,6.32,6.3,6.31,26915
20110802,6.32,6.35,6.32,6.35,40409
20110803,6.46,6.5,6.46,6.5,76981
20110804,6.51,6.53,6.5,6.51,52070
20110805,6.44,6.53,6.44,6.53,92765
20110808,6.63,6.74,6.6,6.74,149984
20110809,6.8,6.97,6.79,6.89,313476
20110810,6.9,6.91,6.85,6.85,43322
20110811,7.1,7.11,6.98,7.03,203284
20110812,7.07,7.07,6.5,6.94,40313
20110815,6.79,6.88,6.79,6.86,28525
20110816,6.92,6.96,6.92,6.94,336509
20110817,7.04,7.04,7.01,7.04,39208
20110818,7.04,7.06,7.03,7.06,74948
20110819,7.2,7.26,7.18,7.26,217793
20110822,7.39,7.41,7.35,7.41,455105
20110823,19.08,19.09,18.95,19,20840
20110824,18.46,18.52,18.44,18.44,30789
20110825,17.55,17.71,17.32,17.41,62393
20110826,17.76,17.84,17.6,17.76,25760
20110829,18.15,18.25,18.12,18.18,50159
20110830,17.89,18.02,17.89,17.96,22924
20110831,18.3,18.37,18.27,18.37,40962
20110901,18.29,18.29,18.27,18.27,1907
20110902,18.31,18.32,18.26,18.32,15535
20110905,18.89,18.89,18.8,18.84,30202
20110906,19.04,19.25,19,19.21,54940
20110907,18.78,18.78,18.31,18.45,37992
20110908,18.17,18.44,18.17,18.38,6150
20110909,18.66,18.78,18.59,18.78,17635
20110912,18.63,18.63,18.49,18.52,36591
20110913,18.27,18.36,18.27,18.34,30496
20110914,18.51,18.51,18.35,18.35,34696
20110915,18.32,18.32,18.1,18.15,27798
20110916,17.93,17.93,17.73,17.79,24695
20110919,18.8,18.8,18.2,18.25,10074
20110920,17.91,17.93,17.76,17.8,26131
20110921,18.2,18.2,18.05,18.16,13896
20110922,17.92,17.92,17.78,17.84,58390
20110923,17.47,17.52,17.27,17.3,33693
20110926,16.55,16.66,15.82,15.82,42508
20110927,16.13,16.46,16.12,16.46,32290
20110928,16.39,16.45,16.28,16.38,66831
20110929,15.84,16.21,15.78,16.21,18481
20110930,16.19,16.35,16.18,16.26,38684
20111003,16.26,16.31,16.26,16.31,1137
20111004,17.94,17.94,16.59,16.69,26853
20111005,16.27,16.29,16.21,16.25,7980
20111006,16.42,16.46,16.39,16.44,8253
20111007,16.5,16.65,16.5,16.58,8587
20111010,16.4,16.51,16.36,16.48,6064
20111011,16.75,16.83,16.69,16.79,14085
20111012,16.64,16.68,16.61,16.65,42450
20111013,16.75,16.8,16.75,16.78,12004
20111014,16.64,16.64,16.6,16.64,32570
20111017,16.79,16.8,16.74,16.76,38994
20111018,16.68,16.72,16.66,16.69,29636
20111019,16.56,16.6,16.56,16.58,7343
20111020,16.4,16.4,16.22,16.22,22267
20111021,16.2,16.27,16.19,16.2,5423
20111024,16.38,16.47,16.34,16.47,15603
20111025,16.5,16.56,16.46,16.56,3078
20111026,16.92,17.14,16.92,17.1,46699
20111027,17.2,17.2,17.14,17.14,3873
20111028,17.38,17.47,17.38,17.41,9788
20111031,17.4,17.4,17.06,17.17,71160
20111101,17.06,17.15,17.06,17.15,12243
20111102,17.1,17.24,17.1,17.2,21141
20111103,17.32,17.32,17.25,17.27,10390
20111104,17.58,17.59,17.54,17.55,34264
20111107,17.52,17.71,17.52,17.67,37950
20111108,17.93,17.93,17.89,17.92,20415
20111109,17.9,17.92,17.88,17.9,36169
20111110,17.68,17.75,17.61,17.63,54603
20111111,17.58,17.71,17.48,17.7,29474
20111114,17.9,17.94,17.89,17.92,63521
20111115,17.9,17.9,17.7,17.73,104430
20111116,17.81,17.81,17.7,17.7,34420
20111117,17.68,17.68,17.59,17.63,22420
20111118,17.26,17.28,17.15,17.26,28896
20111121,17.24,17.24,17.24,17.24,1000
20111122,17.15,17.15,16.71,16.81,50464
20111123,17.02,17.1,17,17.05,26798
20111124,17,17,16.87,16.9,10657
20111125,17,17,16.91,16.93,117748
20111128,16.95,17.08,16.94,17.06,17800
20111129,17.11,17.15,17.11,17.13,28676
20111130,17.2,17.3,17.2,17.24,63638
20111201,17.56,17.56,17.5,17.51,14875
20111202,17.5,17.5,17.44,17.49,14143
20111205,17.6,17.6,17.5,17.51,10317
20111206,17.28,17.29,17.18,17.18,75049
20111207,17.36,17.39,17.34,17.37,12268
20111208,17.47,17.47,17.45,17.45,6983
20111209,17.3,17.3,17.1,17.13,49175
20111212,17.17,17.17,16.96,16.96,301
20111213,17,17,16.59,16.59,63841
20111214,16.37,16.47,16.27,16.47,46339
20111215,16.38,16.38,15.75,15.75,58092
20111216,15.76,15.96,15.76,15.96,33647
20111219,15.98,16.09,15.95,15.97,4734
20111220,16,16.08,15.98,16.04,81364
20111221,16.22,16.33,16.22,16.32,52631
20111222,16.29,16.29,16.18,16.18,5743
20111223,16.12,16.2,16.12,16.16,13646
20111228,15.97,15.97,15.94,15.94,4174
20111229,15.69,15.69,15.69,15.69,359
20111230,15.56,15.67,15.56,15.67,3060
20120103,15.79,15.96,15.76,15.95,14982
20120104,16.12,16.14,16.05,16.07,17070
20120105,16.21,16.25,16.21,16.25,21109
20120106,16.25,16.25,16.25,16.25,0
