Date,Open,High,Low,Close,Volume
20101215,8.07,8.08,8.07,8.08,1090
20101216,8.05,8.05,8.05,8.05,500
20101217,8.05,8.05,8.05,8.05,0
20101220,8.02,8.02,8.02,8.02,1312500
20101221,8.02,8.02,8.02,8.02,0
20101222,8.02,8.02,8.02,8.02,150
20101223,8.02,8.02,8.02,8.02,0
20101224,8.02,8.02,8.02,8.02,0
20101229,8,8,8,8,200
20101230,8.03,8.03,8.03,8.03,1000
20101231,8.03,8.03,8.03,8.03,0
20110104,8.03,8.03,8.03,8.03,0
20110105,8.03,8.03,8.03,8.03,0
20110106,8.03,8.03,8.03,8.03,0
20110107,8.03,8.03,8.03,8.03,0
20110110,8.03,8.03,8.03,8.03,0
20110111,8.03,8.03,8.03,8.03,0
20110112,7.81,7.81,7.81,7.81,50000
20110113,7.91,7.91,7.91,7.91,50000
20110114,7.91,7.91,7.91,7.91,0
20110117,7.91,7.91,7.91,7.91,0
20110118,7.91,7.91,7.91,7.91,0
20110119,8.05,8.05,8.05,8.05,12400
20110120,8.02,8.02,8.02,8.02,620
20110121,7.86,7.86,7.86,7.86,3000
20110124,7.86,7.86,7.86,7.86,0
20110125,7.86,7.86,7.86,7.86,0
20110127,8.1,8.1,8.1,8.1,500
20110128,8.1,8.1,8.1,8.1,0
20110131,8.1,8.1,8.1,8.1,0
20110201,8.09,8.1,8.09,8.1,50000
20110202,8.1,8.1,8.1,8.1,0
20110203,8.1,8.1,8.1,8.1,0
20110204,8.22,8.22,8.22,8.22,590
20110207,8.22,8.22,8.22,8.22,0
20110208,8.22,8.22,8.22,8.22,0
20110209,8.48,8.48,8.45,8.45,35000
20110210,8.45,8.45,8.45,8.45,0
20110211,8.46,8.46,8.46,8.46,1000
20110214,8.43,8.44,8.42,8.44,340000
20110215,8.46,8.48,8.46,8.48,110000
20110216,8.48,8.48,8.48,8.48,0
20110217,8.48,8.48,8.48,8.48,0
20110218,8.48,8.48,8.48,8.48,0
20110221,8.51,8.51,8.51,8.51,1000
20110222,8.42,8.42,8.33,8.33,132400
20110223,8.33,8.33,8.33,8.33,0
20110224,8.33,8.33,8.33,8.33,0
20110225,8.26,8.26,8.25,8.25,60000
20110228,8.25,8.25,8.25,8.25,0
20110301,8.27,8.27,8.27,8.27,1500
20110302,8.27,8.27,8.27,8.27,0
20110303,8.19,8.19,8.19,8.19,590
20110304,8.21,8.25,8.21,8.25,61821
20110307,8.25,8.25,8.25,8.25,0
20110308,8.12,8.12,8.12,8.12,12200
20110309,8.24,8.24,8.24,8.24,1500
20110310,8.1,8.1,8.1,8.1,4900
20110311,8.03,8.04,8,8.04,130001
20110314,7.97,7.97,7.97,7.97,4222
20110315,7.97,7.97,7.97,7.97,0
20110316,7.97,7.97,7.97,7.97,0
20110317,7.97,7.97,7.97,7.97,0
20110318,7.81,7.82,7.81,7.81,353000
20110321,7.88,7.97,7.88,7.97,38550
20110322,8.03,8.03,8,8,6115
20110323,8.03,8.03,7.85,7.85,6683
